科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"207,078,250.29","524,068,105.99","942,496,429.62","1,350,831,040.37","236,227,804.39","585,292,703.80","1,007,662,567.44","1,235,027,123.92","113,055,853.52","318,400,792.49","658,709,799.56","1,310,287,092.43","511,274,588.54","1,106,625,050.61","1,616,531,486.58","2,488,504,220.27","611,852,926.85","1,300,158,477.61","2,074,128,930.12","2,387,164,954.68","326,312,497.81","683,505,816.43","922,353,803.99","1,529,393,287.14","389,152,982.12","1,209,823,011.24","1,920,045,996.51","3,358,868,912.66","1,019,934,416.74","1,510,199,141.61","2,179,300,347.74","3,786,810,876.57","364,284,733.81","1,354,959,771.15","2,183,379,580.05","4,039,940,071.25","765,833,077.69","2,406,798,963.72","3,550,367,854.43","5,448,465,936.91","1,032,279,773.13","2,646,468,314.61","4,337,870,224.25","6,657,146,101.52","1,442,711,929.08","3,341,175,153.53"
二、营业利润,"21,234,888.18","87,765,337.80","98,220,467.08","53,867,923.62","8,126,875.63","75,796,676.99","80,921,471.16","23,503,576.94","-18,086,887.77","18,345,124.15","38,435,866.63","89,695,903.99","34,485,188.01","101,790,435.97","142,400,432.06","149,710,961.87","48,158,762.34","46,544,249.19","79,160,238.78","-115,134,015.67","-161,376,513.12","-455,037,248.72","-732,070,423.63","-1,289,191,239.78","46,492,818.51","183,450,718.85","224,656,262.22","169,952,532.91","40,326,971.31","31,371,123.13","23,506,960.21","46,895,471.79","-92,257,464.36","-31,328,574.78","-2,079,154.13","152,863,675.69","40,809,505.38","83,903,428.27","81,389,667.68","225,826,045.68","-133,297,362.08","-204,675,854.20","-244,027,785.06","-279,780,894.93","-136,976,830.50","-154,309,123.32"
减:营业成本,"173,478,120.93","444,413,140.68","831,292,173.70","1,200,128,439.98","193,613,523.26","477,536,280.52","850,941,271.31","1,030,464,504.80","89,907,663.77","240,726,848.44","513,474,828.25","1,064,965,506.30","420,830,404.94","938,947,207.74","1,396,972,314.49","2,168,681,228.83","637,253,494.94","1,311,506,447.32","2,016,614,048.34","2,314,332,997.45","336,725,128.53","757,340,905.82","995,272,164.74","1,874,209,148.83","297,966,943.37","957,348,708.22","1,544,516,980.81","2,871,193,805.89","899,904,587.61","1,317,009,804.37","1,868,757,919.86","3,092,681,754.25","314,960,132.55","1,184,313,576.42","1,886,701,816.34","3,356,256,665.55","615,368,651.57","1,944,914,133.40","2,875,574,200.17","4,529,056,465.52","902,567,546.53","2,340,173,226.87","3,827,712,819.43","5,852,978,395.91","1,251,362,526.22","2,937,093,239.12"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"230,926.05","589,741.81","931,577.71","1,893,013.46","254,632.54","895,547.91","1,145,420.25","1,775,235.21","413,626.99","1,434,170.73","2,590,261.22","4,187,000.43","633,822.02","1,474,682.45","2,068,978.17","3,396,166.63","741,380.68","1,449,470.81","3,269,039.92","4,714,009.68","391,503.57","943,536.22","1,274,230.65","2,736,115.95","2,726,903.84","7,032,972.21","7,934,939.10","11,668,246.58","1,949,825.85","4,538,998.93","8,614,341.08","20,400,683.08","2,956,542.37","7,439,357.24","13,476,756.62","22,587,693.56","3,809,359.51","7,413,322.29","9,699,034.23","29,678,587.75","5,260,669.43","12,141,373.61","19,163,166.86","29,003,350.08","5,725,651.59","15,845,342.16"
营业外收入,"359,698.78","1,170,586.14","2,257,482.11","13,554,014.18","765,697.86","1,533,696.86","3,175,816.84","25,048,149.85","2,859,722.20","23,479,475.95","23,875,167.74","30,702,799.66","1,289,649.28","2,686,575.77","4,522,979.35","23,965,179.18","2,856,835.82","4,909,740.50","15,566,209.75","50,515,869.53","12,207,820.28","16,122,787.89","28,064,964.94","53,206,586.61","4,716,903.09","10,793,611.85","15,756,540.22","29,411,926.62","5,087,953.09","11,579,506.35","16,274,662.17","28,152,743.12","4,902,101.28","9,817,976.32","23,469,680.67","44,223,902.04","4,853,139.91","11,127,389.59","17,465,643.14","32,514,702.64","4,263,979.30","4,467,915.02","6,932,410.28","9,693,351.62","3,688,095.67","6,752,746.15"
销售费用,"3,921,261.31","9,650,160.18","15,564,459.51","24,412,826.03","5,483,699.88","12,061,531.27","17,104,536.25","23,318,804.60","4,509,943.95","8,847,173.11","15,510,113.03","28,311,724.74","8,383,118.61","24,654,002.47","56,771,081.64","74,136,432.66","9,015,687.50","24,424,697.52","45,295,850.21","58,447,199.60","11,301,596.44","42,786,362.86","62,169,939.27","97,497,583.92","12,837,427.46","37,586,281.43","61,189,967.49","101,572,543.39","38,931,196.77","44,761,151.77","62,359,499.21","91,876,673.33","13,182,042.62","36,971,705.86","61,608,395.55","114,757,682.11","31,218,411.16","66,077,144.89","108,780,605.52","172,625,382.91","45,968,676.73","118,135,411.13","169,701,238.61","226,551,725.26","58,222,328.97","114,807,341.06"
减:营业外支出,"16,539.80","46,539.80","59,278.28","175,641.24","1,709.70","1,105,905.86","1,738,804.16","2,563,764.27","160,383.78","3,992,227.52","4,025,393.41","7,772,884.75","178,841.79","2,242,095.69","2,565,033.52","6,025,962.05","80,052.24","276,448.78","355,522.20","13,388,674.77",910.00,"77,406.54","542,608.90","3,564,769.83","7,978.63","15,488.03","2,996,935.39","1,823,464.55","32,610.52","230,068.47","299,305.46","2,850,872.39","1,046.07","102,334.79","957,141.06","1,436,709.39","10,906.96","308,379.44","355,564.05","8,274,366.90","464,485.01","524,752.32","2,182,150.30","50,575,997.34","2,646,587.49","2,383,045.24"
管理费用,"28,238,329.33","57,839,141.87","90,214,501.97","128,027,889.23","31,105,188.90","58,174,461.16","89,659,550.77","148,785,763.35","32,002,842.62","65,409,104.08","109,580,688.22","198,155,609.72","55,795,397.93","109,620,553.34","170,170,105.85","262,965,072.85","65,059,557.81","140,010,583.33","196,362,197.12","286,789,884.13","86,635,967.17","170,565,625.37","246,941,880.15","398,953,091.43","62,671,775.08","116,840,911.98","191,699,431.26","312,146,946.36","69,913,261.13","135,746,663.01","211,853,536.00","329,162,541.28","77,923,875.13","157,495,347.88","237,731,982.39","389,857,391.76","93,058,222.09","224,719,761.40","364,334,368.05","540,713,704.86","159,927,520.00","297,498,575.72","453,606,342.26","737,377,743.83","199,341,383.16","365,400,729.89"
其中:非流动资产处置净损失,,"-77,950.90","-376,819.42",,,,"-972,617.79",,,,"3,992,400.22","7,524,408.42","99,651.39","2,159,853.65","2,210,177.06","2,844,745.53","77,029.30","265,574.12","268,696.43","574,718.47",,"76,496.54","139,698.90","3,105,728.32","2,808.50","9,659.92","2,914,753.32","1,098,239.76","31,876.12","221,709.96","214,393.92","1,875,233.60",,"10,980.81","805,949.78","1,253,509.85","4,894.66","296,545.40","296,545.40","790,420.28","294,666.89","329,601.45","1,500,394.37",,,
