科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"485,720,351.35","1,102,800,312.25","1,825,114,621.09","2,524,362,259.77","675,805,600.94","1,301,745,242.18","1,902,068,668.51","2,459,239,729.82","451,539,570.23","937,378,165.68","1,529,720,062.52","2,197,964,755.85","499,125,348.24","1,271,941,962.23","2,056,780,530.43","3,848,401,999.66","1,719,512,531.81","2,612,609,944.46","3,590,346,699.04","4,655,022,097.43","610,037,802.96","1,335,766,282.30","2,150,371,380.46","2,951,631,743.13","447,348,459.54","1,014,672,062.19","1,621,618,311.93","2,322,059,535.11","358,886,130.58","648,636,592.82","920,767,589.31","1,253,721,808.02","172,260,739.54","363,177,996.68","561,125,050.03","753,332,686.46","126,562,701.23","260,398,793.67","385,980,217.95","538,874,261.61","99,426,749.77","204,828,204.68","1,128,063,781.20","1,597,220,955.91","283,511,791.45","724,119,274.81","1,122,088,872.72","1,602,678,942.81","206,830,727.78"
二、营业利润,"9,649,374.33","17,004,608.38","16,117,850.08","39,372,848.29","7,069,887.34","5,770,112.53","-9,598,629.72","-29,807,405.18","-15,161,996.68","-6,868,176.81","-9,410,155.71","3,825,167.52","-18,187,327.85","-31,937,388.13","-3,164,979.47","126,245,404.23","335,908,376.10","351,302,582.34","326,766,927.22","277,398,542.72","-17,914,337.55","-21,216,683.82","-50,010,497.00","-120,766,992.34","-28,000,441.48","-55,033,244.36","-83,795,414.83","-114,491,180.14","-32,904,522.87","-73,732,578.93","-96,108,734.52","-251,102,731.67","-22,598,559.77","11,481,079.42","7,668,598.56","-31,544,314.52","-13,673,768.15","-45,069,205.04","-67,082,044.03","-88,602,298.11","-17,506,207.98","29,806,723.81","33,194,384.24","13,167,251.30","-5,954,306.38","56,017,458.30","91,090,753.33","66,043,993.43","-28,156,561.68"
减:营业成本,"444,033,584.51","1,006,071,842.17","1,673,475,973.76","2,332,927,736.50","623,050,825.64","1,207,640,340.20","1,774,314,068.73","2,301,777,609.88","421,023,016.41","862,377,537.02","1,405,020,245.21","2,003,507,792.33","446,879,856.07","1,146,328,853.00","1,862,474,675.36","3,383,555,305.05","1,127,179,240.68","1,942,918,389.45","2,843,838,061.45","3,804,866,846.73","554,271,602.90","1,199,949,578.32","1,950,160,913.81","2,661,263,911.10","412,700,442.81","940,809,993.85","1,509,256,899.90","2,142,454,652.97","330,566,438.96","603,355,134.04","864,540,594.27","1,168,534,703.92","161,734,453.09","334,355,878.24","508,561,756.02","679,133,688.78","115,207,075.97","240,259,176.81","357,352,169.60","489,230,828.49","85,921,475.11","177,132,668.84","951,965,017.76","1,309,657,497.87","235,983,078.97","602,533,341.63","936,387,143.96","1,375,033,116.89","199,269,742.90"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,135,482.30","5,564,331.96","8,402,075.10","6,453,260.51","7,451,701.76","9,692,837.13","11,142,758.26","11,882,901.04","1,301,746.87","2,435,223.19","3,985,478.90","4,969,551.09","1,553,135.89","3,348,565.10","5,369,338.20","69,392,547.16","185,917,045.64","198,009,862.20","209,698,953.11","227,479,428.45","5,128,964.73","16,520,517.89","20,815,397.38","19,747,161.79","2,594,769.29","5,370,239.51","8,307,922.22","13,698,005.63","2,150,628.57","3,991,087.98","5,875,298.74","7,380,596.87","1,491,001.74","3,065,219.58","4,939,038.77","6,242,639.30","1,193,356.27","2,183,623.93","3,165,403.19","9,092,358.36","1,639,483.63","5,357,777.52","11,749,484.80","15,842,734.73","3,025,096.49","6,546,586.78","11,860,670.83","17,658,792.96","1,846,487.43"
营业外收入,"971,178.49","75,080,346.44","84,381,962.51","88,963,753.57","2,164,301.63","12,411,130.53","19,030,441.07","37,217,009.85","1,880,917.36","8,848,933.87","11,144,857.76","19,364,861.31","1,974,904.44","3,942,111.57","6,399,011.70","8,246,125.07","7,368,211.87","45,527,053.69","48,608,060.19","53,339,838.35","3,460,759.16","6,178,880.54","8,449,872.59","15,761,310.90","1,859,128.62","40,658,377.39","44,568,162.88","181,005,746.99","2,218,239.14","4,471,003.70","11,110,423.84","37,476,316.67","1,797,129.07","4,225,793.13","7,136,332.49","73,770,682.85","2,566,616.83","4,913,296.40","7,169,655.55","59,242,517.40","2,678,260.83","4,030,897.57","15,003,585.00","4,453,704.09","546,835.40","1,542,281.49","1,904,879.36","2,207,560.71","55,776.38"
销售费用,"10,251,723.34","27,404,750.17","48,357,963.30","68,344,560.46","13,897,129.89","30,473,887.09","47,181,390.09","69,387,099.01","19,640,168.24","42,285,677.37","63,539,514.21","96,889,892.21","31,665,813.20","62,508,002.50","96,053,687.03","144,912,848.85","31,756,497.70","62,873,859.19","104,940,115.74","164,008,942.01","32,699,665.04","70,929,342.48","114,778,516.22","185,427,721.71","31,380,842.76","59,869,549.77","88,506,118.55","130,150,452.11","24,514,074.27","47,226,618.57","67,762,921.55","98,186,376.07","11,653,321.82","25,949,961.64","37,098,412.27","52,423,882.95","8,565,002.05","18,348,373.81","28,255,694.15","44,340,779.55","9,592,954.64","18,577,519.72","40,399,973.00","55,802,653.08","11,083,644.00","24,469,181.84","41,119,057.42","52,090,117.66","6,272,436.87"
减:营业外支出,"211,345.24","940,036.97","1,895,803.24","1,903,207.97","917,992.70","1,688,820.22","2,401,851.55","1,682,370.05","622,345.38","1,308,954.78","2,134,755.71","2,274,616.09","692,016.95","2,528,495.09","3,857,300.92","3,848,122.91","4,002,637.66","5,566,082.68","8,098,952.01","9,768,762.15","1,344,284.42","2,184,155.08","3,873,319.37","3,273,601.18","716,026.66","1,641,712.99","4,677,115.90","33,375,900.71","584,418.81","3,805,675.60","9,096,154.91","41,033,308.53","160,569.07","532,571.84","789,327.42","3,009,209.61","2,531,920.73","12,713,775.91","20,931,789.19","26,774,614.86",530.36,"3,608,863.24","4,983,611.95","1,045,376.73","97,440.30","1,070,746.66","1,248,472.05","1,814,688.98","1,082,351.13"
管理费用,"16,244,791.35","32,045,463.47","50,860,706.88","69,102,170.12","21,319,196.09","36,498,028.20","56,890,439.96","74,788,257.68","20,502,607.68","46,694,502.97","68,848,727.87","92,579,949.04","27,837,752.96","57,328,571.82","89,906,928.92","128,414,661.45","31,384,560.15","66,393,718.03","102,772,882.63","153,083,594.45","28,793,234.81","61,178,250.33","93,299,447.71","143,278,209.97","28,820,107.55","61,325,261.94","91,858,470.13","127,686,578.78","26,501,053.89","53,853,827.14","81,762,368.11","123,088,028.02","18,545,320.65","39,996,408.06","59,363,332.42","84,805,154.14","16,601,486.31","53,970,567.24","74,550,924.15","78,609,634.34","20,733,574.73","52,192,397.73","133,710,814.35","177,788,304.83","37,159,125.42","81,552,319.51","96,098,250.69","136,897,429.07","24,547,237.24"
其中:非流动资产处置净损失,"6,513.89",,,"1,012,555.18",,,,"392,583.17",,,,"773,935.22",,"869,126.54",,"495,139.47",,,,"1,217,278.64",,"104,561.34",,"915,048.02",,"520,811.18",,"30,446,553.18",,,,"39,581,475.32",,,,"1,994,194.42",,,,"24,672,834.38",,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"8,706,093.95","25,430,024.29","42,178,382.95","31,594,582.46","7,101,596.16","13,774,331.44","25,147,475.06","28,128,307.37","9,003,117.41","17,934,851.74","26,169,630.85","30,336,293.47","7,331,919.98","14,693,321.82","18,556,773.16","12,569,851.40","9,365,150.38","2,382,493.35","8,701,350.09","15,131,222.92","17,464,699.64","31,549,360.10","46,346,930.11","60,316,710.00","17,934,212.15","36,729,460.57","53,449,663.45","66,411,145.35","15,637,496.01","30,670,818.87","46,664,483.99","55,578,343.71","10,348,557.02","15,735,429.39","22,262,450.87","24,098,580.44","5,286,977.04","9,107,040.07","12,478,862.08","13,547,254.93","2,955,706.96","5,120,000.36","14,032,790.46","17,590,407.13","3,376,750.22","6,608,974.52","8,561,522.70","7,991,071.32","2,766,968.89"
