科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"64,900,953.68","103,241,768.70","118,802,175.14","147,980,230.47","112,401,822.44","93,983,885.79","106,061,890.41","144,668,943.54","129,405,757.79","238,891,098.28","420,452,601.49","413,574,305.18","384,201,377.63","301,815,583.71","277,685,378.96","251,472,282.39","174,788,793.68","179,954,158.52","193,076,455.98","309,265,367.29","293,384,469.31","240,908,401.19","233,986,412.74","182,125,614.25","222,589,890.28","193,418,730.67","185,689,233.04","297,053,475.98","152,411,923.76","190,585,610.03","130,795,764.62","166,755,544.72","80,831,257.62","156,162,072.50","150,296,981.46","937,914,596.19","414,352,240.55","328,757,386.32","218,307,178.03","243,608,688.91","194,741,969.35","99,687,373.29","85,736,504.33","100,286,697.50"
短期借款,"115,203,989.67","152,946,137.21","150,846,137.21","133,280,000.00","133,280,000.00","86,100,000.00","91,100,000.00","102,000,000.00","112,000,000.00","230,100,000.00","210,100,000.00","217,100,000.00","217,100,000.00","107,900,000.00","114,100,000.00","111,100,000.00","111,100,000.00","148,380,000.00","166,360,000.00","184,860,000.00","244,860,000.00","236,750,000.00","241,750,000.00","276,750,000.00","386,750,000.00","402,000,000.00","412,000,000.00","497,000,000.00","432,000,000.00","522,000,000.00","559,160,000.00","583,200,000.00","600,240,000.00","656,690,000.00","654,480,000.00","568,880,000.00","320,280,000.00","342,580,000.00","336,900,000.00","456,400,000.00","481,800,000.00","511,500,000.00","409,900,000.00","468,700,000.00"
交易性金融资产,,"11,000,000.00","11,100,000.00","12,545,500.00","10,366,400.00","10,023,200.00","9,164,100.00",,,,,,,,,"6,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"20,181,000.00","37,086,064.00","17,742,667.00","19,163,600.00","20,905,161.51","33,100,329.45","15,465,860.00","21,696,053.92","20,945,679.05","28,973,875.49","38,512,104.19","70,534,298.63","61,948,523.79","53,310,352.83","69,235,539.21","51,121,539.47","42,367,806.33","62,590,929.46","62,279,518.53","89,951,934.08","61,792,937.00","46,509,611.71","64,895,430.87","67,484,890.70","51,100,550.00","45,723,550.00","40,184,760.82","33,408,523.70","24,633,432.71","27,238,547.00","14,307,810.00","14,957,458.29","14,745,458.58","16,654,976.80","11,079,390.00","11,149,756.51","12,525,552.20","21,513,606.88","19,380,150.01","20,377,720.00","14,094,000.00","10,595,850.99","21,763,683.14","20,903,223.81"
应付票据,"17,920,000.00","18,300,000.00","11,850,000.00","18,580,000.00","22,380,000.00","16,760,000.00","13,560,000.00","17,550,000.00","15,650,000.00","7,400,000.00","7,400,000.00",,"3,100,000.00","10,600,000.00","9,515,000.00","6,850,000.00","4,336,000.00","4,900,000.00","4,900,000.00","1,303,017.80","3,752,837.90","2,777,880.00",,,,,"2,000,000.00","2,000,000.00",,,"5,000,000.00","5,000,000.00","9,600,000.00","9,600,000.00",,,"11,640,758.16","17,050,526.71","5,459,768.55","5,050,000.00","5,050,000.00","6,469,640.94","3,382,112.99","2,264,572.05"
应收账款,"190,380,366.31","187,895,095.73","189,434,833.19","184,989,445.79","202,693,738.87","204,019,407.80","246,126,606.97","238,999,391.28","244,307,558.83","246,032,754.23","273,476,263.58","243,284,847.16","254,831,257.49","266,927,044.85","293,379,502.06","259,155,549.05","325,287,448.04","361,536,392.68","381,191,607.36","344,256,546.54","391,517,334.62","364,283,844.58","392,559,856.23","363,784,954.12","368,787,231.19","396,347,218.72","445,034,516.24","414,565,467.91","461,792,138.56","484,348,090.03","484,636,389.59","546,121,168.71","547,250,069.70","582,364,197.87","636,651,812.76","597,906,612.11","605,939,131.04","663,004,131.40","607,419,445.92","682,602,117.21","801,373,871.81","804,424,070.05","763,063,208.92","635,013,629.69"
应付账款,"136,022,202.46","142,513,285.98","142,262,301.34","183,245,451.66","142,130,921.73","173,988,979.81","200,854,245.65","188,724,242.36","174,106,688.15","196,502,574.71","211,490,723.90","209,882,177.10","203,203,977.42","215,530,043.09","189,067,195.96","214,744,530.14","249,757,648.47","251,419,550.81","259,904,929.92","262,197,188.01","285,201,043.88","276,756,430.89","291,661,981.36","285,629,323.63","273,193,174.18","313,370,032.56","296,503,569.86","280,295,664.65","295,092,059.53","291,645,236.65","296,146,489.35","284,757,812.99","281,448,724.46","301,477,649.31","313,309,688.61","289,167,531.32","223,791,448.57","258,904,191.44","270,218,201.46","284,678,168.74","256,912,030.77","269,776,707.73","349,752,272.44","327,635,161.79"
预付款项,"43,310,446.80","39,077,241.75","52,306,535.91","34,889,457.30","34,964,010.41","36,515,887.20","60,459,811.65","63,804,813.64","56,927,669.39","33,339,380.32","57,856,112.94","77,958,230.78","71,654,612.71","66,074,884.15","95,884,998.51","85,187,940.03","130,791,694.76","91,410,181.27","151,752,357.92","155,083,029.24","166,798,457.68","182,807,371.08","156,731,075.70","88,802,659.41","108,605,321.35","113,232,374.47","93,669,262.25","66,490,241.31","48,042,092.63","69,281,408.78","112,916,508.59","139,139,340.53","215,010,667.80","174,048,794.76","185,834,782.52","195,614,959.62","272,987,601.11","250,801,302.02","319,750,910.32","80,183,949.84","93,844,734.07","126,774,428.32","146,819,376.12","102,118,643.12"
预收款项,"162,230,953.04","203,034,714.44","231,008,565.16","217,254,110.88","220,498,132.21","212,280,065.07","254,799,993.04","195,576,466.84","200,272,044.77","161,464,377.81","158,037,932.86","113,895,054.69","120,716,617.62","128,932,885.18","138,024,196.48","120,957,005.02","150,579,505.88","158,062,662.49","157,585,338.55","184,179,856.88","177,726,206.29","119,450,175.52","100,856,894.99","107,330,864.98","85,438,147.11","109,623,422.37","81,266,936.18","76,452,403.62","55,641,653.38","62,358,563.07","81,663,291.99","54,375,208.92","53,794,530.68","58,740,681.80","56,899,035.12","49,765,114.88","44,148,867.23","42,737,489.72","49,652,271.45","72,869,360.98","80,844,743.79","49,167,150.75","63,979,685.32","59,600,978.01"
