科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,155,267,021.03","1,996,805,038.40","2,806,931,096.20","3,776,629,742.30","1,050,645,378.56","1,598,862,161.44","2,461,998,352.42","3,656,733,016.01","1,031,031,590.40","1,434,506,000.12","2,343,837,558.32","3,944,975,012.04","1,389,707,865.97","2,802,211,445.87","3,899,128,027.83","5,245,882,786.24","1,638,615,482.66","2,911,826,449.47","4,511,349,524.13","6,160,372,856.30","1,597,200,304.91","3,075,555,946.42","4,841,627,616.58","5,791,274,393.09","1,697,868,063.37","2,672,989,567.73","4,262,608,794.86","5,251,643,042.93","1,451,668,923.43","2,642,854,941.15","4,059,347,514.16","5,187,561,416.11","1,366,152,439.67","2,626,859,339.10","3,485,325,998.67","4,386,443,970.89","1,117,644,969.68","2,683,295,161.02","3,559,639,697.25","4,582,355,452.73","1,595,430,253.76","2,930,181,721.49","3,918,109,362.19","4,934,310,281.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"50,000,000.00","196,000,000.00","196,000,000.00","262,313,542.93",,"180,000,000.00","186,500,000.00",,,,,"373,495,280.86",,,,,,"6,000,000.00","6,000,000.00","29,593,818.08",,,,"76,877,194.16",,,,,,,,,,,,
收到的税费返还,"127,200.00","1,094,800.00","1,097,850.72","127,200.00",,,"935,146.34","668,187.28","52,421.80","747,954.12","1,639,380.09",,,"778,729.61","1,511,904.61",,,,,,"3,739.03","59,325.22","333,755.50","2,036,307.00","2,683.60",,"12,729.16",,"1,349,417.47",,"91,848.72",,"2,446,432.96","7,293,470.68","3,878,323.36","4,653,832.44","15,235.11","1,023,455.72","1,879,694.89","3,030,090.62","898,830.40","1,732,393.00","5,410,398.41","3,473,768.33"
支付其他与投资活动有关的现金,,,,,"144,797.64","966,195.14","966,195.14","39,975,000.00",,"980,000.00","980,000.00","60,000,000.00",,"50,000,000.00","70,000,000.00","1,000,000.00",,,,"5,990,000.00",,,,"116,203,000.00",,,,"66,674,405.56",,,,"68,271,049.39",,,,"100,000,000.00",,,,"123,000,000.00",,"60,000,000.00","176,000,000.00","256,648,722.22"
收到其他与经营活动有关的现金,"2,578,648.18","7,236,213.20","8,224,529.22","24,277,789.93","2,078,159.48","6,882,329.82","10,333,642.97","31,678,132.47","4,822,397.56","49,233,428.43","69,290,192.01","67,447,852.25","19,074,805.62","19,558,562.76","40,787,687.65","71,701,183.52","5,198,598.86","8,552,193.64","20,767,711.27","53,465,814.92","10,062,730.49","17,388,190.86","29,885,266.86","83,679,954.50","8,257,756.06","12,043,850.65","50,952,939.24","100,584,207.66","4,529,375.52","21,847,097.50","46,120,898.49","55,175,179.40","12,872,355.61","14,508,703.86","26,359,969.00","97,298,982.08","19,908,895.56","9,457,488.90","14,442,862.59","115,402,839.37","5,110,099.79","23,626,168.19","31,652,361.95","62,434,015.01"
投资活动现金流出小计,"44,310,152.13","75,103,465.45","152,315,957.98","231,201,020.36","58,213,174.59","108,341,161.46","191,682,845.42","517,696,118.70","322,380,675.94","417,773,089.51","597,562,861.43","773,525,241.34","173,757,324.36","553,049,861.91","814,671,966.08","901,303,878.93","123,454,552.42","390,366,220.99","613,309,575.17","841,273,776.41","52,871,232.39","108,713,833.92","407,785,584.47","688,459,502.57","85,278,011.18","162,284,411.92","276,755,758.91","776,533,360.65","118,760,397.36","178,744,456.52","228,722,804.39","591,427,548.80","202,237,330.55","661,821,325.91","892,031,270.22","431,736,708.84","305,579,672.62","660,193,640.90","967,640,585.50","788,243,021.94","251,041,933.78","768,803,279.85","1,111,103,334.88","718,749,445.49"
经营活动现金流入小计,"1,157,972,869.21","2,005,136,051.60","2,816,253,476.14","3,801,034,732.23","1,052,723,538.04","1,605,744,491.26","2,473,267,141.73","3,689,079,335.76","1,035,906,409.76","1,484,487,382.67","2,414,767,130.42","4,012,422,864.29","1,408,782,671.59","2,822,548,738.24","3,941,427,620.09","5,317,583,969.76","1,643,814,081.52","2,920,378,643.11","4,532,117,235.40","6,213,838,671.22","1,607,266,774.43","3,093,003,462.50","4,871,846,638.94","5,876,990,654.59","1,706,128,503.03","2,685,033,418.38","4,313,574,463.26","5,352,227,250.59","1,457,547,716.42","2,664,702,038.65","4,105,560,261.37","5,242,736,595.51","1,381,471,228.24","2,648,661,513.64","3,515,564,291.03","4,488,396,785.41","1,137,569,100.35","2,693,776,105.64","3,575,962,254.73","4,700,788,382.72","1,601,439,183.95","2,955,540,282.68","3,955,172,122.55","5,000,218,064.74"
投资活动产生的现金流量净额,"-44,127,257.13","-71,025,753.30","-147,402,619.67","-127,925,516.13","-46,686,883.97","-89,369,615.49","-168,348,149.25","-359,414,365.41","5,016,604.71","-145,086,646.83","223,566,731.18","231,095,199.60","-162,461,957.62","-345,456,803.95","-500,035,216.37","-651,715,221.92","-52,017,717.72","-208,165,015.05","-449,377,638.08","-612,693,430.08","-50,863,595.40","-98,157,876.07","-392,704,446.71","-608,609,617.19","367,718,133.46","431,193,924.94","1,138,599,248.49","1,005,874,749.15","-113,779,470.36","-155,556,957.52","-133,913,450.27","-419,599,453.58","48,916,885.20","-55,232,237.16","-208,191,477.33","-212,577,365.74","-80,589,813.44","-145,526,785.11","-481,353,178.32","-220,949,496.46","609,677,737.82","526,777,738.07","350,534,273.90","887,585,771.55"
购买商品、接受劳务支付的现金,"1,064,089,776.40","1,656,373,564.23","2,356,728,456.65","3,189,515,678.60","1,003,920,199.59","1,337,930,692.85","2,164,871,521.06","3,067,014,786.30","1,148,718,814.57","1,092,922,247.00","1,831,483,793.09","3,085,169,825.04","1,172,893,920.94","2,172,465,354.18","2,950,703,079.09","3,638,709,883.87","1,138,666,931.84","1,843,795,300.38","3,348,388,987.67","4,588,267,607.21","1,216,126,251.87","2,008,861,149.34","3,809,613,541.42","4,088,920,380.51","1,372,275,774.34","1,991,089,398.00","3,317,312,428.91","3,080,932,021.67","839,813,184.59","2,107,842,269.43","2,875,182,646.12","3,576,439,603.28","952,120,515.31","1,893,453,193.86","2,013,790,770.42","3,096,325,734.49","769,958,392.16","2,003,309,602.98","2,144,942,442.27","3,306,346,749.18","1,354,707,188.92","2,569,732,092.86","3,351,833,468.57","3,578,265,750.13"
吸收投资收到的现金,,"490,000.00","490,000.00","8,090,000.00",,"682,238,620.40","683,563,020.40","682,283,020.40",,,"6,150,000.00","21,100,000.00","4,000,000.00","4,000,000.00","4,000,000.00","6,700,000.00",,"6,000,000.00","6,000,000.00","9,000,000.00",,"343,000,000.00","210,000,000.00","210,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,"174,000.00","174,000.00",
