科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,082,016,007.86","2,745,126,271.10","4,655,450,904.30","6,740,591,619.13","1,436,814,487.34","4,125,488,700.52","5,904,182,037.27","7,112,603,025.25","1,034,330,266.14","2,729,036,620.90","4,488,271,346.90","6,727,383,742.47","1,640,033,797.62","3,405,393,713.58","5,012,542,775.48","7,979,103,603.70","2,357,242,783.34","5,259,460,832.71","8,084,185,007.93","11,278,537,897.10","2,228,792,219.54","4,699,691,556.16","7,746,026,564.47","10,798,984,727.96","2,498,738,898.43","4,598,335,541.51","7,600,617,543.92","11,534,868,239.65","2,542,306,435.26","4,606,978,459.79","7,288,483,330.50","10,232,987,198.12","2,346,069,127.39","5,641,051,081.74","8,529,920,533.81","11,393,876,708.69","2,272,990,540.78","4,975,223,427.05","8,178,955,434.09","12,035,807,404.97","3,402,312,054.33","7,564,108,363.93","12,549,579,588.11","16,545,347,068.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"715,685.73","987,911.86","1,287,623.91","2,826,896.49","73,170.81","343,920.78","343,920.78","726,670.78","250,833.32","250,833.32","251,280.26","250,833.32","537,780.61","744,995.67","893,517.99","1,541,132.80",,"188,797.21","188,797.21","721,871.51","188,534.12","239,164.86","482,721.24","545,002.90",,,"65,609.86","316,942.12","198,043.47","492,304.89","535,207.64","2,801,493.30","143,994.51","345,244.51","652,365.71","829,065.44","1,903,735.57","11,242,930.19","41,600,762.99","55,907,984.45","20,369,747.34","51,374,321.69","76,091,918.94","105,801,757.09"
支付其他与投资活动有关的现金,,,"104,000,000.00","184,000,000.00","27,494,000.00","27,494,000.00","27,494,000.00","122,226,401.10","158,476.56","1,012,075.67","5,954,917.16",,"2,033,097.71","7,570,243.57","38,195,038.97","9,551,452.55","2,000,000.00","42,740,154.85","35,609,519.16","48,176,200.00","21,145,600.00","22,027,389.40","24,472,200.00","25,021,990.53","22,320,000.00","4,580,320.00","20,963,000.00","28,960,000.00","26,155,000.00","47,614,810.00","47,752,000.00","97,285,500.00","11,020,000.00","4,680,000.00","43,830,000.00","328,350,795.00","6,900,000.00","3,336,832.00","5,100,000.00","583,520,000.00","65,500,000.00","378,413,000.00","629,234,000.00","1,093,596,000.00"
收到其他与经营活动有关的现金,"6,053,177.88","9,283,246.71","15,527,381.83","16,028,808.11","5,371,875.84","10,376,788.02","14,188,888.18","61,352,118.05","9,688,389.57","42,959,268.95","61,673,121.47","76,198,524.89","37,507,491.06","48,785,535.70","57,290,454.35","118,173,836.73","19,650,180.64","16,748,912.93","22,864,272.35","99,925,458.19","24,454,880.31","66,771,900.29","111,256,433.30","153,612,424.58","8,315,915.24","70,661,481.72","111,824,450.11","148,436,117.91","15,615,020.57","69,306,067.32","72,475,392.68","198,774,160.09","7,861,284.45","81,483,753.76","94,471,213.87","207,413,827.83","3,427,964.96","34,457,801.88","37,756,108.29","53,170,285.22","5,751,864.35","14,618,492.73","21,534,187.44","34,575,853.10"
投资活动现金流出小计,"33,393,066.23","177,506,144.47","366,577,249.20","523,765,285.64","174,946,697.90","417,244,231.93","678,416,900.31","1,080,735,150.79","207,332,398.48","470,279,887.55","874,362,548.40","1,500,944,502.06","234,876,962.58","1,013,084,244.20","2,427,474,416.36","2,806,628,784.62","636,927,444.93","914,774,386.12","1,438,595,323.74","1,937,457,229.23","232,842,388.90","496,480,036.26","541,359,416.66","897,386,936.20","167,948,648.61","333,485,384.59","440,886,049.60","531,809,241.39","112,546,758.33","192,894,571.89","263,552,517.00","575,636,176.91","138,799,650.54","150,860,336.93","247,343,102.22","716,104,321.36","83,115,898.39","108,506,240.53","152,153,793.94","795,881,635.15","108,458,648.29","456,572,605.81","819,390,675.67","1,395,759,562.85"
经营活动现金流入小计,"1,088,784,871.47","2,755,397,429.67","4,672,265,910.04","6,759,447,323.73","1,442,259,533.99","4,136,209,409.32","5,918,714,846.23","7,174,681,814.08","1,044,269,489.03","2,772,246,723.17","4,550,195,748.63","6,803,833,100.68","1,678,079,069.29","3,454,924,244.95","5,070,726,747.82","8,098,818,573.23","2,376,892,963.98","5,276,398,542.85","8,107,238,077.49","11,379,185,226.80","2,253,435,633.97","4,766,702,621.31","7,857,765,719.01","10,953,142,155.44","2,507,054,813.67","4,668,997,023.23","7,712,507,603.89","11,683,621,299.68","2,558,119,499.30","4,676,776,832.00","7,361,493,930.82","10,434,562,851.51","2,354,074,406.35","5,722,880,080.01","8,625,044,113.39","11,602,119,601.96","2,278,322,241.31","5,020,924,159.12","8,258,312,305.37","12,144,885,674.64","3,428,433,666.02","7,630,101,178.35","12,647,205,694.49","16,685,724,678.43"
投资活动产生的现金流量净额,"-11,683,066.23","-154,504,016.11","-343,575,120.84","-501,240,685.67","-174,646,697.90","-408,862,549.95","-629,961,858.33","-905,189,240.78","-107,332,398.48","-293,969,506.19","-698,052,167.04","-955,752,720.00","-233,739,356.18","-1,003,853,080.40","-2,403,305,236.38","-2,771,198,048.08","-628,246,494.93","-882,116,164.60","-1,373,778,789.71","-1,829,422,633.60","-192,030,227.25","-447,262,641.37","-483,828,619.80","-790,530,936.03","-159,196,463.00","-324,341,677.25","-426,376,378.81","-488,768,510.03","-107,819,770.63","-171,617,903.46","-237,173,372.04","-465,579,545.55","-99,828,498.85","-56,091,682.11","-137,250,932.17","-659,550,766.63","-44,861,620.89","278,187,736.39","251,062,858.15","69,806,465.96","13,531,777.98","-49,048,917.34","-114,535,929.23","-312,078,123.16"
购买商品、接受劳务支付的现金,"1,061,290,538.57","2,092,381,846.84","3,384,196,002.25","5,014,580,478.40","1,097,406,676.26","2,788,994,864.39","4,541,492,301.92","5,837,572,994.11","755,293,538.23","2,220,157,581.24","3,608,814,163.68","5,168,542,121.95","1,378,809,134.24","2,981,973,535.63","4,458,960,719.05","7,107,092,135.04","1,998,250,414.83","4,385,648,654.59","7,035,315,172.35","9,563,705,783.25","1,936,967,596.56","3,890,981,159.40","6,529,203,129.26","8,741,851,268.48","1,980,178,144.46","4,030,975,585.30","6,695,698,493.22","8,820,281,717.68","2,047,619,073.52","3,676,891,242.79","6,066,929,290.56","8,156,497,065.90","1,872,355,566.90","4,366,889,907.22","6,482,993,561.09","8,532,656,482.08","1,792,033,085.83","4,166,279,676.93","6,410,268,959.25","8,998,317,830.06","2,819,619,435.97","5,911,166,305.40","9,189,453,461.37","12,346,590,058.97"
吸收投资收到的现金,,,,"40,000,000.00",,,,"24,000,000.00",,,"1,256,000,000.00","1,280,000,000.00",,,"12,000,000.00","24,000,000.00",,"35,294,117.64","35,294,117.64","35,294,117.64",,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"49,022,959.36","102,043,326.16","167,929,420.25","199,605,290.06","63,670,619.46","113,628,121.06","185,274,372.87","228,134,238.82","50,708,881.22","103,470,354.35","169,885,702.17","224,900,424.46","94,352,840.71","149,622,547.65","211,560,867.83","278,823,372.68","64,551,495.87","158,934,994.96","261,635,425.23","333,469,056.10","97,077,264.84","159,922,417.19","239,646,987.80","300,526,979.16","86,701,500.09","181,661,619.48","284,749,361.03","375,699,331.78","86,630,390.56","194,354,262.25","293,749,240.37","381,384,412.31","104,829,887.90","206,951,248.77","301,353,975.18","402,336,505.94","110,712,566.30","230,489,133.13","340,041,131.03","459,322,942.88","135,271,722.97","235,157,726.00","371,950,928.35","515,247,743.19"
取得借款收到的现金,"870,531,400.00","1,489,006,900.00","2,044,666,900.00","2,729,666,000.00","890,526,081.82","1,247,421,028.92","1,617,699,717.11","3,003,343,444.05","1,248,584,912.79","2,783,091,064.79","3,895,455,687.73","6,140,983,262.51","1,470,399,399.02","3,443,271,884.54","6,354,548,730.08","6,756,717,895.88","1,405,327,377.97","4,130,956,489.83","5,003,937,539.82","6,352,488,932.15","930,113,964.19","2,998,846,061.64","4,024,498,114.72","4,394,596,005.83","805,261,142.16","3,083,223,735.54","4,254,428,450.47","5,300,949,123.80","859,565,084.50","3,600,142,477.74","4,331,276,474.28","6,689,661,171.87","992,743,931.47","2,781,653,621.26","3,987,417,715.42","5,654,908,142.70","1,400,437,020.12","3,273,656,469.28","3,584,067,048.90","4,462,239,014.06","928,000,000.00","2,387,494,214.10","2,497,369,830.91","3,591,369,830.91"
支付的各项税费,"77,886,722.69","223,799,540.69","385,449,919.17","513,733,704.28","104,115,894.43","267,191,230.29","387,530,485.46","463,338,629.83","30,593,688.36","107,931,482.31","208,615,370.18","371,259,449.84","75,906,501.49","221,624,832.75","278,422,489.59","307,100,476.98","57,580,676.17","116,915,945.58","178,407,560.30","230,979,807.34","85,859,534.32","169,991,833.32","258,811,189.98","291,897,186.92","135,843,368.63","290,864,897.88","397,417,271.14","568,729,027.30","88,267,978.12","211,234,518.62","297,471,865.04","417,690,879.42","132,920,467.74","230,008,594.57","350,028,724.53","557,387,519.02","110,718,681.09","238,377,932.69","368,764,135.49","523,055,550.55","199,525,384.61","391,218,994.36","580,133,232.43","823,411,335.49"
收到其他与筹资活动有关的现金,"1,095,730.81","2,548,318.21","3,614,687.85","3,699,122.42","4,601,881.07","5,865,238.40","11,254,069.21","12,158,247.73","7,208,278.15","9,422,162.18","16,060,571.63","13,539,267.37","1,839,847.20","3,682,348.79","15,299,993.47","809,227,102.84","1,281,091.84","271,724,626.17","504,272,162.24","709,963,741.35","2,904,583.73","15,648,870.14","17,707,115.52","19,504,237.60","1,360,286.78","8,590,992.45","3,667,542.62","6,454,439.89","3,283,210.87","10,650,248.19","415,032,045.65","10,786,233.38","282,000,000.00","282,000,000.00","282,203,020.78","496,104,083.30","704,335,064.32","420,320,000.00","429,530,278.75","927,227,975.66","82,569,508.39","374,245,265.33","374,249,926.29","387,085,322.28"
支付其他与经营活动有关的现金,"5,067,149.90","12,972,969.10","22,182,605.78","24,990,909.61","13,656,984.54","16,891,508.39","22,966,561.81","30,072,414.74","9,760,378.80","17,200,071.84","32,421,745.50","42,388,884.61","19,175,314.62","15,633,884.59","25,125,244.60","90,281,176.62","8,343,430.97","14,331,405.32","17,780,354.18","159,179,622.17","10,256,530.06","17,337,177.30","39,775,057.26","189,637,743.62","15,417,466.46","21,068,589.04","25,747,305.42","222,005,046.40","18,429,857.86","17,579,538.33","30,130,932.07","265,961,656.26","88,273,530.58","186,167,656.35","212,095,315.42","274,979,872.36","84,905,826.19","146,514,496.10","248,233,072.17","373,524,365.60","101,652,213.93","183,102,447.28","321,533,530.18","651,513,094.71"
筹资活动现金流入小计,"871,627,130.81","1,491,555,218.21","2,048,281,587.85","2,773,365,122.42","895,127,962.89","1,253,286,267.32","1,628,953,786.32","3,039,501,691.78","1,255,793,190.94","2,792,513,226.97","5,167,516,259.36","7,434,522,529.88","1,472,239,246.22","3,446,954,233.33","6,381,848,723.55","7,589,944,998.72","1,406,608,469.81","4,437,975,233.64","5,543,503,819.70","7,097,746,791.14","933,018,547.92","3,014,494,931.78","4,042,205,230.24","4,414,100,243.43","806,621,428.94","3,091,814,727.99","4,258,095,993.09","5,307,403,563.69","862,848,295.37","3,610,792,725.93","4,746,308,519.93","6,700,447,405.25","1,274,743,931.47","3,063,653,621.26","4,269,620,736.20","6,151,012,226.00","2,104,772,084.44","3,693,976,469.28","4,013,597,327.65","5,389,466,989.72","1,010,569,508.39","2,761,739,479.43","2,871,619,757.20","3,978,455,153.19"
经营活动现金流出小计,"1,193,267,370.52","2,431,197,682.79","3,959,757,947.45","5,752,910,382.35","1,278,850,174.69","3,186,705,724.13","5,137,263,722.06","6,559,118,277.50","846,356,486.61","2,448,759,489.74","4,019,736,981.53","5,807,090,880.86","1,568,243,791.06","3,368,854,800.62","4,974,069,321.07","7,783,297,161.32","2,128,726,017.84","4,675,831,000.45","7,493,138,512.06","10,287,334,268.86","2,130,160,925.78","4,238,232,587.21","7,067,436,364.30","9,523,913,178.18","2,218,140,479.64","4,524,570,691.70","7,403,612,430.81","9,986,715,123.16","2,240,947,300.06","4,100,059,561.99","6,688,281,328.04","9,221,534,013.89","2,198,379,453.12","4,990,017,406.91","7,346,471,576.22","9,767,360,379.40","2,098,370,159.41","4,781,661,238.85","7,367,307,297.94","10,354,220,689.09","3,256,068,757.48","6,720,645,473.04","10,463,071,152.33","14,336,762,232.36"
偿还债务支付的现金,"981,553,817.05","1,781,490,522.08","2,218,030,522.08","2,680,340,522.08","679,043,300.00","1,189,437,128.47","1,578,523,014.18","2,502,201,236.10","978,208,761.65","2,601,895,716.71","3,420,857,407.46","6,719,669,786.84","1,625,631,640.84","2,650,150,523.71","4,198,655,644.73","4,738,362,149.10","1,002,950,984.99","2,894,363,964.57","3,926,351,293.99","5,099,554,519.19","1,207,727,986.25","3,382,038,170.58","4,374,697,171.26","4,950,542,991.26","528,994,116.00","2,319,357,368.32","3,896,234,592.94","5,520,675,351.99","1,196,132,862.37","3,036,840,907.71","4,105,354,660.45","5,759,056,392.94","1,133,546,483.38","3,298,539,260.03","4,523,325,107.28","6,593,343,505.25","1,472,139,673.52","3,723,437,443.16","4,468,327,003.29","6,099,794,212.11","751,478,973.52","2,165,436,965.42","3,691,130,204.24","4,957,137,007.36"
经营活动产生的现金流量净额,"-104,482,499.05","324,199,746.88","712,507,962.59","1,006,536,941.38","163,409,359.30","949,503,685.19","781,451,124.17","615,563,536.58","197,913,002.42","323,487,233.43","530,458,767.10","996,742,219.82","109,835,278.23","86,069,444.33","96,657,426.75","315,521,411.91","248,166,946.14","600,567,542.40","614,099,565.43","1,091,850,957.94","123,274,708.19","528,470,034.10","790,329,354.71","1,429,228,977.26","288,914,334.03","144,426,331.53","308,895,173.08","1,696,906,176.52","317,172,199.24","576,717,270.01","673,212,602.78","1,213,028,837.62","155,694,953.23","732,862,673.10","1,278,572,537.17","1,834,759,222.56","179,952,081.90","239,262,920.27","891,005,007.43","1,790,664,985.55","172,364,908.54","909,455,705.31","2,184,134,542.16","2,348,962,446.07"
分配股利、利润或偿还利息支付的现金,"40,408,542.50","120,460,357.63","281,917,751.80","339,794,347.55","77,863,532.13","143,243,521.30","360,250,643.77","433,305,728.00","49,274,765.23","129,250,547.39","199,376,897.37","280,196,592.65","55,936,005.17","119,045,170.69","260,929,213.08","356,902,909.45","78,152,109.94","210,045,859.71","332,900,287.94","458,642,363.57","115,848,400.80","298,136,887.34","419,018,312.65","616,513,337.54","108,182,344.55","235,942,217.31","307,340,863.40","502,835,699.22","109,114,074.97","214,696,179.45","369,161,995.29","576,945,010.54","91,104,945.78","201,834,319.14","313,738,068.38","418,427,050.32","66,877,901.68","163,324,232.03","253,940,784.27","330,708,399.13","66,951,044.64","190,268,326.01","253,197,287.89","325,498,662.39"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,"786,498.19",,,,"33,000,000.00",,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,278,683.50","4,701,011.81","5,263,712.02","9,758,747.68","1,422,269.22","1,879,192.37","3,032,473.57","3,803,474.15","858,087.20","1,244,352.46","2,949,122.54","6,288,334.28","782,391.79","2,287,691.61","45,993,196.22","49,894,630.28","11,981,253.69","262,281,609.69","347,193,095.89","176,511,821.72","94,988,653.36","201,509,009.07","296,362,381.11","400,926,701.48","134,682,666.03","198,168,409.68","314,098,315.14","397,365,773.39","93,305,641.01","201,115,217.19","294,762,926.08","1,072,725,779.46","277,197,964.90","470,290,738.84","483,017,666.50","560,717,414.42","128,224,921.77","180,884,896.66","260,557,233.54","661,473,114.42","100,965,057.95","656,436,150.78","543,904,531.56","354,653,879.00"
