科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"153,995,664.75","274,648,804.51","415,833,759.96","913,954,046.57","155,200,990.05","362,430,809.46","621,308,039.01","734,473,043.88","73,190,905.08","183,388,047.45","316,168,615.87","646,234,485.20","157,442,703.63","352,186,770.31","547,444,992.87","789,275,622.52","154,007,109.86","422,429,198.61","589,507,955.14","950,157,568.73","186,662,916.17","489,028,460.86","636,732,898.89","835,090,657.87","186,613,131.66","371,708,067.55","559,319,626.26","816,636,710.63","248,158,002.55","653,440,816.31","1,059,971,126.50","1,698,282,473.98","414,186,150.69","911,576,299.23","1,454,740,243.12","1,832,210,031.94","396,584,007.95","760,898,991.10","1,084,678,334.70","1,801,326,366.00","460,442,409.83","885,898,910.24","1,378,912,628.83","2,190,215,111.64","543,751,531.77","1,053,568,660.48","1,871,540,027.34","2,789,374,236.23","667,061,265.02"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"1,930,000.00","3,866,786.67","9,958,037.72","658,350.00","1,549,813.38","1,678,204.86","1,864,898.82","1,400,349.18","1,400,349.18","1,542,453.24","1,405,859.18","2,686,274.69","236,174.69","1,471,842.37","532,215.00",,,,,,,,"225,000.00",,,,,,"16,922.75","759,665.75","742,743.00","206,022.41","279,879.62","279,879.62","494,118.12",,"1,592,642.69","1,592,642.69","2,511,786.27","331,164.74","1,958,464.49","2,620,486.25","4,197,798.27","591,690.09","1,490,809.67","7,603,877.50","3,475,598.01","284,833.48"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"1,871,240.00",,,,,,,,,,,,,,,"35,542,706.63",,,,,,,,,,,,"258,060.53",,,,,
收到其他与经营活动有关的现金,"17,676,818.47","19,266,544.03","26,277,576.16","4,181,352.73","3,194,320.13","3,561,498.79","7,945,175.82","10,299,136.71","2,754,988.60","9,993,711.93","11,808,959.97","42,836,589.00","5,560,458.30","10,747,589.61","19,511,360.26","84,057,142.06","14,469,044.00","37,846,922.72","41,012,775.25","45,173,615.18","27,975,476.15","23,929,734.23","25,038,926.09","60,055,486.30","14,140,355.41","125,800,315.17","126,131,978.78","81,019,797.55","18,287,100.65","60,803,616.75","91,275,785.46","44,691,722.23","23,466,882.42","24,241,144.67","109,860,466.16","85,867,273.90","28,423,174.68","65,855,915.95","55,391,733.33","116,359,721.05","17,891,059.04","27,836,736.19","43,019,274.79","51,742,821.03","8,371,417.28","21,679,653.82","23,325,849.77","55,771,348.63","7,239,787.64"
投资活动现金流出小计,"47,275,661.48","42,610,269.45","60,111,789.28","123,680,592.03","17,916,999.10","156,722,784.76","167,832,087.83","211,850,608.00","25,191,254.49","138,540,649.51","332,539,534.14","599,318,133.36","158,215,977.16","510,738,997.10","793,235,458.42","1,003,540,469.19","137,531,764.51","342,772,962.50","671,572,734.65","906,515,156.24","82,835,507.36","213,375,691.08","101,514,239.31","66,018,077.87","18,452,551.14","45,741,587.39","55,865,249.11","102,051,106.08","5,417,207.22","9,709,017.36","13,162,674.46","46,206,180.62","33,578,051.29","33,836,527.39","31,041,591.95","37,456,950.82","1,520,660.89","1,702,802.49","5,749,108.10","16,718,283.52","10,416,577.62","10,752,234.27","13,484,588.03","159,414,381.98","3,536,335.05","17,468,114.02","22,343,032.06","34,299,722.36","910,356.96"
经营活动现金流入小计,"171,672,483.22","295,845,348.54","445,978,122.79","928,093,437.02","159,053,660.18","367,542,121.63","630,931,419.69","746,637,079.41","77,346,242.86","194,782,108.56","329,520,029.08","690,476,933.38","165,689,436.62","363,170,534.61","568,428,195.50","873,864,979.58","168,476,153.86","460,276,121.33","630,520,730.39","995,331,183.91","214,638,392.32","512,958,195.09","661,771,824.98","895,371,144.17","200,753,487.07","497,508,382.72","685,451,605.04","897,656,508.18","266,445,103.20","714,261,355.81","1,152,006,577.71","1,743,716,939.21","437,859,055.52","936,097,323.52","1,564,880,588.90","1,918,571,423.96","425,007,182.63","828,347,549.74","1,141,662,710.72","1,920,197,873.32","478,664,633.61","915,694,110.92","1,424,552,389.87","2,246,155,730.94","552,714,639.14","1,076,739,123.97","1,902,469,754.61","2,848,621,182.87","674,585,886.14"
投资活动产生的现金流量净额,"-47,275,661.48","-42,603,259.45","-60,104,779.28","-122,850,982.03","-17,916,999.10","-156,722,784.76","-167,832,087.83","-211,850,608.00","-25,170,454.49","-133,442,769.51","14,299,177.85","-209,245,705.45","-157,182,048.40","-509,689,708.34","-792,186,169.66","-994,991,180.43","-137,531,764.51","-342,622,962.50","-671,122,734.65","-896,629,900.21","-82,555,507.36","-213,095,691.08","-101,234,239.31","-65,738,077.87","-18,452,551.14","-25,076,432.58","-35,183,417.49","-9,367,224.43","-5,417,207.22","-8,309,017.36","-11,762,674.46","-44,151,931.62","-33,578,051.29","-32,309,946.39","-28,515,010.95","20,069,630.18","-1,520,660.89","-602,802.49","-4,649,108.10","7,651,616.48","7,583,422.38","7,247,765.73","5,515,411.97","-119,065,683.02","6,043,664.95","-993,362.34","-1,361,595.66","-18,939,450.44","169,934,901.37"
购买商品、接受劳务支付的现金,"105,928,884.78","142,054,538.05","201,916,398.68","546,046,594.87","84,805,056.09","169,047,852.34","334,428,540.53","367,629,025.09","36,465,839.79","93,194,799.56","171,573,116.48","333,712,421.73","95,186,787.23","190,591,221.41","331,042,094.04","380,613,893.96","106,226,555.62","281,342,113.24","387,473,469.65","513,775,842.13","128,177,305.07","271,763,534.38","379,012,794.86","359,826,667.25","87,811,236.87","235,535,439.30","355,384,781.19","288,066,366.30","99,576,183.45","358,543,470.65","613,840,343.93","587,999,719.38","157,384,713.09","234,988,976.54","518,272,034.56","682,082,019.74","135,948,602.84","218,732,412.87","438,352,450.24","665,637,276.92","61,733,888.28","175,825,962.77","344,934,522.65","378,124,794.74","86,330,642.01","180,505,018.15","324,232,534.45","492,342,750.76","82,942,883.92"
吸收投资收到的现金,,,"50,000.00","50,000.00",,"39,305,155.50","39,305,155.50","39,306,122.85",,"7,500,000.00","46,738,640.00","61,438,640.00",,,,,,,"17,500,000.00",,,,,,,,,,,,,,,,,,"708,649,995.60","708,649,995.60","708,649,995.60","708,649,995.60",,,,,,,,,
支付给职工以及为职工支付的现金,"24,809,942.81","53,469,628.72","80,105,491.33","110,990,098.99","32,957,851.65","60,286,171.95","85,939,278.57","126,698,240.05","36,453,441.93","65,533,928.27","102,183,848.17","141,384,158.70","43,249,559.68","77,781,064.95","117,145,809.83","191,898,874.20","53,548,106.79","102,758,250.90","168,053,244.27","224,397,588.81","63,685,472.51","129,096,827.12","195,003,989.87","218,894,696.86","64,381,954.15","139,392,451.59","221,205,695.26","243,720,443.25","65,406,992.67","152,727,606.08","227,476,826.90","299,199,789.29","68,918,172.74","139,301,049.10","221,705,832.88","324,585,391.89","63,125,429.44","157,879,261.62","240,754,423.41","344,626,351.67","80,355,542.30","162,821,850.46","240,979,570.39","355,456,704.92","84,697,490.86","203,050,823.63","267,394,168.13","446,449,605.44","105,087,009.53"
取得借款收到的现金,"80,000,000.00","254,600,000.00","452,600,000.00","481,000,000.00","79,000,000.00","353,000,000.00","443,000,000.00","672,000,000.00","323,000,000.00","1,154,000,000.00","1,278,000,000.00","1,664,000,000.00","337,995,000.00","648,000,000.00","1,029,500,000.00","1,482,500,000.00","498,667,200.00","985,191,992.90","1,553,722,685.14","2,110,424,625.33","262,000,000.00","549,600,000.00","972,871,240.00","1,616,200,000.00","250,000,000.00","1,027,000,000.00","1,535,000,000.00","2,122,100,000.00","453,000,000.00","916,200,000.00","1,764,800,000.00","2,364,800,000.00","476,500,000.00","855,200,000.00","1,154,680,000.00","2,008,780,000.00","124,500,000.00","876,510,000.00","1,407,730,000.00","1,745,730,000.00","388,000,000.00","1,286,015,400.00","1,652,105,400.00","2,308,175,400.00","612,553,861.00","1,758,553,861.00","2,069,553,861.00","2,490,673,861.00","665,590,418.50"
支付的各项税费,"27,024,018.49","71,392,138.50","94,620,363.10","140,268,048.70","35,817,612.98","78,807,275.69","102,777,215.80","124,938,469.64","32,360,852.94","64,940,356.22","83,019,241.86","129,139,903.80","21,855,739.95","54,205,297.97","69,571,196.46","149,086,515.17","30,443,125.90","61,539,481.83","89,747,651.34","155,146,174.98","25,961,274.67","52,178,179.58","82,587,545.68","118,722,522.79","26,389,125.34","41,684,299.09","72,582,521.99","111,680,100.95","32,684,937.12","84,286,726.22","115,174,980.20","157,570,474.35","53,935,237.30","107,029,786.01","176,612,363.75","241,618,805.57","57,956,266.88","129,862,032.84","210,966,850.70","266,507,653.48","91,005,680.09","177,699,412.34","274,360,252.83","347,868,545.50","112,115,144.91","260,671,789.31","376,613,119.13","468,884,560.50","188,795,455.33"
收到其他与筹资活动有关的现金,,,,,,"65,000,000.00","60,000,000.00","39,700,000.00",,,,,,"49,995,000.00","150,774,385.00","172,774,385.00",,,,,,,,"191,500,000.00",,,,"670,000,000.00",,"225,000,000.00","340,000,000.00","550,000,000.00","88,000,000.00","445,348,000.00","642,500,000.00","714,848,000.00",,"330,000,000.00","580,466,000.00","776,281,500.00","181,675,000.00","226,500,000.00","226,500,000.00","231,397,979.67",,,,,
