科目,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,"259,729,590.00","4,869,260,000.00",,,,,,,,,,,,,,,
货币资金,"9,472,437,277.87","5,693,861,660.95","9,908,495,630.03","10,170,070,087.22","8,498,979,599.40","8,341,775,236.84","8,910,425,718.47","9,420,602,155.87","9,576,582,966.39","8,915,343,888.55","7,924,854,573.96","6,822,429,405.08","6,598,600,229.26","4,872,451,376.86","6,533,034,046.53","5,616,371,340.74","5,787,944,456.79","5,104,142,742.60","5,344,188,542.63","4,854,863,017.53","4,702,813,602.89","5,689,369,754.86","7,450,784,369.66","11,490,132,649.45","15,995,365,454.61","38,884,673,122.74","30,995,157,804.14","22,205,059,526.75","22,741,759,177.41","19,651,719,397.93","18,236,533,885.42","18,127,955,171.10","15,296,692,805.99","16,040,241,671.09","13,141,416,425.95","13,408,192,597.14","14,749,790,814.63","12,748,342,998.19","10,594,681,939.47","10,509,698,812.72","16,386,601,106.05"
其中：质押借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：客户资金存款,"5,485,987,814.33","4,946,902,177.39","8,413,913,230.33","8,909,521,625.35","7,301,150,755.97","7,673,804,135.31","6,849,622,103.01","8,287,450,207.86","7,466,099,364.31","6,066,743,563.52","5,376,081,516.42","5,040,011,607.45","5,066,950,130.54","4,172,844,275.35","5,008,668,930.23","4,053,125,438.81","4,525,276,299.29","4,143,494,238.27","3,989,077,409.71","4,078,214,273.29","4,004,396,588.07","4,638,647,860.91","6,607,331,141.44","9,254,148,028.68","13,857,651,512.52","29,741,228,354.02","21,057,841,785.43","16,870,396,029.80","15,320,499,583.24","13,923,003,479.07","10,305,616,194.75",,,,,,"9,782,868,454.83",,,,"11,747,667,896.07"
拆入资金,,,,,,,,,,,,,,,,"200,000,000.00","970,000,000.00","600,000,000.00","1,100,000,000.00","1,260,000,000.00","1,045,000,000.00","1,345,000,000.00","2,382,000,000.00","2,882,000,000.00","2,360,000,000.00","2,382,000,000.00","1,185,000,000.00","885,000,000.00",,,,,,,,,"500,000,000.00",,"300,000,000.00","500,000,000.00","1,100,633,611.09"
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,"431,120.00",,,"1,898,522,793.66",,,,"6,022,975,210.70","6,244,094,187.84","5,490,490,745.17","5,367,412,255.89","4,771,374,562.23","4,840,148,978.68","4,492,139,574.10","4,579,456,890.99","2,792,983,098.46","2,441,894,642.81","1,941,785,823.23",
结算备付金,"845,522,731.85","854,913,114.50","703,740,876.33","931,615,172.52","2,488,041,201.29","887,366,584.87","679,905,687.47","2,391,850,088.50","598,644,752.15","777,370,282.37","787,607,246.57","605,005,358.08","900,261,628.17","756,499,050.89","-497,337,089.11","746,299,462.06","899,135,468.46","1,403,003,120.02","849,303,742.46","1,388,592,412.05","1,456,229,399.10","1,121,899,187.13","1,419,573,524.05","2,382,201,656.11","2,029,763,657.99","5,349,745,841.55","5,677,104,145.29","4,373,744,276.33","2,229,520,229.18","2,120,229,697.94","3,964,599,352.55","3,592,111,154.87","2,636,765,016.91","3,937,897,636.91","2,928,604,143.30","2,535,032,483.51","3,326,281,930.27","3,389,543,701.15","3,274,252,528.28","3,276,097,164.20","3,020,910,465.17"
衍生金融负债,,,,,,,,,,,,,,,,,,,,,,,,"5,879,901.60","48,883,493.49","73,925,424.02","140,611,786.00","164,710,328.99","87,236,630.12","147,794,652.72","128,865,528.23","179,666,955.88","171,698,389.16","167,303,086.60","102,900,858.09","68,737,082.55","17,949,964.47","10,506,605.44","8,302,138.62","4,158,573.50","3,468,030.25"
其中：客户备付金,"533,373,808.63","676,379,247.57","610,485,723.75","846,658,673.12","2,395,140,211.45","845,516,990.98","615,164,768.87",,"499,896,067.38",,,,,,,,,,,,,,,,,"4,510,081,796.05",,,,"1,569,999,249.81","3,264,159,305.36","3,031,028,158.89","2,166,824,603.95","2,697,687,003.22","2,139,550,624.05","2,359,593,605.12","2,631,925,570.21","2,573,466,868.81","2,643,623,155.57","2,187,230,146.51","2,248,048,063.80"
卖出回购金融资产款,,,,,,,,"50,000,000.00","1,405,523,287.67","1,830,322,976.95","1,874,416,029.35","1,899,812,978.81","1,368,007,641.59","1,052,562,279.45","1,116,600,000.00","1,569,812,849.32","3,710,007,958.91","4,767,767,000.00","7,117,401,565.51","9,068,488,014.82","6,099,782,434.39","8,788,446,678.06","12,903,837,237.64","20,954,720,110.97","21,280,299,372.68","19,874,332,863.01","11,661,200,000.00","10,331,801,349.72","12,167,971,213.63","13,782,111,572.41","10,868,227,935.59","9,680,845,721.37","8,203,006,951.92","11,660,796,565.78","9,887,560,896.44","9,818,365,760.00","11,506,492,780.83","16,938,041,356.16","16,266,815,000.00","16,608,204,000.00","16,647,720,360.98"
贵金属,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金,,,,,,,,,,,,,,,,,,,,,,,,,,"19,049,339,878.76",,,,,,,,,,,,,,,
代理买卖证券款,"5,848,905,229.88","5,474,614,474.22","8,900,437,786.96","9,641,154,249.40","9,612,664,261.16","8,453,243,626.11","7,383,652,547.51","10,950,103,155.71","8,026,751,501.34","6,772,095,276.50","5,985,415,326.29","5,486,110,413.41","5,773,175,136.92","4,811,439,243.27","4,488,973,812.82","4,738,394,610.59","5,259,697,301.16","4,882,077,121.24","4,466,566,252.60","4,332,144,766.93","4,580,170,438.79","5,469,614,199.43","7,487,590,350.65","10,691,357,675.91","14,731,871,291.30","31,814,342,126.11","24,968,854,343.42","19,064,859,186.98","14,320,670,963.06","15,183,413,727.32","13,099,518,036.15","13,292,127,523.64","12,939,722,608.85","11,544,735,727.16","10,155,926,202.31","9,887,672,483.98","11,867,625,684.29","10,178,993,357.86","9,153,958,641.89","8,678,011,388.98","13,410,862,143.51"
交易性金融资产,"608,719,138.11","1,483,071,551.95","763,612,818.98","1,738,408,540.17","1,183,848,863.59","1,189,980,033.26","5,950,163,287.66","3,836,945,754.07","5,051,525,333.29","5,352,546,700.68","4,961,043,978.91","5,100,535,164.99","5,064,156,513.14","6,264,273,973.10","5,415,191,816.76","5,504,100,404.98","7,320,557,490.19","8,618,293,007.31","11,039,861,872.63","13,273,887,509.24","10,289,002,149.92","9,562,026,652.95","12,946,054,209.04","14,854,556,844.42","17,992,618,798.14","19,529,329,203.40","13,468,089,017.24","16,376,728,884.07","16,806,009,443.76","25,742,627,048.98","23,387,636,256.48","21,534,339,752.67","20,157,340,652.65","21,617,245,966.26","21,493,404,189.97","22,356,579,297.77","24,006,514,996.29","24,885,142,295.97","26,971,024,486.34","27,115,564,078.34",
代理承销证券款,"2,053,965,000.00",,,,,,,,,,,,"5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产,,,,,,,,,,,,,,"66,454,939.20","66,769,794.00",,,"6,334,566.62","16,707,732.30","39,155,850.23","86,975,033.55","63,600,741.47","11,317,981.24",,"6,880,357.34","1,082,175.50",,"602,698.95",240.00,"817,710.00","114,040.00","5,451,641.47","2,679,258.44","191,588.89","165,776.22",,"4,014,216.58","189,439.93","104,516.12","6,300,485.44",
应付帐款,,,,,,,,,,,,,,,,,,,,,,,,,,"150,367,055.68",,,,,,,,,,,,,,,
