科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"173,484,373.58","129,517,131.42","90,396,410.63","107,334,152.01","87,951,110.92","121,769,196.15","148,379,357.31","136,071,098.09","135,743,270.12","171,730,424.22","127,885,857.87","194,689,220.14","197,919,033.94","175,647,468.45","205,441,736.89","199,942,848.77","225,814,863.46","154,075,111.28","195,999,886.26","243,314,980.94","252,599,810.55","205,458,733.28","266,374,471.03","316,699,259.13","298,775,028.70","273,585,523.24","324,281,690.89","333,755,792.36","826,398,299.60","543,032,996.44","380,213,212.93","564,753,387.92","548,463,207.35","696,100,011.24","326,552,794.75","747,294,253.00","548,913,853.64","572,351,651.33","564,714,788.68","792,336,152.21","1,010,518,077.66","824,226,353.50","388,513,559.73"
短期借款,"344,600,000.00","301,600,000.00","260,000,000.00","197,000,000.00","183,000,000.00","233,000,000.00","233,000,000.00","194,000,000.00","199,000,000.00","205,000,000.00","136,000,000.00","112,000,000.00","108,000,000.00","96,000,000.00","108,000,000.00","111,000,000.00","128,000,000.00","116,000,000.00","116,000,000.00","116,000,000.00","124,000,000.00","133,000,000.00","161,000,000.00","241,000,000.00","341,000,000.00","261,000,000.00","58,000,000.00","30,000,000.00","42,000,000.00","145,600,000.00","124,500,000.00","104,400,000.00","100,300,000.00","89,000,000.00","160,500,000.00","182,500,000.00","176,000,000.00","186,000,000.00","196,100,000.00","155,685,478.40","165,900,000.00","224,400,000.00","217,413,224.66"
交易性金融资产,,,,,,,,,"126,420.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"29,686,341.83","41,805,442.16","53,347,166.67","62,656,649.09","44,470,172.90","65,769,996.81","49,880,778.96","55,560,447.43","37,413,851.74","66,425,151.30","84,301,307.45","67,027,101.17","82,714,593.83","70,066,377.52","51,102,514.32","75,519,077.15","63,776,835.78","73,239,779.43","88,105,371.28","80,626,132.42","95,880,361.22","126,229,675.87","116,355,418.88","106,328,966.30","141,384,399.72","128,817,399.88","137,496,995.53","122,159,460.35","198,320,571.39","137,006,884.25","143,495,269.89","127,449,527.45","210,207,204.32","116,370,636.74","122,352,010.39","137,244,920.49","177,734,872.74","151,027,512.93","107,017,314.71","134,158,501.13","160,408,213.59","133,572,513.20","219,957,469.96"
应付票据,"35,750,000.00","19,863,600.00","43,066,900.00","69,545,102.46","45,078,846.13","52,705,691.68","52,615,022.84","48,121,645.48","51,148,607.51","47,441,933.22","66,056,904.79","61,023,959.44","77,432,860.01","90,100,165.19","71,555,272.77","69,170,560.86","68,614,868.52","55,809,759.88","60,778,096.51","61,079,705.11","58,088,086.33","38,151,088.08","83,871,013.64","106,540,813.83","126,686,272.40","125,991,878.35","126,345,388.07","114,193,787.59","148,198,384.82","103,060,144.77","108,373,997.93","137,056,641.79","150,412,422.38","70,068,225.45","122,554,041.30","139,712,902.20","150,730,365.73","163,623,423.70","174,483,399.42","164,826,117.28","136,191,819.38","121,419,296.26","126,096,399.76"
应收账款,"243,443,626.99","259,624,964.08","227,734,470.39","226,529,930.25","227,570,098.80","233,450,011.49","239,198,049.62","220,143,874.06","238,145,039.11","233,566,560.72","251,445,061.04","211,004,483.83","250,154,440.76","235,792,796.28","256,696,240.07","258,361,273.85","274,930,278.48","259,166,975.11","317,746,484.70","293,684,629.88","292,706,009.10","296,489,054.83","358,158,751.64","305,702,878.51","399,918,627.31","358,665,760.32","410,826,611.09","362,618,240.41","458,104,865.16","478,636,215.63","472,633,488.86","416,543,330.40","490,172,312.35","562,156,407.21","661,020,070.11","551,909,733.12","613,329,969.71","604,849,400.13","640,472,306.95","713,679,399.85","794,732,716.15","908,141,651.83","1,053,762,559.50"
应付账款,"167,931,753.55","152,244,796.35","113,561,772.67","120,308,915.13","152,213,108.22","139,865,897.94","146,433,406.76","123,427,360.21","116,388,192.77","133,397,789.47","157,959,607.66","157,532,246.66","186,450,890.97","161,686,167.69","164,040,206.52","173,185,243.68","247,260,943.76","262,085,122.86","259,001,126.33","243,192,441.58","242,432,005.93","271,625,304.47","259,464,652.63","318,994,143.32","322,618,585.92","330,622,887.80","312,134,930.41","316,945,978.17","350,256,274.90","278,927,170.46","244,323,296.23","275,088,255.08","283,552,354.56","358,352,964.58","327,981,299.16","314,198,125.36","395,185,786.14","301,232,621.03","291,465,321.80","372,141,795.80","362,789,005.63","417,460,287.68","452,682,671.23"
预付款项,"76,871,867.02","79,535,764.52","39,905,329.35","44,262,913.69","22,101,004.08","34,423,699.95","20,217,067.49","25,307,907.66","19,560,083.30","25,851,277.93","41,267,023.90","24,178,593.71","21,359,030.70","43,803,258.71","53,929,218.65","64,877,800.36","113,484,279.97","143,883,809.83","82,672,780.55","63,659,296.82","70,331,295.90","85,439,814.84","101,246,212.25","121,938,017.12","127,201,670.51","159,347,978.26","170,100,071.60","64,000,197.37","72,888,378.12","51,236,131.18","70,273,093.94","98,706,840.17","78,783,028.61","87,317,564.98","101,206,180.91","107,688,975.89","93,744,674.29","121,279,597.16","82,120,147.30","114,405,729.15","103,053,263.39","101,164,340.05","92,673,237.99"
预收款项,"10,636,330.17","50,469,661.12","28,909,871.59","32,652,179.52","25,801,912.64","24,276,946.16","19,099,921.68","26,139,010.54","30,547,206.24","30,477,705.12","26,791,662.65","49,375,306.24","46,889,900.20","57,496,970.31","50,333,681.65","67,059,785.37","46,097,112.62","34,693,724.09","30,530,498.94","75,648,264.70","95,028,468.97","62,408,069.91","28,195,055.28","109,026,680.23","74,011,885.05","40,877,678.40","63,342,293.84","77,376,502.85","78,062,419.13","56,585,562.38","37,339,254.04","68,923,845.80","40,628,054.70","38,398,296.93","33,931,547.87","44,891,263.31","53,458,823.70","54,422,372.90","70,972,235.33","45,241,698.23","36,029,613.55","35,573,143.70","19,984,455.67"
其他应收款,"110,382,375.11","90,244,448.84","97,955,524.05","57,756,145.98","64,612,614.46","61,647,107.15","71,748,089.27","49,162,189.18","69,401,890.68","54,136,081.19","41,759,543.32","41,145,154.32","34,556,844.20","29,941,497.46","43,647,326.54","49,760,135.85","55,952,269.31","60,155,414.44","51,728,223.74","62,923,170.63","74,749,480.37","79,648,098.57","80,694,846.52","48,229,675.54","64,426,320.86","92,999,574.17","123,935,436.02","58,032,164.72","109,333,297.05","105,581,322.95","109,757,815.75","69,940,277.99","109,121,797.14","127,447,734.45","141,870,106.97","83,470,214.61","93,469,982.74","98,258,930.03","123,672,929.94","88,629,542.03","131,282,345.63","111,933,243.74","102,233,356.45"
应付职工薪酬,"20,250,014.57","17,832,482.29","17,972,570.43","10,179,515.87","5,151,995.74","5,894,744.28","8,306,232.68","11,113,525.23","9,905,298.92","9,730,037.76","9,672,941.42","14,083,807.50","12,949,234.77","15,417,161.56","14,436,996.05","28,657,595.91","26,731,546.66","18,213,536.67","19,767,776.92","46,238,239.77","41,167,759.35","36,584,725.34","39,631,989.28","65,313,829.97","61,870,486.24","54,251,234.84","56,793,018.67","72,069,568.27","72,684,973.72","52,160,500.95","57,121,336.03","69,284,926.86","64,820,520.70","53,917,169.69","61,973,615.06","89,567,366.45","80,730,964.84","76,497,275.67","65,738,804.62","65,699,482.08","52,172,509.40","49,150,075.19","55,740,892.26"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
