科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"252,551,725.31","567,292,991.38","908,389,093.47","1,290,258,240.95","288,383,897.01","647,764,138.07","945,979,327.80","1,310,931,340.61","297,091,451.88","656,076,501.47","1,035,991,018.53","1,434,908,664.88","414,521,599.47","841,334,732.83","1,289,059,327.75","1,817,237,639.66","496,852,350.40","1,076,232,756.86","1,706,176,453.89","2,434,008,102.73","743,461,911.50","1,491,614,157.83","2,277,252,281.40","3,016,021,800.06","883,712,863.28","1,773,040,590.23","2,598,663,326.47","3,584,294,919.09","967,062,980.79","1,952,580,770.55","2,904,622,676.29","4,120,509,150.16","975,408,811.97","2,086,369,522.57","3,324,785,398.87","4,915,685,873.80","1,145,627,793.54","2,499,987,524.70","3,570,183,061.20","5,100,597,122.86","1,215,145,409.67","2,729,774,444.13","4,106,202,267.41","5,852,287,432.54","1,642,369,522.37"
二、营业利润,"5,943,479.39","16,237,483.89","18,162,160.91","31,089,605.40","6,919,840.49","23,018,699.91","29,835,439.87","38,548,616.09","5,710,054.88","24,039,617.04","49,963,227.90","74,597,118.75","16,203,406.39","45,051,796.15","82,049,718.62","111,212,474.50","22,627,511.33","67,659,501.45","114,845,334.05","163,189,001.24","37,822,686.73","98,591,174.30","144,607,534.83","222,172,696.42","59,543,565.24","152,058,884.37","203,398,633.82","266,052,648.13","68,216,235.89","179,684,586.57","244,384,060.43","339,538,582.46","83,983,032.17","246,759,475.45","355,680,134.86","465,418,643.01","99,607,785.97","286,510,927.80","378,330,379.64","424,307,472.11","106,909,403.37","268,676,813.75","346,621,995.75","411,910,552.89","100,632,899.85"
减:营业成本,"166,725,158.72","370,681,626.28","608,962,876.31","857,187,167.02","180,749,700.47","420,287,032.97","627,628,952.21","857,797,102.79","197,910,119.95","437,465,186.87","684,009,497.50","929,147,107.62","282,821,360.69","563,228,577.34","877,678,150.76","1,228,244,720.69","353,585,079.57","761,275,027.21","1,193,587,415.55","1,712,680,832.49","541,376,177.33","1,031,974,694.45","1,553,141,987.46","2,058,261,095.07","591,323,731.91","1,225,602,793.72","1,815,830,116.01","2,539,434,890.65","676,901,997.89","1,331,950,684.47","1,981,693,887.01","2,886,790,184.99","617,273,312.75","1,330,490,814.17","2,079,040,479.45","3,219,829,902.32","711,540,074.97","1,547,317,836.89","2,198,618,143.52","3,128,565,046.00","666,833,045.95","1,568,343,406.28","2,306,188,249.50","3,221,564,382.97","837,727,990.58"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,177,058.17","2,129,782.55","3,873,003.83","6,220,625.44","1,728,305.43","3,793,050.24","4,907,838.47","7,490,331.40","1,578,624.84","3,635,822.41","5,185,426.20","8,123,469.78","1,826,745.30","3,249,427.53","6,095,766.01","9,924,931.37","2,092,720.60","5,539,664.01","10,039,591.02","14,765,727.00","2,865,777.12","8,389,119.83","14,584,755.01","22,297,249.30","2,262,917.20","9,848,580.75","14,792,894.51","23,030,582.94","4,964,638.68","11,066,081.38","19,406,021.39","26,565,304.43","8,413,422.43","16,864,412.65","26,875,914.51","36,275,531.11","7,742,958.28","18,305,451.57","26,875,544.46","45,903,307.62","12,518,281.22","27,313,215.44","39,627,399.31","61,932,976.29","17,056,901.15"
营业外收入,"106,218.15","854,110.88","1,368,676.81","9,568,434.79","665,927.38","814,908.62","818,608.39","7,167,737.82","1,296,686.83","3,357,364.79","3,437,608.20","7,413,525.19","263,454.68","340,059.72","1,846,690.00","8,391,851.53","2,561,680.46","3,051,095.52","3,272,010.95","13,989,723.01","2,919,453.63","3,804,913.13","11,687,742.84","22,368,617.59","1,401,805.54","2,489,706.49","6,659,691.92","19,109,124.15","2,705,201.72","9,205,551.65","18,300,438.43","26,956,274.94","4,514,861.93","13,804,876.77","26,785,549.67","46,357,985.28","3,463,848.31","9,214,447.66","19,634,330.45","60,084,202.60","7,408,281.51","2,165,046.60","3,349,254.26","1,908,271.24","906,792.16"
销售费用,"48,436,681.03","117,622,934.33","184,450,562.07","260,094,488.98","72,593,702.92","146,593,713.57","201,937,865.67","275,206,418.89","68,305,853.33","137,416,869.27","214,386,448.46","293,757,602.28","92,332,069.99","177,856,639.79","245,079,103.70","338,380,033.24","91,841,400.73","180,751,281.94","297,257,046.33","394,488,355.68","130,821,204.21","292,236,295.15","472,894,565.93","541,394,383.30","189,443,109.65","288,208,809.82","418,147,940.23","542,138,931.22","185,526,774.27","351,680,306.79","535,916,734.64","652,540,303.02","217,197,005.45","389,608,284.38","678,086,158.90","881,587,119.27","263,255,364.90","516,217,448.98","769,187,572.24","1,183,119,195.39","355,536,412.49","716,431,631.73","1,194,212,203.11","1,806,316,643.80","603,176,097.12"
减:营业外支出,"202,491.19","527,797.24","1,060,116.01","4,474,002.14","368,768.84","899,734.17","2,645,877.76","2,740,915.45","41,346.64","406,511.46","648,718.23","2,373,684.37","12,800.00","314,219.42","572,897.21","2,241,293.66","215,482.60","610,633.44","961,563.14","2,028,322.98","309,280.36","577,670.11","724,554.68","2,574,604.93","51,657.02","483,924.10","1,167,907.12","1,532,708.75","55,263.27","144,215.08","423,628.41","543,725.49","136,526.02","2,411,692.35","3,286,927.61","5,861,745.21","387,995.09","558,545.81","1,759,151.72","3,464,852.69","1,265,019.57","3,471,395.60","4,979,463.41","5,888,032.38","400,227.19"
管理费用,"25,402,134.80","48,475,592.74","74,923,359.52","94,912,634.60","20,033,521.06","40,858,814.21","62,477,302.60","97,463,141.28","20,512,000.02","40,035,555.06","62,433,349.05","97,183,851.13","19,572,745.90","45,090,575.25","69,116,869.24","111,105,435.48","25,000,060.96","52,818,759.09","78,977,588.04","133,276,865.34","28,159,214.14","56,109,105.06","86,778,399.23","157,592,959.93","34,219,340.86","77,959,707.07","120,269,509.84","189,623,242.13","35,443,428.11","84,377,324.79","127,816,763.11","214,920,253.65","47,547,249.64","103,365,219.50","181,452,387.47","294,224,840.62","63,617,580.75","138,958,160.64","208,184,980.14","336,277,684.02","71,181,545.37","149,324,094.54","241,108,666.06","370,668,424.22","92,320,564.15"
其中:非流动资产处置净损失,,,,"228,668.34",,,,"260,526.89",,,,"278,128.73",,,,"4,834.00",,,,"648,389.51",,,,"2,079,131.46",,,,"378,427.79",,,,"153,127.67","3,557.62","11,722.53","348,177.41","581,021.99","66,948.98","149,419.00","271,928.10","808,342.43","26,533.07","88,824.90","187,045.35",,
