科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"987,680,637.33","2,117,814,743.99","3,303,266,367.99","5,066,940,563.80","1,574,316,975.85","3,456,751,172.17","5,256,007,011.96","7,031,460,815.83","923,225,314.40","1,858,428,780.88","2,765,963,399.20","3,849,876,717.36","899,803,612.28","2,001,045,273.99","3,091,574,525.11","4,347,667,734.59","1,099,369,133.89","2,381,451,085.83","3,706,086,113.45","5,114,748,393.38","1,166,886,160.83","2,792,432,104.55","4,385,806,745.00","6,421,401,956.21","1,217,347,196.33","3,079,259,795.88","4,982,592,946.01","7,671,982,317.07","1,553,317,300.62","3,448,933,078.37","5,425,904,587.39","7,712,803,252.17","1,840,632,886.81","3,541,567,747.23","5,241,011,760.12","7,071,657,826.85","1,314,392,849.86","2,719,226,534.94","4,276,676,045.04","6,325,814,896.69","1,624,768,063.04","3,176,391,420.06","4,909,082,309.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,"277,130.22",,,"9,077,163.59",,,,,,,,,,,,,"3,167,811.07","2,187,222.60","10,200,346.95","15,081,578.19","17,146,007.35","13,181,640.07","30,178,461.28","39,337,962.67","60,101,501.46","63,520,535.73","103,329,085.39","139,539,725.63","160,570,302.03","6,227,066.44","21,218,189.42","25,878,481.09","45,043,975.42","50,826,926.08","108,018,480.34","164,602,129.88"
支付其他与投资活动有关的现金,,,,,,,"403,518.70","575,930.37","1,269,311.11","525,166.42","552,577.50","1,639,235.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,505,325.14","13,931,641.63","24,958,822.03","32,501,186.59","5,193,186.01","18,958,417.83","36,204,956.58","50,050,330.44","15,175,936.83","26,262,480.74","39,744,776.23","54,563,959.33","15,621,900.15","26,636,842.66","41,422,357.77","55,798,009.05","35,067,648.21","37,249,979.75","85,380,898.11","107,249,251.62","24,110,881.95","43,994,889.47","76,881,632.98","105,172,488.67","47,374,341.60","59,461,934.50","72,211,155.98","199,586,057.28","11,914,055.24","95,011,775.36","211,219,633.86","414,018,430.32","31,641,902.00","206,790,752.53","137,701,137.52","219,394,169.44","24,109,526.87","38,249,250.92","148,316,131.77","248,071,964.62","15,387,103.81","33,669,324.21","71,178,677.42"
投资活动现金流出小计,"20,116,844.02","319,821,817.92","318,967,149.14","867,228,778.17","61,501,524.97","142,739,695.94","423,804,693.91","547,444,488.46","46,419,150.72","380,048,478.87","720,491,612.21","912,210,138.23","169,255,002.15","799,322,086.96","1,187,431,769.18","1,871,003,758.92","562,326,376.76","869,445,884.94","1,549,789,961.07","2,356,781,547.36","270,307,447.82","654,639,861.63","979,444,652.38","1,440,813,465.66","1,629,054,054.83","1,882,978,808.18","2,141,851,635.97","2,551,454,062.51","54,479,425.20","189,696,882.93","321,546,393.64","740,397,575.68","218,082,911.81","357,048,559.99","512,511,141.86","1,144,992,622.54","346,296,939.97","1,108,259,147.80","1,324,616,408.50","2,966,411,816.66","215,223,065.35","471,860,871.25","991,011,342.15"
经营活动现金流入小计,"994,185,962.47","2,131,746,385.62","3,328,225,190.02","5,099,441,750.39","1,579,510,161.86","3,475,709,590.00","5,292,211,968.54","7,081,788,276.49","938,401,251.23","1,884,691,261.62","2,814,785,339.02","3,904,440,676.69","915,425,512.43","2,027,682,116.65","3,132,996,882.88","4,403,465,743.64","1,134,436,782.10","2,418,701,065.58","3,791,467,011.56","5,221,997,645.00","1,190,997,042.78","2,836,426,994.02","4,462,688,377.98","6,529,742,255.95","1,266,908,760.53","3,148,922,077.33","5,069,885,680.18","7,888,714,381.70","1,578,412,995.93","3,574,123,315.01","5,676,462,183.92","8,186,923,183.95","1,935,795,324.54","3,851,687,585.15","5,518,252,623.27","7,451,622,298.32","1,344,729,443.17","2,778,693,975.28","4,450,870,657.90","6,618,930,836.73","1,690,982,092.93","3,318,079,224.61","5,144,863,116.54"
投资活动产生的现金流量净额,"-20,116,844.02","-319,821,817.92","-307,337,839.97","-729,015,894.28","-61,501,524.97","-120,107,562.05","-401,172,560.02","-524,812,354.57","21,421,395.38","-268,494,293.41","-578,059,204.28","-760,263,326.09","-105,102,019.83","-738,345,856.00","-1,126,497,838.22","-1,734,573,802.72","-562,325,176.76","-814,974,910.74","-1,441,060,453.18","-2,184,380,708.75","-271,341,973.63","-647,135,738.21","-957,560,126.55","-1,419,282,130.49","-1,611,369,236.49","-1,843,083,389.84","-1,986,717,091.07","-2,328,992,944.30","-43,351,503.53","-62,696,202.38","-165,237,798.58","-520,402,728.59","-208,603,334.13","-338,685,954.76","-398,251,899.85","-967,883,722.05","-346,007,390.07","-1,103,908,880.85","-1,288,366,124.52","-2,869,663,588.49","-215,216,677.39","-444,810,665.36","-927,537,185.23"
购买商品、接受劳务支付的现金,"566,389,580.51","1,310,489,605.51","2,088,505,666.91","3,121,161,635.65","740,864,593.48","1,828,353,969.80","2,923,828,796.00","3,834,560,237.78","437,523,955.46","1,324,873,262.85","1,864,923,633.70","2,408,618,262.49","553,290,248.94","1,203,203,919.22","1,958,761,102.88","2,760,967,669.40","667,782,922.57","1,623,842,266.68","2,669,644,958.41","3,942,182,622.57","809,890,893.23","2,279,455,236.66","3,400,739,076.81","4,873,682,728.05","837,204,080.75","2,127,188,298.59","3,392,388,268.99","5,583,004,116.04","999,253,357.26","2,508,482,234.68",,"5,503,180,378.34","1,136,366,220.84","2,431,804,547.83","3,690,575,500.35","4,966,645,363.31","821,462,266.32","1,772,342,191.15","3,073,236,110.86","4,546,075,475.06","1,117,632,764.81","2,108,232,564.68","3,246,022,102.76"
吸收投资收到的现金,,,,,,,,,,,"452,742.41","452,786.86",,,,,"2,099,534,298.39","2,099,534,298.39","2,099,534,298.39","2,099,534,298.39",,,,,,,,,,,,,,,,,"2,483,299,087.06","2,483,299,087.06","2,483,299,087.06","2,484,999,991.44",,,
支付给职工以及为职工支付的现金,"51,712,064.23","67,638,502.61","100,378,832.24","337,947,665.24","230,741,458.91","355,495,871.29","551,207,754.79","957,564,365.61","255,658,656.99","422,669,317.47","568,187,751.57","735,097,820.58","255,604,727.49","406,896,965.81","606,741,417.84","803,467,392.84","288,713,875.43","483,126,416.15","660,754,919.57","844,354,557.52","220,570,635.25","434,228,790.34","610,186,207.35","770,352,810.13","533,639,523.87","788,666,719.20","1,053,848,627.20","1,312,496,768.09","330,312,375.34","592,088,640.29","833,726,187.40","1,157,842,689.93","350,067,461.74","656,705,642.60","905,179,664.61","1,204,907,717.91","366,427,357.06","622,612,008.34","894,124,552.56","1,223,715,996.21","375,749,234.52","653,430,359.48","941,295,243.74"
取得借款收到的现金,,"30,462,000.00","14,812,200.02","93,849,500.80","1,332,496,000.00","1,354,708,658.40","1,400,875,400.20","1,432,047,478.00","132,794,118.40","358,116,488.80","631,370,307.20","814,600,061.60","306,600,406.80","1,073,542,445.20","1,355,011,008.00","1,827,776,674.00","352,242,685.60","937,715,158.40","1,584,494,585.60","2,429,578,012.80",,"772,966,375.20","1,302,440,925.60","2,025,560,480.00","146,829,864.00","291,957,081.60","731,976,967.80","1,517,248,164.00","243,876,000.00","859,676,000.00","1,133,821,280.00","2,728,899,730.00",,,,"1,482,229,506.80","306,913,899.60","799,102,899.00","804,302,604.00","2,689,156,747.60","249,643,600.00","914,231,600.00","1,265,758,600.00"
支付的各项税费,"32,446,085.39","161,418,721.63","204,005,013.85","302,693,824.06","92,515,843.67","233,138,852.89","345,375,802.96","376,981,818.54","48,915,452.85","140,899,034.57","182,202,961.71","201,339,686.49","13,443,171.92","22,992,628.71","24,261,731.15","49,716,635.60","13,992,460.63","127,716,179.57","135,062,200.33","319,200,315.40","9,915,280.75","83,218,045.84","88,983,931.84","95,674,968.79","18,028,738.71","50,774,647.58","69,924,702.81","89,528,326.60","18,822,723.69","36,480,721.48","54,133,463.86","77,927,211.91","16,620,034.71","31,280,148.32","50,122,727.60","68,748,648.25","19,093,385.89","36,987,369.25","52,424,165.13","73,012,001.25","14,743,707.68","33,357,280.91","39,755,552.06"
