科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"346,331,995.07","244,083,214.26","270,377,895.13","247,846,422.50","148,886,144.71","114,308,048.57","101,851,082.45","184,663,010.26","168,941,328.91","205,472,854.34","565,673,855.05","645,002,671.77","709,092,119.88","682,241,126.98","469,404,475.03","480,198,707.36","317,021,444.36","537,036,032.55","418,107,038.88","465,294,858.40","285,563,443.69","225,372,951.22","193,108,131.76","484,721,655.81","351,999,294.73","304,198,697.75","252,076,666.42","549,280,971.54","303,848,979.43","219,915,739.77","243,842,369.65","768,758,831.16","375,994,538.36","241,935,770.51","206,667,422.02","845,357,331.58","479,544,524.85","373,286,762.18","221,304,982.42","530,593,716.39","391,502,826.38","450,847,029.03","276,261,498.65","577,093,729.80"
短期借款,"99,874,420.00","2,000,000.00","53,624,600.00","39,800,000.00","62,000,000.00","52,000,000.00","42,000,000.00","364,000,000.00","359,000,000.00","447,000,000.00","127,000,000.00","231,000,000.00","551,000,000.00","462,000,000.00","542,000,000.00","417,000,000.00","365,000,000.00","335,000,000.00","345,000,000.00","373,000,000.00","242,000,000.00","247,500,000.00","203,400,000.00","276,400,000.00","179,630,000.00","206,000,000.00","206,000,000.00","276,000,000.00","186,000,000.00","187,800,000.00","197,800,000.00","391,700,000.00","359,700,000.00","307,900,000.00","275,900,000.00","326,800,000.00","329,300,000.00","306,900,000.00","311,900,000.00","365,000,000.00","358,700,000.00","328,700,000.00","343,700,000.00","323,773,465.00"
交易性金融资产,,,,,,,,,,,"30,629,169.30","40,738,000.00","41,164,500.00","38,342,427.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"17,130,720.00","13,146,800.00","8,820,700.00","10,140,000.00","10,571,900.00","9,638,400.00","66,000.00","187,806,900.00","114,818,900.00","115,175,200.00","110,582,000.00","229,050,000.00","161,443,000.00","87,049,820.70","102,915,017.10","313,043,884.90","276,040,375.60","30,032,881.00","57,542,016.00","214,832,909.84","165,960,127.00","105,222,980.00","59,789,623.00","268,924,820.00","208,047,868.24","127,319,636.12","93,689,591.85","307,298,940.10","244,232,168.49","142,869,461.29","137,998,006.98","307,756,960.38","318,915,811.92","210,841,759.16","68,362,883.00","494,594,031.18","462,051,612.89","153,467,683.84","126,446,775.60","1,083,865,252.16","974,048,632.76","561,853,706.73","574,563,454.62","1,014,863,854.71"
应付票据,"35,777,046.00","57,871,346.00","48,435,102.70","22,412,002.70","22,685,000.00","29,770,000.00","26,860,000.00","76,173,138.30","100,918,898.84","103,521,055.45","76,598,974.64","127,849,988.55","126,802,691.96","109,951,313.77","105,939,886.42","88,325,983.40","104,398,786.79","80,600,129.11","140,093,031.32","129,102,103.01","39,563,095.80","44,997,866.46","43,692,094.01","75,344,096.52","106,283,765.12","93,850,401.77","70,073,262.33","88,063,424.71","91,125,423.48","63,994,293.35","44,986,044.15","134,714,840.00","131,951,972.25","132,802,492.71","116,924,528.90","125,840,383.37","149,466,968.69","147,700,618.00","109,740,867.68","206,397,688.51","290,545,401.01","285,825,977.65","208,920,058.51","370,920,576.52"
应收账款,"159,980,548.16","182,708,179.22","201,182,132.52","134,558,357.63","154,685,841.67","156,753,270.50","182,106,581.87","346,756,809.45","450,079,987.65","377,913,528.58","474,594,332.24","449,342,833.94","628,429,581.68","636,945,721.46","708,552,821.43","513,319,586.94","634,605,947.66","717,410,633.95","786,199,632.56","607,554,631.93","629,959,937.61","716,134,984.96","730,994,682.80","465,902,807.23","535,324,983.68","558,951,621.26","717,519,196.25","426,880,339.51","521,935,817.46","618,413,288.54","629,376,199.53","628,612,146.10","649,202,559.43","750,602,906.23","883,301,768.57","584,030,413.40","646,146,999.99","1,273,070,222.69","1,276,063,629.36","775,524,070.07","913,793,613.64","1,163,577,759.30","1,177,141,811.54","1,032,424,747.86"
应付账款,"74,709,609.32","79,712,503.67","75,668,944.17","68,412,019.95","69,893,931.55","63,596,401.35","91,836,968.11","323,119,954.70","331,363,691.70","322,800,675.32","304,990,756.10","352,459,845.43","389,611,849.18","414,159,043.86","442,142,571.69","347,445,951.21","401,669,984.88","421,283,893.53","472,192,213.77","359,552,371.90","353,062,265.83","350,213,730.86","380,458,595.55","408,575,528.24","415,327,949.02","398,323,294.99","450,534,643.68","455,046,599.20","401,529,510.09","489,461,658.58","469,397,017.35","566,459,251.56","563,938,144.98","655,018,924.10","789,243,339.12","984,413,016.10","874,278,751.13","925,578,122.19","980,121,314.27","1,111,941,093.22","966,395,992.98","1,073,165,885.01","1,053,442,532.36","1,149,504,175.81"
预付款项,"17,179,890.36","12,172,050.68","11,643,585.62","11,083,934.20","11,437,777.71","12,740,849.04","12,814,535.86","86,780,566.91","140,032,342.86","219,361,141.93","212,247,188.23","320,981,052.49","295,067,652.28","331,794,240.37","565,366,798.30","382,773,484.00","412,051,945.69","274,082,133.89","342,054,647.82","301,258,804.38","256,293,089.46","278,129,250.52","230,986,605.68","112,180,949.13","151,901,639.54","141,685,026.44","138,195,789.75","130,003,472.64","115,116,571.68","120,060,069.56","114,385,848.81","209,587,096.77","256,390,764.12","267,343,748.54","240,319,941.10","92,248,753.87","271,128,754.36","100,138,514.43","115,926,807.45","72,663,783.34","81,305,805.45","91,670,795.24","140,467,111.96","95,610,154.24"
预收款项,"14,460,109.44","11,502,525.58","5,706,444.54","11,885,025.18","5,368,718.68","11,879,817.31","13,158,717.49","10,338,231.96","16,599,927.84","23,727,347.69","23,322,253.19","36,883,773.95","29,721,594.26","24,638,556.13","56,226,370.45","34,163,638.95","36,774,155.53","43,957,302.04","31,891,101.93","61,734,536.55","33,753,460.95","27,657,510.81","35,259,861.14","23,803,808.24","17,447,657.75","22,439,386.79","22,698,718.29","97,843,531.94","63,345,486.11","19,368,881.29","18,990,142.59","137,374,913.61","119,875,023.64","123,844,973.64","29,635,857.03","133,453,201.07","85,384,135.44","87,341,265.36","86,139,764.46","23,607,881.77","30,439,448.13","28,309,898.10","30,687,709.79","21,137,258.86"
