科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"124,230,978.37","292,790,725.43","496,083,865.65","576,835,292.77","267,863,123.28","395,611,507.34","596,496,902.92","781,117,909.59","145,671,142.04","300,388,132.42","508,559,191.07","578,148,588.28","161,857,278.51","389,147,695.10","643,190,907.28","874,560,475.24","225,381,378.74","424,621,912.88","612,374,358.46","812,954,817.96","199,893,655.42","384,265,643.78","574,224,232.78","754,093,928.04","181,875,638.01","408,343,743.77","618,800,700.85","770,419,535.76","156,568,941.15","341,685,791.40","507,227,608.96","700,096,005.21","136,325,518.07","317,926,356.61","503,743,237.89","666,556,770.68","161,547,047.93","343,668,933.60","526,093,065.25","772,547,441.97","178,635,277.48","391,867,464.18","603,784,794.16","801,197,945.50"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"1,012,261.64","3,495,433.51","2,757,200.72","655,034.99","1,359,017.86","1,546,597.11","5,817,053.34","1,687,273.85","2,909,650.85","5,474,766.24","6,014,696.24","3,634,942.77","6,476,871.32","12,753,373.97","14,606,624.09","8,229,315.73","13,028,217.70","15,478,437.19","19,592,824.88",,"3,006,858.06","3,006,858.06","3,517,055.67","879,757.54","879,757.54","2,533,351.12","3,649,112.69","745,494.63","1,686,244.65","2,124,179.77","18,839,002.20",,,,"1,573,055.19",,,,"11,304,341.92",,,,"16,882,623.45"
支付其他与投资活动有关的现金,,,,"405,028.38",,"3,212,152.35",,,,,"82,481.00","51,645.60",,,,"4,413,592.80",,,,,,"1,062.00","507,206.00",,"7,344.00","7,344.00","7,344.00","13,644.00","1,980.00","6,300.00","10,220.42",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"881,813.06","1,769,532.06","1,990,024.36","23,808,434.19","2,071,680.88","2,892,174.10","3,450,907.13","13,065,544.42","6,204,649.06","15,372,989.91","22,407,208.02","22,281,342.21","1,629,159.14","26,779,791.81","18,058,108.01","8,270,253.08","12,812,568.55","22,042,465.54","58,241,303.65","28,191,048.85","532,820.48","35,832,161.63","71,714,873.71","90,124,090.73","2,236,158.47","12,796,605.18","45,053,246.29","34,412,732.57","9,297,448.52","13,798,069.53","20,551,800.21","19,500,682.88","1,175,217.47","57,480,717.42","59,933,650.68","7,266,086.38","35,755,083.44","26,727,553.17","31,716,735.57","22,259,416.65","13,288,512.82","17,886,685.91","21,534,624.21","12,175,865.25"
投资活动现金流出小计,"71,440,656.91","123,142,804.46","145,482,863.83","187,899,138.40","3,058,167.50","29,768,746.02","28,199,102.66","58,059,481.89","3,755,335.64","5,574,830.01","7,439,887.49","13,616,084.81","2,482,876.44","9,635,607.08","54,903,320.05","93,773,993.49","22,713,883.20","38,023,732.11","50,459,022.39","349,380,656.23","2,452,308.07","75,237,357.03","125,396,497.86","155,744,990.24","7,036,262.52","13,954,967.48","14,760,180.65","19,419,577.66","48,714,386.18","49,897,416.18","46,346,773.56","28,703,648.91","2,493,430.56","20,034,524.86","20,596,055.53","30,781,373.23","212,650.00","17,795,488.95","19,057,149.65","34,242,730.70","9,793,948.38","20,757,308.01","55,283,553.08","274,465,934.54"
经营活动现金流入小计,"125,112,791.43","295,572,519.13","501,569,323.52","603,400,927.68","270,589,839.15","399,862,699.30","601,494,407.16","800,000,507.35","153,563,064.95","318,670,773.18","536,441,165.33","606,444,626.73","167,121,380.42","422,404,358.23","674,002,389.26","897,437,352.41","246,423,263.02","459,692,596.12","686,094,099.30","860,738,691.69","200,426,475.90","423,104,663.47","648,945,964.55","847,735,074.44","184,991,554.02","422,020,106.49","666,387,298.26","808,481,381.02","166,611,884.30","357,170,105.58","529,903,588.94","738,435,690.29","137,500,735.54","375,407,074.03","563,676,888.57","675,395,912.25","197,302,131.37","370,396,486.77","557,809,800.82","806,111,200.54","191,923,790.30","409,754,150.09","625,319,418.37","830,256,434.20"
投资活动产生的现金流量净额,"-71,189,656.91","-122,154,041.81","-144,302,325.18","-147,109,799.58","18,298,265.85","-8,327,981.81","-7,102,513.14","-29,097,751.80","-3,729,335.64","-1,260,972.81","-2,927,895.07","-4,284,069.41","-2,401,462.48","-6,941,458.97","-36,708,507.65","36,182,860.75","-12,246,759.03","-15,508,254.43","-16,556,164.71","-34,670,366.17","-888,308.07","-70,192,710.57","-120,021,674.57","-149,786,417.24","-337,625.45","-7,245,880.41","-3,719,140.25","1,900,062.74","-28,413,436.18","-782,331.40","-1,611,438.78","-6,124,614.13","-2,325,430.56","-9,866,524.86","-10,428,055.53","-9,505,373.23","14,787,350.00","-2,635,488.95","-3,885,149.65","16,719,024.68","-9,763,948.38","-15,733,921.56","-49,960,166.63","-47,973,849.97"
购买商品、接受劳务支付的现金,"116,981,881.10","274,547,953.01","444,566,344.68","532,808,000.50","230,547,213.89","244,730,156.82","333,595,541.72","525,929,070.30","76,548,670.28","187,145,450.95","288,570,134.31","315,274,847.66","175,508,066.95","374,369,685.63","558,589,252.23","857,191,203.40","203,754,778.08","311,997,014.91","448,556,049.68","503,737,797.93","131,932,162.00","201,262,180.99","346,107,734.05","469,383,707.67","148,798,235.48","308,184,412.46","509,164,078.47","584,866,317.27","96,071,991.33","208,910,017.44","311,441,604.31","373,134,427.80","76,864,839.55","224,779,872.13","352,825,044.24","427,154,812.24","105,963,592.29","222,397,664.16","368,678,978.85","492,287,476.65","174,267,854.85","328,353,270.07","501,397,635.95","592,182,038.94"
吸收投资收到的现金,,,,,,"2,880,955.00","2,705,383.49","2,940,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
