科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"448,438,077.06","1,108,013,787.74","1,709,717,263.08","3,118,112,086.82","465,561,380.25","1,295,943,616.57","2,236,378,446.99","3,689,398,412.68","737,112,964.20","1,987,495,287.06","3,402,347,756.18","5,184,889,908.05","920,464,384.00","2,185,418,183.07","3,743,274,209.55","6,030,665,595.13","863,887,060.40","2,724,528,579.53","4,303,634,257.11","7,462,701,610.57","1,480,657,753.96","3,343,955,711.46","5,525,028,600.14","8,226,125,819.24","1,383,072,613.96","3,250,362,610.63","5,738,329,023.74","9,509,053,980.61","2,096,782,660.30","4,671,008,930.31","7,742,869,352.81","10,834,799,412.64","2,760,423,852.02","6,074,237,563.18","10,415,783,240.47","14,577,728,920.28","2,752,918,404.52","7,678,203,216.36","12,587,180,771.52","20,674,070,335.19","3,816,273,525.09","8,790,400,028.53","15,745,572,066.55","24,185,786,652.64","3,628,717,223.44","8,885,703,801.91"
取得子公司及其他营业单位支付的现金净额,"12,802,207.94",,,"35,852,796.94","2,000,000.00","2,000,000.00",,,,"62,815,134.67","69,722,856.64","4,520,485.93",,"2,000,000.00",,,,,,,"10,799,921.99","10,799,921.99","36,400,304.35","16,425,313.40",,,,,,,,"104,899,900.00",,,,"121,220,800.00",,,,,,,,,,
收到的税费返还,"5,499,585.10","26,427,464.73","45,729,887.03","80,749,266.14","9,018,960.19","36,060,361.50","60,686,478.92","87,827,315.44","21,216,186.86","47,440,412.29","57,717,378.56","87,720,381.47","39,305,322.96","63,019,103.63","88,113,095.50","135,755,562.85","21,226,281.59","31,763,530.43","53,999,459.23","152,238,684.68","45,447,832.02","109,805,383.05","171,411,972.62","219,442,665.29","10,744,963.66","137,508,660.91","190,947,863.10","209,764,573.53","81,897,268.85","208,894,577.83","222,794,874.87","294,573,045.06","77,121,098.81","300,482,350.21","332,430,115.91","472,026,216.02","179,472,848.61","335,789,577.85","426,476,579.98","679,285,861.41","120,100,709.25","317,182,306.39","525,588,555.54","784,520,357.74","255,554,463.42","381,978,608.36"
支付其他与投资活动有关的现金,,,,483.00,,,"2,000,000.00",,"20,711,084.97",,,,,,,"82,068,890.05",,,,,,,,,,,,"197,858,970.00",,,,"10,000,000.00",,"400,000.00","20,400,000.00","66,200,000.00","170,300,000.00",,,,,,,"79,240,800.00","1,206,000,000.00","1,656,000,000.00"
收到其他与经营活动有关的现金,"42,659,490.71","16,965,106.28","35,418,781.56","72,117,156.69","17,344,419.98","26,223,682.28","77,556,871.35","48,459,781.66","18,974,701.01","25,858,257.33","67,165,704.42","74,005,226.72","17,842,012.58","24,613,717.27","132,654,530.48","134,388,864.35","22,155,236.20","98,274,633.36","119,372,439.36","136,207,843.08","25,804,277.27","116,969,502.54","225,607,061.86","132,354,309.98","79,198,353.63","124,634,046.64","170,685,181.26","289,611,438.93","73,977,526.23","111,508,008.05","190,277,430.82","281,717,249.42","68,855,469.42","128,197,117.52","93,411,817.67","229,292,214.29","96,023,922.80","105,341,962.90","184,759,860.85","267,832,771.28","72,082,715.23","166,193,843.81","262,931,501.77","506,080,371.86","104,224,813.23","217,651,870.35"
投资活动现金流出小计,"24,381,708.37","41,807,623.94","56,859,485.56","227,137,779.87","38,581,164.59","82,320,126.79","135,412,341.73","213,085,723.68","115,698,551.30","227,449,776.96","263,020,113.55","446,008,339.03","77,610,285.15","126,772,507.16","186,641,322.48","407,260,546.75","53,537,071.59","117,782,889.02","197,614,923.94","293,293,755.09","60,241,061.94","132,380,130.97","231,092,708.42","301,013,027.18","156,801,866.44","239,652,424.39","332,083,312.00","636,533,957.09","89,714,611.17","215,558,129.44","313,898,429.05","498,364,656.92","110,036,166.06","262,237,712.89","557,810,252.32","988,907,501.27","452,697,838.11","725,111,908.34","891,089,729.95","928,809,253.84","143,374,224.10","337,767,478.17","551,399,953.34","1,046,078,565.62","1,473,786,596.35","2,162,044,994.10"
经营活动现金流入小计,"496,597,152.87","1,151,406,358.75","1,790,865,931.67","3,270,978,509.65","491,924,760.42","1,358,227,660.35","2,374,621,797.26","3,825,685,509.78","777,303,852.07","2,060,793,956.68","3,527,230,839.16","5,346,615,516.24","977,611,719.54","2,273,051,003.97","3,964,041,835.53","6,300,810,022.33","907,268,578.19","2,854,566,743.32","4,477,006,155.70","7,751,148,138.33","1,551,909,863.25","3,570,730,597.05","5,922,047,634.62","8,577,922,794.51","1,473,015,931.25","3,512,505,318.18","6,099,962,068.10","10,008,429,993.07","2,252,657,455.38","4,991,411,516.19","8,155,941,658.50","11,411,089,707.12","2,906,400,420.25","6,502,917,030.91","10,841,625,174.05","15,279,047,350.59","3,028,415,175.93","8,119,334,757.11","13,198,417,212.35","21,621,188,967.88","4,008,456,949.57","9,273,776,178.73","16,534,092,123.86","25,476,387,382.24","3,988,496,500.09","9,485,334,280.62"
投资活动产生的现金流量净额,"57,730,323.51","88,886,029.81","87,944,953.47","72,823,666.84","-30,995,170.23","-16,799,206.82","-65,326,850.55","-142,274,461.32","-115,628,471.30","-197,362,311.96","-215,500,338.45","-399,195,641.38","-77,558,760.15","-66,708,849.00","-99,002,516.02","-298,677,200.17","69,625,679.12","24,344,927.03","-54,698,378.89","-129,915,836.60","-20,131,985.82","-91,536,668.49","-189,983,096.57","-246,117,365.43","-155,351,640.85","-208,151,707.30","-300,540,269.41","-364,361,350.16","-72,968,631.55","-158,356,119.78","-256,613,420.41","-398,849,316.05","-109,957,518.87","-242,111,139.20","-513,959,739.88","-924,049,158.61","-405,375,623.71","-655,978,886.62","-798,508,578.73","-837,113,825.92","-143,360,020.22","-294,651,266.29","-508,283,741.46","-966,712,759.27","-1,163,779,593.35","-1,120,729,198.41"
购买商品、接受劳务支付的现金,"510,951,890.73","963,066,929.32","1,483,679,420.53","2,239,941,945.98","568,956,811.17","1,183,326,218.92","1,917,160,255.49","2,655,668,612.64","938,337,961.53","2,070,377,088.29","3,303,780,621.77","4,031,887,816.76","1,180,689,091.74","2,363,957,329.62","3,537,988,203.42","4,710,094,198.97","1,447,084,530.74","2,683,406,722.61","4,365,583,333.59","5,837,702,889.14","2,055,828,482.81","3,886,432,346.47","5,442,396,061.00","6,061,180,606.68","2,025,643,667.91","3,941,170,966.03","5,392,449,488.19","7,104,445,536.99","2,248,807,144.80","4,458,341,918.54","6,890,364,533.13","7,678,895,590.03","2,951,866,801.35","5,570,785,138.43","8,798,507,381.51","11,023,387,557.81","3,768,317,226.21","8,036,149,716.02","11,905,223,075.09","17,105,550,702.16","4,848,805,920.82","9,498,373,933.82","15,196,511,550.39","20,804,240,694.40","5,461,769,868.94","10,096,970,203.26"
吸收投资收到的现金,,,,,,,,,,,"543,532,946.00","539,522,946.00",,,,,,"9,360,742.50","9,360,742.50","23,460,742.50",,"1,103,208,296.00","1,105,455,940.36","1,135,408,556.00",,"10,802,949.52","10,802,949.52","10,802,949.52",,"8,066,740.50","19,314,813.00","243,983,563.00","18,411.00","198,568,406.00","198,568,406.00","391,818,996.20","2,226,455.00","43,951,625.00","44,350,292.45","43,897,774.02","68,331,000.00","68,331,000.00","1,843,007,431.29","1,843,972,501.42",,
