科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"534,134,387.31","281,873,600.14","297,408,997.89","368,082,396.15","121,265,109.55","416,555,855.61","241,326,324.96","500,840,284.73","226,818,071.55","181,793,908.31","248,426,337.96","448,235,630.40","300,435,978.74","302,262,171.41","193,032,531.54","327,839,937.81","223,136,262.58","295,840,006.70","232,885,258.97","351,799,643.86","177,889,048.15","212,672,298.37","156,764,006.91","373,270,308.34","232,310,776.24","193,944,213.96","189,777,593.74","448,682,798.51","242,258,371.86","292,365,862.28","228,854,645.14","353,145,578.63","127,691,927.67","1,072,764,888.45","829,907,762.86","1,097,393,920.61","913,596,903.56","630,510,893.69","405,891,172.62","723,102,782.60","760,612,826.09","469,831,730.06","497,005,072.37"
短期借款,"611,000,000.00","456,500,000.00","474,000,000.00","469,000,000.00","462,500,000.00","625,500,000.00","604,400,000.00","572,000,000.00","622,000,000.00","641,000,000.00","657,000,000.00","650,000,000.00","608,000,000.00","628,000,000.00","606,000,000.00","606,000,000.00","653,000,000.00","784,000,000.00","804,000,000.00","846,000,000.00","881,000,000.00","923,000,000.00","993,000,000.00","1,033,151,566.41","1,021,012,595.47","1,112,969,728.81","1,217,370,431.67","1,240,400,856.48","1,165,735,874.95","1,091,758,845.97","1,073,505,310.96","1,040,649,922.63","993,660,346.31","1,000,686,142.10","655,392,183.20","653,778,627.05","656,903,316.56","432,165,071.68","275,048,814.79","288,192,766.82","637,589,751.35","273,656,598.50","371,456,608.04"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,"2,080,300.00",,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,494,541.42","4,332,011.64","14,726,375.23","18,129,887.72","3,085,103.60","10,660,837.88","6,382,403.45","14,252,312.22","3,464,101.10","4,582,494.00","7,183,448.34","10,732,116.18","3,632,064.75","20,016,753.75","7,965,981.50","37,975,375.62","20,629,718.34","45,527,683.11","22,748,903.60","106,655,495.33","36,513,337.54","63,707,935.66","36,168,015.00","32,902,159.61","27,773,789.24","31,545,518.59","30,267,367.80","45,318,563.56","18,750,948.50","46,889,212.90","30,222,448.41","57,040,082.93","23,041,103.42","50,211,069.99","15,701,958.45","91,260,005.39","82,232,256.11","36,249,333.47","21,220,592.55","75,726,648.04","54,618,572.86","44,248,906.58","45,474,513.85"
应付票据,"105,609,999.00","120,146,373.00","124,395,332.00","97,972,100.00","27,844,900.00","147,694,000.00","146,294,000.00","120,893,150.00","122,329,150.00","122,260,500.00","166,470,023.35","189,400,000.00","176,890,300.00","228,057,784.00","175,385,328.00","101,485,328.00","131,100,000.00","95,080,000.00","92,001,000.00","70,253,100.00","67,715,200.00","14,578,100.00","4,595,000.00","10,355,776.00","17,855,776.00","35,000,000.00","35,500,000.00","33,000,000.00","28,000,000.00","32,175,000.00","84,700,000.00","49,700,000.00","85,061,761.18","88,897,550.00","90,144,050.00","89,507,300.00","76,907,300.00","81,350,000.00","163,232,230.71","238,732,516.44","229,613,548.57","229,551,058.33","204,258,778.49"
应收账款,"469,772,293.26","523,594,374.82","579,984,393.60","502,087,511.62","535,400,788.45","561,872,855.68","591,809,866.71","596,075,317.92","636,319,522.32","677,381,176.67","676,757,162.43","733,235,631.76","671,779,557.16","821,283,952.27","848,699,445.83","1,026,045,484.26","932,258,552.17","1,020,837,900.66","1,000,957,080.82","1,318,084,842.64","1,181,502,351.93","1,130,732,683.88","1,238,559,857.02","1,266,072,312.00","1,243,238,502.88","1,440,154,723.73","1,474,423,340.43","1,240,821,062.54","1,239,237,628.80","1,354,736,204.39","1,328,826,357.18","1,259,641,012.31","1,258,626,544.98","1,443,479,762.39","1,521,538,747.57","1,255,760,344.60","1,230,605,541.86","1,379,347,858.48","1,389,793,790.73","1,606,900,234.71","1,455,437,884.71","1,503,985,185.80","1,458,710,256.18"
应付账款,"346,817,124.65","353,298,015.62","387,721,004.15","458,164,163.57","417,117,381.81","430,208,856.73","466,949,186.25","550,166,229.14","518,188,439.38","571,605,682.41","571,563,117.33","568,495,985.04","566,256,560.78","638,873,120.04","751,448,799.63","908,259,948.44","924,358,932.81","931,032,034.25","930,091,067.64","1,065,112,544.57","988,603,802.83","1,137,173,679.90","1,172,893,636.76","1,050,458,612.01","1,075,154,784.78","1,223,810,398.54","1,242,347,414.01","988,034,843.10","943,843,525.49","1,176,561,032.14","977,054,994.84","940,871,091.22","819,330,631.05","911,517,170.34","1,054,735,736.62","931,608,608.11","915,873,835.83","964,236,752.54","915,273,483.42","1,131,735,922.40","893,411,655.01","1,026,612,564.18","981,183,778.40"
预付款项,"62,635,744.66","77,666,784.27","70,798,672.20","40,236,250.66","41,382,596.29","42,309,371.38","52,993,821.29","66,825,094.25","117,853,594.97","106,310,613.07","111,622,653.10","134,954,791.17","181,656,574.42","201,130,856.80","184,702,760.10","174,776,774.36","297,418,036.15","250,102,418.42","282,717,980.16","167,984,092.77","267,852,114.85","268,146,597.15","264,099,346.03","150,592,123.99","235,077,810.11","237,276,202.46","267,309,844.49","117,889,553.55","190,066,639.81","231,076,340.63","164,566,499.43","162,068,265.34","199,906,904.84","207,442,426.89","235,014,066.25","123,274,328.09","205,769,467.83","184,744,906.25","222,794,518.63","45,377,248.47","180,332,010.29","194,459,330.63","178,533,540.98"
预收款项,"100,572,887.85","197,096,027.89","256,653,540.93","200,609,517.46","223,487,482.73","236,664,529.84","228,924,378.63","340,026,608.37","408,198,371.41","320,187,972.54","269,767,237.77","202,580,380.04","362,325,503.02","311,978,317.59","323,626,424.86","165,167,440.57","231,748,985.16","291,862,649.11","297,427,038.92","143,966,194.72","228,373,238.90","194,927,696.54","227,864,830.55","226,338,533.52","317,404,943.49","215,732,029.91","261,335,621.78","170,387,892.45","185,566,025.70","216,169,114.13","255,092,902.17","202,280,855.97","212,284,283.37","192,394,743.74","274,311,077.73","182,479,966.45","207,531,634.53","200,497,795.44","229,058,795.03","130,000,731.34","191,448,446.49","161,459,300.51","171,959,427.21"
其他应收款,"29,222,424.16","62,422,844.12","36,731,054.30","52,806,787.91","52,931,697.09","56,225,589.20","61,099,042.19","31,997,014.77","33,738,979.98","85,754,384.52","63,735,324.70","40,077,975.01","51,213,460.89","63,505,118.33","75,917,595.35","38,055,264.35","84,361,621.55","70,104,365.92","64,597,247.20","38,221,508.36","57,903,427.08","61,890,150.08","56,913,230.32","41,161,459.08","82,850,393.73","85,416,249.47","96,209,398.99","34,457,779.04","96,712,075.00","77,197,398.57","92,359,810.63","46,900,104.24","64,132,106.35","75,606,289.69","60,913,910.81","43,254,420.20","63,455,518.99","67,054,726.76","71,801,739.35","38,438,197.53","73,016,919.65","76,013,857.44","78,454,010.63"
应付职工薪酬,"32,486,505.11","41,494,372.99","22,223,843.28","31,213,078.54","28,825,095.92","34,248,364.68","24,688,490.61","36,529,144.57","40,405,057.75","47,474,057.94","44,639,755.74","40,421,172.39","44,208,094.79","35,885,401.35","36,596,593.31","54,606,634.05","51,986,229.14","48,612,035.20","48,789,394.27","62,482,082.51","40,674,699.82","36,311,700.14","37,173,303.27","44,054,412.30","42,096,470.42","41,910,189.52","42,523,467.36","46,238,347.46","42,972,159.89","44,987,142.17","45,119,369.24","49,719,693.23","51,565,187.43","51,090,882.48","46,019,139.23","46,685,949.81","46,142,973.69","47,410,779.64","48,434,905.82","47,844,265.69","47,994,483.58","47,903,039.71","47,862,096.94"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
