科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"27,677,043.16","20,410,920.68","12,469,623.00","17,500,334.96","12,519,802.37","39,081,251.95","49,511,791.20","14,491,069.75","45,240,734.11","74,129,208.26","68,791,205.97","68,076,622.09","35,996,683.73","73,354,860.85","48,114,039.33","38,326,606.52","67,362,013.83","122,148,062.26","92,521,058.88","832,665,133.55","907,111,634.79","977,692,283.90","260,881,789.50","349,894,759.88","509,463,893.22","308,686,546.98","419,053,052.10","747,254,670.05","607,289,189.90","646,643,601.78","321,779,237.52","461,748,082.42","512,552,534.86","525,711,199.36","1,197,992,920.87","1,261,382,882.97","1,256,899,276.91","1,222,766,809.07","1,033,380,252.18","1,394,297,785.11","1,052,703,743.14","1,655,611,980.01","1,295,051,262.18","1,672,180,202.67","1,110,410,523.37"
短期借款,"290,755,595.30","274,705,648.10","266,148,533.68","289,693,196.40","302,784,784.20","330,563,865.70","285,000,000.00","269,000,000.00","337,000,000.00","354,350,560.85","344,845,872.89","312,006,274.48","295,000,000.00","353,000,000.00","315,957,848.00","356,086,566.00","399,271,862.85","451,500,000.00","426,000,000.00","1,617,067,470.48","2,118,994,567.94","2,314,009,646.07","1,360,440,000.25","1,562,898,997.06","1,625,373,272.98","1,363,085,756.05","1,430,650,000.00","1,361,650,000.00","1,081,650,000.00","1,328,650,000.00","1,287,000,000.00","1,030,000,000.00","1,153,420,000.00","1,218,980,000.00","1,180,718,906.24","1,092,240,863.04","955,000,000.00",,"91,000,000.00","491,899,844.30","30,000,000.00",,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00",,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,"80,315,000.00","1,991,045.20","43,320,868.00",,"113,098.00","31,585,871.60","216,656,918.99","283,939,715.40","406,521,952.88","171,300,564.00","193,262,966.56","112,201,280.00","158,192,362.00","188,640,000.00","144,374,696.00","147,076,440.36","244,041,488.78","222,761,122.90","166,712,529.65","71,782,069.67","456,678,303.50","70,714,410.48","169,170,000.00","100,649,968.00","171,587,381.50","78,546,800.81"
应付票据,"10,000,000.00","15,000,000.00","5,000,000.00",,,"20,000,000.00","20,000,000.00",,"477,060.00","477,060.00",,,,,,,,"6,000,000.00","12,000,000.00","423,274,652.10","303,097,707.10","284,499,557.75","304,839,468.50","369,256,043.70","416,854,038.20","504,562,317.80","503,170,764.00","670,037,277.60","659,111,862.90","500,106,660.70","407,856,037.05","697,259,397.85","724,931,945.06","783,789,210.66","761,678,023.26","769,179,655.37","726,827,059.66","547,337,521.32","575,477,238.10","941,051,557.49","1,008,657,078.32","512,870,720.96","359,780,174.52","706,357,000.83","612,405,083.73"
应收账款,"29,216,893.21","30,205,749.78","29,797,973.83","25,533,354.17","35,305,458.27","54,261,342.33","36,100,940.95","20,094,111.16","31,831,572.15","31,502,811.75","36,988,819.35","29,217,645.68","30,698,644.42","37,576,067.41","39,661,906.21","48,012,997.90","44,783,990.28","66,341,111.34","80,491,645.36","592,281,861.32","502,997,927.58","279,292,880.58","261,958,881.13","698,624,159.58","555,796,247.49","534,294,631.55","633,615,814.15","410,648,025.32","408,718,512.58","590,828,575.72","823,640,751.06","898,676,468.08","948,111,309.64","929,854,432.17","1,012,738,859.31","955,139,257.61","999,223,087.52","1,071,022,109.68","1,216,626,198.86","1,080,509,882.41","1,113,585,906.14","1,002,847,770.92","1,031,859,191.49","689,874,265.61","499,400,353.15"
应付账款,"25,567,681.77","26,935,215.78","7,973,950.57","28,659,769.23","26,877,795.35","32,333,336.59","19,926,452.57","28,131,282.68","19,981,746.20","39,840,860.36","18,343,742.19","32,740,013.60","29,481,056.01","40,675,467.92","20,932,079.74","64,001,847.67","39,011,803.59","38,780,403.82","26,075,378.45","746,159,881.15","701,558,575.84","1,111,292,191.99","1,074,315,009.64","933,888,591.15","827,562,075.74","736,019,579.83","764,456,400.23","611,109,698.45","648,449,440.63","858,302,517.47","1,020,248,639.49","925,975,818.59","1,288,767,540.72","1,296,205,583.21","1,264,340,772.54","1,052,401,723.55","1,082,760,544.87","1,219,542,817.31","1,150,607,642.50","927,175,856.07","921,283,772.62","817,634,153.25","736,544,637.15","626,650,102.98","676,468,565.63"
预付款项,"1,165,653.73","3,409,153.40","21,290,679.86","2,725,018.12","2,868,086.97","3,975,979.87","3,124,376.68","1,457,950.07","2,401,239.60","3,453,585.63","2,577,497.76","6,395,247.81","4,974,523.62","3,471,354.90","11,980,680.37","16,546,157.81","14,393,585.77","11,439,367.17","20,380,056.73","320,937,234.62","223,265,238.33","385,406,359.16","296,782,153.87","145,354,158.37","143,188,184.72","103,960,289.04","94,887,603.85","50,118,740.60","50,306,294.84","26,222,657.15","42,546,268.64","60,760,532.46","54,668,430.06","35,952,179.10","75,095,104.39","78,519,281.89","92,227,683.62","133,023,606.34","141,165,321.16","91,630,460.37","81,682,171.50","79,240,274.57","131,335,012.26","29,686,136.99","21,198,059.77"
预收款项,"270,536.15","361,642.26","494,800.41","1,131,564.00","6,598,551.52","5,573,176.08","4,045,405.06","2,443,989.47","6,913,622.34","6,572,775.24","4,828,486.73","3,719,355.84","2,362,129.38","5,553,269.24","6,430,388.19","7,053,696.71","8,191,253.77","17,088,326.24","9,020,560.72","8,336,839.79","10,874,659.74","9,284,781.63","2,306,228.50","20,060,258.76","23,167,977.60","28,115,280.14","65,461,099.94","157,267,151.30","55,872,849.60","56,579,810.05","87,529,235.62","338,744,134.71","224,586,717.23","379,606,005.83","318,923,598.41","299,388,799.32","457,849,598.17","384,434,260.12","104,101,627.82","219,890,991.76","151,651,505.01","346,369,362.11","330,104,108.97","413,510,796.47","273,177,940.34"
其他应收款,"117,681,864.29","112,823,118.67","116,017,533.93","3,016,251.96","2,755,460.15","3,843,738.15","4,335,829.44","4,134,995.21","4,061,348.73","4,035,195.57","14,407,429.39","7,296,366.90","11,060,860.67","10,035,778.26","11,003,176.58","6,708,366.14","12,303,004.56","10,251,912.35","18,124,250.41","7,359,574.27","5,199,955.97","6,856,479.49","5,291,083.10","26,883,761.74","21,650,618.11","26,304,558.03","32,530,725.16","33,677,153.76","39,253,508.57","46,914,058.21","39,468,812.65","14,293,837.00","25,878,353.87","24,246,482.83","19,248,199.02","15,803,520.99","11,517,985.33","29,901,998.10","30,101,043.98","29,915,015.05","21,717,523.12","21,347,416.71","14,133,581.28","17,045,277.65","23,767,662.94"
应付职工薪酬,"2,229,344.63","1,850,503.38","2,481,940.70","11,692,475.86","4,115,258.41","4,387,674.22","3,511,165.98","11,949,301.77","5,517,673.92","3,711,668.05","3,236,837.92","13,761,080.57","4,194,847.79","5,335,410.28","3,541,904.86","23,978,635.88","5,868,379.72","5,424,115.23","5,165,887.32","28,956,078.68","15,959,302.98","14,874,920.88","12,749,902.98","21,617,036.47","12,411,373.96","13,760,965.22","13,714,930.30","19,159,409.44","13,691,182.98","14,398,495.38","16,324,449.22","20,563,907.72","11,765,733.41","13,844,528.70","23,185,788.63","22,511,493.94","18,318,745.65","25,547,107.26","26,514,163.31","30,024,767.80","16,263,502.31","16,677,992.72","18,730,719.65","32,906,274.17","16,637,038.22"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-1,046,375.05","17,158.43","2,487,592.29","-8,265,234.19","-10,327,126.41","-11,507,922.34","-12,105,422.88","-2,096,473.78","-9,417,136.24","-11,132,954.75","-9,943,361.56","-13,854,919.78","-10,111,853.59","-13,558,023.56","-11,795,675.02","-23,527,508.38","-21,208,360.57","-21,035,969.04","-16,494,200.18","-80,535,876.97","-133,668,680.96","-120,315,012.27","-125,369,828.70","-72,512,606.81","-102,767,998.34","-110,002,423.15","-18,705,408.76","28,519,024.06","-17,856,764.06","2,630,613.04","2,874,644.64","16,641,807.51","1,466,899.84","7,917,592.49","8,070,080.15","51,968,400.11","38,746,704.01","153,987,839.07","55,742,436.65","39,560,292.30","19,540,284.44","50,754,463.40","14,576,281.72","9,846,533.49","3,719,336.53"
应收利息,,,,,,,,,,,,,,,,"2,729,162.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,863,982.95"
应付利息,,,,"971,169.62","852,129.95","1,914,767.32","717,595.06","563,401.90","646,151.90","564,119.83","488,311.81","408,043.83","457,782.33","440,528.92","353,497.86","672,049.07","554,308.19","651,941.61","441,515.23","1,752,738.02",,,,"4,951,910.27","2,701,736.67","1,008,000.00",,"3,711,252.99","3,916,764.10","7,514,857.59","1,809,474.01","3,116,666.67",,,"581,304.44","2,390,308.90","1,556,999.71","147,222.22","268,176.38","161,944.45","161,944.45","147,222.24","147,222.25",,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"4,723,942.30",,,,,,"3,215,747.69",,,,,,,,,,,,,,,,,"24,293,565.05",,,,,,,,,,,,,"179,982,968.00",,,
存货,"143,287,856.02","141,073,133.86","117,988,087.37","139,510,453.76","138,416,683.66","128,894,397.10","108,418,335.49","136,779,950.82","126,076,907.26","153,486,171.81","123,418,889.91","135,730,719.76","145,282,006.12","163,666,371.81","145,402,319.58","220,255,377.13","212,585,638.45","206,207,861.26","173,149,768.98","554,128,251.37","720,902,766.24","966,556,803.91","1,018,804,778.13","547,433,574.04","498,468,213.86","430,299,714.93","396,094,174.74","380,103,283.95","484,613,753.86","446,390,594.93","821,261,813.85","863,552,129.19","1,041,022,448.50","1,193,524,962.14","957,438,562.31","670,902,745.65","823,020,929.70","534,106,119.94","506,661,131.23","399,063,991.85","619,971,812.78","375,120,076.81","351,692,893.26","329,035,556.89","597,958,428.02"
其他应付款,"9,447,572.35","24,257,164.50","46,037,253.82","19,694,858.92","20,549,528.69","5,705,149.48","4,792,770.88","4,760,771.30","4,025,604.65","4,472,325.03","3,270,145.48","3,746,018.43","5,759,810.57","8,730,715.69","4,500,861.97","28,896,806.04","29,944,182.78","22,680,362.16","20,795,719.83","33,036,260.47","16,247,458.35","62,805,240.07","81,753,131.24","97,321,610.71","53,256,724.56","19,999,878.67","21,576,239.11","4,872,276.83","4,048,466.94","12,170,822.96","119,398,629.33","44,359,549.52","49,234,166.46","7,405,129.45","38,522,198.17","36,571,598.35","27,264,077.22","20,271,256.56","37,479,309.94","17,775,939.68","14,524,225.88","13,420,573.41","8,491,580.15","5,613,748.69","3,804,021.61"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,"54,900,000.00","54,900,000.00","81,874,229.17","81,874,229.17","22,774,229.17","22,774,229.17","22,774,229.17","92,988,912.61","72,707,536.04","69,892,065.88","6,356,760.83",,"25,052,029.96","25,052,029.96","29,856,264.74","30,597,519.65",,,,,"99,999,999.94","99,999,999.94",,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"12,493,920.00","1,561,740.00",,"2,055,000.00","2,055,000.00","2,055,000.00","2,055,000.00","37,435,000.00","37,435,000.00","37,435,000.00","7,435,000.00","5,380,000.00","5,380,000.00","5,380,000.00","5,380,000.00",,,,,,,,,"74,494,800.00","74,494,800.00","69,494,800.00","10,000,000.00","10,000,000.00","10,000,000.00","350,000,000.00","350,000,000.00","340,000,000.00",,"200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00",,,"240,436,277.30","240,000,000.00","240,438,603.99","245,000,000.00","45,490,811.97","50,000,000.00"
其他流动资产,"406,945.98","349,605.44","764,140.34",,,,,,,,,,,,,,,,,"33,943,498.64","23,984,929.32","38,182,146.09","38,182,146.09","1,564,506.43","1,564,506.43","4,900,076.71","3,934,864.27",,"7,771,768.00","23,639,007.53","31,013,463.56","27,561,171.90","693,093,612.84","599,786,144.49","46,539,785.78","141,440,071.94","23,454,993.24","89,486,593.43","82,645,880.02","162,843,372.76","109,748,743.73","86,693,849.56","84,266,687.14","95,596,883.52","487,514,511.21"
其他流动负债,"8,952,539.09","10,995,468.39","6,926,089.27",,,,,,,,,,,,,"1,086,952.34","1,086,952.34","1,722,525.79","1,722,525.79","3,420,000.00","3,420,000.00","5,820,000.00","5,820,000.00","3,730,000.00","3,730,000.00","4,963,193.77","4,936,720.38","6,586,200.00","6,586,200.00","6,586,200.00","9,746,700.00","9,746,700.00","10,598,200.00","11,323,132.43","11,690,132.43","11,610,132.43","11,610,132.40","12,612,132.51","13,042,132.47","13,042,132.43","13,042,132.43","13,042,132.43","14,340,774.72","14,749,774.68","14,749,774.68"
流动资产合计,"319,436,256.39","308,271,681.83","298,328,038.33","243,185,412.97","246,765,491.42","311,930,938.57","283,365,502.93","199,732,306.18","232,386,031.02","289,381,202.19","339,172,754.99","319,424,138.28","297,904,784.44","294,461,194.06","256,162,122.07","357,630,698.35","376,480,262.85","446,244,579.12","415,264,300.01","2,421,630,553.77","2,385,453,497.43","2,697,307,821.13","1,881,900,831.82","1,919,868,017.98","1,861,717,535.37","1,625,102,736.23","1,864,055,949.67","2,028,323,826.56","1,769,253,591.75","1,973,901,461.88","2,191,911,627.28","2,484,784,583.05","3,463,966,689.77","3,453,450,096.09","3,456,129,872.04","3,367,229,249.83","3,429,105,079.22","3,247,019,766.21","3,082,361,897.10","3,614,938,811.05","3,070,124,310.89","3,390,031,368.58","3,008,988,595.61","3,005,005,704.83","2,821,660,322.22"
流动负债合计,"358,670,814.24","355,684,540.84","337,550,160.74","345,632,799.84","353,505,921.71","395,748,989.35","327,942,966.67","352,187,273.34","402,579,722.77","436,291,414.61","372,505,035.46","361,121,614.66","332,523,772.49","405,557,368.49","345,300,905.60","458,249,045.33","462,720,382.67","522,811,705.81","484,727,387.16","2,781,468,043.72","3,036,483,590.99","3,682,271,326.12","2,716,853,912.41","3,015,706,641.31","2,936,784,001.37","2,631,007,348.33","2,795,260,745.20","2,872,912,290.67","2,489,763,568.14","3,136,939,977.19","3,302,787,809.36","3,426,407,982.57","3,464,771,202.72","3,919,071,182.77","3,807,710,804.27","3,538,262,975.01","3,519,933,861.69","2,363,880,156.37","2,054,232,727.17","2,921,019,603.58","2,415,124,445.46","2,191,338,192.51","1,727,715,499.13","1,855,125,043.28","1,650,961,760.74"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"14,870,000.00","14,870,000.00","14,870,000.00","12,815,000.00","12,815,000.00","12,815,000.00","42,815,000.00","5,380,000.00","5,380,000.00","5,380,000.00","5,380,000.00",,,,,,,,,"130,000,000.00","130,000,000.00","130,000,000.00","455,000,000.00","380,505,200.00","380,505,200.00","380,505,200.00","340,000,000.00","340,000,000.00","440,000,000.00",,,"200,000,000.00","200,000,000.00",,,,,"200,000,000.00","200,000,000.00",,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,"39,460,947.62","40,093,673.85","13,552,170.91","14,084,897.14","72,423,815.59","79,546,921.13","71,620,026.67",,,,"58,298,873.40","39,840,429.96","11,995,496.82","4,765,840.23",,,,,,,"29,006,566.35","24,006,566.35","24,006,566.35","24,006,566.35",,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,"561,385.00","649,445.00","621,945.00","598,845.00","583,745.00","557,345.00","734,045.00","484,038.00","502,038.00","472,838.00","453,538.00","433,138.00","336,138.00","317,538.00","301,138.00","287,638.00","278,038.00","273,338.00","604,833,080.18","583,359,208.35","551,186,516.25","525,239,238.00","530,992,915.35","500,233,238.00","505,693,751.30","475,203,350.61"
长期股权投资,"133,520,025.92","133,566,903.85","135,141,268.22","130,589,515.89","144,574,911.49","148,233,129.38","147,023,040.65","157,069,839.35","175,559,065.55","151,023,983.54","142,851,867.88","142,428,457.27","142,159,845.04","144,211,211.23","143,461,622.84","142,400,568.75","142,849,397.56","145,144,027.11","143,715,116.47","6,000,000.00","6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,,,,,,,,,,,,,,
