科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"84,873,895.64","214,940,891.41","377,783,767.48","656,140,279.86","184,517,682.54","362,189,129.02","641,476,353.47","1,163,462,755.60","180,285,912.52","625,646,267.34","738,263,824.20","1,546,050,678.26","269,729,029.11","582,166,852.99","1,127,478,971.08","1,841,580,888.52","456,196,781.70","510,803,868.42","974,340,435.90","1,961,036,672.58","388,955,620.29","730,578,407.32","1,694,745,396.65","2,810,771,868.69","209,649,768.20","306,534,756.19","531,457,873.11","1,438,380,916.53","238,218,037.00","356,816,839.14","598,711,022.13","1,376,258,978.28","140,317,217.53","271,094,434.98","369,246,917.91","1,184,669,490.53","72,020,380.72","175,121,867.46","263,578,582.05","1,042,670,360.80","178,443,374.80","824,476,002.15","1,372,858,312.73","1,283,299,279.43","500,433,528.97"
取得子公司及其他营业单位支付的现金净额,,,"36,202,663.09",,,"12,450,381.47","12,450,381.47",,,"2,389,064.07","7,938,544.07",,,,"22,400,000.00",,,,,,,"33,450,000.00",,"15,214,719.29",,,,"11,315,968.18",,,,"2,460,876.30",,,,,,,,,,,,,
收到的税费返还,,,"435,882.27","763,341.97",,,"347,145.38",,,,,,,,,,,,,,,"3,876,150.00","3,876,150.00",,,,,,,,,,,,,,,,,,,"409,000.00",,,
支付其他与投资活动有关的现金,,,"40,575.00",,,,,,829.42,829.42,829.42,,,,,264.88,,,,,,,"439,518.62","14,463,807.07",,,,"10,600,000.00",,,,"7,002,237.14",,,,"4,584,093.76","560,728.23",,,"23,000,000.00",,,,"1,500,300.00",
收到其他与经营活动有关的现金,"25,871,309.88","3,806,916.51","70,537,998.62","58,825,897.27","4,827,269.62","120,872,915.17","228,648,752.52","53,627,809.47","116,788,528.78","189,242,342.94","184,978,116.60","45,750,992.93","133,432,571.98","99,956,339.81","122,728,534.40","27,879,943.77","114,007,016.61","17,741,191.96","19,788,723.89","35,394,684.43","199,324,876.41","4,800,470.90","45,037,741.65","88,060,235.73","450,523,169.51","58,010,492.07","68,556,906.87","126,986,903.58","20,535,532.83","28,587,985.44","48,351,782.40","146,259,058.01","15,962,794.82","86,204,024.08","40,401,763.03","56,142,267.06","6,898,907.94","37,541,994.10","51,189,620.07","67,997,093.76","20,329,691.21","40,790,535.86","51,136,744.06","227,480,447.90","15,999,560.24"
投资活动现金流出小计,"11,042,710.60","38,783,534.00","169,739,477.96","237,663,466.58","25,482,786.09","45,737,264.78","55,410,527.14","48,516,362.86","16,055,196.68","74,240,097.31","92,490,352.63","132,077,889.60","20,633,405.01","26,648,102.96","68,558,047.44","122,124,386.27","34,934,508.92","57,438,928.63","71,662,433.33","146,233,903.46","60,667,634.48","108,997,279.75","196,223,619.21","296,130,372.83","25,367,469.94","197,439,108.51","394,251,153.83","730,868,386.50","22,223,265.08","48,332,656.27","57,693,697.43","134,978,331.77","13,504,856.81","14,536,898.52","12,682,725.40","49,344,276.35","2,841,054.77","27,983,171.74","34,827,967.39","43,520,991.69","4,054,564.16","5,668,859.10","31,799,540.59","67,601,008.53","15,535,871.62"
经营活动现金流入小计,"110,745,205.52","218,747,807.92","448,757,648.37","715,729,519.10","189,344,952.16","483,062,044.19","870,472,251.37","1,217,090,565.07","297,074,441.30","814,888,610.28","923,241,940.80","1,591,801,671.19","403,161,601.09","682,123,192.80","1,250,207,505.48","1,869,460,832.29","570,203,798.31","528,545,060.38","994,129,159.79","1,996,431,357.01","588,280,496.70","739,255,028.22","1,743,659,288.30","2,898,832,104.42","660,172,937.71","364,545,248.26","600,014,779.98","1,565,367,820.11","258,753,569.83","385,404,824.58","647,062,804.53","1,522,518,036.29","156,280,012.35","357,298,459.06","409,648,680.94","1,240,811,757.59","78,919,288.66","212,663,861.56","314,768,202.12","1,110,667,454.56","198,773,066.01","865,675,538.01","1,423,995,056.79","1,510,779,727.33","516,433,089.21"
投资活动产生的现金流量净额,"-11,040,710.60","-38,009,231.04","-169,731,411.56","-237,565,062.00","-25,479,702.09","-45,734,180.78","-55,404,443.14","-48,261,250.21","-16,055,196.68","-74,197,177.31","-92,376,731.73","-126,331,799.60","-9,626,232.42","-15,620,370.37","-57,509,754.85","-100,020,087.75","-34,704,658.92","-57,015,078.63","-66,890,912.74","-130,905,228.07","-60,650,834.48","-108,980,479.75","-196,206,819.21","-291,457,429.09","-25,342,200.90","-110,198,444.94","-282,317,972.10","-369,665,288.39","-22,169,977.58","-48,279,368.77","-57,640,409.93","66,501,524.58","-3,999,406.15","-3,762,485.56","-1,925,227.38","-37,849,167.67","-2,796,660.55","-14,439,781.74","-20,094,577.39","-28,225,730.87","-2,519,170.76","2,866,534.30","-17,264,147.19","-44,020,568.39","-15,285,871.62"
购买商品、接受劳务支付的现金,"129,260,063.25","106,999,556.34","314,802,480.73","629,244,852.93","235,950,377.02","330,352,555.70","571,950,283.89","1,304,671,313.68","131,737,656.44","246,704,405.45","256,847,422.36","1,560,848,338.49","235,911,572.31","317,983,848.17","686,264,701.85","1,912,124,711.44","550,891,731.70","468,793,431.56","706,326,904.57","1,793,332,384.11","425,583,693.56","701,820,375.57","1,187,810,790.58","1,989,477,640.34","195,500,863.61","379,875,570.03","472,204,493.61","1,299,471,374.00","247,690,365.00","355,636,199.28","446,296,635.07","1,170,964,477.05","175,690,446.78","86,751,139.97","268,064,700.67","986,202,157.95","119,657,712.42","58,782,653.40","109,273,317.30","885,541,522.12","249,806,760.87","848,278,406.12","1,281,167,167.67","1,552,754,854.61","404,989,355.60"
吸收投资收到的现金,,,,,"298,473,837.53","298,473,837.53","298,473,837.53","304,683,984.86","500,000.00",,"500,000.00","500,000.00","6,760,000.00","6,760,000.00","15,360,000.00","20,595,876.00",,"220,000.00","220,000.00","11,880,000.00",,"54,000,000.00","67,935,600.00","67,935,600.00",,"9,500,000.00","109,500,000.00","80,000,000.00",,"30,000,000.00","30,000,000.00","527,499,992.30",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"21,020,574.52","37,033,066.35","44,462,313.33","59,038,426.57","13,877,189.78","28,397,739.72","85,645,798.09","66,385,166.82","62,424,478.85","85,153,451.04","109,144,132.77","79,280,455.78","13,807,642.34","33,972,609.85","64,142,644.63","99,634,771.89","11,846,528.68","43,192,102.24","70,606,478.62","121,718,756.23","17,509,784.57","41,302,729.54","62,136,914.98","105,284,598.93","8,564,921.96","17,017,167.48","25,762,541.63","98,059,830.93","17,522,809.85","39,425,243.97","64,261,367.81","101,129,041.11","19,070,614.36","33,317,215.29","58,405,615.94","92,733,548.86","10,237,840.80","23,016,661.90","61,448,928.12","95,901,492.78","19,794,937.96","41,367,222.22","61,670,333.79","97,448,056.67","14,493,459.58"
取得借款收到的现金,"30,000,000.00","100,000,000.00","720,000,000.00","781,000,000.00","110,000,000.00","110,000,000.00","587,962,000.00","787,962,000.00","259,500,000.00","291,500,000.00","933,500,000.00","1,497,000,000.00","168,000,000.00","234,000,000.00","798,000,000.00","1,548,000,000.00","730,540,000.00","938,490,000.00","1,428,490,000.00","2,224,200,000.00","256,000,000.00","377,000,000.00","551,000,000.00","1,139,000,000.00","125,000,000.00","240,000,000.00","720,700,000.00","1,344,380,000.00","76,000,000.00","182,000,000.00","644,630,000.00","1,063,600,000.00","180,000,000.00","180,000,000.00","218,215,200.00","767,600,000.00","172,800,000.00","185,000,000.00","515,000,000.00","782,000,000.00","80,000,000.00","218,000,000.00","321,500,000.00","580,100,000.00","209,000,000.00"
