科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"2,000,718,083.62","2,528,733,480.96","2,767,388,954.55","2,623,827,739.34","3,075,593,569.43","2,816,283,620.04","2,189,232,589.05","2,545,278,399.27","2,480,653,513.06","1,957,412,878.39","2,685,897,849.45","2,524,504,130.57","3,620,930,832.77","3,819,678,920.19","4,225,475,640.70","3,170,119,276.32","3,951,256,936.00","3,993,532,226.17","2,852,534,546.45","4,310,264,125.27","5,466,006,367.17","4,205,568,154.76","4,332,811,805.87","5,032,907,327.39","5,476,452,769.53","3,591,817,352.91","3,525,582,122.12","3,557,556,886.18","4,207,829,619.60","5,234,236,992.19","5,296,568,560.54","4,837,915,450.30","6,005,200,849.68","6,253,646,521.81","6,306,149,340.90","5,873,284,608.31","5,514,352,744.86","5,561,820,038.77","5,690,772,940.57","5,111,946,039.53","5,219,071,940.30","5,527,236,164.25","5,737,659,269.77"
短期借款,"1,966,000,000.00","1,866,000,000.00","1,816,000,000.00","2,066,000,000.00","2,066,000,000.00","2,066,000,000.00","2,616,000,000.00","3,350,000,000.00","3,817,000,000.00","3,877,000,000.00","3,800,000,000.00","3,560,000,000.00","4,700,000,000.00","4,540,000,000.00","4,690,000,000.00","4,694,200,000.00","4,566,200,000.00","5,137,473,320.00","4,781,158,230.00","4,522,642,520.00","5,371,624,040.00","5,556,580,832.50","5,666,068,304.00","6,781,550,233.77","7,661,883,320.04","8,174,276,149.82","8,200,943,988.83","7,698,457,276.10","7,115,037,084.91","6,891,923,167.46","7,163,763,904.81","6,944,763,904.81","6,402,000,000.00","6,302,000,000.00","6,702,000,000.00","6,680,000,000.00","6,040,000,000.00","6,210,000,000.00","6,100,000,000.00","6,300,000,000.00","5,870,000,000.00","5,650,000,000.00","5,650,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,"16,849,532.52","16,849,532.52","18,609,931.44","18,609,931.44","16,199,861.49","16,199,861.49","13,370,648.94","13,370,648.94","21,543,929.64","21,543,929.64","27,390,968.91","27,390,968.91","40,405,346.64","40,405,346.64","67,481,958.60","67,481,958.60","42,081,917.04","42,081,917.04","32,308,335.76","32,308,335.76","39,251,958.10","39,251,958.10","34,392,226.73","34,392,226.73"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"347,291,548.98","252,816,167.74","1,201,832,121.97","1,354,943,781.94","933,061,355.12","865,049,389.56","696,221,290.83","725,219,632.13","1,698,162,456.01","2,794,558,974.38","2,069,316,824.43","2,210,195,960.45","2,740,466,508.05","2,776,122,313.51","3,243,094,880.45","3,537,985,915.98","4,200,205,678.83","4,169,644,405.51","4,502,292,503.18","3,472,441,695.67","3,736,271,263.00","2,913,771,308.16","2,728,398,539.03","2,664,508,621.13","2,074,816,481.58","3,840,374,623.63","2,670,246,392.25","613,934,901.36","1,247,065,450.37","1,939,344,917.93","1,843,346,668.91","1,003,912,163.32","1,029,275,514.16","876,801,915.80","497,027,741.45","393,738,197.86","812,979,843.07","79,424,407.86","152,402,777.22","948,220,326.03","681,833,498.95","717,562,716.14","1,244,814,372.32"
应付票据,"787,500,000.00","937,700,000.00","903,800,000.00","840,500,000.00","1,396,700,000.00","1,998,000,000.00","2,230,000,000.00","1,860,000,000.00","1,880,000,000.00","1,530,000,000.00","1,495,000,000.00","1,920,000,000.00","2,125,000,000.00","2,963,050,000.00","3,083,050,000.00","3,220,228,640.00","3,759,428,640.00","4,247,950,000.00","3,438,503,400.00","3,116,417,575.67","3,694,417,575.67","3,750,813,446.14","3,855,799,000.00","4,125,999,000.00","4,370,200,000.00","4,270,000,000.00","4,283,000,000.00","5,368,000,000.00","5,824,000,000.00","6,210,000,000.00","6,294,400,000.00","6,039,920,000.00","6,239,520,000.00","6,932,000,000.00","7,567,837,975.20","7,853,159,924.25","8,178,084,312.39","7,403,176,718.93","7,370,041,106.70","6,670,182,548.71","6,500,723,639.92","6,479,800,000.00","6,654,600,000.00"
应收账款,"36,314,665.58","57,185,670.40","24,913,279.42","10,379,012.31","52,628,159.15","112,601,003.93","285,867,996.73","133,411,056.12","77,598,667.70","78,662,605.13","155,518,863.03","192,697,047.55","115,087,064.13","220,179,122.93","365,563,044.13","253,347,020.12","236,774,243.90","243,014,393.10","245,045,246.19","220,678,451.96","167,373,576.31","166,847,880.21","177,682,504.30","147,046,072.40","204,281,787.66","350,298,062.91","261,100,256.05","215,558,200.47","198,901,434.30","322,241,065.70","264,282,877.66","300,851,760.03","657,053,763.19","825,511,910.05","1,046,411,924.66","1,086,324,627.72","1,136,595,015.14","1,178,672,800.71","1,185,291,365.20","1,080,374,615.85","1,095,811,751.00","1,017,532,470.94","907,317,950.40"
应付账款,"1,590,212,182.39","3,061,323,447.69","3,002,435,998.78","3,527,468,138.91","4,359,018,177.59","5,698,063,724.10","5,334,695,961.26","4,615,681,700.25","3,822,903,668.37","4,028,342,029.38","3,363,857,325.16","2,842,095,934.16","3,549,238,050.77","3,317,138,302.78","3,084,227,788.13","2,793,111,621.07","2,829,501,539.03","2,903,944,561.10","3,566,099,366.31","4,130,709,966.59","3,868,671,073.66","3,402,128,657.86","3,543,321,658.82","3,891,627,247.20","4,799,105,657.37","6,056,948,092.68","5,277,318,798.75","4,864,415,361.58","6,550,069,492.09","7,672,902,685.02","7,518,800,426.73","6,104,040,139.69","6,565,714,330.13","6,796,078,996.88","6,195,943,166.38","5,531,845,359.38","5,845,899,128.61","5,499,494,330.86","5,745,333,275.44","6,237,921,048.36","7,671,766,331.34","7,063,699,873.38","6,640,755,567.34"
预付款项,"300,222,651.91","249,183,295.44","427,586,935.68","497,465,356.37","945,458,154.37","1,489,606,520.03","915,889,945.16","365,658,430.59","536,518,339.50","582,471,142.49","533,605,262.09","352,710,904.98","356,535,642.65","401,380,746.85","455,004,657.90","689,552,014.93","894,381,322.20","705,185,822.26","632,088,481.67","493,121,155.05","524,421,658.43","627,390,522.33","602,628,390.69","574,556,527.66","492,159,622.23","311,792,569.44","652,173,608.05","333,743,266.59","430,670,650.71","395,206,356.37","545,486,724.97","67,289,584.00","64,892,611.43","82,303,505.63","87,829,823.52","50,889,298.27","93,396,604.79","64,163,334.90","166,898,348.12","81,763,269.40","229,425,857.77","183,274,184.30","191,010,642.09"
预收款项,"797,943,985.86","760,132,563.22","1,423,116,471.54","1,748,095,475.64","1,954,873,545.70","3,023,653,200.74","2,499,114,787.04","1,493,309,539.30","1,381,089,749.64","1,590,541,940.25","1,928,958,577.50","1,846,448,849.11","1,943,926,789.71","1,537,233,593.93","1,864,278,905.75","1,949,428,175.11","1,964,329,675.15","1,586,621,391.75","1,678,334,422.97","1,174,308,624.00","1,280,230,108.26","835,161,668.23","1,107,722,773.21","1,188,050,286.96","1,085,007,054.63","1,453,560,344.36","1,528,986,871.99","1,249,579,455.86","1,081,019,956.62","760,600,875.34","800,537,964.40","776,752,013.63","557,268,821.50","370,085,011.67","423,649,097.47","393,264,495.33","475,079,476.90","534,796,762.36","846,217,192.79","1,257,510,692.14","1,267,097,758.27","1,572,763,508.48","1,490,441,036.52"
