科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"1,130,564,730.00","839,451,196.00","1,196,608,134.00","1,417,683,751.00","2,006,701,775.00","7,736,186,029.00","5,454,376,013.00","6,799,363,846.00","6,111,472,260.00","5,036,505,036.00","3,565,101,197.00","3,627,038,896.00","4,313,730,860.00","2,749,004,016.00","2,969,518,025.00","2,735,874,319.00","3,070,029,060.00","8,063,111,766.00","6,803,674,986.00","8,027,805,897.00","6,747,871,335.00","5,846,480,308.00","6,747,762,011.00","8,233,705,309.00","9,394,323,734.00","9,248,764,007.00","10,219,933,651.00","11,255,936,060.00","9,538,430,632.00","10,422,194,044.00","13,364,284,790.00","14,151,606,026.00","13,322,477,064.00","14,112,767,135.00","13,429,602,707.00","14,471,446,152.00","16,897,746,369.00","10,284,387,972.00","12,862,338,769.00","15,585,983,488.00","16,546,405,238.00","20,785,359,188.00","20,735,221,063.00","24,759,779,144.00","26,217,144,765.00","24,946,674,645.00"
短期借款,"1,620,000,000.00","1,640,000,000.00","1,670,000,000.00","2,479,133,436.00","3,881,070,673.00","3,548,744,540.00","2,564,145,995.00","2,268,375,685.00","1,196,292,000.00","990,000,000.00","580,000,000.00","1,705,719,775.00","1,808,333,550.00","2,699,155,204.00","2,933,703,379.00","2,030,000,000.00","2,447,449,873.00","1,665,000,000.00","982,900,000.00","845,800,000.00","803,855,161.00","1,447,352,109.00","1,346,250,000.00","995,518,713.00","825,484,171.00","1,289,129,184.00","1,054,176,789.00","471,937,556.00","656,246,979.00","736,593,520.00","423,050,000.00","272,380,116.00","545,810,974.00","1,370,264,355.00","770,132,474.00","859,871,964.00","1,346,915,735.00","1,432,147,490.00","1,322,809,887.00","1,275,213,970.00","1,187,960,748.00","1,039,670,161.00","967,664,200.00","934,810,900.00","827,519,838.00","958,422,903.00"
交易性金融资产,,,,,,,,,"2,053,600.00",,,,,,,"1,753,000.00","4,152,155.00","113,598,548.00","49,654,845.00","77,302,768.00","74,409,772.00","68,865,590.00","82,316,528.00","108,358,340.00","99,616,875.00","27,639,573.00","32,674,585.00","40,959,789.00",,,,"20,343,265.00","54,381,457.00","34,875,974.00",,,,,,,,,,"2,306,632.00","9,975,250.00","32,291,512.00"
交易性金融负债,,"31,180,034.00","14,602,251.00",,,,,,,,,,,,,,,,,,,"1,782,268.00",,,,,,,"3,598,100.00","4,063,700.00","169,780.00","1,472,704.00",,,"30,081,694.00","6,393,050.00","2,589,650.00","2,613,451.00","643,200.00",,,,"275,946.00",,,
应收票据,"455,502,088.00","667,189,045.00","1,006,632,905.00","3,241,431,916.00","3,080,487,718.00","3,127,643,327.00","3,486,878,081.00","3,762,045,813.00","2,033,162,867.00","1,426,160,680.00","1,629,883,663.00","2,615,027,343.00","2,034,692,764.00","3,153,270,273.00","3,921,815,379.00","5,918,292,966.00","5,512,789,984.00","7,297,447,075.00","9,103,077,122.00","10,596,837,727.00","7,381,451,220.00","5,571,412,116.00","7,120,481,188.00","8,169,484,733.00","6,428,107,261.00","5,245,848,965.00","5,770,607,471.00","7,185,927,027.00","5,551,521,030.00","4,581,284,852.00","3,575,975,812.00","3,908,887,144.00","3,307,953,081.00","3,438,653,236.00","4,155,666,959.00","4,495,183,746.00","3,940,590,278.00","4,903,721,895.00","5,841,150,887.00","6,511,093,870.00","6,280,061,796.00","7,784,578,415.00","9,391,658,419.00","11,127,342,544.00","11,490,696,534.00",
应付票据,,,,,,,,,"207,000,000.00","1,137,335,229.00","1,542,974,906.00","940,943,452.00","401,881,775.00",,,,,"10,000,000.00","40,000,000.00","41,000,000.00",,"7,000,000.00","17,500,000.00","14,000,000.00","3,500,000.00",,,,"163,500,000.00","118,500,000.00",,,,,,,,,,,,,,,,
应收账款,"392,887,368.00","503,073,530.00","365,367,825.00","229,507,194.00","260,471,452.00","262,038,167.00","350,866,926.00","446,538,846.00","410,786,267.00","445,036,920.00","410,570,292.00","442,496,851.00","364,646,698.00","434,711,515.00","375,521,839.00","499,484,150.00","441,010,116.00","475,736,886.00","425,386,066.00","343,469,222.00","257,232,208.00","238,278,824.00","229,727,184.00","230,370,381.00","189,620,375.00","230,493,769.00","195,356,034.00","358,861,379.00","389,158,789.00","376,021,025.00","389,753,966.00","333,247,400.00","375,108,881.00","363,989,422.00","348,282,277.00","422,052,404.00","528,457,521.00","613,179,913.00","546,292,303.00","654,679,046.00","520,734,322.00","632,273,096.00","769,852,717.00","1,059,713,200.00","1,028,577,614.00",
应付账款,"1,490,146,164.00","1,085,333,183.00","1,017,999,555.00","1,930,815,405.00","1,584,065,024.00","1,624,430,487.00","1,976,664,301.00","3,470,635,887.00","2,922,275,697.00","2,875,106,895.00","2,815,090,900.00","3,339,169,076.00","2,698,756,864.00","3,392,728,863.00","3,558,527,926.00","4,004,706,340.00","3,787,268,178.00","4,380,380,058.00","4,535,254,735.00","5,051,086,678.00","4,487,067,171.00","4,811,028,163.00","5,483,200,367.00","5,137,266,984.00","4,554,452,161.00","3,732,328,091.00","3,040,238,621.00","3,852,487,334.00","3,358,189,671.00","3,990,814,736.00","4,082,330,501.00","4,024,948,109.00","3,218,800,907.00","3,795,958,914.00","3,977,248,796.00","3,904,053,518.00","3,424,860,515.00","3,942,006,462.00","3,767,632,249.00","4,379,278,388.00","3,942,774,007.00","4,114,239,306.00","4,412,477,647.00","4,986,281,006.00","4,590,694,718.00",
预付款项,"422,508,010.00","501,110,814.00","553,634,692.00","348,691,593.00","369,550,728.00","622,224,718.00","732,897,280.00","305,900,926.00","293,850,267.00","334,557,469.00","382,300,186.00","380,408,669.00","388,696,131.00","396,325,895.00","379,681,471.00","507,977,188.00","515,152,808.00","609,396,596.00","624,236,416.00","619,578,147.00","785,675,574.00","563,690,047.00","640,102,623.00","674,136,879.00","575,342,102.00","630,147,775.00","624,304,174.00","726,595,963.00","746,089,822.00","832,329,630.00","919,048,694.00","533,551,061.00","552,315,967.00","584,647,785.00","626,365,956.00","442,277,513.00","500,363,671.00","762,703,377.00","891,039,384.00","581,050,657.00","753,741,386.00","836,390,899.00","746,514,260.00","801,888,763.00","812,410,657.00","934,609,608.00"
预收款项,"299,442,463.00","326,367,013.00","424,593,007.00","414,063,474.00","381,615,866.00","472,238,834.00","502,956,621.00","547,375,471.00","543,804,870.00","462,325,871.00","629,753,078.00","551,897,980.00","613,080,249.00","537,736,411.00","931,100,202.00","763,115,723.00","728,715,723.00","844,920,854.00","1,205,591,579.00","901,084,881.00","873,645,711.00","834,048,493.00","1,467,152,321.00","985,706,168.00","1,057,819,889.00","980,794,280.00","1,472,478,495.00","1,261,045,512.00","1,333,462,338.00","1,071,586,731.00","1,450,161,666.00","1,092,772,458.00","881,123,584.00","1,089,032,577.00","1,558,581,035.00","1,355,100,411.00","1,267,769,752.00","1,196,108,054.00","1,865,711,489.00","1,550,141,571.00","1,781,054,476.00","1,743,925,927.00","2,872,820,499.00","2,143,823,124.00","2,548,282,129.00",
