科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"348,526,002.81","1,148,426,923.00","820,216,951.25","520,164,156.00","786,030,867.77","1,288,564,689.31","1,025,271,588.08","921,126,526.18","1,016,539,902.67","549,667,249.61","1,938,952,934.25","1,855,618,473.33","1,898,223,151.54","2,267,753,253.82","2,635,452,213.43","2,400,715,716.48","3,256,742,415.28","3,696,187,519.96","4,199,790,635.11","3,693,437,739.33","3,902,135,919.01","4,732,319,744.49","4,623,688,207.86","4,248,929,960.84","4,770,076,865.71","5,467,776,601.39","4,434,398,954.33","3,844,783,918.46","3,764,062,419.85","3,280,981,664.37","3,124,551,413.78","2,465,895,188.36","2,467,296,427.18","2,748,655,712.95","2,839,543,089.93","2,717,989,837.24","2,963,371,404.96","2,750,649,665.35","3,659,317,562.58","2,977,625,796.66","2,777,769,664.13","2,342,668,331.32","2,010,577,441.91","1,749,985,524.31"
短期借款,"1,018,227,267.38","1,484,900,000.00","1,358,896,767.52","1,607,649,958.00","1,681,646,767.52","1,709,896,767.52","1,679,000,000.00","1,882,982,595.90","2,437,180,743.06","2,175,998,352.66","1,954,200,000.40","2,119,950,504.00","1,784,450,579.99","1,996,294,856.50","2,081,005,187.00","2,035,464,123.36","2,271,500,000.00","2,476,850,000.00","2,262,500,000.00","2,508,053,328.85","2,791,908,613.90","2,282,300,000.00","2,889,105,001.00","2,899,021,401.11","2,800,659,975.45","3,115,004,079.99","2,605,704,846.66","2,373,403,334.49","2,477,514,113.60","2,434,981,811.81","2,401,485,585.38","2,382,088,747.31","2,484,588,747.31","2,864,757,115.22","3,244,618,767.91","3,174,018,767.91","3,094,018,767.91","2,864,598,792.00","3,318,845,611.40","2,981,532,019.40","1,903,732,019.40","1,418,780,800.00","746,272,552.38","611,904,550.00"
交易性金融资产,"1,000,000.00",,,,,,,,"2,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"947,450.00","2,848,280.00","2,035,175.00","259,375.00","199,165.00","243,110.00",,,"335,560.00","2,824,077.00","5,105,370.00","39,779,842.50","5,069,500.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"117,169,069.39","280,684,433.00","375,262,012.20","60,184,708.00","207,142,134.78","181,757,167.01","83,557,716.88","50,482,449.68","87,920,052.08","58,726,216.57","78,794,223.57","90,437,225.46","137,311,410.27","268,313,330.39","545,165,727.09","262,697,397.02","549,156,554.80","319,092,162.96","586,490,224.64","452,928,246.08","588,253,275.33","237,683,118.44","508,762,900.48","312,735,743.89","250,659,923.75","359,685,912.33","384,623,619.88","89,308,506.46","226,854,762.02","105,742,736.10","64,103,487.48","45,539,875.36","31,927,147.19","102,511,860.78","43,477,130.62","104,366,861.32","108,266,155.91","78,663,672.80","115,227,234.74","170,298,891.33","266,607,008.33","134,994,726.59","99,085,014.32","55,222,941.85"
应付票据,"440,000,000.00","440,000,000.00","472,400,000.00","627,450,000.00","750,000,000.00","1,306,000,000.00","1,824,380,000.00","1,949,500,000.00","1,679,380,000.00","1,271,410,805.60","1,639,385,805.60","1,745,315,000.00","1,810,735,100.00","1,934,614,993.40","2,906,351,033.40","3,108,225,434.78","3,724,158,930.54","4,588,630,336.63","4,468,955,227.38","4,502,763,710.62","5,528,339,850.42","6,372,920,041.14","5,958,723,001.49","5,524,197,094.15","6,485,662,187.74","6,723,273,480.73","6,894,330,121.43","7,001,092,108.26","7,153,046,571.57","6,092,253,369.10","5,419,953,133.80","5,003,930,252.06","5,130,465,038.27","5,785,899,938.47","5,499,329,308.51","5,754,930,837.89","6,073,723,885.37","5,984,901,747.18","6,362,850,841.93","6,133,727,493.96","4,575,399,381.28","4,143,365,581.53","4,528,501,947.17","3,643,115,814.80"
应收账款,"114,977,882.40","169,456,241.00","167,931,179.06","35,028,114.00","139,567,391.10","99,563,294.83","121,378,004.74","54,919,739.16","100,289,155.50","97,900,565.54","71,821,090.73","83,525,341.07","115,292,140.80","128,830,501.45","118,936,876.78","129,448,846.80","469,410,619.83","526,837,161.93","526,130,777.27","401,234,824.44","521,474,637.56","405,238,906.39","434,284,205.10","520,682,040.03","554,952,197.14","600,288,806.13","513,904,767.24","629,768,284.41","705,436,629.45","597,930,077.80","445,027,493.48","314,967,759.75","408,500,913.66","344,030,577.95","373,310,219.72","238,424,993.53","387,783,203.54","293,971,694.60","327,263,626.47","447,780,922.97","404,168,303.26","445,762,775.57","473,766,789.49","496,761,699.21"
应付账款,"469,877,299.23","230,103,214.00","497,714,441.93","411,401,686.00","984,216,088.12","1,056,190,623.22","1,518,899,171.81","1,225,763,060.03","757,491,923.20","1,131,727,822.20","1,165,211,091.20","956,481,935.10","1,188,366,190.37","918,548,522.74","716,802,376.54","1,046,318,640.41","881,357,348.56","1,234,076,941.14","870,920,694.80","1,088,043,948.93","1,015,232,869.47","988,915,175.13","967,577,279.21","937,630,491.41","947,281,549.89","1,093,016,360.88","1,324,281,583.34","1,184,191,071.08","1,287,370,747.69","1,363,781,275.97","1,547,252,938.67","1,862,257,924.67","1,687,955,170.56","1,633,129,402.03","1,773,509,262.05","1,463,810,882.60","1,499,063,258.88","1,601,971,166.20","1,444,969,480.82","1,367,847,089.19","1,037,719,347.50","1,126,516,634.39","1,446,869,123.13","1,700,209,375.04"
预付款项,"403,133,152.54","219,425,123.00","538,492,149.85","561,601,068.00","344,706,736.59","464,200,202.68","673,313,567.02","554,073,704.09","614,004,608.55","723,594,304.99","1,002,061,516.47","786,180,026.62","1,003,446,976.66","741,867,188.25","1,238,705,160.29","1,568,771,891.92","2,981,558,859.33","1,632,038,168.95","1,566,762,960.48","2,211,261,649.04","1,640,146,347.05","1,684,780,087.84","1,820,949,997.04","1,735,165,089.24","1,711,638,611.32","1,424,301,456.57","1,546,816,748.15","1,001,922,638.99","932,023,047.91","692,413,850.82","844,373,936.80","545,532,972.63","482,512,607.33","520,809,634.37","656,063,733.34","410,172,072.50","596,446,763.83","456,611,885.08","560,915,983.83","849,641,842.14","591,584,791.95","715,132,234.79","966,585,827.41","696,091,821.21"
预收款项,"124,584,307.68","6,718,208.00","170,472,966.13","60,412,838.00","70,734,880.93","194,779,012.83","191,137,175.84","159,154,926.77","447,666,534.38","301,892,346.19","158,694,621.18","527,198,655.08","501,172,233.00","516,433,294.66","633,619,292.50","605,494,879.96","494,704,416.59","501,486,207.50","469,759,993.12","357,551,409.74","331,158,083.97","365,058,977.57","420,750,134.69","377,073,339.19","401,855,710.47","205,493,717.68","182,739,908.06","242,529,906.92","419,731,525.45","138,314,577.34","781,929,646.58","716,903,211.70","490,373,914.91","234,490,370.92","1,046,416,258.91","553,083,927.07","858,484,934.97","969,484,460.25","956,853,215.92","705,270,346.09","764,442,062.36","744,802,388.51","1,092,051,974.70","1,267,017,203.16"
其他应收款,"25,540,549.81","31,765,114.00","102,942,532.68","352,425,628.00","783,914,187.52","152,074,152.76","79,041,796.04","68,403,909.69","13,946,431.70","20,388,784.10","51,749,142.59","49,267,368.08","46,829,043.21","59,575,498.86","74,966,503.22","40,026,941.50","180,051,969.01","565,987,135.44","605,264,639.72","789,443,177.24","698,987,413.91","708,279,766.41","816,743,664.33","403,275,903.59","445,826,214.55","380,656,673.50","505,309,994.92","393,284,052.15","360,453,970.17","418,618,341.09","437,444,347.61","623,753,613.35","585,121,101.42","554,325,184.52","544,645,086.34","470,740,793.91","349,507,667.76","388,654,457.82","457,505,846.40","349,897,920.83","340,002,116.35","424,210,412.60","368,597,301.79","361,362,582.10"
应付职工薪酬,"32,120,768.99","33,424,720.00","34,500,405.68","8,224,876.00","12,537,417.80","8,416,191.70","15,564,580.59","7,485,554.76","5,940,767.55","8,154,280.02","8,441,357.49","11,717,873.31","9,908,418.63","11,614,957.67","13,145,647.67","15,787,847.00","10,153,000.27","10,604,416.93","10,542,132.27","41,087,023.75","5,853,611.46","9,274,201.99","7,124,004.19","31,312,361.43","1,976,041.85","7,731,101.73","16,781,135.29","69,781,031.03","38,720,963.59","52,271,882.48","54,455,637.68","65,683,525.38","36,558,040.19","47,861,249.95","53,980,947.27","74,494,813.75","32,673,675.01","32,079,820.07","31,522,589.84","62,396,076.79","22,571,568.83","23,886,828.68","21,650,495.87","71,759,604.43"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"51,838,166.65","72,398,889.00","61,209,680.73","61,765,842.00","124,389,872.18","88,309,749.43","54,744,771.28","3,143,409.80","1,297,541.21","-44,231,442.66","-44,127,489.86","-49,502,053.19","-16,524,431.78","-144,048,406.07","-209,121,418.43","-194,642,530.67","-99,880,946.01","-62,555,885.60","-26,947,369.91","-118,423,581.19","-148,655,056.24","-236,163,135.11","-283,402,157.06","-224,735,093.71","-221,692,755.32","-235,963,123.44","-234,115,463.46","23,644,801.11","25,555,252.26","31,226,580.73","18,199,733.06","39,147,277.89","37,314,752.31","37,285,796.68","34,743,585.11","30,449,508.75","55,333,892.26","55,134,406.01","68,816,010.14","44,384,776.00","28,987,494.99","37,625,404.21","37,828,854.06","34,052,262.20"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
