科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,809,909,953.80","3,426,190,112.45","5,320,672,543.69","7,393,785,756.64","3,828,360,466.79","5,923,527,116.13","8,203,123,396.89","10,686,764,937.31","3,299,726,939.08","6,418,066,256.39","9,026,649,741.08","12,637,440,839.66","5,465,100,011.68","8,499,566,438.55","11,580,484,254.02","17,169,374,567.25","6,932,403,378.04","13,233,331,738.71","19,030,268,366.07","24,477,124,392.77","8,486,363,095.61","15,665,865,047.10","24,086,453,006.13","30,664,364,409.06","10,751,172,961.96","21,692,397,018.98","30,495,976,889.80","41,651,772,599.00","11,516,457,863.37","21,258,092,909.85","29,433,621,802.46","42,970,408,375.03","12,565,594,376.76","23,032,071,350.33","29,969,890,616.26","44,578,687,766.01","12,129,906,540.38","22,459,710,950.44","30,140,048,917.39","44,431,636,787.16","14,088,459,792.72","25,547,259,646.46","34,867,249,804.18","50,462,125,196.08","16,139,105,993.55","28,614,835,002.43","39,169,936,712.30","55,759,454,375.21","16,506,972,191.92"
取得子公司及其他营业单位支付的现金净额,,,,"-331,536.01",,,,,,"-367,698.34","-367,698.34",,,,,"468,902.00",,,,"52,686,996.79",,,,,,,,,,,,,,,"7,650,000.00",,,,,"-475,771.61",,,,,,,,,
收到的税费返还,"1,816,348.27","6,771,038.09","16,185,481.80","17,479,308.11","4,801,636.93","10,728,623.92","15,202,333.64","18,979,939.05","2,912,453.10","10,757,041.02","19,870,606.00","25,359,984.13","7,400,929.50","22,438,150.45","46,104,492.82","61,732,447.50","14,681,484.28","33,768,236.31","46,062,820.09","76,514,496.35","21,631,486.20","35,679,202.54","52,707,623.84","65,732,354.67","12,422,899.91","26,975,412.67","41,652,406.45","50,541,610.78","15,479,330.77","27,099,711.65","37,231,411.10","62,446,254.79","14,832,425.20","34,783,684.00","45,189,956.50","64,546,945.97","17,100,277.98","31,151,166.64","40,747,302.11","59,828,959.00","17,012,056.46","29,305,508.09","50,051,279.65","68,892,488.66","15,643,846.37","29,323,624.16","42,550,268.32","56,059,264.96","11,225,246.76"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"31,824,197.74","42,876,670.86","53,219,648.83","42,055,963.13","34,819,580.69","68,488,459.25","72,650,931.08","89,659,603.94","35,041,794.51","29,459,688.95","180,383,083.15","82,081,603.46","11,355,141.22","35,953,092.68","90,640,242.06","93,811,669.20","43,671,189.70","116,448,589.59","146,158,174.80","149,082,137.35","40,885,308.69","56,931,349.72","87,269,298.56","252,469,746.93","61,738,753.31","114,914,718.04","146,213,759.99","283,485,857.54","130,452,433.44","166,230,585.52","246,066,308.15","351,147,196.24","41,080,806.71","196,420,680.10","246,811,364.32","243,427,128.89","20,490,670.62","151,512,037.96","159,556,337.60","251,256,293.74","67,163,191.33","195,204,629.91","201,884,641.06","290,269,149.01","88,430,267.17","218,673,235.18","192,694,044.58","360,608,694.98","70,809,304.12"
投资活动现金流出小计,"12,596,823.90","45,452,633.32","96,248,302.28","74,957,320.39","8,611,083.86","27,487,008.92","31,596,518.90","38,557,841.42","11,043,236.32","19,054,319.83","55,726,688.50","38,927,761.11","18,685,121.87","92,903,900.57","117,614,006.44","153,169,268.80","39,188,839.72","37,876,162.48","103,236,520.98","101,479,411.74","13,509,110.52","29,557,908.32","57,672,391.50","99,151,893.57","30,331,677.99","55,242,857.64","65,800,047.77","137,408,545.15","19,518,164.05","29,325,811.29","70,174,365.70","122,357,263.48","24,285,541.68","66,155,867.40","498,661,511.62","118,528,463.95","817,905,532.36","829,102,998.67","846,443,652.76","1,167,986,259.93","6,274,562.78","309,942,443.89","625,559,084.95","1,042,657,795.64","256,954,123.75","571,905,062.54","1,098,701,698.69","1,654,314,752.36","379,510,360.69"
经营活动现金流入小计,"1,843,550,499.81","3,475,837,821.40","5,390,077,674.32","7,453,321,027.88","3,867,981,684.41","6,002,744,199.30","8,290,976,661.61","10,795,404,480.30","3,337,681,186.69","6,458,282,986.36","9,226,903,430.23","12,744,882,427.25","5,483,856,082.40","8,557,957,681.68","11,717,228,988.90","17,324,918,683.95","6,990,756,052.02","13,383,548,564.61","19,222,489,360.96","24,702,721,026.47","8,548,879,890.50","15,758,475,599.36","24,226,429,928.53","30,982,566,510.66","10,825,334,615.18","21,834,287,149.69","30,683,843,056.24","41,985,800,067.32","11,662,389,627.58","21,451,423,207.02","29,716,919,521.71","43,384,001,826.06","12,621,507,608.67","23,263,275,714.43","30,261,891,937.08","44,886,661,840.87","12,167,497,488.98","22,642,374,155.04","30,340,352,557.10","44,742,722,039.90","14,172,635,040.51","25,771,769,784.46","35,119,185,724.89","50,821,286,833.75","16,243,180,107.09","28,862,831,861.77","39,405,181,025.20","56,176,122,335.15","16,589,006,742.80"
投资活动产生的现金流量净额,"-6,794,367.57","-31,671,658.01","-68,514,917.51","-61,095,233.59","-7,541,036.56","-20,470,646.41","-26,742,456.19","-33,098,103.15","-5,964,939.35","-10,361,205.63","-44,552,890.44","-22,972,055.58","-16,851,527.22","-87,150,660.85","-91,262,050.28","-139,364,403.49","-38,421,489.15","-32,515,216.45","-98,613,924.22","-97,971,920.29","-3,282,836.04","-21,755,043.23","-45,611,987.49","-54,278,367.05","-29,131,415.03","-53,559,230.06","-46,683,278.88","-90,138,403.97","-18,578,155.52","-22,185,733.24","-50,700,308.22","-101,449,837.56","21,413,607.49","20,938,680.91","-200,973,596.32","-20,695,982.40","-7,251,293.90","26,813,501.92","25,907,678.77","3,428,010.51","11,445,379.11","-191,514,904.35","6,108,604.62","38,804,657.52","-37,761,000.29","-43,911,495.81","-31,313,461.81","-9,753,895.17","-77,711,377.26"
购买商品、接受劳务支付的现金,"1,711,474,295.26","3,020,281,021.58","4,927,510,354.37","6,781,044,296.24","3,695,894,861.53","5,523,500,359.99","7,593,608,846.60","9,822,223,445.00","3,099,214,857.00","6,189,053,465.28","8,786,767,670.20","12,128,993,291.87","5,193,153,071.71","8,182,389,050.81","11,012,450,361.83","16,527,723,467.84","6,950,634,466.66","12,330,120,785.35","17,757,233,821.86","23,503,888,066.81","8,073,185,687.30","13,602,274,232.54","22,123,240,012.69","28,701,667,634.27","10,423,942,733.36","18,922,252,082.27","28,517,234,514.93","38,405,381,831.76","10,756,894,473.22","18,755,210,994.33","27,454,827,520.14","38,752,700,844.38","12,473,087,737.13","21,225,983,571.98","29,058,735,347.14","41,807,733,162.40","13,711,947,272.64","22,103,920,975.15","30,476,880,933.70","43,475,740,801.70","13,165,623,646.76","23,304,291,340.74","32,976,997,333.27","46,983,679,052.67","16,054,513,410.21","26,355,768,035.91","37,225,509,451.93","54,059,994,076.12","17,008,238,793.92"
吸收投资收到的现金,,,,"500,000.00",,,"3,250,000.00","3,250,000.00",,,,"11,325,000.00",,"7,350,000.00","7,350,000.00","7,595,000.00",,,"7,350,000.00","8,100,000.00",,,"3,240,000.00","3,240,000.00",,"13,200,000.00","13,200,000.00","13,200,000.00",,"2,382,120.00","17,982,120.00","15,600,000.00",,,"76,994,400.00","73,521,985.46",,"9,000,000.00","9,000,000.00","12,250,000.00","35,604,000.00","35,604,000.00","71,484,000.00","71,484,000.00",,,,,
