科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"36,246,940.64","39,814,731.65","51,259,152.77","33,566,307.49","33,480,705.64","34,658,543.73","41,291,496.91","33,361,802.86","24,123,257.36","37,896,464.49","43,298,901.43","32,755,980.85","44,716,847.71","46,776,706.52","43,294,009.48","51,423,211.51","44,849,030.08","40,922,291.98","375,407,588.58","560,342,921.21","382,131,531.90","356,729,527.11","286,297,216.47","406,679,610.29","403,390,526.72","1,354,445,787.59","1,224,930,968.67","1,542,307,342.06","1,440,273,036.35","1,183,404,815.18","1,284,999,795.68","1,634,615,745.84","1,516,196,488.50","1,311,209,301.69","1,180,090,318.11","1,729,934,463.59","1,571,376,117.15","653,212,204.41","551,968,425.33","2,160,407,289.15","2,049,037,084.68","1,385,819,674.39","1,323,554,249.19","757,559,618.76","481,582,404.23","623,942,862.01"
短期借款,"32,000,000.00","32,000,000.00","32,000,000.00","32,000,000.00","25,000,000.00","25,000,000.00","25,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","15,000,000.00","30,000,000.00","30,000,000.00","29,000,000.00","14,000,000.00","29,000,000.00","29,000,000.00",,,,"699,500,000.00","584,500,000.00","390,000,000.00","490,000,000.00","100,000,000.00",,,,,,,,,,"255,000,000.00","355,000,000.00","855,000,000.00","795,000,000.00","250,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,489,563.20","2,814,174.62","4,204,122.62","2,471,695.52","2,776,482.12","3,343,271.30","2,408,370.11","2,933,875.96","723,626.58","1,513,234.09","1,951,816.00","1,787,997.08","1,515,223.08","930,000.00","920,000.00",,"560,000.00","610,000.00",,"5,293,619.80","5,438,619.80","4,106,718.00","3,825,034.00","5,500,000.00","770,000.00","3,291,047.00","12,127,129.00","11,428,878.60","41,747,572.24","53,168,328.56","61,319,397.77","125,913,637.86","105,703,168.62","27,377,406.95","16,183,470.65","126,120,683.52","164,230,433.24","107,281,392.85","47,876,936.72","90,806,250.90",,,,,,
应付票据,"1,520,991.10","1,357,352.67","828,000.00",,"372,330.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,340,000.00","58,340,000.00",,,,,,
应收账款,"88,664,959.37","82,266,304.81","85,269,799.36","90,170,916.32","99,924,395.33","90,836,367.85","88,889,026.39","74,577,704.06","69,295,765.37","61,209,667.57","57,498,640.23","62,501,166.00","73,940,865.00","67,318,027.72","89,052,112.45","61,083,628.80","68,503,455.54","89,677,780.05","315,131,621.43","138,868,515.30","191,545,580.37","282,451,263.66","325,680,739.60","184,985,397.55","228,529,467.54","347,931,323.22","407,477,475.86","292,871,073.98","313,265,169.22","397,934,684.57","422,371,604.45","308,494,460.26","324,686,508.75","384,476,569.53","408,684,002.41","313,110,742.34","321,242,398.61","377,887,992.93","396,535,398.53","297,265,282.66","45,614,897.21","56,450,360.70","79,671,940.91","152,295,517.16","103,048,429.41","139,785,101.10"
应付账款,"76,216,207.21","69,607,997.85","91,585,358.41","66,835,519.79","93,417,231.56","88,573,420.43","95,973,839.26","58,954,267.38","64,309,393.50","61,348,569.93","65,915,497.98","64,594,412.29","84,292,710.21","78,720,747.97","94,998,881.12","76,058,317.39","83,540,421.96","103,776,580.50","196,987,260.80","158,529,674.02","128,903,453.52","142,801,549.22","190,435,857.29","219,695,254.37","161,888,791.32","243,643,987.44","287,537,889.05","311,772,762.84","215,913,624.68","251,390,713.30","272,997,693.73","352,704,707.30","304,487,173.93","351,496,859.36","348,574,249.54","407,250,855.41","338,839,217.19","344,502,085.35","375,404,869.04","342,727,403.20","50,504,459.60","73,650,797.77","87,453,658.36","119,436,460.37","122,318,285.74","117,893,241.78"
预付款项,"10,562,225.30","1,705,964.51","1,628,382.88","1,873,076.18","1,225,801.63","2,403,470.14","2,791,604.91","2,084,701.91","1,976,357.13","2,601,855.09","1,973,339.64","531,210.30","695,566.11","552,609.42","582,348.00","791,355.72","508,560.69","471,549.99","19,203,868.90","27,092,836.60","82,113,698.75","529,342,255.70","531,682,486.61","523,803,840.70","537,417,661.45","45,914,582.01","48,668,550.78","38,298,504.22","52,855,535.30","49,269,132.29","52,539,432.10","35,092,341.32","47,012,878.37","66,706,148.61","50,920,584.49","82,560,907.20","76,826,964.16","63,936,851.82","92,348,582.87","92,003,803.22","31,877,763.00","79,949,072.05","86,846,391.83","67,107,928.79","67,955,574.97","63,213,140.18"
预收款项,"22,910.06","22,828.69","22,478.38","7,612,883.26","8,032,025.55","2,469,851.38","5,599,125.11","6,220,533.48","6,493,331.22","7,010,606.73","5,622,473.35","5,214,161.51","7,217,078.40","6,450,452.50","6,426,751.74","12,231,891.50","13,320,480.12","5,997,119.76","196,971,932.09","283,688,859.54","281,627,815.41","199,967,457.00","161,301,998.65","266,690,454.11","273,511,313.56","229,013,044.43","236,618,425.18","307,256,330.36","314,147,136.50","218,593,350.08","268,939,792.09","315,833,729.86","301,122,316.59","233,420,832.79","226,149,580.78","302,966,202.98","285,620,348.20","226,030,601.14","221,379,928.56","318,534,731.30","11,929,508.69","18,852,311.73","21,925,731.13","12,510,441.63","17,129,362.13","18,733,284.20"
