科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"315,307,166.67","641,946,984.37","1,090,943,138.37","1,662,729,133.45","423,738,896.40","791,203,888.53","979,581,396.34","1,558,852,333.75","287,776,331.30","557,884,336.84","890,175,806.62","1,253,255,499.11","344,372,799.77","718,299,390.76","1,153,879,053.75","1,689,320,462.22","465,956,301.92","1,114,653,108.72","1,920,149,319.74","2,582,789,681.46","491,360,349.67","1,120,740,177.61","1,819,625,396.16","2,635,693,300.25","525,714,524.99","861,224,717.34","1,209,661,797.40","1,519,617,646.84","320,933,807.53","641,058,229.91","991,464,363.37","1,330,098,274.86","280,054,517.64","559,734,767.22","823,150,381.53","1,133,732,159.94","257,889,768.94","486,183,708.89","766,672,080.96","1,090,642,243.52","311,438,337.00","600,116,997.59","943,944,812.10","1,326,675,329.83","296,087,889.50"
取得子公司及其他营业单位支付的现金净额,,,,"-5,694,645.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,355,540.14",,,,,
收到的税费返还,"29,879,673.82","65,383,760.04","92,955,740.13","130,035,913.84","45,822,443.81","71,636,173.64","101,300,560.17","133,848,653.43","37,970,364.60","54,750,344.22","103,184,251.33","144,062,320.24","37,628,629.18","60,353,345.62","111,123,290.26","161,271,146.15","46,692,754.94","108,120,534.71","167,016,993.06","234,277,387.30","50,679,576.58","113,800,244.08","217,366,059.17","306,913,974.27","25,162,732.47","25,162,732.47","47,554,255.22","74,117,906.00","39,370,030.81","77,176,843.34","124,516,491.58","138,717,682.47","61,985,263.68","98,530,699.09","127,310,813.07","146,068,656.12","67,956,282.87","86,129,095.07","129,979,656.13","165,713,687.70","28,445,210.57","66,345,708.39","100,339,130.12","142,333,756.48","43,557,501.47"
支付其他与投资活动有关的现金,,,,"101,712,205.52","17,822,567.40",,,,,,,"150,000.00",,,,"450,000.00","57,001.42","15,904.75",,"12,154.75",,,,"175,074.25",,"432,267.94","432,267.94","2,848,267.94",,,"2,206,734.53","5,072,734.53",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"28,331,172.46","9,592,043.87","23,526,446.99","111,927,294.27","5,233,304.96","24,337,086.03","39,753,827.30","153,609,222.40","13,278,917.18","25,119,222.82","34,924,354.40","66,013,185.94","11,555,431.26","62,321,471.22","94,419,869.06","181,019,272.95","198,181,564.35","243,316,732.90","273,282,959.71","329,294,514.36","7,077,069.16","51,768,919.40","65,179,672.63","122,760,613.98","37,556,716.88","76,346,045.44","162,514,573.44","62,993,733.48","42,976,756.10","156,302,340.97","168,111,628.82","50,691,944.34","18,379,402.27","25,717,739.95","843,182.84","42,444,259.51","85,945,090.10","57,829,569.34","101,414,360.27","36,390,376.14","19,393,050.88","20,828,751.26","21,115,188.09","32,907,355.43","9,878,416.84"
投资活动现金流出小计,"75,042,263.84","9,554,342.33","26,447,322.74","145,748,099.48","49,592,004.89","39,601,769.53","72,472,455.65","79,073,318.36","23,588,300.04","94,082,549.05","117,660,794.48","120,652,716.05","2,732,694.78","6,363,517.62","12,807,643.74","36,267,437.72","14,237,156.55","40,517,051.02","65,624,063.30","35,162,184.54","11,240,593.85","29,196,589.22","35,786,033.67","176,671,710.73","22,866,456.49","37,573,699.99","41,520,100.32","36,576,604.34","70,190,329.04","112,003,562.04","163,089,032.27","261,608,477.62","21,743,005.06","162,778,934.47","262,906,514.62","331,428,715.28","10,007,347.00","20,258,912.51","36,283,479.66","144,893,773.28","170,546,985.77","354,710,745.18","715,131,291.87","755,858,806.31","120,081,375.81"
经营活动现金流入小计,"373,518,012.95","716,922,788.28","1,207,425,325.49","1,904,692,341.56","474,794,645.17","887,177,148.20","1,120,635,783.81","1,846,310,209.58","339,025,613.08","637,753,903.88","1,028,284,412.35","1,463,331,005.29","393,556,860.21","840,974,207.60","1,359,422,213.07","2,031,610,881.32","710,830,621.21","1,466,090,376.33","2,360,449,272.51","3,146,361,583.12","549,116,995.41","1,286,309,341.09","2,102,171,127.96","3,065,367,888.50","588,433,974.34","962,733,495.25","1,419,730,626.06","1,656,729,286.32","403,280,594.44","874,537,414.22","1,284,092,483.77","1,519,507,901.67","360,419,183.59","683,983,206.26","951,304,377.44","1,322,245,075.57","411,791,141.91","630,142,373.30","998,066,097.36","1,292,746,307.36","359,276,598.45","687,291,457.24","1,065,399,130.31","1,501,916,441.74","349,523,807.81"
投资活动产生的现金流量净额,"97,083,481.89","253,189,872.98","224,658,923.25","334,903,676.36","-18,117,318.35","-4,881,902.82","-14,517,639.89","54,969,099.07","1,281,870.06","-4,328,402.84","-23,527,020.74","-33,571,092.39","2,881,021.33","17,303,612.99","14,953,613.87","-16,335,758.75","5,609,897.14","-3,577,838.28","-14,400,727.85","11,721,997.18","-2,059,005.90","-16,568,863.73","-9,860,446.06","-148,764,245.57","-22,594,962.45","-32,603,386.34","-36,132,854.52","-30,132,102.73","-15,370,464.44","-15,488,537.14","151,064,353.19","146,023,171.06","62,742,253.49","65,997,533.19","62,103,442.56","3,308,543.25","109,418.72","1,203,209.41","73,041,454.54","241,951,633.39","-23,619,004.84","28,033,244.56","-65,703,293.43","32,798,028.29","-98,422,144.92"
购买商品、接受劳务支付的现金,"313,710,404.46","605,341,117.06","1,053,254,075.75","1,642,098,342.76","444,814,084.60","821,797,630.55","1,007,721,353.74","1,536,960,311.21","294,631,135.05","597,203,370.57","921,450,987.67","1,323,151,052.69","335,239,355.50","767,487,525.42","1,216,929,390.65","1,835,862,383.00","656,266,552.16","1,365,618,429.45","2,212,319,642.00","2,864,057,757.04","599,877,327.24","1,291,537,048.71","2,040,378,479.35","2,874,968,132.49","593,352,466.59","955,714,914.06","1,323,398,637.98","1,612,476,796.45","328,669,428.28","668,397,585.04","1,026,132,888.37","1,366,022,659.88","310,809,086.48","579,645,088.23","863,601,930.95","1,141,551,456.55","268,835,536.26","513,153,237.29","804,147,943.23","1,055,974,682.71","315,716,818.27","581,723,278.03","918,855,989.13","1,226,888,488.75","339,142,761.29"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"490,000.00",,,,,,,,,
