科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"119,768,226.84","54,619,054.79","50,938,016.95","129,788,807.73","129,618,725.46","129,502,546.82","106,119,784.54","71,276,858.86","33,381,495.62","15,397,749.39","35,466,681.42","135,980,136.71","209,182,506.11","552,595,395.64","260,901,455.76","268,150,992.81","185,740,098.82","215,736,853.79","248,371,253.73","302,340,387.82","253,182,347.79","249,163,733.14","562,133,611.78","633,381,947.52","558,017,304.76","450,695,610.83","341,451,977.91","737,971,937.33","570,951,133.24","500,482,681.89","440,582,245.01","520,217,069.32","303,661,111.88","292,799,107.22","228,327,065.01","611,362,668.48","381,472,685.58","191,303,428.23","313,891,842.54","469,644,051.16","588,698,229.74","476,767,166.13","775,683,191.51"
短期借款,"280,743,260.57","266,983,625.57","266,683,625.57","280,003,924.61","279,504,157.61","279,304,157.61","251,304,157.61","187,115,633.39","187,115,633.39","187,112,118.21","187,112,118.21","184,993,648.19","184,693,648.19","530,979,818.82","168,019,218.08","172,653,087.14","93,275,201.71","113,344,533.17","167,441,027.46","176,607,390.12","153,565,183.02","149,461,785.54","118,643,585.30","138,108,637.08","129,516,157.23","119,959,619.15","41,024,220.31","100,666,652.77","64,543,711.88","55,635,606.31","75,400,027.44","50,502,230.13","24,360,000.00","16,810,000.00","34,640,000.00","76,000,000.00","12,173,255.00","12,173,255.00","6,561,359.80",,,"5,120,560.72","6,906,480.72"
交易性金融资产,"1,161,618.03","1,538,292.50","2,176,805.54","2,072,990.15","1,508,709.95",,,,,,,,"896,070.38",,,,,,,,,,,,,,,,,,,,,,,,,,,"97,422,779.93",,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,"1,103,207.02","34,278,122.60","17,295,494.00","8,388,418.87","10,646,911.99","22,625,228.61","9,798,743.51","5,458,845.99","6,215,753.50","5,940,088.30","8,077,955.30","4,904,642.50","11,567,843.55","18,200,745.20","21,098,861.40","10,841,922.00","14,466,027.82","15,210,155.74","18,689,835.00","13,944,391.50","3,252,287.60","32,603,973.50","7,524,726.00","5,591,526.60","4,331,113.00","12,196,906.19","8,309,629.68","24,978,295.96","6,535,303.00"
应付票据,,,,,,,,,,,,,,"32,195,868.23","34,760,162.71","28,047,398.69","52,007,072.50","43,828,049.18","45,004,633.97","1,824,113.00","1,824,113.00","5,436,395.00","11,236,395.00","9,104,768.50","27,443,295.64","7,983,360.00","15,676,945.00","363,904,932.78","299,783,475.00","346,615,500.00","421,022,383.65","499,480,463.11","395,668,645.54","458,276,001.70","489,186,129.03","480,030,716.80","336,601,049.53","283,648,421.85","290,854,285.86","628,646,416.66","564,283,644.14","665,714,684.17","805,645,167.88"
应收账款,"73,106,242.94","69,647,796.32","59,773,283.05","37,039,289.92","46,835,416.89","29,438,400.76","28,550,168.64","21,325,755.94","26,216,017.23","49,579,905.64","49,219,935.78","35,764,854.64","31,250,214.67","96,633,637.31","107,030,485.58","162,159,878.07","99,332,575.06","139,727,810.46","145,474,755.81","176,304,940.68","181,190,889.82","203,449,574.71","191,042,667.06","309,840,660.47","289,719,934.56","259,042,497.27","233,422,912.54","534,256,854.51","462,303,838.51","493,872,985.04","435,250,350.43","710,621,420.35","638,218,038.21","602,793,219.73","577,208,263.78","691,371,620.92","665,735,539.40","705,560,917.07","602,859,441.76","858,439,662.69","771,853,459.95","966,613,413.70","890,307,338.62"
应付账款,"23,388,637.90","22,516,944.30","18,151,576.91","17,308,930.87","14,168,620.04","14,065,721.12","16,258,619.17","13,588,248.24","9,367,677.60","15,520,076.51","14,026,234.73","18,677,331.47","9,460,219.68","39,869,771.63","39,261,697.68","122,716,432.41","70,486,264.00","72,318,056.01","73,820,370.20","126,320,588.56","101,007,048.90","92,905,427.21","95,094,044.37","192,484,018.89","204,681,700.10","143,920,332.82","133,528,424.24","391,629,432.81","516,129,075.82","358,121,935.52","369,030,388.79","506,274,030.33","548,574,191.32","548,138,743.37","563,787,888.27","947,838,637.23","744,554,805.92","679,998,142.07","686,491,688.28","921,871,224.86","914,306,951.84","977,257,272.65","993,285,737.43"
预付款项,"5,362,896.10","67,256,341.05","69,663,544.93","196,794.10","61,794.10","276,620.00","358,749.10","1,863,476.02","4,084,021.15","4,903,387.89","6,589,997.62","15,489,932.95","20,552,853.49","13,555,002.23","19,845,778.03","5,704,028.97","12,918,105.37","2,377,840.83","2,913,740.70","1,879,637.77","6,644,864.06","12,581,186.61","14,955,986.40","12,814,249.12","9,452,197.18","11,713,277.57","20,996,855.54","24,890,364.56","206,470,118.75","98,850,724.30","99,394,142.41","57,411,664.13","83,774,320.79","63,771,497.41","96,175,021.79","72,923,761.28","81,228,147.56","73,678,110.54","113,802,060.90","87,893,901.66","193,295,088.60","148,667,850.40","213,165,162.50"
预收款项,"1,084,844.72","3,197,351.46","4,802,229.03","764,389.39","936,117.79","827,714.39","531,949.34","273,645.94","3,285,482.94","5,860,378.94","5,726,458.34","9,014,022.28","13,540,592.69","9,800,580.28","4,239,255.09","10,583,345.95","3,287,122.59","2,252,746.21","2,717,062.53","7,965,356.56","26,834,127.33","9,745,236.93","17,043,135.40","13,942,657.02","13,267,315.71","4,132,925.69","21,438,548.40","66,547,444.77","63,415,613.73","68,794,640.67","121,447,062.74","177,950,961.59","145,413,572.33","134,691,905.00","164,092,783.37","223,804,467.37","231,604,891.63","197,331,706.53","263,403,083.83","415,818,066.85","410,440,974.88","467,558,990.25","503,823,511.47"
