科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"57,922,701.24","32,822,840.73","32,176,926.77","78,442,528.44","33,157,029.74","30,758,072.87","56,343,551.07","107,704,979.39","53,798,781.33","208,088,382.98","205,201,566.51","294,446,921.47","541,138,440.71","531,820,067.00","558,163,239.00","583,953,465.80","388,501,004.57","230,901,218.72","309,634,678.01","193,142,328.74","165,175,101.96","150,744,241.56","42,142,143.77","38,790,852.48","39,588,454.92","39,380,863.28","60,964,388.90","48,533,592.10","46,650,201.12","56,439,418.70","53,236,380.73","72,039,793.68","63,726,496.79","35,136,357.93","56,852,602.96","161,892,575.46","206,144,775.39","853,658,572.68","1,018,282,661.54","1,028,875,708.75","836,072,495.69","544,855,478.81","502,286,221.11","1,170,316,390.39"
短期借款,"296,976,848.02","286,138,935.89","209,801,988.17","208,276,918.05","202,905,000.00","149,705,000.00","149,705,000.00","145,705,000.00","138,205,000.00","84,566,020.73","109,298,537.61","33,700,000.00","108,022,355.10","98,255,982.06","96,400,597.09","98,256,528.26","56,400,000.00","55,495,509.35","54,041,868.99",,,,,,,,,,,,,"62,000,000.00","77,000,000.00","75,360,000.00","66,760,000.00",,,"952,115,389.97","1,299,135,053.63","1,302,651,092.57","1,246,274,432.76","1,003,889,113.68","924,243,879.34","1,358,161,398.60"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,"200,000.00","600,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"529,455,808.48","811,987,605.12","862,790,817.29","679,340,811.29","406,995,717.44","267,735,208.14","223,477,233.92"
应付票据,,,,,,,,,,,,,"7,399,114.00","4,168,778.00","19,747,053.01","25,286,286.21","3,372,664.77","3,040,544.00","86,911,881.53",,"51,500,000.00","51,500,000.00",,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00","64,000,000.00","14,000,000.00","50,000,000.00",,,"479,292,313.22","592,370,241.96","671,370,644.42","574,595,907.88","584,808,095.29","537,703,382.49","645,007,625.11"
应收账款,"76,569,648.25","101,453,206.10","109,556,596.79","116,361,502.29","117,543,908.12","123,667,932.65","97,386,664.08","81,556,643.67","93,256,507.28","90,035,011.07","92,061,175.23","110,963,264.39","122,581,777.81","147,189,475.15","134,345,254.08","132,996,269.67","118,856,795.13","130,522,867.96","119,580,813.89","604,457.14","379,512.32","1,427,395.56","2,190,699.14","1,503,039.58","1,760,527.72","1,443,734.77","1,675,015.52","5,436,085.44","2,819,659.26","1,246,068.14","1,317,922.19","1,111,685.37","1,987,606.00","2,704,250.80","1,856,968.50","8,955.00",,"1,402,419,205.52","2,190,630,046.25","2,326,433,774.47","1,870,404,498.18","1,931,059,768.13","1,979,507,856.36","3,487,687,789.17"
应付账款,"32,334,973.48","103,135,631.07","136,646,558.78","125,937,962.12","136,791,691.97","117,599,670.67","104,039,691.47","161,692,453.23","167,602,270.34","210,775,384.20","189,619,384.30","300,991,511.30","294,683,325.73","310,478,255.10","275,401,995.25","402,985,116.73","318,479,399.51","321,020,899.14","260,601,667.36","168,718,235.21","163,510,890.91","162,544,886.12","174,792,672.31","187,067,708.93","158,164,131.50","175,998,071.23","176,602,865.49","151,290,227.19","137,855,284.21","194,964,222.94","137,519,402.16","223,816,963.05","140,762,850.07","145,956,824.11","154,180,401.61","1,044,308.85","957,610.01","1,268,210,156.60","2,007,682,458.02","1,828,401,113.65","1,365,605,175.30","1,086,148,996.24","1,047,812,195.16","2,132,420,529.08"
预付款项,"13,188,529.05","63,684,347.74","29,876,789.90","9,966,570.71","28,221,033.03","22,425,060.17","32,116,461.25","41,063,059.20","64,143,379.68","62,723,816.95","205,755,426.89","77,651,193.34","108,528,693.78","135,262,747.00","101,858,450.58","79,358,141.34","90,366,281.99","81,262,034.26","90,359,589.14","120,291,144.88","100,285,896.05","68,995,414.91","68,974,352.89","68,975,572.95","118,910,207.08","70,216,496.49","70,227,467.14","70,148,071.70","70,207,800.33","70,173,777.94","72,407,277.25","68,734,960.69","68,780,773.77","68,778,342.32","71,621,001.55","384,451.18",,"288,461,494.44","304,932,777.37","138,896,236.16","207,225,618.58","238,195,565.38","196,307,175.23","313,949,850.43"
预收款项,"1,599,559.86","2,950,199.72","9,884,267.74","7,976,149.11","7,025,590.29","8,933,362.22","6,841,731.50","125,212,935.72","97,410,184.26","250,308,469.28","410,273,484.14","314,822,756.43","491,286,786.31","701,611,895.99","950,263,973.12","312,535,864.17","503,753,691.98","444,021,198.80","99,792,934.38","60,935,091.44","60,137,839.74","58,501,757.01","57,676,211.06","64,880,974.48","60,741,817.82","57,802,638.11","131,372,775.61","192,144,014.08","203,278,429.78","197,999,097.10","290,415,329.91","175,403,227.66","216,234,066.40","243,077,801.76","340,046,688.66","42,543,228.00","42,543,228.00","76,380,035.70","105,002,696.68","139,181,404.89","152,918,628.96","148,550,906.06","124,815,185.64","211,777,726.02"
其他应收款,"206,224,351.28","239,832,421.92","86,040,853.20","88,685,712.44","90,106,951.51","56,987,395.08","56,930,575.20","39,214,573.53","54,583,368.60","87,214,876.98","65,108,206.04","57,901,818.03","57,931,688.24","59,706,525.13","68,720,100.77","44,730,378.02","57,797,882.19","54,708,771.22","102,473,450.29","108,596,687.01","111,065,646.69","76,972,383.01","82,936,401.14","77,292,107.78","72,425,249.83","73,371,074.68","75,189,909.65","60,981,969.70","78,007,557.14","75,594,897.35","74,215,720.37","71,840,503.98","100,816,303.41","102,237,267.88","77,800,312.02","715,394.72","1,495,751.68","18,699,108.03","31,355,168.04","25,651,598.64","48,606,639.61","43,168,302.06","49,819,570.63","58,562,089.38"
应付职工薪酬,"2,085,489.65","3,643,508.10","3,730,427.88","1,667,069.67","1,004,790.12","821,278.54","133,717.84","2,258,920.81","1,477,050.15","2,227,216.60","1,549,284.49","3,362,667.08","1,749,794.92","1,898,422.18","1,765,111.35","1,842,418.15","2,255,436.11","1,722,485.05","1,939,133.83","2,415,673.15","1,001,929.61","1,076,150.40","1,617,219.62","1,319,083.70","615,374.95","936,033.97","799,460.57","2,355,716.92","654,875.57","1,937,222.99","919,559.61","3,200,197.62","862,166.93","1,894,504.45","1,765,003.81","715,290.19","25,300.30","17,809,117.54","19,079,834.51","27,354,077.54","23,154,188.82","18,251,783.12","19,902,030.38","24,985,958.37"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-8,893,182.94","-7,213,564.31","-5,901,422.94","800,989.85","-7,324,560.79","-5,597,629.78","-4,150,863.05","8,323,305.74","2,195,784.29","-6,369,857.61","-33,017,110.56","32,198,179.93","-4,446,297.13","-32,871,398.53","-55,220,570.18","105,670,999.34","73,181,498.03","71,547,024.38","134,568,693.73","125,699,462.23","124,768,413.63","75,365,363.72","39,232,190.91","40,471,756.84","39,394,027.79","35,519,615.49","25,884,093.44","32,025,279.87","20,555,867.79","23,702,352.45","23,675,141.76","16,874,308.00","15,335,911.65","15,822,079.65","16,040,638.78","540,247.48","179,152.52","18,131,710.59","29,920,495.35","62,812,450.21","24,982,326.34","26,284,873.44","25,814,705.71","125,919,775.28"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,444,970.55",,,,
应付利息,,,"82,194,331.56","63,961,755.56","70,765,598.81","74,016,444.39","74,066,522.68","70,912,225.21","74,505,768.69","68,232,609.38","61,582,519.90","26,070,541.07","21,704,966.15","12,494,505.55","12,494,505.55","12,494,505.55","12,494,505.55","12,494,505.55",,,,,,,,,,,,,,,,,"1,926,958.67",,,,,,,,,"5,671,232.88"
应收股利,"8,253,842.48","8,253,842.48","8,253,842.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","23,840,900.00","23,840,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00","240,900.00"
存货,"110,530,654.38","127,525,249.79","145,773,840.68","135,114,585.66","145,566,716.75","131,560,833.10","125,496,279.21","755,708,232.74","698,378,183.27","709,693,282.57","731,243,999.34","800,365,425.54","829,752,977.38","942,893,839.82","1,050,527,718.63","863,465,403.99","884,804,994.51","895,304,255.30","824,080,609.57","660,414,268.88","733,167,914.11","750,616,779.00","721,107,475.33","723,602,749.57","679,335,414.25","774,526,622.86","824,034,291.31","863,066,172.21","906,812,264.12","1,036,747,866.23","1,056,751,948.00","1,216,420,945.96","1,189,052,817.85","1,226,009,907.34","1,362,694,309.60","109,399.64",,"399,483,576.10","434,587,804.83","544,239,038.98","553,238,416.01","540,907,903.24","577,775,156.06","430,250,110.94"
其他应付款,"165,391,356.55","185,597,849.04","182,437,748.50","194,246,522.43","243,026,684.41","227,049,905.21","223,616,821.02","206,831,317.28","192,560,812.45","164,039,921.19","158,632,567.25","86,681,070.67","65,846,355.33","65,772,986.27","66,911,943.07","65,443,569.62","73,940,061.23","73,602,372.88","123,658,288.68","55,813,520.08","54,605,500.80","52,848,513.79","120,853,856.83","132,100,956.12","406,057,574.39","455,476,616.12","281,159,739.97","236,839,334.55","127,666,039.26","202,050,169.17","208,537,115.97","328,851,477.23","413,461,027.89","465,889,704.17","484,529,025.56","63,690,128.02","57,425,590.06","40,384,684.00","40,025,390.52","337,521,240.58","81,457,301.45","83,019,732.12","133,821,509.62","26,173,774.35"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,"194,624.12",,,,,,,"15,387.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,641,386.11"
