科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"52,136,909.37","104,074,233.94","172,266,986.71","299,932,412.04","70,182,879.05","104,975,312.66","138,703,774.48","256,783,625.71","35,732,121.03","72,442,366.98","124,998,209.88","240,066,484.17","57,639,991.36","88,338,297.29","137,671,223.98","280,836,557.30","62,169,114.29","119,654,151.75","182,140,475.02","303,192,658.93","62,613,058.78","146,500,297.11","215,142,362.60","418,199,089.22","83,504,366.08","184,637,444.45","263,288,159.08","393,286,945.81","75,641,758.50","174,105,651.22","292,704,759.79","448,089,115.24","94,788,097.72","185,795,374.53","315,572,683.22","492,737,224.91","75,874,293.81","191,951,904.33","337,325,543.59","574,399,474.78","143,798,421.76","274,013,045.59","404,184,689.02","5,132,831,126.17","1,197,888,312.55","3,139,324,999.88","4,897,169,125.08","6,005,845,762.76","1,419,698,880.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"3,441,224.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"34,858.00",,,,,,"820,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,948.77",,,41.58,41.58,,,,,"300,000.00","123,140.19","123,140.19","86,937.45",
收到其他与经营活动有关的现金,"23,141,891.92","19,508,024.82","3,370,837.75","33,475,379.59","43,211,286.99","13,403,127.11","29,377,896.49","18,857,353.69","6,607,498.18","10,216,326.77","10,980,196.40","40,781,530.85","2,009,327.39","141,224,200.60","144,471,810.20","9,429,247.00","214,118.86","3,846,567.51","5,088,694.51","3,015,756.92","283,056.93","2,320,778.65","28,880,656.90","45,257,463.53","8,220,308.39","9,505,444.14","11,826,926.41","32,161,713.06","4,819,364.65","15,596,423.87","14,122,947.42","17,208,211.76","-3,231,226.93","456,217.11","5,892,910.39","21,727,722.10","4,070,000.00","13,611,200.00","13,611,200.00","4,087,733.15",,,"400,289.75","81,814,876.26","12,147,422.46","13,596,973.58","19,452,266.20","35,062,787.20","15,886,412.22"
投资活动现金流出小计,"1,032,221.00","2,630,680.70","4,398,635.12","12,405,292.11","5,480,289.00","6,569,909.00","7,121,539.00","28,587,660.20","15,235,500.00","15,780,268.30","38,665,368.30","93,990,027.67","4,554,406.00","4,917,441.39","5,154,761.83","47,460,316.45","1,164,640.00","29,944,168.00","37,241,635.35","74,068,891.47","3,861,423.33","40,681,299.76","88,208,027.36","166,233,565.33","7,623,791.12","13,847,221.38","42,098,649.39","64,943,135.50","15,674,163.23","82,904,309.86","79,086,836.26","197,731,687.47","28,964,700.00","45,910,789.54","52,813,789.54","102,812,243.76","10,557,020.00","56,997,020.00","128,571,818.50","174,346,315.82","2,400,000.00","2,603,200.00","16,490,883.08","892,321,463.31","98,064,043.87","254,024,654.60","518,030,312.02","642,241,277.18","65,124,139.61"
经营活动现金流入小计,"75,278,801.29","123,582,258.76","175,637,824.46","333,407,791.63","113,394,166.04","118,378,439.77","168,081,670.97","275,640,979.40","42,339,619.21","82,658,693.75","135,978,406.28","280,848,015.02","59,649,318.75","229,562,497.89","282,143,034.18","290,265,804.30","62,383,233.15","123,500,719.26","187,229,169.53","306,208,415.85","62,896,115.71","148,821,075.76","244,023,019.50","463,456,552.75","91,724,674.47","194,142,888.59","275,115,085.49","425,448,658.87","80,461,123.15","189,702,075.09","306,827,707.21","465,297,327.00","91,556,870.79","186,251,591.64","321,465,593.61","514,464,947.01","79,944,293.81","205,563,104.33","350,936,743.59","578,487,207.93","143,798,421.76","274,013,045.59","404,584,978.77","5,214,646,002.43","1,210,035,735.01","3,152,921,973.46","4,916,621,391.28","6,040,908,549.96","1,435,585,292.78"
投资活动产生的现金流量净额,"-1,021,221.00","11,111,793.30","17,677,078.57","5,926,521.71","989,711.00","400,091.00","-151,539.00","-28,412,353.06","-15,032,542.68","-15,316,482.24","-38,187,205.24","-93,187,979.41","-4,554,406.00","-4,917,091.39","-4,804,648.03","-46,812,702.65","-1,156,640.00","-29,936,168.00","-37,071,692.75","-73,883,945.67","-3,861,423.33","-40,632,739.76","-88,159,467.36","-166,129,432.98","-7,623,791.12","-13,847,221.38","-41,936,706.79","-64,772,566.70","-15,674,163.23","-82,904,309.86","-79,086,836.26","-197,678,684.27","-28,952,700.00","-45,898,789.54","-52,813,789.54","-102,797,243.76","-10,549,720.00","-56,989,720.00","-128,318,522.99","-174,063,158.15","-2,400,000.00","-2,222,135.95","-16,109,819.03","-889,346,390.07","-97,518,037.32","-251,336,815.83","-505,282,544.84","-628,380,844.22","-65,124,139.61"
购买商品、接受劳务支付的现金,"49,804,477.34","152,059,818.51","186,911,625.12","263,576,274.12","55,779,908.77","81,800,520.06","127,899,093.30","181,145,444.02","38,300,991.85","33,797,823.36","53,625,208.61","75,902,936.82","41,688,393.73","61,998,150.47","107,654,555.69","165,713,767.68","23,609,618.20","61,470,028.80","85,757,763.57","145,903,856.84","29,525,715.20","71,002,061.99","100,442,379.22","182,710,105.16","31,946,161.98","86,670,148.64","125,641,158.19","170,778,176.71","44,069,989.12","129,756,582.54","142,510,791.62","149,923,854.84","40,900,716.49","91,871,624.11","162,558,062.30","196,224,513.89","46,186,215.87","87,018,156.85","157,725,448.10","239,823,904.66","50,653,831.68","91,227,929.40","127,286,422.77","2,919,760,654.79","761,043,803.01","1,613,502,722.92","2,670,587,801.12","2,940,018,958.62","852,401,310.09"
吸收投资收到的现金,,,,,,"37,500,000.00","37,500,000.00","37,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
