科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"2,539,051,990.09","5,482,061,143.41","10,965,237,515.62","15,809,979,908.53","3,825,936,875.26","9,041,459,363.46","12,548,539,732.78","18,536,764,025.98","3,134,899,096.00","7,042,179,593.15","11,048,527,977.58","16,033,608,700.25","5,016,256,464.12","9,877,592,882.19","15,309,514,408.36","20,585,945,555.04","5,382,482,548.53","12,507,422,694.10","19,222,642,543.99","27,260,569,176.72","6,340,141,742.22","14,331,808,860.73","21,923,379,626.92","30,501,044,649.29","7,210,311,381.04","16,225,427,363.37","24,204,327,242.78","35,083,882,909.77","6,549,588,238.32","12,660,734,857.07","18,886,416,386.20","25,524,866,414.97","3,960,504,116.89","9,689,388,290.70","14,420,077,191.48","19,725,933,457.75","3,310,282,426.43","7,194,409,431.89","11,096,249,494.11","17,542,897,522.69","6,209,566,704.56","12,864,931,031.20","20,287,021,784.65","28,835,124,977.99"
取得子公司及其他营业单位支付的现金净额,,"7,727,130.00","7,727,130.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"348,804,916.93","348,804,916.93","168,114,731.13",,,,"113,865,278.18"
收到的税费返还,,,,"7,393,963.93","384,364.49","1,072,357.36","3,332,283.04",,"1,526,107.32","1,731,185.94","4,958,930.49","3,734,372.90","148,869.43","820,429.51","1,406,732.52","3,464,646.36","499,211.82","1,507,979.44","3,501,727.47","3,422,191.33","60,000.00","995,510.38","3,998,525.54","5,353,801.13","70,598.05","1,617,613.55","7,081,050.49","2,221,447.01","4,270,709.02","5,696,662.02","7,678,871.66","5,917,546.85","4,879,936.91","8,264,911.06","9,076,851.60","7,212,028.36","818,877.31","2,913,305.55","3,020,294.77","88,248,088.64","109,553,285.25","3,358,446.85","5,966,520.03","378,214,808.68"
支付其他与投资活动有关的现金,,,,,,,,"154,821.10",,,,,,,,,,,,,"1,303,623.31",,,,,,,,,,,,,,,,,,,,,,,"1,428,734,973.85"
收到其他与经营活动有关的现金,"37,437,742.63","154,315,050.16","237,111,735.67","476,306,050.89","80,715,720.30","135,237,274.35","203,559,604.00","505,906,790.59","74,827,167.22","200,456,664.65","241,484,934.10","469,661,008.84","129,884,681.48","212,455,071.61","376,240,678.40","535,725,376.27","200,278,154.03","242,938,802.45","387,161,747.35","642,875,190.30","187,534,951.59","328,917,959.98","401,725,500.42","948,660,985.73","158,378,259.19","397,538,040.73","452,264,940.30","951,923,418.70","160,758,404.53","1,097,820,730.38","1,256,884,812.14","883,171,932.11","223,692,826.64","1,315,264,720.07","1,574,612,681.75","1,546,991,185.21","561,272,001.54","1,214,112,059.28","1,373,364,711.11","2,214,595,083.83","572,032,128.05","1,008,165,016.05","3,629,368,589.84","2,500,084,578.85"
投资活动现金流出小计,"50,462,528.35","156,311,393.37","241,566,128.85","275,219,891.56","79,461,755.76","144,021,179.81","220,480,865.95","253,668,897.61","82,133,572.27","146,130,135.96","198,063,270.20","328,788,563.56","226,321,099.56","107,780,626.38","156,217,326.10","580,682,558.41","169,140,075.92","236,545,827.54","379,764,449.39","588,570,171.67","56,314,189.70","160,699,535.19","210,054,813.07","859,506,620.76","255,556,299.01","106,634,638.89","167,551,329.20","430,363,945.70","53,574,496.51","163,752,952.86","291,974,757.27","692,985,636.72","59,960,135.84","325,801,327.43","509,008,961.35","754,977,653.68","548,248,415.03","614,924,541.29","695,692,701.30","831,569,798.55","35,763,538.10","162,056,276.07","417,465,719.97","2,568,818,950.59"
经营活动现金流入小计,"2,576,489,732.72","5,636,376,193.57","11,202,349,251.29","16,293,679,923.35","3,907,036,960.05","9,177,768,995.17","12,755,431,619.82","19,042,670,816.57","3,211,252,370.54","7,244,367,443.74","11,294,971,842.17","16,507,004,081.99","5,146,290,015.03","10,090,868,383.31","15,687,161,819.28","21,125,135,577.67","5,583,259,914.38","12,751,869,475.99","19,613,306,018.81","27,906,866,558.35","6,527,736,693.81","14,661,722,331.09","22,329,103,652.88","31,455,059,436.15","7,368,760,238.28","16,624,583,017.65","24,663,673,233.57","36,038,027,775.48","6,714,617,351.87","13,764,252,249.47","20,150,980,070.00","26,413,955,893.93","4,189,076,880.44","11,012,917,921.83","16,016,872,919.28","21,297,411,149.22","3,875,915,170.61","8,411,434,796.72","12,483,148,342.88","19,857,480,462.54","6,894,750,714.86","13,876,454,494.10","23,935,618,098.51","31,729,432,832.12"
投资活动产生的现金流量净额,"-48,971,060.17","-152,331,178.56","-225,030,801.24","-182,789,757.60","-78,917,786.22","-143,001,203.43","-216,568,529.65","-223,081,339.18","-81,855,256.74","-144,355,216.19","-177,667,200.96","-323,132,271.16","-225,851,173.14","-83,065,516.56","-116,284,726.82","-558,620,072.59","-137,222,663.32","-199,433,023.28","-319,926,882.41","-396,292,056.97","-50,972,135.78","-123,727,174.56","-167,481,069.68","-711,633,661.83","-218,197,041.46","-33,297,974.88","-38,520,432.24","-264,298,940.35","-24,371,960.78","467,115,356.95","346,384,260.34","50,613,048.85","-52,675,240.32","-310,851,732.84","-391,078,282.41","-556,448,071.97","-546,076,986.14","-395,363,463.77","-475,608,820.61","-746,512,512.60","-35,051,257.04","-143,511,732.96","-386,751,078.41","-2,126,243,713.00"
购买商品、接受劳务支付的现金,"2,267,753,833.61","5,357,012,792.45","10,301,172,652.26","15,041,935,764.76","3,356,728,498.93","8,773,942,677.77","12,066,715,721.25","17,343,720,114.55","3,455,661,994.15","6,985,980,575.53","10,330,835,133.76","15,078,041,899.04","4,747,982,331.80","9,670,648,966.41","15,084,415,104.56","19,698,162,691.48","6,154,466,053.19","12,245,123,604.64","19,063,711,526.61","27,350,750,510.27","5,935,589,210.02","13,155,932,612.58","20,375,570,300.63","29,024,054,828.70","7,157,037,401.38","15,847,801,718.46","23,310,959,022.62","34,485,262,287.19","6,387,590,279.44","12,494,236,291.01","18,088,453,347.49","23,385,032,576.00","3,587,495,182.50","9,351,514,046.89","14,354,998,236.80","19,608,253,531.75","4,122,634,326.96","9,499,669,095.49","14,634,640,471.71","20,640,902,590.62","6,154,953,613.25","11,692,203,129.22","18,496,849,233.23","23,076,213,482.70"
吸收投资收到的现金,,,"10,180,900.00","401,360,900.00",,,,"1,078,000.00",,,,"812,549,800.10",,"297,490,000.00","297,490,000.00","490,000.00",,,,"694,500.00",,,,,,,,,,,,,,,,"1,972,317,325.91",,,,,,,,
