科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"7,187,239,666.68","16,304,042,386.08","22,836,216,983.06","30,032,021,750.67","8,048,026,270.72","17,600,781,729.12","26,458,959,179.66","32,919,509,823.93","7,463,127,145.26","21,196,499,414.16","33,570,835,639.67","45,799,630,208.83","13,294,604,461.24","28,844,370,641.57","43,138,033,888.58","57,953,236,769.74","17,178,457,479.97","38,371,795,989.90","58,791,103,683.16","80,571,915,518.57","17,244,889,893.34","41,362,085,918.21","67,653,697,204.91","95,270,214,407.02","24,242,441,374.97","51,165,576,123.73","76,674,108,405.87","97,501,653,932.07","18,223,389,173.15","36,843,629,697.88","55,276,963,804.71","69,626,032,992.02","13,137,003,916.59","31,336,506,936.00","48,015,635,168.62","57,025,945,986.72","8,374,102,453.30","13,482,715,623.07","14,908,430,461.14","16,422,440,078.68","1,625,107,576.40","3,071,457,212.55","4,686,423,194.21","6,103,450,844.39","1,811,585,362.40"
二、营业利润,"20,527,653.11","49,319,739.91","75,369,117.15","91,792,340.93","20,231,792.71","50,961,135.04","69,682,604.12","85,257,375.93","10,381,584.23","41,331,745.31","69,029,415.77","99,166,188.71","26,157,498.56","62,442,285.32","90,032,660.39","127,028,993.86","35,162,600.55","72,194,276.23","90,676,682.67","134,917,221.07","27,381,550.37","66,841,757.80","-52,109,664.11","-558,358,731.54","20,648,362.20","34,906,246.70","31,829,426.63","162,660,995.32","20,447,850.17","37,669,762.44","42,950,679.42","57,361,690.93","22,223,779.78","-92,434,878.12","-795,850,489.97","-1,741,325,777.43","11,713,300.42","3,971,023.37","17,765,013.93","19,833,133.54","14,728,337.29","24,324,940.71","37,697,824.01","57,940,148.79","21,723,307.73"
减:营业成本,"7,078,198,836.86","16,077,315,679.24","22,500,092,604.87","29,596,120,339.29","7,926,434,598.46","17,348,187,485.62","26,093,158,427.62","32,468,059,919.84","7,371,657,010.58","20,988,045,695.52","33,241,553,011.94","45,347,757,264.75","13,146,646,681.66","28,521,854,822.14","42,667,330,393.29","57,331,564,966.51","17,004,172,789.70","37,998,323,178.37","58,246,954,437.54","79,771,502,844.30","17,061,154,041.84","40,936,205,838.15","67,176,856,766.39","94,886,151,286.52","24,035,734,090.08","50,768,529,388.21","76,067,380,826.11","96,685,635,296.82","18,008,065,748.19","36,415,862,024.66","54,643,768,315.43","68,793,471,040.29","12,952,458,682.06","30,969,979,352.85","47,545,799,573.05","56,524,126,312.05","8,280,219,815.56","13,295,704,842.03","14,654,880,231.45","16,076,922,252.04","1,543,823,023.74","2,905,069,563.95","4,434,566,394.86","5,752,242,015.89","1,721,394,346.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,117,982.40","4,127,232.05","7,350,054.66","10,508,412.05","1,804,956.19","5,592,695.51","8,938,133.35","11,781,059.51","1,747,547.62","4,670,980.94","6,534,311.56","9,802,458.43","1,922,322.46","4,092,981.01","6,350,272.65","10,591,806.43","2,307,095.51","4,987,019.96","8,008,547.18","13,049,261.48","2,439,513.55","4,573,684.78","7,194,451.60","12,424,693.52","3,180,429.55","6,309,002.72","13,419,634.29","19,353,399.56","4,094,568.65","8,823,407.56","14,931,388.28","23,333,713.75","4,274,437.18","9,847,078.18","13,802,885.08","20,599,940.92","3,878,056.17","5,659,210.60","6,920,544.70","11,796,355.81","2,263,691.87","4,658,985.11","6,254,327.21","7,614,238.96","2,188,075.19"
营业外收入,"264,315.59","566,594.09","682,582.41","5,037,868.94","643,290.66","2,657,887.33","4,412,970.66","6,762,416.29","3,771,086.63","5,728,227.68","7,253,406.37","5,700,385.18","965,057.98","2,549,840.67","3,853,799.81","6,815,895.95","1,251,686.49","3,957,098.78","5,550,781.34","8,275,941.71","1,364,982.62","4,064,352.18","6,405,055.37","15,701,281.78","3,555,298.31","7,027,404.16","11,410,070.61","32,619,903.86","4,810,393.90","8,241,972.18","11,622,246.03","53,946,647.78","3,037,390.84","4,901,735.56","11,182,108.40","81,405,689.83","7,082,530.50","14,994,823.30","21,018,611.29","25,532,008.84","1,464,351.26","6,460,729.19","9,703,222.49","7,410,565.92","129,082.48"
销售费用,"49,944,018.85","102,961,304.22","143,834,091.19","193,102,119.20","52,904,424.63","103,524,484.54","152,448,268.01","184,504,756.46","47,250,360.41","103,071,444.47","153,478,618.31","194,762,786.41","61,386,251.75","127,253,458.41","184,501,561.41","235,528,014.83","74,633,411.62","151,078,606.27","216,257,576.82","279,372,241.08","68,091,683.95","143,432,085.84","208,148,571.18","331,570,027.04","52,529,135.14","107,286,610.82","162,945,621.22","236,790,945.45","59,038,374.83","115,379,770.32","169,666,587.99","220,953,230.13","34,836,568.63","74,047,891.85","112,309,203.66","153,077,379.95","27,193,831.89","64,226,084.79","78,779,498.28","103,790,534.22","27,425,999.01","53,980,162.21","83,589,763.43","112,315,692.01","29,374,096.80"
减:营业外支出,"306,925.71","356,839.25","423,885.85","621,613.21","244,189.15","2,034,769.36","2,584,884.57","2,772,264.90","307,755.47","1,280,341.64","2,401,689.67","3,561,164.38","58,134.81","344,092.70","305,149.05","1,466,345.87","168,640.49","135,410.18","176,044.94","426,558.62","15,591.69","360,053.23","583,303.62","831,077.42","30,404.79","125,427.44","10,032,692.31","94,125,570.45","83,997.21","162,977.32","282,672.10","30,890,100.81","93,449.82","6,341,758.14","6,638,220.61","13,595,417.56","243,559.54","1,104,056.60","2,861,366.82","2,765,399.35","39,932.77","7,387,174.90","6,442,030.95","5,355,809.12","155,339.70"
管理费用,"22,887,881.56","54,289,532.66","81,947,712.05","120,622,580.09","29,947,994.88","59,595,247.24","87,046,143.52","124,430,181.20","29,551,978.42","63,141,340.75","97,497,047.84","140,153,020.89","39,225,351.33","79,342,636.53","122,447,082.06","173,015,137.79","39,784,938.12","82,444,711.58","119,570,762.89","177,751,172.11","38,978,000.19","78,093,304.47","124,303,349.14","225,897,752.51","51,336,040.82","104,390,573.04","164,266,058.75","237,831,979.87","52,077,157.62","110,463,015.94","171,100,548.96","252,982,247.82","51,268,579.98","106,680,707.17","167,060,755.05","260,303,400.66","42,843,772.33","95,670,560.21","143,483,337.40","212,317,550.24","43,451,257.28","91,111,911.89","136,049,948.11","203,479,643.23","44,697,449.47"
其中:非流动资产处置净损失,,"10,121.68",,"145,373.73",,"32,482.46","53,719.66","97,811.79","35,891.80","41,880.95","47,827.54","764,246.65","22,156.56","243,362.55","303,199.63","555,032.94","84,665.79","95,243.81","126,171.93","194,124.27",555.00,"20,849.29","92,105.76","290,178.03","12,524.10","81,223.04","41,224.77","3,071,369.59",484.18,"26,194.49","32,664.65","436,070.46","45,910.30","62,867.93","121,428.06","208,301.09","233,556.78","580,412.77","1,087,622.72","525,904.05","16,429.45","553,940.72","663,211.89",,
