科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,018,183,482.18","2,041,269,934.33","3,463,063,494.54","26,570,733,046.97","7,817,291,554.05","19,708,983,189.21","29,700,914,000.56","42,954,353,953.30","8,237,104,951.80","19,747,226,747.64","31,482,223,483.81","44,476,815,394.88","8,224,457,433.65","19,586,664,533.95","30,796,270,060.04","44,975,321,763.90","5,527,333,814.39","16,219,017,626.38","23,691,376,826.51","35,236,182,935.71","6,099,625,762.74","13,511,081,350.98","21,723,476,213.22","33,841,054,173.63","7,729,299,418.12","16,273,295,781.01","24,707,657,239.17","36,553,676,042.89","6,715,690,431.79","17,263,868,193.84","26,965,849,162.08","39,724,381,248.94","6,365,313,221.16","15,693,980,912.84","24,499,880,149.30","37,103,750,197.88","7,119,139,490.13","17,357,418,768.67","26,081,882,809.70","38,491,201,013.05","6,638,677,662.11","13,908,367,778.41","20,146,909,905.11","29,745,642,425.96","4,648,913,200.48","13,120,503,389.60","20,465,367,179.05","29,595,614,470.26","4,669,985,983.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"46,758,787.95","127,286.65","38,083,842.08","61,967,801.90","231,705,113.06","713,310.52","32,194,880.91","50,983,321.86","139,579,371.85","5,857,768.47","80,584,222.02","173,752,831.04","294,911,520.10","64,934,064.48","181,942,800.53","304,769,749.70","445,772,036.70","103,355,686.26","185,587,040.99","259,637,387.78","298,058,101.96","97,590,825.02","165,326,083.74","255,001,766.05","395,886,613.23","152,443,960.50","153,055,762.96","156,824,026.00","351,528,130.08","28,942,004.74","132,159,028.08","412,041,200.79","522,069,019.17","74,262,792.42","80,266,263.37","95,616,531.13","119,520,446.16","18,712,866.20","47,592,820.59","58,949,286.37","67,457,296.39","11,013,209.42","63,475,203.14","209,504,404.83","265,367,421.00","32,341,468.84"
支付其他与投资活动有关的现金,,,,,,,"1,268,590.00","383,521.14",,"41,812,804.39","876,240.80","486,660.78","773,130.00","1,014,778.05","1,014,778.05",,"29,800.00","29,800.00","254,800.00",,,,,,,,,,,,,,,,,,,,,,,"517,349.04","517,349.04",,,,"30,000,000.00","7,832,015.87",
收到其他与经营活动有关的现金,"18,861,136.07","58,586,545.11","104,424,473.18","257,402,616.72","131,289,260.54","914,187,722.90","1,188,108,242.57","1,255,416,245.29","164,752,684.25","357,237,760.66","621,519,293.14","581,215,004.96","195,574,966.24","500,151,413.45","680,833,486.12","616,218,720.18","291,735,345.55","621,415,124.55","828,808,527.19","552,449,268.36","185,489,533.40","431,179,177.60","689,102,205.78","495,012,696.88","236,671,055.27","344,071,552.08","626,468,880.67","482,229,740.61","212,301,675.05","372,136,275.50","914,414,882.58","690,743,709.60","420,901,614.04","509,008,639.52","282,254,487.57","464,728,239.06","375,044,886.98","364,549,415.77","857,840,018.11","804,645,589.20","144,987,790.05","428,944,638.41","716,183,728.89","1,102,511,393.32","361,703,861.24","1,617,500,517.71","3,900,197,411.72","3,427,343,790.94","2,282,387,015.10"
投资活动现金流出小计,"63,760,890.42","118,841,770.38","155,425,208.88","1,868,470,208.09","211,497,423.29","396,889,241.88","1,009,602,134.84","1,988,695,747.78","783,599,327.01","1,908,918,687.72","2,778,379,072.19","3,841,642,370.61","909,639,425.29","1,526,695,816.75","2,078,533,802.38","3,036,758,817.39","598,026,896.21","971,443,246.91","1,214,070,319.05","1,955,306,934.23","858,410,096.52","1,041,516,090.53","1,245,617,862.62","1,598,534,944.31","236,395,230.50","386,866,905.54","611,401,049.98","807,395,805.13","243,877,687.37","494,198,750.89","636,860,788.24","734,494,302.62","133,415,274.96","213,199,572.34","339,242,904.25","499,252,931.35","84,552,692.04","128,481,957.39","328,723,827.70","474,542,854.37","43,235,162.49","79,754,941.59","103,222,781.89","206,656,098.30","86,374,002.80","978,556,487.11","2,607,920,520.98","3,499,954,068.48","1,007,872,629.00"
经营活动现金流入小计,"1,037,044,618.25","2,099,856,479.44","3,567,487,967.72","26,874,894,451.64","7,948,708,101.24","20,661,254,754.19","30,950,990,045.03","44,441,475,311.65","8,402,570,946.57","20,136,659,389.21","32,154,726,098.81","45,197,609,771.69","8,425,890,168.36","20,167,400,169.42","31,650,856,377.20","45,886,452,004.18","5,884,003,224.42","17,022,375,551.46","24,824,955,103.40","36,234,404,240.77","6,388,470,982.40","14,127,847,569.57","22,672,215,806.78","34,634,124,972.47","8,063,561,298.41","16,782,693,416.83","25,589,127,885.89","37,431,792,396.73","7,080,436,067.34","17,789,060,232.30","28,037,088,070.66","40,766,653,088.62","6,815,156,839.94","16,335,148,580.44","25,194,175,837.66","38,090,547,456.11","7,568,447,169.53","17,802,234,447.81","27,035,339,358.94","39,415,367,048.41","6,802,378,318.36","14,384,905,237.41","20,922,042,920.37","30,915,611,115.67","5,021,630,271.14","16,394,623,404.15","26,807,174,753.72","35,956,286,208.38","7,767,224,807.00"
投资活动产生的现金流量净额,"-63,492,606.02","-117,597,369.58","-153,566,172.68","-1,862,376,003.39","-208,979,450.09","-392,566,636.05","-994,902,601.10","-1,975,012,927.18","-783,504,227.01","-1,908,438,737.72","-2,767,938,541.50","-3,813,791,756.11","-904,103,739.29","-1,520,602,758.75","-2,062,559,964.36","-3,017,460,757.67","-553,928,812.43","-862,640,175.12","-1,098,742,618.31","-1,801,773,005.16","-852,442,201.22","-758,201,630.29","-923,816,703.45","-1,246,033,098.43","-232,478,115.46","-379,658,649.70","-592,464,538.49","-733,738,304.89","-204,731,885.47","-451,631,145.18","-409,719,991.99","-196,004,577.79","-51,540,789.98","-130,422,026.36","-227,618,076.50","-257,589,010.85","-84,451,343.74","-127,417,009.78","-315,245,869.19","-443,004,675.55","-41,636,611.77","12,296,892.37","17,849,836.85","-44,245,507.11","-44,016,778.45","679,271,047.99","-115,905,016.85","-425,086,996.58","228,083,427.98"
购买商品、接受劳务支付的现金,"1,037,771,645.75","2,144,652,276.51","3,297,487,117.12","23,491,049,172.81","6,989,801,855.13","14,255,771,478.49","23,672,776,584.18","33,485,150,813.02","8,240,056,838.92","15,328,660,012.26","25,058,589,057.93","33,785,285,328.17","8,116,938,720.58","17,136,657,304.66","24,619,202,836.83","37,772,858,955.45","6,452,422,595.07","15,306,043,878.93","21,698,400,671.38","29,893,242,286.89","6,905,332,470.72","12,279,054,754.69","19,069,599,618.20","26,569,050,816.64","6,002,244,287.35","11,994,844,708.58","18,991,912,624.28","26,412,277,026.43","6,017,741,062.10","13,115,335,350.88","20,733,015,937.67","29,425,461,901.93","6,972,304,029.48","13,059,525,933.67","19,154,700,002.18","25,471,281,801.78","5,518,954,750.44","10,903,344,812.35","16,144,513,022.66","23,088,940,522.03","5,672,392,738.52","11,962,679,298.88","17,470,431,066.68","23,090,173,033.64","4,915,703,543.55","10,334,796,647.25","15,872,361,015.30","20,830,400,100.46","4,762,012,986.08"
吸收投资收到的现金,,,,"9,811,371.97",,"189,014.50","189,014.50","1,738,812,160.60","789,530,000.00","938,458,000.00","938,458,000.00","5,024,298,035.59","22,125,800.00","127,125,800.00","344,201,000.00","216,701,000.00",,,,,,,,,,,,,,,,,,201.12,201.12,316.98,,,,,,,,,,,"49,500,000.00","49,500,000.00",
