科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"147,258,728.62","395,321,156.61","714,029,239.52","1,198,632,026.83","257,928,427.56","694,035,637.05","1,312,551,443.13","1,682,551,018.87","194,600,439.04","589,936,083.62","948,128,314.66","1,487,257,496.92","444,089,045.88","720,830,392.59","1,076,563,907.42","1,623,380,028.55","258,997,208.58","587,699,809.16","915,678,739.04","1,671,860,876.68","351,877,071.26","1,071,070,288.41","1,463,546,188.49","2,456,307,340.20","265,462,843.73","705,449,158.83","1,038,025,874.77","1,642,969,346.46","393,708,450.90","775,401,247.87","1,157,542,428.60","2,977,572,612.33","232,153,065.20","795,076,364.24","1,218,609,176.31","3,012,381,006.14","525,207,730.59","953,070,648.73","1,261,470,871.05","2,129,606,517.59","315,657,713.27","543,730,815.68","760,706,556.94","1,216,319,663.77","173,556,744.11","456,267,006.16","700,474,311.77","1,155,495,751.44","341,227,747.13"
取得子公司及其他营业单位支付的现金净额,,,,"110,972,137.70","-3,218,151.83",,,,,"171,700,933.99","171,700,933.99","214,109,040.00",,,"43,801,124.40","43,801,124.40",,"244,466,354.11","244,466,354.11","244,466,354.11",,,,,,,,,,,,,,,,,,"157,835,212.85","157,835,212.85","157,835,212.85",,,,,,,,,
收到的税费返还,,,,,,,,"330,932.28",,,"225,630.45",110.63,,,,"6,188,598.31",,,,,,,,,,,,"826,824.89",,,,,,,,,,,,,,,,"1,228,755.65",,,,,
支付其他与投资活动有关的现金,,,,,,,,"814,968.14","1,361,137.60","1,361,144.43","1,361,144.43","3,098,277.20",,,,,,,,,,"374,131.87","374,131.87",,,,,,,,,,,,,"1,371,819.38",,,,"963,700.00",,,,,,,,,
收到其他与经营活动有关的现金,"30,832,217.22","23,764,932.06","57,725,547.39","153,386,202.29","12,677,122.62","39,302,195.33","48,476,314.64","93,842,653.27","53,124,497.30","35,425,796.65","50,967,200.31","177,452,137.03","36,455,418.37","55,125,201.57","331,169,308.42","113,315,273.42","21,121,253.68","58,615,724.13","88,087,863.56","147,119,502.89","47,550,762.00","76,848,532.48","91,468,103.88","68,273,724.22","30,188,292.19","47,856,687.33","164,105,322.16","152,064,134.86","12,703,206.72","72,775,132.51","133,761,434.91","273,454,176.83","238,555,803.44","286,575,673.82","326,598,691.39","364,879,830.96","153,272,774.56","232,949,832.12","152,271,442.05","279,744,953.92","81,280,634.56","166,429,595.23","253,945,394.53","318,340,226.74","56,709,391.39","90,091,862.86","203,355,320.00","412,345,827.96","18,346,198.92"
投资活动现金流出小计,"96,696,556.47","129,883,728.16","367,856,712.36","355,393,473.83","10,883,107.38","304,741,906.29","1,402,693,521.00","1,701,967,412.46","95,823,264.23","347,047,327.14","487,792,188.47","730,612,210.31","86,169,783.36","133,757,564.61","242,909,661.46","640,962,842.97","24,491,144.79","505,355,563.87","711,805,026.49","777,319,221.26","107,974,108.70","124,627,539.57","200,631,400.22","281,497,819.52","73,008,640.90","84,151,832.50","217,367,141.87","304,678,513.16","24,534,795.35","45,598,538.32","71,339,967.92","1,364,701,592.50","102,346,023.61","167,292,770.02","256,179,691.31","1,012,196,817.60","184,232,953.47","575,994,033.84","882,231,490.70","1,185,408,782.78","419,200,017.50","342,125,176.44","372,293,680.44","675,401,326.44","30,422,425.00","471,632,508.00","450,369,498.00","404,929,920.51","457,854,376.25"
经营活动现金流入小计,"178,090,945.84","419,086,088.67","771,754,786.91","1,352,018,229.12","270,605,550.18","733,337,832.38","1,361,027,757.77","1,776,724,604.42","247,724,936.34","625,361,880.27","999,321,145.42","1,664,709,744.58","480,544,464.25","775,955,594.16","1,407,733,215.84","1,742,883,900.28","280,118,462.26","646,315,533.29","1,003,766,602.60","1,818,980,379.57","399,427,833.26","1,147,918,820.89","1,555,014,292.37","2,524,581,064.42","295,651,135.92","753,305,846.16","1,202,131,196.93","1,795,860,306.21","406,411,657.62","848,176,380.38","1,291,303,863.51","3,251,026,789.16","470,708,868.64","1,081,652,038.06","1,545,207,867.70","3,377,260,837.10","678,480,505.15","1,186,020,480.85","1,413,742,313.10","2,409,351,471.51","396,938,347.83","710,160,410.91","1,014,651,951.47","1,535,888,646.16","230,266,135.50","546,358,869.02","903,829,631.77","1,567,841,579.40","359,573,946.05"
投资活动产生的现金流量净额,"-80,926,065.97","22,202,830.71","-172,607,399.92","-157,960,960.65","11,098,412.53","-252,142,695.06","-1,345,611,764.81","-1,602,974,457.61","210,854,034.14","-15,692,651.55","-101,677,876.25","-233,919,498.47","-63,942,092.77","3,302,444.18","-23,942,304.21","-394,872,633.84","-23,468,744.79","-489,400,689.23","-684,400,380.74","-746,300,553.47","-100,985,705.11","-54,970,285.66","-45,964,364.08","-109,241,738.75","89,374,054.54","398,624,861.98","298,270,104.57","474,864,286.76","93,454,241.47","217,022,853.10","402,434,112.22","680,642,195.36","116,840,708.02","495,734,291.60","751,665,306.22","78,170,237.57","368,230,377.24","516,513,344.63","173,148,819.13","-403,837,032.23","-278,439,352.48","-2,087,904.92","501,654,055.97","307,963,283.80","89,200,503.44","118,106,145.44","529,320,980.40","649,208,503.60","-322,241,951.04"
购买商品、接受劳务支付的现金,"253,279,938.12","559,601,271.83","1,030,569,155.95","1,509,090,456.00","355,916,859.71","616,520,638.26","1,023,333,033.57","1,343,109,230.17","420,663,741.03","696,225,055.53","1,086,828,807.50","1,918,576,053.57","473,698,747.73","726,752,872.78","1,499,374,121.06","2,089,724,998.10","526,707,375.83","841,691,639.45","1,104,271,080.89","1,477,285,446.38","422,697,967.71","600,307,387.09","821,173,045.24","1,246,091,291.85","587,039,967.45","850,159,564.01","1,062,928,101.63","1,153,008,870.13","362,498,635.36","505,307,945.87","699,250,070.69","1,275,256,806.41","474,593,892.75","628,597,978.14","924,623,354.91","1,305,029,014.15","237,218,116.46","545,161,321.02","776,836,768.64","1,007,227,123.80","401,857,679.31","507,507,246.97","671,715,274.96","799,760,210.99","226,185,604.10","428,644,152.71","606,784,594.23","785,786,426.09","199,903,302.91"
吸收投资收到的现金,,,,,,,"2,564,258,235.00","2,564,258,235.00",,,,"2,000,000.00",,,"112,000,000.00","112,000,000.00",,,,,,,,"28,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"12,320,012.35","17,837,653.21","25,575,995.64","38,660,041.98","25,099,697.89","34,820,452.40","45,574,863.39","57,779,185.87","14,302,905.05","26,378,453.58","38,530,461.19","53,152,996.74","25,270,603.44","39,138,958.11","54,716,896.11","83,864,907.87","16,299,795.68","31,189,598.73","47,938,082.03","80,667,136.85","23,778,596.45","38,936,326.11","54,773,739.39","82,632,807.77","23,837,250.08","42,485,326.81","63,808,101.77","86,827,223.11","24,475,862.02","44,053,134.17","61,288,335.12","85,854,392.52","23,575,812.25","46,699,483.85","66,210,826.33","109,695,495.48","27,613,669.32","52,725,903.26","73,412,699.27","113,631,435.16","14,598,292.00","30,905,086.77","41,513,175.30","55,598,018.68","23,242,073.10","36,592,211.87","50,259,428.43","65,152,283.02","23,630,467.86"
取得借款收到的现金,"1,789,645,885.60","2,119,570,444.00","3,044,541,428.00","3,787,386,676.00","2,181,300,000.00","3,001,300,000.00","4,721,300,000.00","6,652,500,000.00","2,940,000,000.00","4,125,000,000.00","5,256,843,230.00","8,871,740,504.00","1,256,000,000.00","3,496,000,000.00","4,443,809,881.57","6,086,081,881.57","886,312,848.65","2,222,611,969.65","2,782,611,969.65","4,298,443,013.37","839,023,778.00","1,944,023,778.00","3,154,023,778.00","5,363,023,778.00","1,594,600,000.00","2,198,093,120.00","3,599,923,120.00","5,166,501,145.00","1,098,633,910.50","1,635,869,865.04","2,467,919,865.04","5,989,327,774.04","611,450,000.00","2,789,342,000.00","5,486,902,000.00","7,489,942,000.00","59,107,050.00","1,157,907,050.00","4,531,107,050.00","5,531,107,050.00","222,000,000.00","602,000,000.00","1,342,000,000.00","2,002,000,000.00","134,000,000.00","772,000,000.00","3,542,000,000.00","3,942,000,000.00","1,660,000,000.00"
支付的各项税费,"61,250,014.57","84,419,382.69","107,766,975.31","153,282,392.81","80,533,251.17","115,633,963.94","146,414,910.13","251,312,859.60","33,531,860.78","101,454,585.45","194,738,431.05","271,532,776.66","103,319,770.13","170,752,240.47","225,341,080.10","245,151,320.89","47,767,931.38","95,274,497.54","117,902,834.12","160,633,785.77","132,686,121.51","174,020,281.28","203,709,494.81","226,190,865.80","138,289,948.61","199,408,665.79","271,526,526.38","297,826,546.94","112,693,780.21","184,072,329.79","206,653,390.24","236,342,512.22","173,768,753.57","294,165,127.37","310,981,851.10","358,578,446.22","204,728,099.26","368,030,377.70","389,376,535.12","430,353,713.42","122,670,083.38","232,256,725.61","256,501,550.74","283,727,369.61","44,935,935.23","120,662,273.18","135,395,181.51","154,048,246.31","82,757,666.95"
收到其他与筹资活动有关的现金,"121,259.16","121,259.16","121,259.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,000,000.00","120,000,000.00"
支付其他与经营活动有关的现金,"52,180,114.11","33,851,033.37","68,763,426.21","169,182,311.08","284,127,997.76","303,328,048.93","286,541,022.11","337,531,136.44","25,073,593.37","46,890,263.91","38,500,545.80","100,779,264.45","61,151,487.21","117,469,545.88","263,632,141.97","175,865,967.21","32,063,863.04","56,696,052.03","57,891,679.51","131,857,932.34","33,019,051.06","60,423,524.55","149,126,726.49","108,748,503.23","38,616,503.53","41,851,933.82","131,050,643.92","109,952,466.94","21,191,426.83","53,124,553.48","179,952,266.47","189,267,529.33","31,616,921.84","65,916,885.42","95,226,593.37","135,367,219.32","165,807,458.59","200,255,015.88","295,078,272.61","411,663,544.04","48,458,178.61","71,079,418.41","94,308,872.78","138,628,264.80","175,006,430.30","186,756,726.50","292,084,874.14","248,991,679.15","47,547,459.32"
