科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"4,463,059,072.00","5,631,718,787.00","5,075,685,222.00","6,563,439,336.00","3,436,169,419.00","5,575,687,829.00","7,327,613,512.00","2,018,444,600.00","3,952,995,496.00","6,324,674,798.00","8,093,672,545.00","2,088,725,117.00","3,953,421,930.00","6,558,201,514.00","8,429,404,272.00","2,571,109,555.00","5,065,238,630.00","8,423,208,421.00","10,970,589,893.00","3,230,209,869.00","6,332,105,519.00","10,179,252,453.00","13,114,041,327.00","3,639,626,871.00"
二、营业利润,"146,251,183.00","309,157,119.00","579,641,826.00","432,611,295.00","155,450,064.00","519,694,528.00","540,469,820.00","282,899,900.00","501,886,587.00","1,042,782,189.00","903,694,742.00","322,908,027.00","371,713,802.00","784,760,238.00","289,148,109.00","112,717,805.00","599,058,582.00","1,399,659,124.00","1,596,965,039.00","508,128,910.00","942,674,649.00","1,846,704,599.00","1,918,369,125.00","635,407,104.00"
减:营业成本,"3,900,468,959.00","4,917,404,460.00","4,185,886,414.00","5,711,939,826.00","3,024,294,126.00","4,673,186,714.00","6,244,822,752.00","1,545,274,100.00","3,108,826,823.00","4,732,012,615.00","6,466,408,463.00","1,575,968,395.00","3,218,290,772.00","5,194,944,450.00","7,350,403,076.00","2,250,309,536.00","4,600,345,031.00","7,115,240,733.00","9,638,278,131.00","2,731,521,962.00","5,555,298,892.00","8,574,377,975.00","11,844,399,916.00","3,012,163,626.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"147,186,920.00","22,807,362.00","11,351,853.00","13,596,655.00","5,381,973.00","11,961,118.00","15,239,944.00","7,391,000.00","12,562,936.00","19,738,359.00","24,071,991.00","3,196,510.00","5,093,333.00","6,100,080.00","6,683,462.00","575,413.00","5,171,696.00","8,318,894.00","14,341,568.00","4,025,100.00","7,108,656.00","11,836,050.00","15,457,564.00","3,728,910.00"
营业外收入,"507,068,487.00","533,698,412.00","270,044,849.00","554,515,693.00","226,562,457.00","386,898,851.00","683,476,465.00","67,867,300.00","345,508,231.00","589,089,939.00","902,379,938.00","170,717,787.00","603,309,180.00","762,330,972.00","998,546,776.00","288,482,240.00","144,280,548.00","160,960,355.00","55,155,313.00","386,124.00","21,738,671.00","34,003,869.00","86,926,956.00","1,103,314.00"
销售费用,"79,970,242.00","118,994,477.00","106,486,573.00","152,794,431.00","76,694,879.00","117,608,682.00","184,460,035.00","41,030,100.00","94,820,725.00","143,933,415.00","233,148,547.00","50,896,568.00","103,839,837.00","173,840,688.00","257,776,134.00","71,027,723.00","147,332,828.00","228,379,810.00","298,417,750.00","70,593,751.00","146,527,743.00","203,016,566.00","259,791,430.00","53,001,379.00"
减:营业外支出,"1,381,761.00","271,549.00","53,472.00","120,358.00","6,329,997.00","7,939,861.00","8,088,855.00","116,600.00","585,303.00","1,557,336.00","2,052,492.00","168,783.00","4,169,024.00","3,640,807.00","4,156,885.00","337,291.00","189,183.00","401,339.00","790,649.00","233,378.00","540,920.00","1,858,284.00","2,998,277.00","1,283,723.00"
管理费用,"129,872,742.00","140,242,607.00","108,353,840.00","149,436,539.00","70,884,742.00","108,641,614.00","163,472,247.00","45,432,800.00","92,239,419.00","137,914,017.00","194,587,755.00","43,661,834.00","90,640,568.00","137,444,153.00","188,345,852.00","50,548,020.00","112,296,659.00","174,266,473.00","251,395,161.00","57,362,916.00","115,210,988.00","112,113,197.00","201,723,323.00","57,415,985.00"
其中:非流动资产处置净损失,"39,892.00","3,025.00",815.00,815.00,"1,394.00","5,004.00",204.00,,592.00,592.00,"32,284.00","10,526.00","13,613.00","22,553.00","68,911.00",798.00,"1,248.00","58,287.00",,,,,,
