科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"3,841,079,862.79","3,729,301,443.17","3,716,262,488.15","4,360,521,606.36","6,671,566,793.99","2,118,252,593.74","4,660,829,215.91","8,182,620,488.41","12,191,574,228.61","1,899,683,091.37","4,230,115,268.51","7,592,461,687.00","11,238,128,133.21","2,814,292,595.87","6,172,675,735.26","9,422,246,063.29","13,473,906,021.27","1,859,617,748.91","4,313,050,537.20","7,847,197,536.58","11,513,857,359.38","2,025,351,029.21","3,852,582,424.10","7,163,711,135.14","10,020,011,361.33","1,348,245,724.45","4,167,090,316.21","6,399,111,459.80","9,793,149,806.69","1,579,862,774.73","5,577,139,259.69","9,153,525,004.83"
取得子公司及其他营业单位支付的现金净额,,"-80,723,115.94",,,,,"2,640,605.50","2,640,605.50","2,640,605.50",,,,,,"27,458,661.30","27,458,661.30","20,898,661.30","4,733,750.00",,,,,,,"8,615,214.51",,,,,,,
收到的税费返还,,,,,,,,,"34,738.07",,,,"1,124,388.77",,,"1,280,293.68",,"514,516.65","1,114,959.98","1,462,645.38",,"612,220.55","917,994.52","917,994.52",,"304,822.51",,"494,071.47",,"2,504,435.72","2,991,202.15","3,749,376.19"
支付其他与投资活动有关的现金,"1,506,360.90",,"11,370,842.01","16,956,818.88","69,773,649.21","173,027,301.49","216,305,491.59","189,728,301.60","186,040,362.57","9,789,590.36","17,867,475.61","18,631,796.46","31,578,372.34",,,,"16,701,039.93",,,,,"83,262,416.64","65,122,069.94",,"105,467,269.31","108,622,038.61",,"8,239,701.70",,,"88,498,067.74",
收到其他与经营活动有关的现金,"308,157,629.69","364,183,934.69","340,634,618.33","48,298,947.75","157,338,152.03","109,957,538.28","570,699,210.17","605,332,139.79","679,661,280.98","53,531,211.73","129,466,585.65","139,768,642.75","842,909,386.66","34,758,464.08","53,826,635.42","63,660,949.37","169,595,859.03","238,099,101.38","257,507,683.90","282,363,144.79","398,296,272.73","43,939,791.77","49,686,404.95","189,267,147.37","388,074,879.16","212,420,893.06","191,358,015.69","458,548,057.75","446,638,491.34","83,926,150.57","182,675,208.40","303,641,812.90"
投资活动现金流出小计,"338,049,513.35","272,275,850.35","488,754,059.41","739,103,450.96","993,595,388.93","281,125,042.96","1,754,207,683.38","2,283,969,861.10","3,161,058,550.85","89,963,443.51","936,673,032.53","1,177,559,193.74","1,290,302,943.29","245,544,368.89","367,825,802.12","505,936,699.31","892,279,118.75","160,967,074.31","271,374,397.80","394,016,174.73","1,226,234,102.72","559,766,441.32","932,939,902.48","2,726,541,721.96","1,080,275,386.10","256,001,498.33","1,436,056,500.26","2,552,405,792.81","905,316,039.07","100,759,031.09","401,552,400.98","595,179,297.89"
经营活动现金流入小计,"4,149,237,492.48","4,093,485,377.86","4,056,897,106.48","4,408,820,554.11","6,828,904,946.02","2,228,210,132.02","5,231,528,426.08","8,787,952,628.20","12,871,270,247.66","1,953,214,303.10","4,359,581,854.16","7,732,230,329.75","12,082,161,908.64","2,849,051,059.95","6,226,502,370.68","9,487,187,306.34","13,643,501,880.30","2,098,231,366.94","4,571,673,181.08","8,131,023,326.75","11,912,153,632.11","2,069,903,041.53","3,903,186,823.57","7,353,896,277.03","10,408,086,240.49","1,560,971,440.02","4,358,448,331.90","6,858,153,589.02","10,239,788,298.03","1,666,293,361.02","5,762,805,670.24","9,460,916,193.92"
投资活动产生的现金流量净额,"-334,932,528.37","-210,342,389.64","-485,391,681.81","-675,596,780.21","-904,593,771.71","-281,125,042.96","-490,583,451.38","-1,019,577,009.06","-850,910,164.65","-88,931,443.51","-232,380,074.34","-473,266,235.55","-584,734,673.24","-223,135,428.49","-191,776,487.59","-202,685,873.56","-401,275,022.05","-8,234,064.75","-77,797,005.68","-129,286,241.05","-409,532,174.38","-509,697,756.39","-472,375,090.13","-1,354,911,943.27","-870,339,968.54","-247,883,929.44","-1,189,331,783.61","-730,033,115.75","-588,741,743.68","-20,703,020.60","-340,380,908.18","-420,822,223.08"
购买商品、接受劳务支付的现金,"1,262,987,634.85","1,590,491,378.86","1,646,429,609.96","2,442,518,859.53","4,254,630,033.37","669,919,793.12","3,134,839,267.61","5,768,919,994.99","9,389,217,807.78","823,522,079.37","3,006,069,049.30","5,716,232,199.79","8,973,898,107.34","1,817,361,045.32","4,175,274,322.23","6,898,931,854.96","10,390,687,228.06","1,926,673,972.03","3,927,692,422.34","6,050,699,680.30","9,311,893,036.61","1,464,284,589.50","3,392,755,166.50","5,743,373,707.40","8,158,483,696.61","957,045,138.26","2,825,808,466.60","5,339,758,382.82","8,049,009,324.53","1,633,990,505.56","5,142,420,604.71","7,984,911,007.22"
吸收投资收到的现金,"12,000,000.00","8,000,000.00",,"10,780,000.00","4,528,053,700.00","47,986,868.52","48,020,000.00","48,020,000.00","48,020,000.00",,"4,900,000.00","4,900,000.00","4,900,000.00",,,"4,900,000.00","4,900,000.00",,,,"200,000.00",,,,"1,050,000.00",,,,"18,460,000.00",,"21,400,000.00","21,400,000.00"
支付给职工以及为职工支付的现金,"1,459,472,830.13","1,486,147,601.03","1,299,729,485.29","1,120,570,905.68","1,689,983,185.04","307,643,033.17","657,319,574.28","1,614,181,480.72","2,106,093,273.94","369,886,416.88","767,667,207.02","1,412,380,143.91","2,050,891,351.37","415,110,704.07","893,596,658.47","1,512,671,233.16","2,224,513,343.76","393,698,564.22","746,714,724.75","1,404,570,602.16","1,800,585,108.56","294,197,821.73","702,911,131.34","1,170,009,694.55","1,570,624,150.21","239,584,108.65","439,747,761.85","870,590,214.72","1,106,589,682.61","293,364,933.19","674,856,414.88","1,206,304,567.21"
取得借款收到的现金,"2,105,000,000.00","1,300,000,000.00","1,350,000,000.00","1,896,345,346.43","1,781,345,346.43","385,000,000.00","464,500,000.00","647,674,104.12","1,035,225,676.21","129,260,900.00","536,316,129.13","1,104,554,114.57","2,038,544,658.31","515,589,797.11","1,267,352,859.66","1,540,065,292.58","2,415,901,408.53","861,814,947.63","1,424,676,002.58","1,920,423,714.75","3,062,883,148.21","671,289,111.67","2,236,239,892.18","2,896,777,051.01","3,040,568,702.74","877,083,482.41","1,604,031,747.74","2,393,332,560.61","2,363,435,469.04","575,929,444.42","1,108,517,684.86","1,880,409,312.87"
