科目,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"535,068,272.82","546,441,036.31","566,270,760.50","540,673,796.72","574,910,709.76","914,867,362.81","242,530,005.40","153,918,883.64","167,210,480.52","143,782,019.44","169,158,006.86","156,778,053.15","104,910,630.90","127,821,969.27","214,338,953.04","144,401,279.04","176,380,210.34","343,048,257.41","356,287,379.88","210,687,026.11","322,575,173.15","317,590,277.93","391,975,225.93","377,711,270.39","431,754,374.99","480,912,828.93","552,313,374.49","595,303,860.71","708,902,911.82","845,532,804.72","957,889,095.73","1,018,791,178.73","1,085,494,348.59","1,154,046,200.28"
短期借款,,,,,,,,,"50,000,000.00","50,000,000.00","30,000,000.00","100,000,000.00","80,000,000.00","50,000,000.00","50,000,000.00","12,000,000.00","12,000,000.00",,,,,,,,,,,,,,,,,
交易性金融资产,"35,039,288.96","24,889,121.29","29,700,896.48","29,657,739.59","29,879,427.74","32,810,444.83","30,116,883.14","38,903,896.59","41,286,584.79","44,512,713.80","37,405,556.58","41,723,161.49","42,675,920.34","40,109,020.65","39,195,068.60","30,240,052.28","30,676,800.31","33,713,223.61","40,218,141.68","49,682,146.05","56,635,467.15","65,316,518.87","52,118,288.60","79,652,872.15","84,943,988.66","87,358,377.10","94,632,392.43","81,015,354.69","79,626,317.89","84,561,166.12","94,830,322.11","102,709,009.10","106,450,064.82","84,911,800.96"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,"1,630,000.00","110,000.00","670,000.00","661,930.00","895,558.00","1,504,013.00",,"1,300,000.00","1,240,602.88",,,,,,,,,,"358,844.00","558,844.00","200,000.00","500,000.00","500,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"11,251,598.20","17,354,978.16","12,984,468.10","11,526,796.12","11,113,906.28","12,047,887.88","11,627,928.80","9,307,865.37","9,102,930.46","9,602,166.05","14,898,321.05","9,458,433.13","11,131,532.04","12,895,779.18","12,555,083.18","12,699,276.26","10,208,326.78","4,787,313.25","6,708,235.37","8,299,487.75","3,852,395.15","6,929,421.17","6,954,395.27","6,952,215.79","5,512,927.93","9,158,770.31","6,612,220.51","4,671,687.17","4,077,717.07","4,039,733.36","4,890,435.14","3,291,867.69","2,838,090.57","6,660,056.93"
应付账款,"1,299,861.67","5,465,693.42","6,334,892.22","9,652,603.08","7,076,390.17","6,707,498.96","7,101,027.96","21,413,167.14","11,079,669.36","7,989,483.87","34,502,179.71","21,421,611.52","19,560,424.63","16,879,823.87","15,762,758.07","17,556,539.46","23,423,105.46","20,270,118.04","29,729,895.43","18,236,254.57","6,252,011.52","8,952,110.53","9,757,474.77","25,912,490.63","6,725,897.08","18,647,670.93","14,681,774.23","102,309,809.74","99,550,839.07","17,776,410.18","62,969,602.75","150,563,708.99","105,862,748.38","83,976,231.47"
预付款项,"556,354.37","1,618,914.19","8,735,462.46","1,537,642.25","608,947.47","3,168,646.07","14,585,266.17","38,813,796.78","86,088,834.34","140,336,102.36","26,749,816.07","17,517,009.44","14,805,583.60","16,470,527.66","21,860,460.25","56,212,255.45","38,138,974.52","40,624,487.19","46,297,086.12","26,878,819.08","20,952,036.19","53,461,327.16","30,203,002.13","16,394,310.01","49,622,152.93","19,756,681.07","26,867,006.56","25,770,782.23","36,689,761.31","28,601,703.25","49,829,692.61","19,352,594.56","20,357,806.41","19,201,682.33"
预收款项,"1,290,902.55","1,163,402.55","1,163,402.55","733,402.55","581,702.55","733,402.55",,"633,402.55","633,402.55","584,340.48","633,402.55","638,055.55","638,055.55","638,055.55","1,377,167.55","633,402.55","633,402.55","1,453,774.50","2,979,567.50","2,032,641.50","54,224,650.50","96,591,676.50","323,231,077.50","355,483,315.20","369,451,195.70","388,255,529.20","559,732,981.20","782,553,259.25","933,776,267.25","1,097,702,427.25","1,312,195,016.25","48,814,461.46","97,887,855.49","112,157,188.49"
