科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"259,218,357.20","332,796,954.84","556,710,997.51","144,688,996.20","320,998,375.77","539,101,400.12","752,755,466.96","185,488,348.30","421,828,444.53","627,738,217.96","814,026,662.37","206,187,861.24","439,992,728.59","671,957,366.45","930,716,917.83","195,784,573.45","440,244,691.99","670,842,632.77","886,238,658.43","184,226,303.64","367,406,697.18","643,730,948.14","842,002,453.01","238,797,498.69","411,771,942.49","657,567,508.39","832,818,857.56","193,353,609.71","416,187,602.08","667,319,011.63","923,472,786.03","218,537,620.76","398,901,593.24","735,599,152.27","928,919,607.46","311,854,315.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,"2,250,000.00","2,250,000.00","2,250,000.00",,,,,,,"6,000,000.00","6,000,000.00","462,000.00","10,462,000.00","50,368,800.00","110,368,800.00",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,"38,083.49","119,776.37","365,784.53","417,847.59","517,182.69","732,119.82","827,641.05","954,379.87","1,278,744.97","1,485,166.39","789,258.11","819,728.10","921,060.54","1,052,061.62","404,243.50"
支付其他与投资活动有关的现金,,,,,"200,000,000.00","220,000,000.00","694,762,500.00","91,145,345.38","570,426,546.24","837,048,752.25","1,132,987,414.75","277,772,275.20","721,398,593.58","1,135,718,197.80","1,602,282,634.63","407,210,756.81","874,059,605.59","1,249,073,567.00","1,635,629,378.40","396,928,472.84","777,139,262.43","1,355,604,089.71","1,513,073,071.40","440,285,395.01","965,421,675.49","1,476,370,966.61","2,001,813,602.96","581,495,828.59","961,877,890.27","278,979,971.60","1,879,797,501.35","509,079,123.79","888,102,098.26","924,821,338.21","940,261,338.21","45,000,000.00"
收到其他与经营活动有关的现金,"8,278,292.78","25,601,296.13","9,118,413.25","5,716,141.04","4,301,165.30","5,594,902.99","7,704,611.94","7,435,005.17","15,179,375.63","16,661,130.59","4,385,037.76","1,884,590.67","9,000,899.41","10,582,742.10","5,342,864.99","355,245.10","1,524,607.15","2,279,880.35","3,958,886.73","1,854,252.58","2,846,309.38","4,916,034.96","5,481,301.41","1,347,299.62","2,514,902.14","3,162,908.26","3,616,484.33","918,581.58","2,056,500.20","2,786,719.87","3,100,895.02","4,463,844.22","1,490,848.91","4,444,845.53","3,442,847.19","779,797.16"
投资活动现金流出小计,"47,163,617.90","86,728,942.28","142,327,467.25","63,130,117.67","340,695,558.11","389,969,934.65","1,047,817,762.15","337,156,698.78","1,041,472,275.12","1,582,372,558.11","2,168,656,373.66","435,194,591.29","1,096,568,971.35","2,120,045,568.97","2,963,657,006.90","755,637,301.55","1,538,000,407.89","2,005,122,548.45","2,559,404,447.64","490,566,663.63","934,249,857.27","1,579,425,149.71","1,885,126,398.80","783,039,253.16","1,984,871,510.11","2,690,907,481.87","3,915,611,732.96","1,751,934,762.07","3,014,538,424.48","2,875,500,960.45","5,199,151,875.28","1,144,072,526.25","2,277,636,409.13","2,468,562,679.49","2,940,813,005.13","285,314,309.02"
经营活动现金流入小计,"267,496,649.98","358,398,250.97","565,829,410.76","150,405,137.24","325,299,541.07","544,696,303.11","760,460,078.90","192,923,353.47","437,007,820.16","644,399,348.55","818,411,700.13","208,072,451.91","448,993,628.00","682,540,108.55","936,059,782.82","196,139,818.55","441,769,299.14","673,122,513.12","890,197,545.16","186,080,556.22","370,253,006.56","648,685,066.59","847,603,530.79","240,510,582.84","414,704,692.22","661,247,599.34","837,167,461.71","195,099,832.34","419,198,482.15","671,384,476.47","928,058,847.44","223,790,723.09","401,212,170.25","740,965,058.34","933,414,516.27","313,038,356.13"
投资活动产生的现金流量净额,"-47,163,617.90","-86,723,942.28","-142,272,446.10","-63,130,117.67","-340,695,558.11","-379,969,934.65","-611,058,978.64","-82,753,851.93","-217,651,946.22","-310,056,197.56","-416,355,609.89","-54,590,834.27","-92,834,353.43","-489,917,788.53","-523,797,995.39","-57,961,835.82","-141,706,496.13","-214,345,879.75","-298,261,526.76","-62,893,905.60","151,053,992.56","-135,396,952.72","-52,186,397.68","-383,198,971.23","-1,050,544,004.01","-1,185,464,863.66","-1,148,900,214.93","-70,974,749.57","-200,792,774.66","-198,263,626.09","-418,241,782.70","200,779,487.21","-89,205,218.43","858,685,728.74","811,136,160.59","-154,042,142.51"
购买商品、接受劳务支付的现金,"72,107,630.76","80,021,762.96","120,300,507.47","27,624,783.93","60,392,957.67","91,056,847.20","134,971,078.32","24,082,690.96","53,278,561.92","96,286,489.12","144,323,875.26","38,965,671.28","66,544,957.87","120,968,882.20","191,242,361.84","50,891,201.78","95,238,218.14","149,091,563.87","219,966,037.04","68,159,150.72","89,024,896.42","132,782,932.47","157,205,059.62","30,318,682.57","54,935,839.90","96,416,160.82","152,401,221.52","60,209,484.14","136,331,063.32","189,485,007.73","215,537,268.31","57,772,855.11","78,957,685.69","108,362,907.20","180,957,851.40","78,985,042.50"
吸收投资收到的现金,,,,"1,028,904,100.00","1,028,904,100.00","1,028,904,100.00","1,039,113,600.00",,,,,,,,,,,,,,,,,"742,400,000.00",,,,,,,,,,"57,200,000.00","57,200,000.00",
支付给职工以及为职工支付的现金,"33,113,946.98","44,430,861.10","70,515,296.06","29,858,350.52","43,297,756.36","64,032,784.99","94,965,310.94","37,542,785.68","63,019,218.32","92,855,116.44","118,923,254.70","44,050,157.29","74,000,720.99","101,033,429.69","138,391,122.70","49,619,437.94","80,615,882.09","111,393,746.21","149,443,388.50","55,436,752.40","91,868,265.56","122,493,380.97","157,873,944.25","66,675,087.89","100,633,415.45","135,313,751.86","168,291,181.57","65,854,875.89","105,741,690.59","138,769,560.85","180,207,988.98","62,605,821.97","108,377,466.87","143,838,851.32","186,017,843.21","70,395,868.98"
取得借款收到的现金,"75,000,000.00","150,000,000.00","415,000,000.00","65,000,000.00","85,000,000.00","85,000,000.00","85,000,000.00",,,,,,,,,,,,,,,,,,,"742,400,000.00",,,,,,,,,,"120,000,000.00"
支付的各项税费,"41,631,563.44","33,575,164.60","53,649,924.51","17,941,729.34","34,442,059.08","56,753,616.37","76,138,920.36","33,640,967.24","63,494,607.48","79,343,926.96","95,462,734.05","25,767,128.27","72,963,544.55","94,096,465.38","113,163,099.71","16,408,960.91","70,456,205.49","85,101,291.31","101,478,800.94","49,132,604.84","88,002,596.14","111,509,975.95","141,195,362.00","46,243,702.46","70,262,034.20","88,804,939.35","107,112,504.05","15,334,289.46","109,194,319.32","128,849,495.99","129,359,818.23","38,422,148.42","117,944,491.07","183,957,736.87","212,972,703.96","21,389,731.62"
收到其他与筹资活动有关的现金,"3,000,000.00",,,"13,000,000.00","13,000,000.00","23,000,000.00","13,000,000.00",,,,"10,000,000.00",,,,"5,750,000.00",,,,,,,"2,000,000.00","2,000,000.00",,,,,,,"18,800,000.00","18,850,000.00",,"2,000,000.00",,"2,000,000.00",
支付其他与经营活动有关的现金,"19,303,299.57","18,864,778.43","43,260,577.86","13,817,360.90","32,861,035.92","38,792,759.64","54,704,513.41","6,908,552.01","22,160,212.45","23,763,389.36","41,246,906.18","8,178,088.71","17,739,827.72","17,638,397.74","34,512,968.83","7,358,872.76","12,143,093.95","19,938,186.41","33,907,092.81","2,961,640.29","11,862,670.52","18,998,810.83","30,158,332.78","7,131,853.17","15,903,137.46","21,788,383.30","27,511,027.07","8,054,593.74","15,003,946.09","22,188,211.79","27,441,700.31","7,577,427.84","13,249,714.67","21,238,132.14","27,834,720.70","19,794,083.08"
筹资活动现金流入小计,"78,000,000.00","150,000,000.00","415,000,000.00","1,106,904,100.00","1,126,904,100.00","1,136,904,100.00","1,137,113,600.00",,,,"10,000,000.00",,,,"5,750,000.00",,,,,,,"2,000,000.00","2,000,000.00","742,400,000.00","742,400,000.00","742,400,000.00","742,400,000.00",,,"18,800,000.00","18,850,000.00",,"2,000,000.00","57,200,000.00","59,200,000.00","120,000,000.00"
