科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月
一、营业收入,"26,371,205,000.00","34,710,720,000.00","14,829,463,000.00","40,515,922,000.00","9,695,888,000.00","24,874,924,000.00","39,087,994,000.00","62,184,321,000.00","19,479,043,000.00","41,132,447,000.00","64,181,578,000.00","89,353,178,000.00","18,398,943,000.00","42,845,226,000.00","64,301,069,000.00","92,431,301,000.00","18,151,162,000.00","36,914,665,000.00","58,432,658,000.00","97,240,665,000.00","14,687,828,000.00","38,805,202,000.00","64,166,469,000.00","104,290,492,000.00","17,430,703,000.00"
二、营业利润,"927,668,000.00","1,205,233,000.00","452,644,000.00","1,238,499,000.00","285,091,000.00","815,228,000.00","1,567,648,000.00","1,961,793,000.00","708,856,000.00","1,870,399,000.00","2,523,150,000.00","3,183,169,000.00","775,180,000.00","1,960,730,000.00","2,754,909,000.00","3,620,305,000.00","847,022,000.00","1,897,928,000.00","2,884,419,000.00","4,826,140,000.00","1,041,434,000.00","2,845,034,000.00","4,825,315,000.00","6,409,005,000.00","1,299,054,000.00"
减:营业成本,"22,091,736,000.00","29,507,270,000.00","12,784,243,000.00","35,445,123,000.00","8,545,479,000.00","21,930,742,000.00","33,947,146,000.00","53,943,006,000.00","17,417,707,000.00","35,945,530,000.00","56,280,407,000.00","77,348,786,000.00","15,880,455,000.00","36,812,811,000.00","55,253,948,000.00","78,892,525,000.00","15,352,780,000.00","30,517,286,000.00","48,607,232,000.00","80,103,393,000.00","11,621,446,000.00","31,089,572,000.00","51,640,669,000.00","84,624,259,000.00","13,727,405,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"92,585,000.00","132,924,000.00","31,110,000.00","109,391,000.00","17,314,000.00","58,565,000.00","86,841,000.00","179,062,000.00","36,291,000.00","105,816,000.00","163,302,000.00","298,149,000.00","62,046,000.00","185,514,000.00","274,017,000.00","469,017,000.00","149,529,000.00","243,066,000.00","348,708,000.00","627,830,000.00","117,793,000.00","225,539,000.00","283,410,000.00","546,744,000.00","74,733,000.00"
营业外收入,"263,922,000.00","266,180,000.00","83,479,000.00","424,720,000.00","41,532,000.00","71,201,000.00","120,798,000.00","467,823,000.00","58,578,000.00","116,901,000.00","202,497,000.00","577,484,000.00","67,512,000.00","154,237,000.00","211,934,000.00","642,390,000.00","54,513,000.00","114,473,000.00","221,069,000.00","452,913,000.00","78,435,000.00","177,062,000.00","270,246,000.00","415,879,000.00","54,528,000.00"
销售费用,"437,286,000.00","598,645,000.00","215,980,000.00","577,602,000.00","110,127,000.00","339,273,000.00","580,970,000.00","1,109,469,000.00","262,369,000.00","557,094,000.00","831,827,000.00","1,468,341,000.00","318,066,000.00","830,558,000.00","1,109,186,000.00","1,722,667,000.00","301,718,000.00","896,521,000.00","1,356,436,000.00","2,018,084,000.00","262,937,000.00","756,161,000.00","1,239,933,000.00","2,025,402,000.00","504,646,000.00"
减:营业外支出,"85,030,000.00","41,493,000.00","14,221,000.00","54,513,000.00","6,465,000.00","28,711,000.00","42,266,000.00","96,860,000.00","4,536,000.00","18,186,000.00","26,175,000.00","146,833,000.00","17,222,000.00","32,685,000.00","46,431,000.00","125,472,000.00","13,501,000.00","29,075,000.00","48,368,000.00","179,922,000.00","8,007,000.00","130,787,000.00","132,574,000.00","213,676,000.00","12,605,000.00"
管理费用,"2,457,504,000.00","2,775,340,000.00","1,260,598,000.00","3,266,461,000.00","747,561,000.00","1,594,554,000.00","2,719,613,000.00","4,618,419,000.00","1,074,773,000.00","2,415,340,000.00","3,767,221,000.00","5,847,180,000.00","1,211,380,000.00","2,649,271,000.00","4,230,432,000.00","6,673,215,000.00","1,337,025,000.00","2,769,805,000.00","4,517,682,000.00","7,644,801,000.00","1,479,837,000.00","3,314,523,000.00","5,206,340,000.00","8,442,641,000.00","1,856,157,000.00"
其中:非流动资产处置净损失,,,,"24,075,000.00","1,585,000.00","5,131,000.00","12,516,000.00","38,669,000.00","649,000.00","4,575,000.00","6,868,000.00","18,397,000.00","1,216,000.00","5,766,000.00","8,891,000.00","22,060,000.00","1,596,000.00","5,064,000.00","11,036,000.00","22,496,000.00","697,000.00","2,962,000.00","5,164,000.00","9,513,000.00","2,046,000.00"
