科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"37,436,135,168.31","44,800,752,866.82","40,970,021,983.26","7,632,384,700.00","18,063,462,971.22","27,294,386,317.39","41,404,995,795.54","8,008,226,145.34","18,853,098,869.42","29,215,671,899.98","45,333,636,090.27","8,839,626,620.00","22,781,288,615.15"
二、营业利润,"784,040,566.96","985,886,023.12","1,054,332,397.51","166,119,600.00","449,009,341.59","742,998,642.83","1,203,221,843.05","198,951,502.66","517,607,567.31","819,536,694.93","1,344,328,932.61","237,136,845.75","575,248,671.90"
减:营业成本,"33,704,939,542.21","40,420,847,558.15","36,229,889,132.86",,"16,339,200,445.41","24,797,732,639.57","37,016,484,464.79","7,335,936,192.55","17,169,870,219.08","26,446,301,060.79","40,710,188,367.03","8,086,319,940.78","20,654,890,093.36"
加:补贴收入,,,,,,,,,,,,,
营业税金及附加,"1,193,369,760.25","1,420,050,733.45","1,239,704,544.24",,"275,554,356.18","277,212,502.28","346,981,462.89","25,711,697.12","52,479,616.83","78,445,340.36","111,127,294.76","37,500,096.56","68,877,031.73"
营业外收入,"123,505,661.88","103,978,676.73","238,237,781.48",,"54,965,762.78","103,685,961.77","120,372,205.40","22,109,648.85","29,392,186.27","51,325,647.93","50,931,528.80","6,768,622.59","15,087,145.83"
销售费用,"10,465,653.58","8,976,378.85","14,834,081.76",,"12,206,125.22","19,831,103.42","72,791,374.32","13,964,130.23","30,543,651.93","51,557,338.86","79,341,055.19","18,854,158.01","37,634,965.33"
减:营业外支出,"5,692,035.64","16,143,533.16","24,020,762.83",,"6,734,678.67","14,411,045.51","53,588,342.21","10,477,372.32","22,761,111.40","25,560,374.89","19,577,702.46","2,100,274.58","3,107,102.98"
管理费用,"1,331,270,539.10","1,437,978,930.72","1,605,265,732.58",,"724,276,710.72","1,128,223,008.79","2,058,710,669.75","412,486,897.27","871,062,133.52","1,459,998,845.09","2,211,257,107.75","414,216,512.21","940,587,179.04"
其中:非流动资产处置净损失,"2,551,006.26","8,697,285.74","9,024,714.04",,"3,638,000.84","9,906,499.53","24,794,048.25","8,703,621.72","17,381,485.78","18,618,699.59",,,
堪探费用,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,
财务费用,"264,147,830.38","400,590,913.67","562,524,228.89",,"265,951,817.14","372,750,367.52","538,666,412.24","128,607,525.03","317,669,444.61","479,367,574.31","718,789,092.74","202,926,800.53","394,209,558.49"
三、利润总额,"901,854,193.20","1,073,721,166.69","1,268,549,416.16","173,561,700.00","497,240,425.70","832,273,559.09","1,270,005,706.24","210,583,779.19","524,238,642.18","845,301,967.97","1,375,682,758.95","241,805,193.76","587,228,714.75"
资产减值损失,"271,859,856.07","223,847,460.86","369,649,415.01",,"41,080,668.53","61,762,596.58","361,574,590.72","-76,559,352.18","-17,322,971.77","25,595,007.41","389,500,812.60","-111,067,583.45","194,343,451.76"
减:所得税,"201,951,830.48","340,349,319.26","355,963,682.88",,"170,479,170.76","247,771,627.02","339,237,099.10","62,515,529.19","149,012,415.68","230,874,311.57","372,565,962.35","79,030,448.79","170,679,077.82"
加:公允价值变动净收益,"32,579,997.59","1,164,953.59",,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,
投资收益,"91,378,582.65","96,260,178.41","77,627,326.61",,"6,257,728.41","52,046,293.49","97,694,255.70","426,945.41","18,920,795.26","24,995,793.33","43,802,219.82","3,025,401.74","8,325,485.20"
四、净利润,"699,902,362.72","733,371,847.43","912,585,733.28","116,585,300.00","326,761,254.94","584,501,932.07","930,768,607.14","148,068,250.00","375,226,226.50","614,427,656.40","1,003,116,796.60","162,774,744.97","416,549,636.93"
其中:对联营企业和合营企业的投资权益,"8,574,606.02","4,228,328.69","31,988,485.54",,"6,245,810.60","20,439,886.67","31,657,693.75","426,945.41","16,356,479.43","21,043,243.28","8,917,770.96",,"-498,692.23"
归属于母公司所有者的净利润,"600,336,951.72","666,285,146.19","797,531,559.93","90,340,400.00","271,941,043.30","503,022,359.89","798,515,413.26","109,902,758.51","294,252,168.57","510,049,294.75","853,017,167.10","129,488,368.14","334,686,088.81"
影响营业利润的其他科目,,,,,,,,,,,,,
少数股东损益,"99,565,411.00","67,086,701.24","115,054,173.35",,"54,820,211.64","81,479,572.18","132,253,193.88","38,165,491.49","80,974,057.93","104,378,361.65","150,099,629.50","33,286,376.83","81,863,548.12"
