科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"43,682,523.52","82,868,237.21","165,654,640.62","189,334,219.45","192,831,996.75","1,413,675,247.62","1,313,771,253.32","1,319,579,400.68","1,391,438,700.37","1,336,779,143.65","1,183,530,153.17","1,155,807,727.88","924,650,847.20","908,588,874.22","703,956,192.97","733,697,452.81","544,941,363.69","342,427,255.90","466,559,706.92","471,846,662.20","298,200,629.75","328,197,754.87","307,867,473.58","291,634,225.73","369,804,272.84","879,666,555.50","606,317,196.36","303,410,118.15","448,244,792.27","576,619,142.36","518,269,597.04","515,667,330.96"
短期借款,"9,700,000.00","5,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","3,000,000.00","3,000,000.00","203,000,000.00","203,000,000.00","203,000,000.00","203,000,000.00","103,000,000.00","105,160,590.00","105,212,478.77","154,772,307.08","206,610,794.74","176,967,213.58","127,437,728.07","110,464,418.00","4,851,028.54",,,"200,000,000.00","300,000,000.00","400,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"82,139,004.00","81,831,699.00","87,535,200.00","55,852,967.46","69,521,628.10","145,624,570.00","85,904,570.00","117,982,548.96","106,441,469.49","113,105,825.36","138,429,076.46","166,620,000.00","131,778,352.29","214,463,746.75","146,675,870.00","144,200,250.25","145,803,963.00","290,394,292.64","208,395,406.24","204,584,875.77","231,661,402.89","230,612,175.63","201,090,922.35","250,261,412.35","258,114,526.30","274,463,358.81","268,057,088.03","290,735,729.64","315,678,094.84","333,889,052.38","428,548,504.84","383,406,473.45"
应付票据,"73,273,804.00","61,000,000.00","81,850,000.00","88,510,000.00","121,500,000.00","248,710,000.00","142,072,200.00","138,897,300.00","149,805,100.00","159,026,465.36","145,536,465.36","141,690,003.00","147,670,000.00","152,131,997.00","176,162,000.00","255,355,932.89","322,578,241.25","366,668,599.51","393,935,594.62","438,294,375.65","492,434,264.67","495,542,344.36","501,953,560.90","515,370,830.78","481,659,647.00","533,987,749.01","600,987,269.03","606,233,767.29","642,231,113.61","733,788,577.38","806,813,190.86","794,656,910.56"
应收账款,"51,571,062.56","46,816,174.25","65,915,279.83","132,790,163.24","90,862,766.51","124,893,117.28","129,508,688.04","126,871,106.83","94,388,113.03","162,349,067.17","156,269,112.02","134,424,995.05","187,092,079.53","195,161,953.06","202,959,608.31","239,483,501.93","321,554,082.30","335,351,034.55","372,221,773.04","322,281,013.63","294,447,813.29","306,428,941.62","376,857,606.06","256,987,733.25","329,224,475.48","273,673,667.33","429,860,109.31","410,042,511.66","513,774,319.13","387,833,468.71","418,627,620.87","407,472,671.74"
应付账款,"80,499,037.06","53,236,518.32","151,240,380.27","176,529,875.41","237,275,872.36","207,707,613.75","201,221,892.84","255,980,534.05","238,307,797.81","209,886,926.86","217,338,751.36","236,161,288.22","274,026,794.73","280,924,224.02","289,384,790.29","325,283,808.08","344,002,791.80","308,990,411.64","347,746,168.52","395,432,242.01","441,656,059.26","399,383,585.86","503,391,889.40","441,309,170.17","549,507,620.23","542,657,859.94","594,758,963.28","655,249,541.10","840,293,622.82","736,817,264.48","740,633,008.94","847,891,454.93"
预付款项,"7,242,568.90","2,739,437.34","16,197,049.70","27,477,479.43","38,128,705.75","32,371,842.94","37,511,345.20","57,809,855.24","14,146,498.16","6,810,619.52","37,040,830.91","50,678,729.76","42,778,877.11","34,030,848.65","32,872,390.73","59,836,341.62","29,739,847.62","31,394,299.50","20,476,213.06","56,643,160.76","37,192,605.53","30,578,289.14","105,257,270.97","103,432,508.78","45,695,473.74","65,460,962.77","62,084,230.01","61,855,657.74","64,397,766.38","62,333,970.49","49,996,696.79","64,750,360.03"
预收款项,"592,540.37","1,683,799.43","2,691,621.76","1,545,368.28","8,340,274.10","599,109.14","11,902,181.42","12,838,685.32","7,824,768.87","2,059,332.83","2,198,358.21","2,430,065.06","2,154,445.07","2,257,643.21","2,359,840.57","2,175,647.29","880,482.49","750,746.56","2,728,747.61","2,501,085.11","3,826,856.41","2,658,323.76","2,990,335.71","7,495,620.08","1,824,098.47","1,587,647.52","2,206,534.07","27,144.00",,"276,396.22","14,330,765.72","2,615,958.84"
其他应收款,"6,531,533.16","28,311,412.25","1,884,770.38","3,606,675.16","5,944,613.58","3,446,196.56","3,974,451.24","1,672,070.74","3,839,679.20","9,009,931.34","1,580,104.18","1,585,040.06","8,209,281.46","1,543,876.45","1,354,807.78","2,016,072.38","1,514,788.70","1,383,441.16","1,395,448.25","42,475,648.81","4,219,051.40","4,097,159.39","4,273,061.48","15,962,021.20","18,202,470.96","17,306,705.57","17,699,564.86","40,855,150.60","41,633,238.23","39,652,305.45","38,487,430.87","34,331,970.21"
应付职工薪酬,"2,165,840.38","2,201,440.26","4,910,188.33","5,809,412.67","7,291,359.15","7,669,113.64","7,780,604.50","8,860,489.79","9,434,842.82","13,983,315.69","12,520,485.09","12,579,881.62","12,953,609.29","12,431,888.46","14,809,074.17","14,812,222.40","15,605,252.37","15,654,063.03","16,258,747.86","15,067,192.95","22,208,044.74","19,743,017.84","22,527,721.89","29,048,544.98","27,505,017.74","33,460,573.80","24,991,327.92","25,594,388.53","27,935,875.78","40,958,626.29","52,141,141.60","62,559,172.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"6,616,454.12","6,672,235.58","18,615,317.73","25,899,469.45","2,637,408.33","8,255,604.41","4,895,753.56","6,376,059.71","13,726,477.27","10,939,852.53","10,726,372.66","5,785,613.73","7,778,472.49","12,259,109.88","12,212,011.51","4,419,042.93","23,005,302.39","23,257,769.44","14,421,830.22","8,816,723.26","17,155,760.91","16,466,608.75","18,302,141.84","17,112,880.17","31,796,826.50","23,631,208.77","36,200,040.35","15,288,276.76","24,685,514.29","23,288,054.72","37,613,292.51","19,228,076.02"
