科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"20,407,247,838.72","32,888,415,579.63","93,879,963,007.80","28,025,288,955.96","62,163,326,511.81","95,381,572,756.87","114,968,334,902.34","10,757,922,929.58","22,850,685,406.46","38,678,476,998.74","55,734,631,290.96","17,405,379,739.92","38,193,165,764.52","59,743,498,916.16","80,578,433,797.13","16,437,369,167.07","34,227,605,159.42","52,456,742,354.17","68,908,178,866.62","15,690,285,575.30","34,647,188,359.46","53,705,705,687.33","72,056,802,569.35","15,234,414,656.20","30,204,473,447.51","46,083,050,121.00","61,934,136,540.26","14,208,509,685.89","29,940,382,482.26","47,427,073,683.43","64,374,456,245.65","14,834,790,415.06","29,972,120,678.43","44,108,242,107.55","57,489,919,045.77","14,608,801,823.13","30,941,208,382.34","49,874,487,331.25","71,160,180,860.47","20,101,447,987.02","43,468,656,681.18","67,598,753,056.00"
二、营业利润,"1,073,818,097.18","2,132,046,523.38","24,226,243,016.84","8,079,550,507.80","18,532,793,033.19","25,379,613,191.53","19,605,178,752.56","-2,326,368,792.31","-3,426,087,775.85","-3,714,961,426.65","-5,662,941,928.20","1,837,096,821.61","5,139,493,854.67","8,192,591,760.24","9,889,590,902.36","548,289,178.17","-330,405,249.65","-2,168,655,746.36","-6,805,546,745.86","-1,799,659,464.05","-3,141,470,191.31","-4,321,482,637.52","-6,008,915,661.83","-1,576,426,442.67","2,110,711,972.16","1,655,551,209.93","4,393,209,855.97","-597,478,278.86","-556,165,365.66","19,557,680.80","14,293,884.10","-359,871,589.16","-805,562,747.47","-2,152,207,199.17","-2,178,346,874.09","-4,069,486,521.41","-6,303,727,635.85","-7,990,201,373.32","-7,912,551,099.25","424,591,510.15","3,696,192,839.07","4,567,436,681.57"
减:营业成本,"17,967,186,005.55","28,509,331,549.03","68,265,450,093.30","18,692,592,299.94","42,253,503,219.48","65,742,001,009.50","86,546,122,260.96","12,211,642,042.92","25,042,240,988.03","39,922,971,760.64","57,759,939,361.98","14,430,166,099.50","30,964,784,913.37","48,398,201,408.44","66,309,568,259.38","15,156,196,292.72","33,282,955,383.59","52,433,352,439.96","71,888,813,148.18","16,195,637,024.48","35,066,762,098.27","53,994,239,813.24","72,442,035,266.06","15,297,897,816.55","30,591,081,751.87","45,818,572,741.98","61,425,538,057.56","13,475,527,603.91","28,084,693,482.88","43,664,439,223.67","59,852,218,578.36","14,018,492,468.73","28,758,562,528.86","42,686,187,498.24","55,108,227,484.34","14,884,601,213.53","32,671,833,871.49","52,157,342,260.26","71,865,800,353.29","18,555,856,176.91","39,615,486,667.47","61,774,425,508.56"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"341,340,641.93","561,382,270.04","921,652,624.44","257,475,987.61","511,421,742.46","769,420,987.73","912,653,129.86","110,004,434.90","244,375,958.52","368,261,760.30","522,892,999.03","91,505,448.75","187,007,278.68","287,711,706.87","772,906,054.38","107,737,932.94","225,474,203.26","343,379,070.95","460,276,089.07","106,643,456.67","223,639,919.17","329,892,071.16","408,937,344.28","50,001,733.50","86,560,520.90","117,390,464.55","156,068,385.91","19,568,672.55","40,162,747.01","64,364,899.24","89,450,862.07","16,982,219.82","36,093,013.62","54,903,677.96","75,997,622.79","15,487,814.33","30,582,126.16","39,019,562.64","124,844,888.57","39,251,440.31","82,721,068.25","120,793,073.47"
营业外收入,"505,806,262.57","657,959,515.46","1,321,203,859.03","95,702,484.30","334,557,714.69","772,078,233.15","864,294,832.66","131,699,974.92","271,717,927.86","632,542,387.83","1,034,952,459.75","219,271,007.76","386,461,874.34","415,045,309.85","525,555,271.38","280,781,266.01","371,423,680.80","780,255,378.73","984,501,421.63","408,930,222.54","737,923,051.19","978,384,322.35","1,180,325,721.77","191,446,729.01","308,208,632.52","595,579,503.21","658,831,735.37","89,839,165.39","209,577,947.35","1,865,482,682.16","2,009,532,336.91","74,210,585.13","4,085,333,497.71","4,159,215,301.15","4,382,606,786.72","28,605,842.72","72,775,783.25","392,117,014.20","605,770,629.59","220,887,892.12","392,655,227.84","936,999,360.10"
销售费用,"20,744,032.31","34,252,890.81","106,599,187.12","27,285,520.48","41,347,651.94","67,743,235.93","85,144,506.14","19,781,576.18","39,591,960.15","61,782,925.39","133,121,026.00","31,706,749.86","65,238,778.92","100,464,311.62","140,805,749.53","32,957,976.55","69,556,501.85","111,634,743.73","161,855,443.84","30,159,077.76","60,738,307.65","94,787,575.46","135,029,049.07","26,941,171.32","56,777,085.93","88,472,299.62","138,008,334.23","32,238,425.37","67,608,572.53","102,032,595.31","151,062,552.40","26,006,062.35","58,130,791.91","88,465,202.59","131,260,605.10","20,171,743.34","34,149,019.60","49,943,521.01","65,459,938.34","12,524,505.31","25,874,305.55","38,819,654.93"
减:营业外支出,"16,219,716.79","5,978,642.11","141,928,165.38","2,934,103.25","61,981,147.82","64,103,686.48","5,592,902,131.23","1,076,889,663.45","1,011,708,699.81","1,371,770,216.60","1,685,193,194.97","536,873,408.51","568,458,770.66","979,290,366.61","1,229,318,213.68","867,041,127.53","1,423,584,866.76","1,388,118,069.09","1,986,346,789.00","858,100,843.46","1,317,017,850.04","1,430,864,561.44","2,568,755,407.79","192,062,084.51","445,027,756.87","877,031,238.87","1,308,309,595.64","994,084,795.99","1,034,350,310.82","1,200,365,674.35","1,516,539,213.27","343,214,045.36","472,963,265.71","458,908,083.45","448,455,076.06","199,622,467.07","282,594,221.43","629,825,729.29","1,281,661,266.43","8,412,613.57","10,376,870.72","106,006,548.18"
管理费用,"1,524,023,328.12","2,514,296,476.65","4,916,336,648.99","1,105,568,545.83","2,290,836,263.52","3,445,239,001.14","4,303,968,462.98","1,056,352,906.68","2,103,368,120.97","3,119,622,967.86","4,576,548,966.85","1,125,689,198.77","2,205,647,009.17","3,490,675,023.00","4,793,464,668.42","1,205,213,134.75","2,377,447,307.68","3,551,612,010.84","5,357,783,095.62","1,204,485,428.45","2,410,327,505.13","3,601,190,607.95","5,045,265,396.12","1,205,568,157.34","2,216,640,519.51","3,173,522,867.08","4,341,987,678.03","914,905,782.09","1,913,413,219.07","2,933,009,355.59","4,131,692,576.00","913,389,702.79","1,770,015,115.08","2,725,389,565.14","4,153,221,938.29","989,811,045.81","1,748,587,529.00","2,682,668,058.08","4,130,016,724.40","966,783,081.81","1,979,101,725.46","3,199,109,527.15"
其中:非流动资产处置净损失,,,"17,156,500.24","423,591.86","428,503.81","677,237.61",,"4,686,347.91","6,385,284.27","12,345,533.43","14,209,192.39","13,208.50","574,597.54","695,393.56","1,695,292.68","31,080.88","25,853,372.64","25,853,372.64","26,176,939.49","53,634.20","1,401,231.81","20,995,117.99","34,291,263.24","1,357,646.35","2,328,331.81","133,587,941.16","302,253,864.10","805,683,878.43","950,259,304.16","1,057,344,828.48","1,187,785,118.23","268,725,310.35","343,878,929.10","345,297,424.46","353,631,790.54","807,680.16","78,611,890.84","420,810,648.50","1,047,682,635.38","116,969.93","1,173,448.84","92,100,779.96"
