科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"11,407,383,479.40","16,058,891,318.56","8,432,170,734.00","18,562,297,561.00","4,022,660,031.77","8,836,315,784.83","14,108,771,502.74","20,472,687,653.02","12,451,536,309.72","28,484,923,936.91","41,003,758,187.80","58,045,340,208.94","12,324,348,198.59","29,185,242,230.23","45,098,717,119.22","58,501,381,871.44","10,105,155,535.94","25,114,366,691.74","35,435,840,452.12","51,269,178,124.23","9,388,950,246.13","25,427,923,813.61","39,495,092,137.43","60,972,048,815.88","8,992,357,530.62","27,395,288,504.30","39,772,079,533.42","59,810,801,371.59","10,105,401,805.12","24,093,933,328.65","33,687,466,342.74","52,064,131,241.72","10,530,900,749.41","19,228,209,562.50","25,896,228,017.93","38,775,769,732.83","6,115,158,425.51","19,419,066,279.14"
二、营业利润,"887,054,143.78","1,208,306,183.77","655,464,911.85","1,457,914,450.95","379,486,855.68","953,380,004.38","1,396,744,330.07","1,898,505,521.56","1,526,267,735.02","3,414,675,222.54","4,490,160,431.95","4,889,212,536.59","1,165,370,337.06","2,696,496,219.40","3,831,584,661.98","3,186,630,529.21","613,125,273.61","1,243,831,127.14","2,356,254,462.88","2,893,660,959.06","590,395,028.03","1,194,304,983.68","1,871,092,238.02","1,958,731,261.67","-64,390,475.61","-501,021,192.66","-1,124,574,415.11","-3,576,199,788.79","-17,977,408.17","980,915,395.18","984,502,841.42","623,976,904.73","223,418,982.89","18,984,608.42","619,181,499.19","530,399,002.95","303,905,616.64","819,329,254.57"
减:营业成本,"9,251,528,096.71","13,266,779,914.26","7,010,317,910.19","15,202,205,382.54","3,206,159,047.69","7,026,875,240.15","11,355,472,353.61","16,444,611,379.99","10,236,892,695.76","23,534,350,838.17","34,265,155,155.71","49,576,866,329.55","10,260,732,570.65","24,502,244,997.37","38,277,435,105.44","50,704,527,777.70","8,786,570,490.07","22,285,961,313.91","30,503,568,062.57","43,781,876,661.38","7,558,492,231.12","22,311,735,853.37","34,009,499,653.62","53,892,673,192.33","7,956,892,946.35","25,585,201,925.26","36,993,542,720.41","56,228,151,303.55","9,183,175,754.78","22,029,475,974.16","30,661,519,450.66","47,755,060,825.02","9,404,630,528.67","17,212,669,501.77","22,907,319,575.91","34,138,747,404.06","5,612,689,247.91","17,457,531,846.39"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"63,737,814.29","84,485,723.28","42,999,094.11","98,591,160.07","20,738,969.03","45,664,747.00","73,498,751.41","114,717,425.65","32,805,801.77","76,684,722.68","103,867,627.40","145,403,532.06","40,048,559.52","83,091,526.91","108,503,167.69","158,061,422.93","20,920,018.83","42,051,963.98","61,698,391.82","122,159,549.18","14,372,075.42","68,884,118.65","331,840,503.89","596,915,164.60","66,732,225.28","101,520,479.44","157,895,802.84","219,420,629.63","98,591,221.61","128,959,414.90","140,357,933.09","335,012,573.51","76,281,660.33","166,212,971.20","240,819,235.80","356,025,288.85","56,526,572.40","166,352,779.88"
营业外收入,"220,549,267.31","284,888,796.13","189,857,651.38","359,556,352.11","10,415,137.55","33,706,807.84","43,211,685.59","78,684,802.84","59,092,191.67","413,721,361.13","582,780,285.25","944,153,422.49","70,577,481.29","306,898,315.87","498,439,565.93","1,526,645,151.27","300,944,347.60","432,250,322.09","691,873,023.05","901,384,592.60","226,762,054.55","430,712,974.87","714,301,668.81","877,677,771.38","495,582,521.61","621,837,732.55","738,972,731.21","1,057,940,835.12","195,010,203.88","275,845,278.76","380,012,274.97","515,608,120.49","73,022,014.54","107,031,679.11","34,006,389.81","52,453,517.11","8,476,743.25","12,607,325.55"
销售费用,"195,414,458.76","270,229,160.59","137,836,827.43","317,362,160.31","74,539,380.86","169,347,924.90","272,195,133.72","389,357,336.02","127,736,956.40","403,146,671.65","782,154,245.31","722,569,712.11","150,084,254.65","385,728,469.35","531,352,097.92","756,484,682.37","63,240,941.28","269,788,014.61","645,253,592.21","783,759,195.62","190,737,088.65","332,660,409.78","613,011,961.00","771,242,106.34","137,917,699.43","325,763,072.95","541,081,448.71","832,532,279.32","96,362,513.16","213,848,846.91","287,811,863.51","457,090,556.66","78,898,232.21","173,706,704.56","253,831,241.14","351,141,442.94","51,954,191.49","166,063,274.01"
减:营业外支出,"21,723,311.91","22,902,389.72","11,069,150.49","19,725,218.15","2,483,777.18","6,987,719.55","8,076,551.53","13,381,185.15","5,875,969.71","-127,549,788.58","-123,241,849.10","188,697,481.95","3,580,889.04","7,708,086.91","19,922,760.05","308,154,656.70","3,269,913.05","13,442,939.06","15,939,565.37","384,639,445.92","6,944,423.90","19,999,762.19","23,123,563.50","77,850,972.97","6,895,324.80","12,711,470.06","61,297,423.98","412,889,286.94","3,846,257.77","11,930,988.86","18,059,563.02","45,627,160.52","9,335,806.64","80,305,088.62","110,302,158.53","126,098,781.99","2,962,065.46","10,631,653.00"
管理费用,"963,704,775.93","1,252,925,837.12","585,166,721.88","1,422,581,971.96","326,373,701.41","680,397,892.46","1,053,452,326.05","1,703,710,769.34","612,534,867.23","1,336,954,451.35","2,068,887,168.32","3,450,312,128.31","780,829,836.66","1,612,780,154.67","2,540,091,468.36","4,088,180,851.76","816,569,037.38","1,665,329,201.74","2,472,872,293.27","4,098,836,076.51","928,701,623.33","1,791,450,301.26","2,761,914,825.77","4,418,451,022.17","984,715,594.13","1,993,235,399.22","3,071,504,220.60","4,795,458,456.36","1,003,686,789.54","1,815,951,249.70","2,647,135,545.97","3,762,392,473.25","707,704,409.88","1,524,370,959.51","2,312,277,559.04","3,746,668,823.77","664,110,734.95","1,448,851,904.23"
其中:非流动资产处置净损失,"16,025,671.96","11,364,428.16","6,710,495.38","12,740,877.61","1,521,841.28","4,666,358.57","4,889,158.29","10,050,091.44","1,967,595.28","6,084,955.92","9,023,506.40","12,567,723.74","2,133,556.46","4,386,605.41","5,029,189.10","16,511,415.27","257,374.31","929,199.17","1,884,432.90","8,166,961.65","44,180.76","1,166,443.06","1,192,004.02","11,296,236.78","597,226.34","3,821,901.92","4,635,906.49","38,311,857.83","459,042.80","6,770,838.54","7,944,880.02","11,474,103.89","624,475.07","56,874,456.97","59,743,522.35",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"71,878,731.38","4,711,905.43","32,314,446.63","56,958,643.89","12,773,894.68","-19,812,753.68","-7,802,298.51","-105,221,547.41","-71,116,776.10","-330,278,649.81","-725,873,179.42","-850,288,818.16","-67,666,386.12","-86,685,106.09","-150,434,784.55","-556,674,081.99","-195,737,043.82","-337,973,312.13","-542,910,921.01","-531,374,794.46","108,733,937.21","-203,690,508.82","66,044,989.24","-1,065,448,189.23","-44,261,292.83","-70,620,291.75","-18,704,588.54","105,851,556.44","-8,509,354.35","19,648,074.82","107,483,019.01","-174,159,866.86","63,155,214.25","52,773,078.84","-35,559,708.21","-214,516,694.47","-461,360,952.11","-476,827,435.27"
三、利润总额,"1,085,880,099.18","1,470,292,590.18","834,253,412.74","1,797,745,584.91","387,418,216.05","980,099,092.67","1,431,879,464.13","1,963,809,139.25","1,579,483,956.98","3,955,946,372.25","5,196,182,566.30","5,644,668,477.13","1,232,366,929.31","2,995,686,448.36","4,310,101,467.86","4,405,121,023.78","910,799,708.16","1,662,638,510.17","3,032,187,920.56","3,410,406,105.74","810,212,658.68","1,605,018,196.36","2,562,270,343.33","2,758,558,060.08","424,296,721.20","108,105,069.83","-446,899,107.88","-2,931,148,240.61","173,186,537.94","1,244,829,685.08","1,346,455,553.37","1,093,957,864.70","287,105,190.79","45,711,198.91","542,885,730.47","456,753,738.07","309,420,294.43","821,304,927.12"
资产减值损失,"14,824,402.93","18,107,542.26","-9,896,801.59","39,205,887.69","2,976,438.83","3,652,827.55","3,729,305.85","75,150,345.54","29,755.72","116,928,515.50","93,325,764.17","191,362,975.20","591,181.68","20,243,694.23","21,474,179.02","220,538,822.72","871,285.28","-7,085,432.81","6,135,412.73","182,607,887.28","1,401,822.01","-41,433,101.55","-38,038,052.75","518,262,314.44","-44,794,961.36","-21,208,007.90","201,196,251.74","2,017,363,565.05","5,248,115.10","31,739,119.32","36,372,563.82","805,034,288.75","2,742,325.21","806,373,807.67","1,016,494,449.91","2,197,504,958.63","1,004,979.14","102,824,243.24"
减:所得税,"208,637,748.12","236,774,242.60","141,794,623.98","292,172,307.78","67,034,062.50","175,776,571.23","217,795,200.29","345,713,007.98","264,261,855.69","582,152,617.33","813,272,641.81","894,233,791.97","205,207,875.63","466,078,884.63","712,475,603.22","840,476,032.20","147,636,885.97","291,299,645.64","508,225,091.46","644,706,579.33","134,694,167.98","382,176,640.40","511,353,519.23","708,640,467.43","76,748,483.16","93,153,217.43","264,386,434.45","317,141,788.34","47,970,382.27","644,400,289.64","719,706,640.71","1,056,827,008.13","73,320,440.52","87,132,282.03","212,330,912.80","699,053,517.85","51,488,600.40","207,122,228.91"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,939,300.00",,,,"-15,480,700.00",,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"40,758,944.38","46,654,948.15","22,032,376.50","32,522,096.41","388,256.41","23,190,097.93","38,518,399.46","48,143,577.67","13,614,726.08","67,537,835.17","73,919,025.64","80,098,186.72","5,642,155.51","28,657,725.61","61,288,776.64","56,368,133.26","404,466.69","47,536,184.70","67,030,842.35","62,347,410.34","3,883,559.64","25,988,242.76","120,273,981.36","118,778,056.44","454,204.77","17,582,880.26","49,861,907.23","825,715,929.97","255,175,826.55","1,126,604,746.34","1,177,716,874.74","1,515,757,213.34","25,930,604.03","721,142,069.47","1,189,128,783.30","1,375,209,160.94","47,224,729.87","142,234,069.51"
四、净利润,"877,242,351.06","1,233,518,347.58","692,458,788.76","1,505,573,277.13","320,384,153.55","804,322,521.44","1,214,084,263.84","1,618,096,131.27","1,315,222,101.29","3,373,793,754.92","4,382,909,924.49","4,750,434,685.16","1,027,159,053.68","2,529,607,563.73","3,597,625,864.64","3,564,644,991.58","763,162,822.19","1,371,338,864.53","2,523,962,829.10","2,765,699,526.41","675,518,490.70","1,222,841,555.96","2,050,916,824.10","2,049,917,592.65","347,548,238.04","14,951,852.40","-711,285,542.33","-3,248,290,028.95","125,216,155.67","600,429,395.44","626,748,912.66","37,130,856.57","213,784,750.27","-41,421,083.12","330,554,817.67","-242,299,779.78","257,931,694.03","614,182,698.21"
其中:对联营企业和合营企业的投资权益,"24,951,735.39","28,814,306.91","10,654,074.24","16,318,587.53",,"15,271,606.32",,"29,548,765.84","3,500,660.00","15,124,356.88","18,304,818.85","14,086,167.33","4,836,193.80","8,719,331.43","5,597,694.96","-3,890,804.05","278,479.69","-2,119,374.40","3,913,169.05","-8,572,642.11","3,843,559.64","8,044,442.88","13,167,216.25","13,230,824.33","283,427.34","3,677,956.33","3,677,956.33","15,226,135.92","3,888,208.62","2,508,341.32","5,077,496.52","120,722,874.74","21,922,377.63","28,552,097.14","141,566,834.95","270,409,558.66","41,951,758.31","135,722,610.72"
