科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
现金及存放同业款项,"10,722,233,000.00","11,406,988,000.00","4,218,892,000.00","3,651,133,000.00","9,400,364,000.00","3,319,285,000.00","5,585,564,000.00","3,169,272,000.00","4,139,891,000.00","2,237,791,000.00"
短期借款,,,,,,,,,,
货币资金,,,,,,,,,,
其中：质押借款,,,,,,,,,,
其中：客户资金存款,,,,,,,,,,
拆入资金,,,,,,"4,700,000,000.00","4,950,000,000.00","8,200,000,000.00","8,720,000,000.00","9,600,000,000.00"
存放中央银行款项,"21,601,345,000.00","26,137,665,000.00","29,490,955,000.00","28,291,844,000.00","40,305,739,000.00","36,627,912,000.00","43,181,535,000.00","46,401,112,000.00","45,275,569,000.00","41,238,405,000.00"
交易性金融负债,,,,,,,,,,
结算备付金,,,,,,,,,,
衍生金融负债,,,,,,,,,,
其中：客户备付金,,,,,,,,,,
卖出回购金融资产款,"595,280,000.00","2,583,350,000.00","1,960,000,000.00","5,758,000,000.00","7,976,690,000.00","1,478,290,000.00","10,479,570,000.00","1,495,400,000.00","6,347,711,000.00","7,874,846,000.00"
贵金属,,,,,,,,,,
吸收存款,"109,639,654,000.00","130,451,820,000.00","180,987,014,000.00","192,654,993,000.00","224,807,276,000.00","255,667,275,000.00","262,998,070,000.00","271,482,438,000.00","273,256,206,000.00","275,440,759,000.00"
拆出资金,,,"100,000,000.00",,,,,,,
代理买卖证券款,,,,,,,,,,
交易性金融资产,"3,692,839,000.00","2,956,653,000.00","1,072,741,000.00","1,885,472,000.00","1,337,628,000.00","2,372,726,000.00","943,518,000.00","5,828,089,000.00","2,916,100,000.00","2,973,109,000.00"
代理承销证券款,,,,,,,,,,
衍生金融资产,,,,,,,,,,
应付帐款,,,,,,,,,,
买入返售金融资产,"550,000,000.00","2,138,600,000.00","6,020,000,000.00","409,000,000.00","819,000,000.00","13,220,000,000.00","7,952,415,000.00","5,500,500,000.00","19,266,391,000.00","12,003,280,000.00"
应付票据,,,,,,,,,,
应收利息,"611,309,000.00","873,124,000.00","1,130,268,000.00","1,427,551,000.00","1,351,093,000.00","1,375,529,000.00","1,388,483,000.00","1,891,715,000.00","1,847,420,000.00","2,044,705,000.00"
预收款项,,,,,,,,,,
应收保费,,,,,,,,,,
预收保费,,,,,,,,,,
应收代位追偿款,,,,,,,,,,
应付手续费及佣金,,,,,,,,,,
应收分保帐款,,,,,,,,,,
应付分保帐款,,,,,,,,,,
应收分保未到期责任准备金,,,,,,,,,,
应付职工薪酬,"415,323,000.00","488,488,000.00","476,460,000.00","410,725,000.00","485,543,000.00","572,515,000.00","705,183,000.00","564,716,000.00","615,710,000.00","655,399,000.00"
应收分保未决赔款准备金,,,,,,,,,,
应交税费,,,,,,"175,967,000.00","27,177,000.00","82,850,000.00","122,844,000.00","50,151,000.00"
应收分保寿险责任准备金,,,,,,,,,,
应付利息,"967,353,000.00","1,456,462,000.00","1,787,630,000.00","1,804,920,000.00","1,994,758,000.00","2,107,568,000.00","1,899,158,000.00","2,347,732,000.00","2,503,518,000.00","2,876,198,000.00"
应收分保长期健康险责任准备金,,,,,,,,,,
代理业务负债,,,,,,,,,,
保户质押贷款,,,,,,,,,,
预计负债,,"10,502,000.00",,,,,,,,
定期存款,,,,,,,,,,
应付赔付款,,,,,,,,,,
发放贷款及垫款,"55,285,233,000.00","67,785,686,000.00","80,213,867,000.00","84,665,521,000.00","89,018,402,000.00","95,259,200,000.00","99,078,894,000.00","101,229,155,000.00","105,646,165,000.00","113,696,936,000.00"
应付保单红利,,,,,,,,,,
存出保证金,,,,,,,,,,
保户储金及投资款,,,,,,,,,,
代理业务资产,,,,,,,,,,
未到期责任准备金,,,,,,,,,,
应收款项,"4,678,500,000.00","10,388,605,000.00","25,514,353,000.00","32,188,077,000.00","34,728,553,000.00","45,300,110,000.00","55,202,463,000.00","74,166,862,000.00","85,676,348,000.00","109,096,787,000.00"
未决赔款准备金,,,,,,,,,,
预付款项,,,,,,,,,,
寿险责任准备金,,,,,,,,,,
可供出售金融资产,"10,570,431,000.00","11,985,883,000.00","48,976,426,000.00","54,006,387,000.00","55,625,682,000.00","66,638,073,000.00","94,616,665,000.00","95,609,662,000.00","83,269,135,000.00","76,939,036,000.00"
长期健康险责任准备金,,,,,,,,,,
持有至到期投资,"12,347,795,000.00","19,008,565,000.00","37,108,463,000.00","37,011,057,000.00","46,041,842,000.00","50,968,995,000.00","51,574,655,000.00","52,063,327,000.00","58,878,109,000.00","61,100,385,000.00"
长期借款,,,,,,,,,,
长期股权投资,,,,,,,,,,
应付债券,"1,792,655,000.00","2,786,643,000.00","28,078,854,000.00","26,236,616,000.00","28,072,075,000.00","36,857,231,000.00","48,107,648,000.00","54,079,898,000.00","68,436,921,000.00","82,037,689,000.00"
存出资本保证金,,,,,,,,,,
独立帐户负债,,,,,,,,,,
投资性房地产,,,,,,,,,,
递延所得税负债,,"11,257,000.00","144,934,000.00","144,971,000.00","98,352,000.00","68,310,000.00",,,,
存货,,,,,,,,,,
其他负债,"524,832,000.00","369,878,000.00","1,506,080,000.00","2,214,389,000.00","1,950,998,000.00","1,838,384,000.00","2,868,081,000.00","2,348,270,000.00","2,096,642,000.00","6,381,961,000.00"
固定资产,"958,005,000.00","1,304,792,000.00","1,304,337,000.00","1,479,599,000.00","1,773,197,000.00","1,867,921,000.00","2,491,494,000.00","2,513,609,000.00","2,507,846,000.00","2,483,631,000.00"
负债合计,"114,591,077,000.00","145,388,320,000.00","224,062,667,000.00","233,410,243,000.00","269,387,671,000.00","305,948,137,000.00","350,253,486,000.00","369,534,871,000.00","391,058,336,000.00","408,483,651,000.00"
在建工程,,,,,,,,,,
实收资本（或股本）,"1,798,592,000.00","1,798,592,000.00","1,798,592,000.00","1,798,592,000.00","1,798,592,000.00","2,298,592,000.00","2,298,592,000.00","2,298,592,000.00","2,298,592,000.00","2,298,592,000.00"
无形资产,"50,986,000.00","50,094,000.00","49,190,000.00","48,569,000.00","85,552,000.00","95,134,000.00","103,346,000.00","102,677,000.00","104,421,000.00","108,527,000.00"
资本公积,"1,246,220,000.00","1,246,220,000.00","1,246,220,000.00","1,246,220,000.00","1,246,220,000.00","4,854,193,000.00","4,861,949,000.00","4,861,949,000.00","4,861,949,000.00","4,861,949,000.00"
其中：交易席位费,,,,,,,,,,
减：库存股,,,,,,,,,,
长期待摊费用,,,,,,,,,,
盈余公积,"607,810,000.00","850,173,000.00","1,170,468,000.00","1,170,468,000.00","1,170,468,000.00","1,170,468,000.00","1,533,068,000.00","1,533,068,000.00","1,533,068,000.00","1,533,068,000.00"
固定资产清理,,,,,,,,,,
一般风险准备,"976,604,000.00","1,165,824,000.00","1,462,612,000.00","2,595,944,000.00","2,595,945,000.00","2,595,945,000.00","2,595,945,000.00","2,595,945,000.00","4,296,598,000.00","4,296,598,000.00"
独立帐户资产,,,,,,,,,,
未分配利润,"3,666,603,000.00","5,454,925,000.00","7,843,818,000.00","7,519,254,000.00","8,253,600,000.00","9,408,577,000.00","10,002,204,000.00","10,969,129,000.00","9,605,982,000.00","10,891,114,000.00"
递延所得税资产,"555,438,000.00","544,083,000.00","807,308,000.00","952,087,000.00","786,929,000.00","939,071,000.00","964,028,000.00","1,210,636,000.00","1,358,507,000.00","1,454,631,000.00"
少数股东权益,"46,206,000.00","161,709,000.00","179,823,000.00","183,067,000.00","179,334,000.00","838,895,000.00","862,477,000.00","868,747,000.00","867,929,000.00","897,014,000.00"
其他资产,"925,001,000.00","1,518,795,000.00","2,189,750,000.00","2,341,269,000.00","3,652,904,000.00","9,335,780,000.00","9,170,134,000.00","2,714,035,000.00","3,305,464,000.00","7,554,916,000.00"
外币报表折算差额,,,,,,,,,,
资产总计,"122,549,115,000.00","156,099,533,000.00","238,196,550,000.00","248,357,566,000.00","284,926,885,000.00","327,319,736,000.00","372,253,194,000.00","392,400,651,000.00","414,191,366,000.00","432,932,139,000.00"
非正常经营项目收益调整,,,,,,,,,,
向中央银行借款,"100,000,000.00","200,000,000.00","230,000,000.00","230,000,000.00","450,000,000.00","370,000,000.00","475,000,000.00","475,000,000.00","330,000,000.00","318,000,000.00"
所有者权益（或股东权益）合计,"7,958,038,000.00","10,711,213,000.00","14,133,883,000.00","14,947,323,000.00","15,539,214,000.00","21,371,599,000.00","21,999,708,000.00","22,865,780,000.00","23,133,030,000.00","24,448,488,000.00"
同业及其他金融机构存放款项,"533,767,000.00","6,988,750,000.00","8,742,159,000.00","3,807,183,000.00","3,452,466,000.00","2,112,597,000.00","17,743,599,000.00","28,458,567,000.00","28,628,784,000.00","23,248,648,000.00"
负债和所有者权益（或股东权益）总计,"122,549,115,000.00","156,099,533,000.00","238,196,550,000.00","248,357,566,000.00","284,926,885,000.00","327,319,736,000.00","372,253,194,000.00","392,400,651,000.00","414,191,366,000.00","432,932,139,000.00"
