科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"288,846,437.76","405,534,468.08","525,748,587.25","378,185,491.55","2,373,333,207.24","1,974,492,679.35","2,207,284,270.49","1,855,360,186.64","935,754,760.13","1,142,683,200.67","1,292,808,392.90","1,478,432,817.36","1,135,725,021.59","856,240,847.98","1,021,117,061.38","1,098,086,864.01","1,127,872,607.21","996,834,492.66","1,331,696,736.82","1,088,179,835.86","1,265,209,907.33","972,158,939.33","889,480,974.44","700,891,275.06","786,075,506.74","601,563,868.76","784,968,088.45","612,706,057.05","702,739,537.72","576,047,676.96","646,466,280.09","569,282,488.49"
短期借款,"473,782,215.00","307,182,607.74","179,805,808.06","154,422,368.66","133,857,210.94","25,759,828.68","64,096,185.00","8,400,326.00","8,341,245.00","38,080,723.62","13,315,641.12",,,,"165,213.00",,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,"500,000,000.00","300,000,000.00",,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,330,000.00","11,180,000.00","5,403,100.00","4,141,000.00","1,050,000.00","1,800,000.00","7,320,000.00","10,850,000.00","2,196,000.00","4,190,000.00","1,090,000.00","3,080,000.00","5,899,942.00","3,512,347.10","8,423,124.00","6,840,917.59","3,676,969.30","3,567,753.52","11,234,115.52","8,954,004.04","7,161,534.62","8,972,094.62","7,030,557.88","7,236,861.68","7,853,814.00","7,333,585.44","6,658,239.91","6,679,904.22","5,018,653.95",,"2,419,000.00","3,243,496.50"
应付票据,"43,670,000.00","306,275,056.75","465,654,433.00","338,210,000.00","385,010,000.00","374,890,000.00","669,967,054.00","511,250,571.50","272,346,900.00","298,860,000.00","325,090,000.00","363,503,000.00","405,460,000.00","205,920,000.00","236,160,000.00","210,800,000.00","198,790,000.00","212,898,336.80","238,696,237.49","297,217,244.80","287,507,808.60","277,343,822.09","116,454,259.72",,,,,,"21,679,853.45",,"79,120,479.18",
应收账款,"542,079,775.63","530,459,380.25","788,749,278.36","893,699,425.71","1,062,187,527.14","1,192,856,804.74","1,299,593,888.28","1,384,885,127.00","1,366,343,533.47","1,173,998,083.99","1,032,727,973.63","1,027,648,603.64","1,024,840,265.57","1,062,695,485.87","1,105,114,935.23","1,065,356,954.96","948,655,296.88","947,937,780.05","790,905,989.56","788,348,466.76","755,313,378.77","795,356,513.78","807,927,599.37","815,426,673.20","827,698,350.25","983,956,799.82","1,067,742,387.52","1,062,675,937.51","1,123,721,187.81",,"1,180,803,015.45","1,177,313,708.00"
应付账款,"328,260,314.84","364,790,878.99","377,205,098.01","295,288,729.93","426,620,488.85","403,624,596.59","484,729,894.62","297,785,518.49","385,006,672.75","366,339,158.72","402,659,594.25","342,003,070.24","349,926,640.67","371,080,265.32","400,435,323.89","396,701,615.11","571,930,275.31","435,204,755.01","699,992,230.44","508,829,050.82","517,099,731.66","509,502,295.03","749,055,390.26","581,381,231.07","555,710,935.95","556,864,771.13","704,558,387.01","613,508,070.63","483,899,340.87",,"601,999,442.72",
预付款项,"37,014,815.40","36,396,981.92","39,260,956.03","56,606,509.54","58,285,180.02","25,497,254.05","316,401,469.14","278,898,616.97","309,002,666.84","350,260,018.72","196,595,218.94","235,004,222.66","273,526,143.20","179,368,828.62","246,060,727.65","193,597,838.64","366,236,254.48","223,920,870.90","89,938,670.88","93,013,218.68","92,257,634.67","112,967,722.10","78,505,066.78","65,632,413.39","80,466,973.76","93,644,837.93","44,851,870.19","55,072,559.47","40,467,393.66","50,793,068.28","36,039,913.77","37,688,645.19"
预收款项,"10,888,205.65","891,520.11","14,991,074.47","9,477,103.45","709,061.23","404,709.93","23,098,084.35","1,101,214.74","837,616.17","565,974.90","64,902,089.33","10,118,665.36","1,989,574.45","5,482,014.18","44,629,802.53","52,349,781.97","41,081,936.92","2,907,625.91","33,411,447.20","36,237,078.80","22,943,146.89","2,573,116.38","29,448,822.38","27,182,278.81","53,501,077.06","20,542,197.19","24,320,675.79","31,394,276.28","27,145,351.95","23,026,874.57","18,145,374.61","11,084,862.16"
