科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"609,384,374.58","760,794,058.62","1,098,136,034.25","688,851,217.18","950,736,258.79","111,034,948.00","196,999,697.16","328,329,501.61","470,127,773.26","189,187,630.09","357,204,794.97","453,763,316.32","627,120,452.47","203,628,346.62","391,604,986.84","662,348,896.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,,,"22,999,546.19","20,225,532.87","25,207,479.90","7,775,667.97","11,382,636.48","19,879,167.95","18,851,410.78","3,068,743.74","7,590,323.10","10,100,414.31","15,261,707.49","4,980,321.75","6,755,098.94","8,035,746.11"
支付其他与投资活动有关的现金,,,"135,000,000.00","180,995,486.55","225,000,000.00","30,000,000.00","630,000,000.00","1,251,500,000.00","1,780,500,000.00","248,500,000.00","519,000,000.00","902,000,000.00","1,296,900,000.00","397,000,000.00","878,100,000.00","1,028,554,000.00"
收到其他与经营活动有关的现金,"17,432,488.04","39,304,351.95","17,647,610.51","12,053,311.04","23,525,044.99","643,649.03","26,497,894.87","30,945,762.82","33,491,201.37","2,536,772.19","7,135,506.21","10,374,314.66","25,802,394.33","29,907,414.83","49,900,785.01","58,744,979.49"
投资活动现金流出小计,"79,726,356.68","116,725,015.10","169,311,160.53","209,639,283.13","273,137,578.57","43,406,451.06","648,427,131.55","1,294,172,790.94","1,838,504,505.77","278,192,116.67","554,729,053.32","960,152,596.46","1,425,407,677.00","432,911,806.25","948,224,839.97","1,126,566,967.96"
经营活动现金流入小计,"626,816,862.62","800,098,410.57","1,138,783,190.95","721,130,061.09","999,468,783.68","119,454,265.00","234,880,228.51","379,154,432.38","522,470,385.41","194,793,146.02","371,930,624.28","474,238,045.29","668,184,554.29","238,516,083.20","448,260,870.79","729,129,621.61"
投资活动产生的现金流量净额,"-79,726,356.68","-116,680,015.10","-99,634,088.36","-17,421,071.58","-20,317,132.09","26,980,347.51","-276,936,559.06","-547,224,328.04","-578,611,395.51","246,746,466.89","244,732,215.17","124,098,302.27","36,563,400.78","-98,930,831.46","-140,355,183.51","41,290,440.03"
购买商品、接受劳务支付的现金,"211,907,911.69","272,955,966.22","542,163,259.45","315,581,995.25","435,128,994.69","63,344,986.95","140,152,415.38","244,159,037.15","373,992,264.21","112,116,017.79","221,440,265.92","325,075,942.15","478,460,729.40","137,776,751.96","246,556,414.51","361,087,804.14"
吸收投资收到的现金,"155,020,227.00","4,300,000.00",,,,"1,020,376,000.00","1,020,376,000.00","1,020,376,000.00","1,020,376,000.00",,,"8,000,000.00","9,000,000.00",,,
支付给职工以及为职工支付的现金,"68,230,847.23","120,778,187.62","129,664,852.22","109,312,888.80","137,544,336.87","44,899,199.60","70,025,415.74","95,234,687.64","130,834,222.92","34,315,985.18","56,335,846.77","80,305,069.15","114,160,838.39","33,828,423.57","60,000,776.61","89,267,739.21"
取得借款收到的现金,"265,000,000.00","492,000,000.00","404,000,000.00","265,000,000.00","310,000,000.00","85,000,000.00","115,000,000.00","165,000,000.00","232,957,451.04","66,000,000.00","88,000,000.00","173,000,000.00","388,959,185.84","105,000,000.00","208,600,000.00","371,320,000.00"
支付的各项税费,"160,516,666.17","181,222,904.27","184,195,004.26","121,831,204.96","158,428,495.78","52,574,650.67","53,216,037.27","89,300,205.97","108,235,507.19","25,530,163.41","52,702,465.18","81,321,953.98","96,591,465.01","34,787,173.16","66,088,902.53","96,761,851.34"
收到其他与筹资活动有关的现金,,"1,235,000.00","2,150,000.00","2,000,000.00","2,000,000.00",,,,,,,"23,903,437.50",,,,
支付其他与经营活动有关的现金,"121,857,411.02","117,325,573.74","102,689,524.84","63,272,595.63","76,099,300.84","13,688,713.41","33,734,992.97","43,342,543.04","51,953,365.98","17,610,146.46","29,912,848.02","45,675,299.78","61,640,779.66","31,082,221.07","47,291,240.02","72,428,717.82"
筹资活动现金流入小计,"420,020,227.00","497,535,000.00","406,150,000.00","267,000,000.00","312,000,000.00","1,105,376,000.00","1,135,376,000.00","1,185,376,000.00","1,253,333,451.04","66,000,000.00","88,000,000.00","204,903,437.50","397,959,185.84","105,000,000.00","208,600,000.00","371,320,000.00"
经营活动现金流出小计,"562,512,836.11","692,282,631.85","958,712,640.77","609,998,684.64","807,201,128.18","174,507,550.63","297,128,861.36","472,036,473.80","665,015,360.30","189,572,312.84","360,391,425.89","532,378,265.06","750,853,812.46","237,474,569.76","419,937,333.67","619,546,112.51"
偿还债务支付的现金,"152,000,000.00","405,000,000.00","455,000,000.00","287,000,000.00","374,000,000.00","105,000,000.00","180,000,000.00","286,500,000.00","311,500,000.00","33,500,000.00","36,500,000.00","61,500,000.00","179,500,000.00","43,000,000.00","121,000,000.00","238,336,260.16"
经营活动产生的现金流量净额,"64,304,026.51","107,815,778.72","180,070,550.18","111,131,376.45","192,267,655.50","-55,053,285.63","-62,248,632.85","-92,882,041.42","-142,544,974.89","5,220,833.18","11,539,198.39","-58,140,219.77","-82,669,258.17","1,041,513.44","28,323,537.12","109,583,509.10"
分配股利、利润或偿还利息支付的现金,"169,244,031.20","43,588,444.68","17,793,965.44","138,569,431.09","141,800,761.65","2,837,922.24","13,189,041.13","37,023,493.99","39,405,686.81","1,638,636.88","25,341,339.56","27,370,572.36","30,587,186.93","2,732,131.48","16,299,149.03","24,643,723.91"
收回投资收到的现金,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"41,568,442.73",,"100,000.00","4,802,213.77","4,802,213.77","2,423,947.00","9,872,783.60","9,872,783.60","9,562,852.34","503,581.41","866,363.97","919,838.37","866,363.97",,"8,360,144.58","8,530,602.35"
取得投资收益收到的现金,,,"284,672.26","828,211.55","994,309.49","386,798.57","1,480,572.49","3,908,462.90","11,798,110.26","2,423,783.56","6,946,468.49","9,139,189.00","11,768,339.64","2,066,153.42","5,117,577.34","7,123,867.62"
筹资活动现金流出小计,"362,812,473.93","448,588,444.68","472,893,965.44","430,371,644.86","520,602,975.42","110,261,869.24","203,061,824.73","333,396,277.59","360,468,539.15","35,642,218.29","62,707,703.53","89,790,410.73","210,953,550.90","45,732,131.48","145,659,293.61","271,510,586.42"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"45,000.00","392,399.91",,"15,935.00",,"10,000.00","40,000.00","95,000.00","14,800.00","14,800.00","49,800.00","49,800.00",,,
