科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"445,202,189.47","445,083,774.52","505,761,986.60",,"253,781,237.73","375,785,144.30","541,680,161.26","154,145,261.99","262,081,703.27","417,406,387.36","550,064,364.67","118,999,532.43","267,045,682.68","431,905,852.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,
收到的税费返还,"6,387,521.11","7,837,512.74","12,067,819.97",,"4,316,706.73","10,915,215.02","13,196,235.69","2,873,615.42","4,010,403.27","11,487,758.08","11,633,197.50","2,162,325.69","5,579,163.57","8,127,053.19"
支付其他与投资活动有关的现金,"14,045.79",,,,,,,"50,000.00",,,,,,"328,836.00"
收到其他与经营活动有关的现金,"5,988,749.61","14,684,193.26","2,954,724.35",,"6,545,598.50","13,466,529.64","14,030,378.65","5,426,262.71","3,931,828.94","-4,478,547.98","5,582,634.07","53,157,772.13","51,549,248.44","65,131,863.27"
投资活动现金流出小计,"4,664,653.75","33,710,754.11","35,111,460.71",,"71,965,417.86","35,148,193.45","278,783,377.32","6,485,953.67","241,957,816.44","288,857,938.63","627,636,795.77","333,344,217.93","767,286,692.27","1,260,507,467.03"
经营活动现金流入小计,"457,578,460.19","467,605,480.52","520,784,530.92",,"264,643,542.96","400,166,888.96","568,906,775.60","162,445,140.12","270,023,935.48","424,415,597.46","567,280,196.24","174,319,630.25","324,174,094.69","505,164,769.14"
投资活动产生的现金流量净额,"-3,682,056.47","-33,587,303.88","-24,093,879.29",,"-70,821,449.38","-33,084,257.58","-274,997,059.41","-4,017,427.68","-29,466,809.07","35,937,708.98","-72,046,026.78","-82,681,790.35","-107,034,772.13","-140,454,980.84"
购买商品、接受劳务支付的现金,"274,934,402.24","313,124,679.43","329,375,994.10",,"122,975,933.32","213,199,112.63","287,774,741.83","78,783,050.42","163,221,150.83","229,588,508.75","306,171,049.12","95,019,375.31","193,247,895.79","329,991,699.23"
吸收投资收到的现金,,"2,000,000.00",,,"284,150,000.00","284,150,000.00","312,750,000.00",,"15,009,400.00","14,970,748.80","14,912,840.00",,,"1,782,456.00"
支付给职工以及为职工支付的现金,"33,111,914.46","45,506,765.63","56,020,298.91",,"29,901,524.60","45,029,372.69","62,183,110.15","21,608,163.75","36,634,271.23","51,523,902.34","68,502,904.46","22,900,112.40","39,344,897.32","57,764,838.90"
取得借款收到的现金,"31,400,000.00","16,000,000.00","40,460,402.00",,,,,,,,,,,
支付的各项税费,"50,540,032.68","22,747,329.07","31,049,530.61",,"30,745,929.78","51,776,969.58","56,484,989.41","15,519,327.80","27,766,817.32","38,260,453.27","44,549,233.69","17,236,072.20","21,943,099.19","37,697,652.81"
收到其他与筹资活动有关的现金,,,,,"30,174.39","30,174.39",,,,,,,,
支付其他与经营活动有关的现金,"47,933,587.42","50,706,338.04","44,000,720.20",,"35,362,930.58","46,614,606.55","47,851,313.62","27,348,028.16","30,309,919.55","34,434,537.83","106,378,687.43","22,205,021.48","25,244,753.16","54,145,935.52"
筹资活动现金流入小计,"31,400,000.00","18,000,000.00","40,460,402.00",,"284,180,174.39","284,180,174.39","312,750,000.00",,"15,009,400.00","14,970,748.80","14,912,840.00",,,"1,782,456.00"
经营活动现金流出小计,"406,519,936.80","432,085,112.17","460,446,543.82",,"218,986,318.28","356,620,061.45","454,294,155.01","143,258,570.13","257,932,158.93","353,807,402.19","525,601,874.70","157,360,581.39","279,780,645.46","479,600,126.46"
偿还债务支付的现金,"59,500,000.00","21,400,000.00","40,460,402.00",,"16,000,000.00","16,000,000.00","16,000,000.00",,,,,,,
经营活动产生的现金流量净额,"51,058,523.39","35,520,368.35","60,337,987.10","26,392,100.00","45,657,224.68","43,546,827.51","114,612,620.59","19,186,569.99","12,091,776.55","70,608,195.27","41,678,321.54","16,959,048.86","44,393,449.23","25,564,642.68"
分配股利、利润或偿还利息支付的现金,"1,803,794.78","891,939.54","1,100,908.28",,"401,300.00","401,300.00","12,701,300.00",,"4,962,806.06","13,345,008.80","13,600,000.00",,"15,831,880.53","15,831,880.53"
收回投资收到的现金,"949,673.79",,"9,000,000.00",,"1,113,968.48",,,,"206,500,000.00","316,000,000.00","544,656,400.19","249,462,205.00","652,494,036.85","1,108,661,579.81"
支付其他与筹资活动有关的现金,,,,,"40,050.00","5,340,050.00","39,886,751.78","550,000.00","550,000.00","550,000.00","518,867.92",,"201,420.00","201,420.00"
取得投资收益收到的现金,,"8,506.85","2,011,725.17",,"30,000.00","2,033,335.87","3,748,602.87","2,456,415.99","5,946,532.37","8,750,722.61","10,931,429.02","1,200,222.58","7,757,883.29","11,062,070.38"
筹资活动现金流出小计,"61,303,794.78","22,291,939.54","41,561,310.28",,"16,441,350.00","21,741,350.00","68,588,051.78","550,000.00","5,512,806.06","13,895,008.80","14,118,867.92",,"16,033,300.53","16,033,300.53"
处置固定资产、无形资产和其他长期资产收回的现金净额,"32,923.49","114,943.38","5,856.25",,,"30,600.00","37,715.04","12,110.00","44,475.00","44,925.00","2,939.78",,,
筹资活动产生的现金流量净额,"-29,903,794.78","-4,291,939.54","-1,100,908.28",,"267,738,824.39","262,438,824.39","244,161,948.22","-550,000.00","9,496,593.94","1,075,740.00","793,972.08",,"-16,033,300.53","-14,250,844.53"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"500,552.27","-228,296.46","907,957.81",,"235,311.74","2,060,640.54","1,819,257.27","318,562.29","1,127,758.21","1,612,088.30","2,992,551.58","-127,461.89","-422,149.88","-922,377.31"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,"328,836.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,"982,597.28","123,450.23","11,017,581.42",,"1,143,968.48","2,063,935.87","3,786,317.91","2,468,525.99","212,491,007.37","324,795,647.61","555,590,768.99","250,662,427.58","660,251,920.14","1,120,052,486.19"
五、现金及现金等价物净增加额,"17,973,224.41","-2,587,171.53","36,051,157.34",,"242,809,911.43","274,962,034.86","85,596,766.67","14,937,704.60","-6,750,680.37","109,233,732.55","-26,581,181.58","-65,850,203.38","-79,096,773.31","-130,063,560.00"
购建固定资产、无形资产和其他长期资产支付的现金,"4,650,607.96","24,710,754.11","35,111,460.71",,"29,999,010.45","30,148,193.45","32,744,621.21","6,435,953.67","10,687,690.21","15,298,073.40","20,071,650.41","2,853,220.97","4,377,487.86","6,788,843.46"
期初现金及现金等价物余额,"67,228,177.28","85,201,401.69","82,614,230.16",,"125,263,970.89","125,263,970.89","118,665,387.50","448,709,705.41","204,262,154.17","204,792,830.33","204,262,154.17","177,544,059.95","177,680,972.59","177,680,972.59"
投资支付的现金,,"9,000,000.00",,,"41,966,407.41","5,000,000.00","246,038,756.11",,"231,270,126.23","273,559,865.23","607,565,145.36","330,490,996.96","762,909,204.41","1,253,389,787.57"
期末现金及现金等价物余额,"85,201,401.69","82,614,230.16","118,665,387.50",,"368,073,882.32","400,226,005.75","204,262,154.17","463,647,410.01","197,511,473.80","314,026,562.88","177,680,972.59","111,693,856.57","98,584,199.28","47,617,412.59"
