科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,302,030,002.22","1,366,378,698.54","1,271,880,240.25",,"574,814,425.05","849,215,852.24","1,115,939,020.54","343,373,620.92","580,945,725.68","843,960,642.74","1,119,270,076.11","345,521,304.35"
取得子公司及其他营业单位支付的现金净额,,"1,296,000.00","933,100.00",,,,"56,000.00",,,,,
收到的税费返还,"808,368.00","1,452,925.84","524,581.17",,"13,334.19","17,654.19","57,148.32",371.43,"2,927.14","387,499.79","2,549,185.93","13,105.78"
支付其他与投资活动有关的现金,"1,811,548.12",,,,,,"240,000,000.00","270,290,770.16","510,283,430.16","510,538,107.16","680,000,000.00","150,000,000.00"
收到其他与经营活动有关的现金,"420,659,824.49","524,673,613.60","387,072,273.34",,"244,143,019.40","344,279,778.79","377,435,481.52","93,634,733.30","234,944,899.21","260,394,118.17","267,254,316.82","86,312,670.12"
投资活动现金流出小计,"251,637,907.90","117,103,307.64","118,571,704.22",,"94,079,915.69","334,589,217.90","426,271,940.81","320,612,339.78","602,920,994.26","675,297,794.02","885,293,721.70","213,311,993.05"
经营活动现金流入小计,"1,723,498,194.71","1,892,505,237.98","1,659,477,094.76",,"818,970,778.64","1,193,513,285.22","1,493,431,650.38","437,008,725.65","815,893,552.03","1,104,742,260.70","1,389,073,578.86","431,847,080.25"
投资活动产生的现金流量净额,"-250,370,472.60","17,601,182.43","-118,166,204.22",,"-93,371,294.98","-333,345,857.19","-214,918,221.23","-270,535,051.85","-279,825,774.12","-140,081,278.47","-299,065,227.44","-61,535,277.85"
购买商品、接受劳务支付的现金,"591,496,408.76","608,651,500.53","488,991,854.74",,"244,359,657.91","372,786,704.64","430,947,527.54","171,201,862.80","233,714,828.03","365,730,423.80","437,036,690.77","159,603,478.94"
吸收投资收到的现金,,,,,,"278,750,100.00","278,750,100.00",,,,,
支付给职工以及为职工支付的现金,"307,755,882.83","310,760,593.63","319,104,058.95",,"188,754,671.33","255,999,139.50","335,912,277.17","108,719,879.53","181,006,496.79","252,450,746.63","333,562,186.52","108,985,728.97"
取得借款收到的现金,"170,000,000.00","80,000,000.00",,,,,,,,,,
支付的各项税费,"100,993,126.79","137,343,961.19","104,218,383.33",,"59,112,393.50","83,242,704.41","104,300,674.99","36,513,855.81","63,442,372.15","79,387,969.10","92,077,839.88","33,322,668.50"
收到其他与筹资活动有关的现金,,"10,000,000.00","40,000,000.00",,,,"8,500,000.00",,"4,000,000.00","4,000,000.00","6,700,000.00",
支付其他与经营活动有关的现金,"450,102,594.31","564,373,876.09","513,185,530.81",,"223,870,625.56","304,723,606.13","446,093,792.52","76,212,093.68","213,672,365.35","248,104,047.14","319,670,061.20","39,265,083.46"
筹资活动现金流入小计,"170,000,000.00","90,000,000.00","40,000,000.00",,,"278,750,100.00","287,250,100.00",,"4,000,000.00","4,000,000.00","6,700,000.00",
经营活动现金流出小计,"1,450,348,012.69","1,621,129,931.44","1,425,499,827.83",,"716,097,348.30","1,016,752,154.68","1,317,254,272.22","392,647,691.82","691,836,062.32","945,673,186.67","1,182,346,778.37","341,176,959.87"
偿还债务支付的现金,"209,888,549.73","247,645,264.74","77,571,176.55",,"32,171,449.15","42,254,240.35","42,325,543.46","10,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00",
