科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"82,034,681.47","107,606,299.33","146,825,106.03","139,746,770.02",,"172,734,436.20","237,970,152.02","211,917,954.31","247,804,992.38","254,304,808.50","194,393,525.43"
短期借款,"20,000,000.00","100,000.00","100,000.00","100,000.00",,"100,000.00","100,000.00","100,000.00","100,000.00",,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"100,000.00","295,116.50",,"1,010,000.00",,,"3,300,000.00",,"3,239,500.00",,"1,000,000.00"
应付票据,"76,380,846.00","114,778,498.00","87,567,000.00","89,914,000.00",,"106,417,100.00","113,054,000.00","116,563,000.00","130,989,000.00","125,101,000.00","114,874,000.00"
应收账款,"118,254,287.31","154,936,581.00","136,269,081.87","167,469,473.67",,"207,692,263.24","205,942,114.75","223,580,050.12","186,125,005.31","192,960,075.08","207,516,406.84"
应付账款,"95,515,250.44","111,327,521.07","95,916,277.21","110,651,120.52",,"143,247,572.76","135,731,039.56","170,745,764.78","151,347,436.07","163,273,628.97","133,498,249.44"
预付款项,"291,149.08","521,706.72","2,429,745.80","1,831,122.84",,"1,852,304.15","2,284,753.07","1,838,271.47","2,080,164.32","173,040.16","442,226.75"
预收款项,"7,141,352.98","5,039,239.01","3,779,505.68","4,998,989.21",,"4,077,636.76","4,951,787.11","6,292,766.29","9,090,454.48","6,564,990.18","6,866,387.96"
其他应收款,"10,519,158.50","11,589,408.79","4,549,339.09","4,925,992.04",,"4,796,013.97","9,037,713.49","6,906,785.36","6,354,917.91","8,865,434.01","9,481,948.86"
应付职工薪酬,"11,250,500.66","15,640,274.13","15,914,865.65","15,737,058.29",,"22,001,133.50","17,776,895.96","20,829,070.47","22,006,258.82","22,812,174.35","18,400,217.75"
应收关联公司款,,,,,,,,,,,
应交税费,"6,680,323.18","5,229,140.36","7,092,979.73","5,105,607.86",,"9,185,619.27","7,369,504.09","5,023,175.12","5,858,421.31","4,248,922.91","1,587,513.67"
应收利息,,,,,,,,,,,
应付利息,"31,500.00",140.00,140.00,140.00,,140.00,140.00,140.00,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,"32,001,000.00",,,,
存货,"60,138,404.80","70,941,281.23","58,912,497.31","64,045,813.49",,"92,007,256.37","111,059,574.39","117,940,495.08","123,105,985.75","131,168,484.42","135,624,947.55"
其他应付款,"7,248,871.87","6,899,983.87","6,753,090.04","2,563,774.36",,"7,631,367.10","7,239,247.14","7,008,914.70","2,648,683.19","9,169,501.66","4,743,344.57"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"719,877.44","86,340.20","204,260.05","88,642.30",,"275,717.74","181,116,186.46","205,951,369.78","193,470,835.72","184,592,344.76","163,745,329.98"
其他流动负债,,,,,,,,,,,
流动资产合计,"276,047,704.10","345,976,733.77","349,190,030.15","379,117,814.36","422,106,366.93","479,357,991.67","750,710,494.18","768,134,926.12","762,181,401.39","772,064,186.93","712,204,385.41"
流动负债合计,"224,248,645.13","259,849,719.94","217,123,858.31","229,070,690.24","251,714,611.78","292,660,569.39","318,223,613.86","326,562,831.36","322,040,253.87","331,170,218.07","279,969,713.39"
可供出售金融资产,"2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00",,"2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00","2,800,000.00"
长期借款,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,"1,590,566.54",,,,,,,,,,
预计负债,,,,,,"10,196,544.44",,,,,
固定资产,"176,663,212.79","170,981,949.07","156,929,458.90","152,081,300.72",,"146,510,546.35","143,783,864.58","143,046,532.22","147,515,666.08","158,708,087.25","157,952,668.68"
递延所得税负债,"598,521.83",,,,,,,,,,
在建工程,"2,824,605.40","6,057,007.93","5,868,563.98","4,987,233.16",,"14,189,237.11","27,518,058.78","41,894,399.72","56,079,022.50","48,755,742.07","60,503,022.79"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"11,149,522.39","10,432,848.56","10,314,696.44","10,255,620.44",,"10,196,544.44","10,167,006.41","10,137,468.38","10,107,930.35","10,078,392.32","10,048,854.32"
固定资产清理,,,,,,,,,,,
负债合计,"235,398,167.52","270,282,568.50","227,438,554.75","239,326,310.68","261,940,694.22","302,857,113.83","328,390,620.27","336,700,299.74","332,148,184.22","341,248,610.39","290,018,567.71"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,"80,000,000.00","106,670,000.00","106,670,000.00","106,670,000.00","106,670,000.00","106,670,000.00"
油气资产,,,,,,,,,,,
资本公积,"105,892,983.92","105,892,983.92","105,892,983.92","105,892,983.92",,"105,892,983.92","344,271,402.81","344,442,912.23","344,442,912.23","344,448,950.15","344,448,950.15"
无形资产,"64,798,817.74","64,003,324.37","62,321,361.83","62,886,990.19",,"62,485,652.69","62,031,358.21","61,823,232.03","61,244,414.46","60,982,466.21","60,544,344.47"
盈余公积,"13,581,071.58","19,474,247.20","26,085,706.06","26,085,706.06",,"33,384,081.86","33,384,081.86","33,384,081.86","33,384,081.86","38,531,483.50","38,531,483.50"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,,,
未分配利润,"94,095,831.47","116,725,199.33","141,291,093.79","153,075,106.71",,"186,194,170.72","177,285,238.88","199,767,503.35","216,212,186.06","221,049,921.77","223,158,286.89"
长期待摊费用,"543,130.67","884,027.80","687,259.36","588,875.16",,"490,490.94","441,298.83","395,417.88","351,192.66","4,646,350.51","4,543,666.02"
少数股东权益,,,,,,,,,,,
递延所得税资产,"3,700,017.25","1,671,956.01","1,541,711.76","1,917,893.78",,"2,494,431.57","2,716,269.24","2,870,289.21","2,685,667.28","3,992,132.84","4,279,200.88"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,"1,369,952.54",,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"252,920,350.39","246,398,265.18","231,518,308.37","225,262,293.01",,"228,970,358.66","239,290,849.64","252,829,871.06","270,675,962.98","279,884,778.88","290,622,902.84"
所有者权益(或股东权益)合计,"293,569,886.97","322,092,430.45","353,269,783.77","365,053,796.69","384,988,376.79","405,471,236.50","661,610,723.55","684,264,497.44","700,709,180.15","710,700,355.42","712,808,720.54"
资产总计,"528,968,054.49","592,374,998.95","580,708,338.52","604,380,107.37","646,929,071.01","708,328,350.33","990,001,343.82","1,020,964,797.18","1,032,857,364.37","1,051,948,965.81","1,002,827,288.25"
负债和所有者(或股东权益)合计,"528,968,054.49","592,374,998.95","580,708,338.52","604,380,107.37",,"708,328,350.33","990,001,343.82","1,020,964,797.18","1,032,857,364.37","1,051,948,965.81","1,002,827,288.25"
