科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"29,914,578.76","40,913,046.84","68,698,375.32","382,076,987.60","94,385,418.35","140,220,001.40","113,117,394.46","146,337,641.78","162,819,379.13","219,874,920.92","133,621,648.11","130,350,920.10","204,043,830.67","133,966,789.81"
短期借款,"80,571,000.00","81,605,000.00","52,900,000.00","32,000,000.00","12,000,000.00","9,000,000.00","9,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00","70,100,000.00","70,000,000.00"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"49,067,733.59","79,885,000.61","74,840,538.38","98,227,070.69","111,015,613.51","109,158,720.70","88,556,980.07","109,809,811.74","126,738,483.02","124,099,025.74","156,511,743.15","161,624,280.96","165,403,273.75","168,280,981.85"
应付票据,"20,681,114.00","27,829,320.00","44,672,233.00","60,780,000.00","69,129,499.12","48,359,399.12","34,388,833.98","43,210,960.00","55,597,787.54","61,778,373.98","56,113,238.31","60,193,351.11","61,719,526.98","57,880,162.26"
应收账款,"93,548,953.06","128,827,812.00","133,891,944.46","149,412,963.85","128,076,416.62","111,176,630.06","137,224,543.16","129,257,633.61","186,481,492.18","195,529,107.25","221,326,934.03","220,628,465.35","197,128,238.29","189,217,423.27"
应付账款,"54,339,175.22","79,395,561.19","105,711,627.05","82,850,355.84","73,604,254.01","69,936,070.13","94,794,627.32","100,829,086.07","103,318,161.27","118,590,542.21","155,515,619.09","143,785,834.99","102,775,252.65","122,920,262.55"
预付款项,"5,453,513.58","5,200,794.77","8,558,238.15","666,817.74","7,646,819.97","5,410,569.44","2,685,651.75","4,961,907.50","6,267,666.55","13,632,013.38","6,551,638.75","8,179,960.95","8,494,393.41","9,297,781.08"
预收款项,"2,084,035.39","1,877,857.72","1,451,794.84","1,831,371.11","1,477,047.97","1,690,690.69","1,442,653.56","2,324,400.35","3,584,808.77","4,272,653.21","3,743,792.10","7,577,057.57","6,255,387.83","6,416,017.48"
其他应收款,"3,484,278.22","3,593,680.80","3,871,130.94","2,187,823.72","2,766,800.71","3,141,460.30","2,160,035.63","2,882,899.75","3,680,909.09","3,500,861.08","3,048,843.22","3,485,365.63","3,137,566.79","4,219,829.65"
应付职工薪酬,"4,428,409.58","5,319,540.30","7,071,303.09","3,382,312.80","4,189,357.64","5,439,034.11","7,558,809.38","3,901,102.95","7,726,604.19","8,947,790.69","12,570,737.48","6,934,074.76","9,029,021.60","10,058,112.72"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"5,255,706.40","9,526,205.80","9,873,875.21","10,163,093.01","8,835,207.88","6,979,838.65","9,712,132.87","11,525,180.79","15,212,151.39","16,223,698.84","18,398,903.31","16,884,224.21","17,640,992.22","17,327,114.46"
应收利息,,,,,,,,,,,,,,
应付利息,"141,859.76","145,221.76","99,277.79","60,622.23","64,975.79","53,329.94","16,150.00",,,,"4,186.88","4,186.88","143,429.12","149,625.00"
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"69,470,482.24","83,411,306.22","117,917,880.56","115,551,181.46","111,056,647.39","104,485,404.85","117,254,992.83","122,082,094.12","123,963,232.59","138,161,216.01","180,899,636.00","193,277,822.18","177,494,114.51","198,825,821.82"
其他应付款,"2,452,964.73","1,383,891.46","1,778,749.28","13,763,552.65","3,038,376.09","4,292,449.62","3,165,351.87","3,318,081.42","47,294,291.43","34,245,620.65","78,796,267.98","79,092,395.33","35,512,963.09","35,839,476.69"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,
