科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"57,226,186.32","71,372,797.78","96,283,572.09","96,191,439.87","1,010,952,985.08","602,168,803.49","990,338,913.77","621,748,219.74","500,636,080.88"
短期借款,"58,778,452.00","48,566,600.00","77,632,005.01","100,012,695.41","141,875,000.00","39,788,941.23","164,335,398.00","269,349,500.00","320,000,000.00"
交易性金融资产,"3,084,264.91",,,,,,"2,966,666.24",,"2,909,527.00"
交易性金融负债,,"2,208,175.81","5,903,558.11","4,190,375.73","2,122,570.02","1,331,400.00",,,
应收票据,,,,"973,890.00","819,168.00","1,527,819.41","3,053,115.10","1,860,696.85","320,094.43"
应付票据,"39,950,000.00","53,050,000.00","46,450,000.00","37,900,000.00","24,100,000.00","24,776,944.00","10,879,541.20","569,049.60","7,460,000.00"
应收账款,"130,467,411.18","125,002,818.53","178,735,077.83","185,999,014.10","205,714,481.99","215,445,688.15","285,388,736.23","357,846,693.72","377,714,834.00"
应付账款,"98,338,929.90","97,776,867.71","102,492,609.82","124,797,715.66","123,063,188.75","140,230,527.63","178,879,643.90","185,171,596.63","218,962,610.56"
预付款项,"3,520,504.57","21,893,161.04","27,042,205.53","26,603,133.55","38,048,975.99","44,002,528.75","78,607,499.75","59,764,971.78","72,638,933.34"
预收款项,"5,836,906.27","4,892,693.08","5,758,504.08","7,357,176.01","7,860,841.56","8,820,273.43","21,122,220.95","12,318,993.59","13,825,210.36"
其他应收款,"31,970,498.03","21,931,368.13","14,944,125.55","19,691,964.71","19,026,194.96","22,758,577.58","17,258,579.07","23,319,738.26","19,387,542.54"
应付职工薪酬,"8,395,853.56","10,802,336.28","14,497,302.22","11,629,580.96","12,224,636.23","16,106,391.64","11,948,378.02","15,876,457.67","19,636,588.62"
应收关联公司款,,,,,,,,,
应交税费,"3,346,478.97","1,813,405.64","8,579,129.13","15,723,908.65","16,521,187.17","9,812,926.63","14,232,667.73","15,521,727.16","7,949,462.18"
应收利息,,,,,,,,,
应付利息,"82,660.12","66,666.68","354,636.90","135,805.18","72,408.56","200,289.19","202,079.15","402,099.16","375,972.22"
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"148,534,935.20","170,774,552.65","180,475,957.07","187,258,362.18","187,081,752.26","224,535,292.13","225,205,068.97","222,341,441.13","270,676,594.86"
其他应付款,"8,327,395.44","7,838,452.57","10,271,900.47","4,031,046.52","12,814,818.73","6,516,146.38","9,478,423.06","11,664,541.50","5,101,663.29"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,"1,872,846.40","2,245,158.55","4,234,392.52","10,351,169.47","3,321,391.60","301,676,777.17","2,165,099.60","153,143,838.76","219,852,297.70"
其他流动负债,,,,,,,,,
流动资产合计,"376,676,646.61","413,219,856.68","501,715,330.59","527,068,973.88","1,464,964,949.88","1,412,115,486.68","1,604,983,678.73","1,440,025,600.24","1,464,135,904.75"
流动负债合计,"223,056,676.26","227,015,197.77","271,939,645.74","305,778,304.12","340,654,651.02","247,583,840.13","411,078,352.01","510,873,965.31","593,311,507.23"
可供出售金融资产,,,"500,000.00","500,000.00",,"7,500,000.00","7,500,000.00","7,500,000.00","66,900,000.00"
长期借款,,,"55,042,621.31","57,525,000.00","58,406,400.00","56,993,040.00","59,874,725.99","64,675,569.42","66,332,593.28"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,,,,,,,,
固定资产,"170,879,114.63","175,193,644.70","321,989,455.06","332,447,459.75","341,001,885.36","461,613,342.13","462,152,381.37","470,081,517.99","474,879,697.40"
递延所得税负债,"462,639.74",,,,,,,,
在建工程,"1,020,083.00","49,831,799.77","34,495,654.82","72,272,019.90","77,267,852.18","6,820,823.84","6,959,027.69","14,385,417.84","37,986,231.27"
其他非流动负债,,"5,929,834.46","17,568,355.39","19,721,482.08","22,025,813.65","11,739,677.36","11,714,079.27","12,699,575.28","13,262,336.76"
工程物资,,,,,,,,,
非流动负债合计,"462,639.74","5,929,834.46","72,610,976.70","84,104,176.88","87,835,874.45","75,361,822.33","78,101,528.55","83,832,807.29","85,920,964.72"
固定资产清理,,,,,,,,,
负债合计,"223,519,316.00","232,945,032.23","344,550,622.44","389,882,481.00","428,490,525.47","322,945,662.46","489,179,880.56","594,706,772.60","679,232,471.95"
生产性生物资产,,,,,,,,,
实收资本(或股本),"180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00"
油气资产,,,,,,,,,
资本公积,"87,415,425.27","87,415,425.27","87,415,425.27","87,415,425.27","896,849,334.69","890,325,592.73","890,325,592.73","890,325,592.73","890,325,592.73"
无形资产,"36,235,029.39","35,423,854.27","75,692,383.80","75,163,790.27","74,755,903.47","74,552,626.60","74,120,125.96","121,935,420.70","121,618,144.13"
盈余公积,"17,233,455.39","32,214,826.40","51,080,023.06","51,080,023.06","51,080,023.06","69,332,949.34","69,332,949.34","69,332,949.34","69,332,949.34"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"91,596,985.18","207,440,309.69","328,835,911.68","364,503,389.16","425,733,592.59","465,978,500.11","533,333,352.48","291,137,807.57","322,959,421.58"
长期待摊费用,"3,052,269.52","2,328,905.78","3,459,821.70","5,174,498.05","16,369,452.07","4,026,130.74","7,740,875.37","6,762,212.17","6,088,146.89"
少数股东权益,"3,926,815.06","1,655,841.26","2,615,749.30","2,521,796.83","3,132,319.51","1,182,278.08","730,923.21","-1,497,896.14","588,242.80"
递延所得税资产,"1,685,149.01","2,825,712.28","4,491,873.47","6,832,984.89","7,567,608.21","4,743,125.55","3,894,176.09","5,739,902.11","5,148,604.37"
外币报表折算价差,,,,,,,,,
其他非流动资产,"14,034,216.00","60,429,934.00","48,999,680.00","52,999,680.00","59,889,680.00","16,918,958.50","52,427,738.50","15,922,878.50","20,997,631.78"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"226,905,861.55","326,033,850.80","489,628,868.85","545,390,432.86","576,852,381.29","576,175,007.36","614,794,324.98","642,327,349.31","733,618,455.84"
所有者权益(或股东权益)合计,"380,063,192.16","506,308,675.25","646,793,577.00","682,576,925.74","1,613,326,805.70","1,665,344,831.58","1,730,598,123.15","1,487,646,176.95","1,518,521,888.64"
资产总计,"603,582,508.16","739,253,707.48","991,344,199.44","1,072,459,406.74","2,041,817,331.17","1,988,290,494.04","2,219,778,003.71","2,082,352,949.55","2,197,754,360.59"
负债和所有者(或股东权益)合计,"603,582,508.16","739,253,707.48","991,344,199.44","1,072,459,406.74","2,041,817,331.17","1,988,290,494.04","2,219,778,003.71","2,082,352,949.55","2,197,754,360.59"
