科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"950,301,092.06","1,315,922,391.47","1,443,096,056.64","476,046,800.69","757,635,294.73","1,269,560,257.70","191,490,292.45","434,158,496.08","735,683,144.90","1,025,298,449.49","221,875,770.86","372,147,910.36","617,714,367.11","846,944,427.02","190,878,262.18","393,616,851.72","578,868,629.92","797,856,194.65","132,782,023.46","286,547,381.80","438,318,774.10","624,978,857.42","147,774,870.33","440,678,794.32","619,367,223.68"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,"964,271.46",,,
支付其他与投资活动有关的现金,,,"53,062,780.00",,,,,,"1,312.16",,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"19,487,318.29","70,384,930.09","8,866,408.37","8,620,058.00","20,809,982.87","51,696,869.18","2,432,317.76","7,834,463.37","11,625,512.14","15,988,132.73","444,628.63","1,377,075.60","2,385,614.94","3,905,198.98","597,943.60","5,059,148.31","12,066,364.88","27,154,318.91","1,115,384.86","1,601,320.92","3,220,689.66","4,388,871.57","275,810.48","1,186,137.74","2,788,787.46"
投资活动现金流出小计,"79,627,515.62","168,341,252.34","205,477,775.95","126,249,248.86","164,888,934.33","177,052,018.28","36,757,272.10","62,794,641.37","88,229,199.50","106,274,757.20","65,939,472.21","62,105,731.89","66,972,911.11","859,767,864.04","8,395,134.37","7,424,526.48","8,338,941.04","248,783,090.57","103,829,492.90","175,668,376.11","225,979,728.40","468,790,986.78","342,288,348.28","342,919,002.07","344,918,231.85"
经营活动现金流入小计,"969,788,410.35","1,386,307,321.56","1,451,962,465.01","484,666,858.69","778,445,277.60","1,321,257,126.88","193,922,610.21","441,992,959.45","747,308,657.04","1,041,286,582.22","222,320,399.49","373,524,985.96","620,099,982.05","850,849,626.00","191,476,205.78","398,676,000.03","590,934,994.80","825,010,513.56","133,897,408.32","288,148,702.72","441,539,463.76","630,332,000.45","148,050,680.81","441,864,932.06","622,156,011.14"
投资活动产生的现金流量净额,"-69,474,753.37","-162,930,255.01","-204,534,606.69","-126,105,229.45","-164,597,486.04","-176,335,749.48","-36,418,700.99","-62,245,486.80","-86,282,223.74","-105,481,871.86","-61,324,206.21","-53,961,959.51","-58,522,522.85","-60,782,277.30","-8,395,134.37","-6,770,856.82","-3,677,891.38","-85,259,018.64","-3,480,909.31","75,905,356.72","75,795,858.14","73,390,235.93","-1,250,919.84","-1,421,595.55","-3,420,825.33"
购买商品、接受劳务支付的现金,"663,074,144.77","951,823,894.94","1,053,090,233.29","485,980,947.66","733,652,922.80","952,169,256.96","182,040,306.89","527,285,491.18","728,767,743.37","928,610,912.39","97,001,201.05","231,867,944.33","410,320,308.77","543,704,204.63","131,679,269.92","289,989,740.50","443,399,932.29","578,935,264.29","105,534,100.99","215,202,176.51","345,035,308.43","490,268,343.45","149,803,574.33","380,118,257.22","620,958,310.40"
吸收投资收到的现金,,"55,000,000.00",,"761,927,890.00","761,927,890.00","761,927,890.00",,,,,,,,,,,,,,,,,,,
