科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"336,638,857.52","332,468,067.80","284,170,789.27",,"854,686,325.07","695,330,827.56","690,523,538.43","695,337,991.83","801,696,911.95","824,914,800.79","748,209,364.32","756,651,002.32","843,818,660.60","943,730,896.32","2,628,379,831.17","1,867,165,258.33","1,732,842,006.67"
短期借款,,,,,,,,,,,,,,,,,
交易性金融资产,,"921,964.40","39,974.00",,"134,130.00","134,130.00",,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"2,778,500.00","1,547,526.18","26,260,400.69",,"24,492,992.35","17,540,395.71","31,401,759.44","35,672,017.06","79,918,309.18","74,500,300.61","83,437,388.24","110,798,940.44","247,468,085.10","132,208,647.91","54,377,576.18","207,937,013.83","226,117,932.64"
应付票据,"147,125,763.59","223,792,946.37","248,817,659.70",,"164,873,920.99","196,452,840.50","157,416,556.00","154,928,887.70","170,173,084.74","154,560,242.13","109,841,180.89","97,435,135.10","91,756,981.27","104,944,956.50","281,443,171.66","430,811,351.94","284,452,602.51"
应收账款,"106,948,391.70","214,227,179.94","240,781,353.28",,"221,020,291.86","188,775,839.17","163,933,154.36","211,997,640.17","206,110,367.46","141,680,511.92","111,712,701.05","164,283,073.76","276,759,556.23","192,699,916.32","203,259,287.91","295,484,306.46","299,438,696.52"
应付账款,"247,590,800.89","318,512,024.00","324,084,875.45",,"319,654,494.76","312,319,644.74","341,298,086.52","370,011,322.69","447,454,596.78","443,239,830.39","448,209,307.19","502,920,453.14","563,094,999.91","540,040,768.74","728,250,325.60","726,721,671.83","797,780,116.17"
预付款项,"55,202,685.48","49,634,754.05","37,966,258.90",,"51,801,864.97","66,000,311.82","18,653,390.14","14,146,491.29","27,835,797.78","45,008,388.75","20,616,219.29","40,208,337.16","30,520,653.54","41,301,964.70","17,924,621.64","48,204,347.63","20,606,508.79"
预收款项,"4,404,217.61","4,455,864.89","24,852,274.79",,"16,210,061.52","11,894,822.70","46,892,311.63","57,783,376.63","45,663,220.71","57,090,040.01","132,843,400.93","123,598,239.76","92,828,090.73","130,624,117.62","198,269,056.46","96,221,120.04","61,891,238.68"
其他应收款,"1,759,413.30","28,001,079.03","3,443,918.80",,"6,052,327.58","3,093,407.38","6,604,382.29","1,426,717.48","1,080,425.56","731,596.48","13,025,297.28","19,220,763.92","17,247,801.80","17,304,005.74","17,989,071.33","13,435,698.05","33,469,714.39"
应付职工薪酬,"3,408,148.55","4,419,575.90","5,367,949.75",,"7,418,712.37","7,208,160.33","6,118,623.51","7,581,113.25","7,721,307.29","8,046,381.16","12,471,143.36","13,753,003.40","15,824,206.73","19,084,572.62","14,361,279.49","17,683,474.21","21,744,406.74"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"-34,187,027.69","-54,244,355.40","-88,330,196.47",,"2,732,007.64","2,684,908.96","2,496,981.75","5,818,195.30","6,295,745.42","3,016,932.28","5,324,931.82","8,965,183.37","9,007,912.68","11,028,272.48","33,514,521.06","34,574,271.11","2,986,665.73"
应收利息,"1,897,166.67","460,197.22","1,054,391.67",,"435,401.67",,"348,904.11","348,904.11",,,"146,986.30",,,,,"2,055,780.82","1,430,136.99"
应付利息,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"33,052,766.43",,,,"63,241,488.35"
存货,"114,089,320.82","134,305,098.08","275,905,524.58",,"340,336,459.89","365,366,593.13","420,196,543.11","479,526,352.45","513,524,923.21","513,042,631.02","608,968,751.34","604,459,167.00","347,440,890.94","463,895,836.65","568,703,392.34","466,776,463.89","393,798,064.02"
