科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"706,049,516.72","716,374,785.32","792,824,863.29","359,167,206.09",,"762,954,423.81","181,991,019.76","361,125,209.12","589,127,662.45","805,500,947.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,"1,165,587.13",,,,,,,,
支付其他与投资活动有关的现金,,"18,100,000.00",,,,,,,,"14,004,992.14"
收到其他与经营活动有关的现金,"3,374,934.17","6,371,183.04","4,100,168.33","1,147,609.20",,"3,033,061.82","22,728,504.70","5,270,658.12","8,639,821.20","14,468,677.97"
投资活动现金流出小计,"76,560,364.17","121,327,072.23","158,418,706.20","124,231,986.73",,"140,126,609.12","86,127,918.26","212,956,279.25","220,366,771.22","647,157,756.71"
经营活动现金流入小计,"709,424,450.89","723,911,555.49","796,925,031.62","360,314,815.29",,"765,987,485.63","204,719,524.46","366,395,867.24","597,767,483.65","819,969,625.89"
投资活动产生的现金流量净额,"-76,398,264.17","-90,389,945.38","-104,362,344.00","-52,952,798.92","-109,960,800.00","-66,863,421.24","-35,676,357.30","-133,248,110.07","-119,163,682.04","17,150,043.17"
购买商品、接受劳务支付的现金,"405,789,548.77","426,693,160.97","380,737,083.42","188,038,159.85",,"387,121,422.74","116,585,690.20","222,401,411.55","332,619,909.20","496,011,483.27"
吸收投资收到的现金,,,,,,,"454,220,000.00","469,350,000.00","469,350,000.00","469,350,000.00"
支付给职工以及为职工支付的现金,"88,824,975.38","110,826,477.91","118,894,623.55","58,681,779.74",,"110,539,881.61","31,713,359.78","61,786,071.53","89,355,062.53","119,916,788.73"
取得借款收到的现金,,,,,,,,,,
支付的各项税费,"80,458,276.77","98,726,582.77","84,593,796.83","43,349,233.50",,"93,270,764.43","19,878,608.30","35,128,447.95","57,763,663.27","83,337,296.61"
收到其他与筹资活动有关的现金,,,,,,,"15,130,000.00",,,
支付其他与经营活动有关的现金,"18,182,201.02","21,638,358.12","29,118,872.10","17,396,303.95",,"28,938,837.76","30,071,024.32","27,672,645.60","44,677,002.93","43,202,072.55"
筹资活动现金流入小计,,,,,,,"469,350,000.00","469,350,000.00","469,350,000.00","469,350,000.00"
经营活动现金流出小计,"593,255,001.94","657,884,579.77","613,344,375.90","307,465,477.04",,"619,870,906.54","198,248,682.60","346,988,576.63","524,415,637.93","742,467,641.16"
偿还债务支付的现金,,,,,,,,,,
经营活动产生的现金流量净额,"116,169,448.95","66,026,975.72","183,580,655.72","52,849,338.25","91,838,300.00","146,116,579.09","6,470,841.86","19,407,290.61","73,351,845.72","77,501,984.73"
分配股利、利润或偿还利息支付的现金,,,,,,,,"48,000,000.00","48,000,000.00","48,000,000.00"
收回投资收到的现金,,"30,327,458.89","53,513,651.06","71,236,152.19",,"73,096,400.60","50,401,260.96","78,672,869.18","100,118,719.18","648,000,000.00"
支付其他与筹资活动有关的现金,,,"1,399,398.71","512,681.57",,"1,316,500.30","20,000,000.00","12,149,000.00","12,149,000.00","12,149,000.00"
取得投资收益收到的现金,,,,,,,,,,"5,205,420.32"
筹资活动现金流出小计,,,"1,399,398.71","512,681.57",,"1,316,500.30","20,000,000.00","60,149,000.00","60,149,000.00","60,149,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"162,100.00","609,667.96","542,711.14","43,035.62",,"166,787.28","50,300.00","1,035,300.00","1,084,370.00","1,403,420.00"
筹资活动产生的现金流量净额,,,"-1,399,398.71","-512,681.57","-1,307,800.00","-1,316,500.30","449,350,000.00","409,201,000.00","409,201,000.00","409,201,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-331,852.74","-86,559.73","609,342.18","289,116.64",,"1,153,533.97","-113,896.86","-602,665.56","-1,195,440.89","-1,531,877.22"
收到其他与投资活动有关的现金,,,,,,,,,,"9,698,959.56"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"162,100.00","30,937,126.85","54,056,362.20","71,279,187.81",,"73,263,187.88","50,451,560.96","79,708,169.18","101,203,089.18","664,307,799.88"
五、现金及现金等价物净增加额,"39,439,332.04","-24,449,529.39","78,428,255.19","-327,025.60","-18,776,900.00","79,090,191.52","420,030,587.70","294,757,514.98","362,193,722.79","502,321,150.68"
购建固定资产、无形资产和其他长期资产支付的现金,"76,560,364.17","73,227,072.23","86,018,706.20","24,231,986.73",,"40,126,609.12","6,127,918.26","14,956,279.25","22,366,771.22","35,152,764.57"
期初现金及现金等价物余额,"63,639,950.03","103,079,282.07","78,629,752.68","157,058,007.87",,"157,058,007.87","236,148,199.39","236,148,199.39","236,148,199.39","236,148,199.39"
投资支付的现金,,"30,000,000.00","72,400,000.00","100,000,000.00",,"100,000,000.00","80,000,000.00","198,000,000.00","198,000,000.00","598,000,000.00"
期末现金及现金等价物余额,"103,079,282.07","78,629,752.68","157,058,007.87","156,730,982.27",,"236,148,199.39","656,178,787.09","530,905,714.37","598,341,922.18","738,469,350.07"
