科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"4,575,143,396.15","5,638,050,300.80","6,835,784,381.10","3,030,535,057.79","4,678,916,145.91","6,444,818,539.91","1,592,528,417.53","3,327,155,477.91","5,011,724,036.82","6,505,486,082.58","1,491,538,602.99","3,415,332,522.71","5,059,492,033.40","6,643,835,670.43","1,438,983,651.07","3,156,968,871.29","4,866,967,193.47","7,042,720,902.22","1,873,402,877.31","3,881,086,442.73","6,005,965,432.19","8,483,233,407.85","2,252,201,493.23","4,741,022,507.13","7,267,508,357.39","10,572,102,650.03","2,400,570,072.72","5,133,178,382.61","7,980,726,079.77","11,203,793,392.01","2,293,656,918.90"
二、营业利润,"324,507,608.32","409,198,603.45","490,816,917.47","253,254,233.90","407,394,813.35","550,172,735.11","165,083,424.61","338,961,244.23","501,962,851.00","628,967,868.26","159,702,626.99","364,042,682.91","530,400,128.82","661,823,028.29","167,584,468.97","381,601,247.81","693,132,664.29","865,645,546.06","246,262,442.10","521,567,197.23","791,579,362.56","1,050,247,305.47","288,469,333.43","526,957,706.03","742,295,327.53","1,236,083,820.16","261,958,469.40","533,342,323.57","791,005,909.73","1,149,999,359.15","242,939,944.77"
减:营业成本,"3,674,417,714.28","4,660,951,420.11","5,811,221,392.40","2,505,548,749.62","3,845,598,004.66","5,276,426,611.33","1,284,124,993.88","2,685,577,382.85","4,054,293,929.02","5,266,877,841.88","1,208,227,002.39","2,738,861,860.97","4,058,626,430.35","5,330,848,338.67","1,147,890,913.16","2,506,859,843.44","3,868,559,122.94","5,602,858,057.92","1,454,143,487.24","3,024,299,886.00","4,696,661,828.69","6,704,777,357.51","1,780,778,168.59","3,747,970,629.30","5,811,467,884.76","8,545,821,374.56","1,957,431,571.47","4,213,785,947.47","6,504,459,129.30","9,129,392,180.31","1,848,535,446.38"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"80,508,745.40","70,593,369.43","84,749,517.11","42,824,430.68","62,668,770.78","88,931,774.50","19,247,601.77","43,074,628.03","64,156,785.21","86,969,019.45","17,909,890.21","38,909,987.15","57,594,221.63","71,431,202.99","6,022,703.38","14,163,643.63","22,309,000.32","33,792,196.54","6,620,249.29","17,216,760.09","25,871,529.50","72,103,041.41","7,646,778.05","29,327,352.30","44,445,896.63","70,155,511.19","11,893,537.84","34,831,354.79","47,684,702.57","67,279,754.04","16,208,524.01"
营业外收入,"15,936,392.27","51,149,513.75","45,339,837.71","8,894,722.86","14,872,282.29","23,779,856.35","3,068,542.49","10,349,775.35","18,363,940.57","30,215,060.07","22,486,006.74","30,005,923.85","37,131,818.82","86,969,288.51","22,527,149.60","47,823,712.04","56,939,252.36","88,133,842.83","3,924,359.61","33,651,391.63","46,332,399.68","61,362,688.58","7,514,002.49","103,175,102.09","134,537,276.26","13,709,901.30","305,601.57","1,328,418.70","3,137,420.27","7,572,670.03","299,177.98"
销售费用,"231,081,616.99","187,740,487.75","208,606,901.44","95,301,668.60","153,616,812.40","219,734,768.36","46,281,752.11","107,861,985.17","160,418,862.17","204,798,276.63","44,839,939.28","101,758,917.39","160,335,493.96","219,262,032.57","46,774,225.32","103,389,039.48","172,420,995.15","267,746,866.12","59,465,522.30","119,896,501.75","179,292,487.39","275,259,773.37","44,403,132.19","123,381,546.69","171,132,400.01","244,032,966.64","37,725,496.35","111,479,455.79","185,802,149.31","274,312,127.21","50,439,493.86"
减:营业外支出,"1,448,953.33","815,851.28","466,508.81","243,363.87","393,959.98","2,148,350.70","71,479.03","2,074,999.55","2,187,056.52","2,770,207.85","29,138.99","224,374.65","525,633.21","1,074,676.79","101,587.13","503,747.66","928,326.23","5,683,812.41","125,415.97","1,255,587.40","2,010,362.08","4,898,478.05","902,795.02","2,437,715.29","4,762,301.93","7,887,833.52","2,629,494.20","3,744,811.24","5,596,801.02","6,384,029.66","749,901.66"
管理费用,"203,633,127.97","374,527,959.08","259,522,426.86","140,460,048.40","223,084,405.64","313,084,006.87","77,855,397.34","164,895,389.50","254,358,585.59","358,413,687.40","77,206,256.90","185,682,420.74","283,676,140.32","395,495,544.13","101,744,465.48","207,528,754.24","321,375,996.99","461,817,013.56","105,477,974.86","232,879,148.48","364,467,094.80","512,989,971.40","125,027,993.39","279,162,629.56","417,177,085.66","589,355,065.41","129,561,350.58","287,381,920.57","281,633,614.31","400,148,610.83","93,480,879.73"
其中:非流动资产处置净损失,"880,976.79","380,558.80","301,619.45",,"282,978.92","1,940,443.05","69,629.90","1,154,676.82","1,171,053.37","1,767,318.85","28,266.26","124,745.30","333,274.18","471,632.28","86,917.00","462,922.17","839,978.82","4,632,036.78","98,047.46","671,791.75","1,413,639.78","3,222,208.48","174,484.60","919,052.59","1,085,461.95",,,,,,
