科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"759,815,286.07","606,889,787.08","576,305,839.91","353,444,641.00","558,321,358.97","585,343,126.02","107,276,003.30","292,855,169.96","466,229,722.77","521,138,960.62","160,997,237.73","395,908,374.36","554,472,421.22"
二、营业利润,"206,905,823.74","168,711,195.52","140,782,126.13","67,907,880.81","109,126,776.92","89,309,568.87","18,978,128.24","46,791,484.48","69,311,533.91","44,285,671.63","17,609,327.39","47,309,085.69","64,034,781.18"
减:营业成本,"512,840,048.16","408,832,128.01","400,289,175.40","268,742,448.38","414,565,772.35","439,895,154.86","82,053,814.90","218,176,155.98","348,288,926.40","384,208,801.27","127,490,179.62","296,097,070.66","416,078,160.03"
加:补贴收入,,,,,,,,,,,,,
营业税金及附加,"2,356,481.59","957,192.09","585,965.44","356,509.70","558,321.37","590,294.74","107,276.00","619,346.87","957,582.06","4,564,764.65","81,185.80","1,872,119.46","1,939,401.11"
营业外收入,"922,708.28","10,535,032.03","7,620,022.82","1,226,879.14","3,146,635.58","3,922,688.10","3,772,608.58","5,685,034.86","7,474,947.96","12,042,133.42","710,713.54","1,882,033.42","3,617,137.92"
销售费用,"19,825,341.96","12,206,154.76","13,883,772.52","6,320,042.40","11,354,527.16","28,180,218.53","1,298,117.30","7,357,348.40","12,273,515.97","22,411,819.96","2,641,838.54","13,524,502.76","19,182,304.50"
减:营业外支出,"628,088.73","1,150,192.27","895,640.51","135,000.00","336,063.06","636,063.06","425,812.02","598,598.91","867,177.51","1,483,933.85","252,872.78","380,964.07","594,509.98"
管理费用,"38,199,902.38","34,908,076.72","41,280,304.40","23,939,517.60","43,085,659.38","55,579,724.20","10,521,292.75","26,309,594.77","44,966,189.76","70,951,157.32","15,487,362.33","36,932,499.89","55,132,170.80"
其中:非流动资产处置净损失,"298,088.73","8,892.26","1,340.93",,"1,063.06","1,063.06",,"38,812.02","38,812.02","67,226.96",,"52,157.70","52,157.70"
堪探费用,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,
财务费用,"-7,474,232.37","-6,340,125.19","-4,517,298.74","-2,553,147.98","-3,269,602.04","-4,511,320.29","-684,546.69","-1,021,445.84","-1,670,383.50","-2,136,417.51","-1,302,809.20","-2,183,592.13","-2,807,273.91"
三、利润总额,"207,200,443.29","178,096,035.28","147,506,508.44","68,999,759.95","111,937,349.44","92,596,193.91","22,324,924.80","51,877,920.43","75,919,304.36","54,843,871.20","18,067,168.15","48,810,155.04","67,057,409.12"
资产减值损失,"-565,318.51","-37,820.90","190,198.56","173,086.04","1,909,222.19","599,672.69","377,396.24","3,193,574.74","4,632,387.54","11,656,705.49","455,368.04","5,683,365.73","6,359,534.53"
减:所得税,"30,992,440.98","26,361,721.28","21,402,054.66","10,602,065.09","16,559,219.69","13,163,614.18","3,427,022.94","8,203,929.08","12,376,692.98","9,956,798.61","3,100,834.27","7,684,290.42","10,660,277.08"
加:公允价值变动净收益,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,
投资收益,"12,272,760.88","12,347,013.93","16,188,403.80","11,441,695.95","19,009,318.36","24,300,187.58","5,375,475.44","8,570,889.44","12,530,029.37","14,803,542.19","1,465,214.79","3,326,677.70","5,446,657.02"
四、净利润,"176,208,002.31","151,734,314.00","126,104,453.78","58,397,694.86","95,378,129.75","79,432,579.73","18,897,901.86","43,673,991.35","63,542,611.38","44,887,072.59","14,966,333.88","41,125,864.62","56,397,132.04"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,
归属于母公司所有者的净利润,"176,208,002.31","151,734,314.00","126,104,453.78","58,397,694.86","95,378,129.75","79,432,579.73","18,897,901.86","36,464,553.00","52,500,751.01","33,206,900.20","14,470,527.91","39,215,546.96","50,235,565.90"
影响营业利润的其他科目,,,,,,,,,,,,,
少数股东损益,,,,,,,,"7,209,438.35","11,041,860.37","11,680,172.39","495,805.97","1,910,317.66","6,161,566.14"
