科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"3,037,675,683.24","3,518,009,779.14","4,223,840,944.67","2,214,192,847.22","3,649,721,372.47","5,610,542,377.88","1,406,688,207.40","3,235,393,216.01","5,401,461,163.27","7,562,227,327.72","1,742,346,863.19"
取得子公司及其他营业单位支付的现金净额,"3,750,000.00",,,,,,,,,,
收到的税费返还,"9,993,502.32","42,387,580.60","63,125,578.56","34,470,636.68","55,246,703.55","87,502,601.54","41,459,885.57","88,422,093.73","127,652,358.07","185,094,236.13","40,693,517.13"
支付其他与投资活动有关的现金,"155,236,546.53","64,581,434.42","16,081,782.84","4,076,156.92","6,210,809.87","1,421,762,959.42","345,800,000.00","348,300,000.00","598,080,000.00","622,980,364.72",
收到其他与经营活动有关的现金,"50,769,242.10","111,086,948.80","150,724,719.47","108,050,390.56","136,550,513.29","253,733,064.08","75,334,356.01","108,432,820.96","226,053,691.16","285,812,686.61","98,886,337.86"
投资活动现金流出小计,"311,672,948.54","493,398,728.88","334,574,746.32","167,109,646.70","177,331,039.75","1,652,560,535.38","414,600,835.74","951,017,765.94","1,307,993,431.18","1,618,362,610.61","445,089,539.13"
经营活动现金流入小计,"3,098,438,427.66","3,671,484,308.54","4,437,691,242.70","2,356,713,874.46","3,841,518,589.31","5,951,778,043.50","1,523,482,448.98","3,432,248,130.70","5,755,167,212.50","8,033,134,250.46","1,881,926,718.18"
投资活动产生的现金流量净额,"-268,729,524.40","-285,482,237.30","-250,277,498.51","-138,332,152.29","-114,929,089.54","-1,601,449,316.83","-403,238,195.02","-351,365,427.87","-692,626,052.99","-1,443,025,785.84","-90,184,263.80"
购买商品、接受劳务支付的现金,"1,597,917,929.33","2,000,111,990.10","1,991,517,492.31","1,145,483,192.98","1,851,230,854.34","2,770,238,279.00","892,563,092.41","1,975,208,445.72","3,128,237,319.71","4,156,280,702.09","1,172,378,226.07"
吸收投资收到的现金,,"9,355,000.00","12,761,080.00","3,631,941.00","4,398,786.71","1,979,488,049.92","80,000.00","3,130,000.00","4,630,000.00","425,694,700.00",
支付给职工以及为职工支付的现金,"358,023,369.77","516,121,494.89","595,037,218.96","351,485,665.26","547,880,682.37","764,166,694.34","217,646,925.44","458,391,996.06","694,002,633.80","980,485,060.30","288,075,562.52"
取得借款收到的现金,"181,789,240.00","789,094,801.24","615,972,169.14","367,835,221.36","367,835,221.36","267,845,221.36",,"49,000,000.00","70,000,000.00","70,000,000.00","50,000,000.00"
支付的各项税费,"251,968,409.65","341,447,773.03","440,922,860.16","217,411,226.44","357,607,907.35","459,502,737.07","98,353,572.08","259,672,625.68","434,492,552.80","577,802,445.15","142,290,108.55"
收到其他与筹资活动有关的现金,,"7,674,678.60","7,953,775.00","150,000.00","150,000.00","150,000.00",,"2,000,000.00","2,000,000.00","17,770,000.00",
支付其他与经营活动有关的现金,"435,999,790.60","585,298,261.41","648,119,985.54","375,767,111.43","607,469,032.45","983,273,257.70","217,439,585.71","496,657,069.48","766,252,574.70","1,182,344,229.73","259,385,443.12"
筹资活动现金流入小计,"181,789,240.00","806,124,479.84","636,687,024.14","371,617,162.36","372,384,008.07","2,247,483,271.28","80,000.00","54,130,000.00","76,630,000.00","513,464,700.00","50,000,000.00"
经营活动现金流出小计,"2,643,909,499.35","3,442,979,519.43","3,675,597,556.97","2,090,147,196.11","3,364,188,476.51","4,977,180,968.11","1,426,003,175.64","3,189,930,136.94","5,022,985,081.01","6,896,912,437.27","1,862,129,340.26"
偿还债务支付的现金,"240,915,640.00","485,660,601.24","571,668,412.00","305,108,799.99","384,775,362.10","540,303,221.36","38,000,000.00","130,010,000.00","130,010,000.00","169,010,000.00","11,000,000.00"
经营活动产生的现金流量净额,"454,528,928.31","228,504,789.11","762,093,685.73","266,566,678.35","477,330,112.80","974,597,075.39","97,479,273.34","242,317,993.76","732,182,131.49","1,136,221,813.19","19,797,377.92"
分配股利、利润或偿还利息支付的现金,"243,399,590.47","308,756,103.04","486,288,308.50","150,623,159.25","154,499,279.58","160,479,417.43","1,080,542.41","295,648,076.27","296,456,353.37","297,655,611.16","717,533.33"
收回投资收到的现金,,,,,,,,"5,110,000.00","5,110,000.00",,
支付其他与筹资活动有关的现金,,,"1,024,678.60",,,"13,495,275.00",,"850,000.00","850,000.00","10,189,742.46",
取得投资收益收到的现金,"27,978,067.85","34,264,516.03","29,440,908.65","1,496,418.28","2,504,774.08","3,927,351.17","11,349,656.38","31,980,025.33","47,325,156.18","56,628,486.28","24,905,275.33"
筹资活动现金流出小计,"484,315,230.47","794,416,704.28","1,058,981,399.10","455,731,959.24","539,274,641.68","714,277,913.79","39,080,542.41","426,508,076.27","427,316,353.37","476,855,353.62","11,717,533.33"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,258,042.20","49,867.52","202,520.79","220,988.53","251,488.53","336,288.08","12,984.34","92,984.34","357,389.94","486,666.87",
筹资活动产生的现金流量净额,"-302,525,990.47","11,707,775.56","-422,294,374.96","-84,114,796.88","-166,890,633.61","1,533,205,357.49","-39,000,542.41","-372,378,076.27","-350,686,353.37","36,609,346.38","38,282,466.67"
处置子公司及其他营业单位收到的现金净额,,"1,348,902.21","11,128,533.61","6,177,087.60","6,177,087.60","12,061,116.80",,"7,769,328.40","7,874,832.07","7,945,323.12",
四、汇率变动对现金的影响,"-4,449,374.96","267,579.56","11,113,540.25","4,893,351.17","5,947,768.48","21,238,082.69","470,610.30","-16,527,173.11","-29,256,812.93","-47,135,170.84","-8,408,850.26"
收到其他与投资活动有关的现金,"13,707,314.09","172,253,205.82","43,525,284.76","20,883,000.00","53,468,600.00","34,786,462.50",,"554,700,000.00","554,700,000.00","110,276,348.50","330,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"42,943,424.14","207,916,491.58","84,297,247.81","28,777,494.41","62,401,950.21","51,111,218.55","11,362,640.72","599,652,338.07","615,367,378.19","175,336,824.77","354,905,275.33"
五、现金及现金等价物净增加额,"-121,175,961.53","-45,002,093.07","100,635,352.51","49,013,080.35","201,458,158.13","927,591,198.74","-344,288,853.79","-497,952,683.49","-340,387,087.80","-317,329,797.11","-40,513,269.47"
购建固定资产、无形资产和其他长期资产支付的现金,"152,686,402.01","428,817,294.46","300,237,963.48","163,033,489.78","171,120,229.88","230,797,575.96","68,800,835.74","102,717,765.94","189,030,191.47","274,499,006.18","147,080,610.56"
期初现金及现金等价物余额,"296,138,880.61","174,962,919.08","129,960,826.01","230,596,178.52","230,596,178.52","230,596,178.52","1,158,187,377.26","1,158,187,377.26","1,158,187,377.26","1,158,187,377.26","840,857,580.15"
投资支付的现金,,,"18,255,000.00",,,,,"500,000,000.00","520,883,239.71","720,883,239.71","298,008,928.57"
期末现金及现金等价物余额,"174,962,919.08","129,960,826.01","230,596,178.52","279,609,258.87","432,054,336.65","1,158,187,377.26","813,898,523.47","660,234,693.77","817,800,289.46","840,857,580.15","800,344,310.68"
