科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"48,790,102.72","95,426,584.41","180,123,748.91","90,243,934.42","104,665,978.07","158,361,504.13","141,804,201.21","125,069,414.79","194,834,006.81","257,561,435.75","475,428,369.65","277,490,567.99","299,044,977.74","409,690,714.78","925,081,556.73","775,069,704.76"
短期借款,"15,000,000.00","25,000,000.00",,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"2,100,000.00","300,000.00",,"400,000.00","700,000.00","2,400,000.00","1,400,000.00","800,000.00",,,"2,500,000.00",,,,,
应付票据,,,,,,,,,,,,,,,,
应收账款,"21,154,928.24","25,461,207.13","24,163,349.86","23,564,805.76","34,015,032.44","41,678,090.02","25,261,198.35","25,507,660.15","25,777,391.69","38,702,103.82","33,877,816.68","40,404,798.18","64,859,744.25","95,581,690.95","115,251,568.11","110,180,889.20"
应付账款,"52,402,664.34","75,727,332.62","70,483,097.81","79,382,008.39","88,759,674.49","102,150,178.65","91,673,275.61","91,598,743.12","111,046,751.29","116,214,370.11","153,613,715.42","105,563,328.83","139,882,110.41","184,331,046.41","190,561,108.67","132,641,827.49"
预付款项,"14,062,043.82","24,372,238.39","24,330,120.81","39,811,135.08","26,084,633.97","37,395,038.04","24,156,666.07","28,507,742.01","24,774,320.32","45,259,689.78","15,674,783.76","16,534,941.11","21,255,612.62","37,385,767.15","30,091,610.19","31,339,223.47"
预收款项,"33,567,049.27","32,452,370.39","28,318,569.42","31,937,033.69","27,020,098.81","31,317,480.25","49,851,872.69","53,483,515.03","40,719,788.53","69,676,123.00","88,658,336.53","102,436,467.70","70,857,186.89","110,484,271.54","82,248,477.04","80,249,707.27"
其他应收款,"3,858,131.88","16,530,527.19","9,869,155.95","12,338,539.43","7,461,634.68","9,123,818.10","5,695,132.88","6,934,510.40","5,848,396.45","6,575,820.84","3,656,156.64","5,156,875.18","6,514,703.06","8,149,890.78","4,390,738.44","10,685,311.93"
应付职工薪酬,"40,845,152.41","40,800,580.53","40,611,369.11","37,888,546.89","42,507,145.69","44,199,775.09","52,228,766.89","37,291,046.63","37,340,482.16","39,520,086.23","47,984,328.01","38,521,944.86","39,470,240.19","42,308,485.71","51,442,844.03","44,964,481.73"
