科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,703,722,590.19","2,255,382,286.61","1,679,267,150.43","209,581,467.45","358,404,055.49","964,634,036.28","1,730,729,435.05","209,842,963.56","200,518,620.92","555,610,580.35","1,148,708,691.73"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"14,551,639.87"
收到的税费返还,,,,,,,,,,,"22,995.48"
支付其他与投资活动有关的现金,"133,085,376.69","140,809,754.14","91,729,325.05","18,276,489.24","22,388,097.85","33,196,972.22","37,881,546.12","11,086,799.41","13,761,879.71","13,828,400.25","11,278,268.77"
收到其他与经营活动有关的现金,"349,128,814.86","182,382,602.86","342,989,735.24","80,983,386.07","187,287,327.93","325,588,216.03","780,564,161.08","54,382,203.97","168,308,729.70","263,908,309.66","676,254,235.09"
投资活动现金流出小计,"168,062,360.65","175,355,536.31","106,845,594.47","19,233,342.99","54,364,032.80","80,895,876.80","105,438,751.95","110,264,822.88","125,747,376.89","180,363,486.66","881,039,902.39"
经营活动现金流入小计,"2,052,851,405.05","2,437,764,889.47","2,022,256,885.67","290,564,853.52","545,691,383.42","1,290,222,252.31","2,511,293,596.13","264,225,167.53","368,827,350.62","819,518,890.01","1,824,985,922.30"
投资活动产生的现金流量净额,"-168,059,310.65","-175,354,500.31","70,334,405.53","-19,233,342.99","-54,364,032.80","-20,895,876.80","49,561,248.05","-110,264,822.88","-125,140,000.63","-179,756,110.40","-627,816,026.13"
购买商品、接受劳务支付的现金,"1,300,609,173.66","1,814,608,128.78","1,701,696,942.03","489,991,029.82","662,476,540.95","1,225,365,475.60","1,453,577,786.76","656,378,837.67","760,730,638.92","1,093,098,397.55","1,482,809,708.27"
吸收投资收到的现金,,,,,,"462,371,720.00","462,371,720.00",,,,
支付给职工以及为职工支付的现金,"75,375,162.23","107,463,920.57","109,193,569.36","25,921,334.08","50,305,881.73","62,774,873.99","95,275,785.38","33,041,103.21","59,092,003.22","98,103,584.28","112,993,252.16"
取得借款收到的现金,"678,000,000.00","751,000,000.00","720,000,000.00","329,997,342.61","727,001,340.32","889,997,342.61","1,040,997,342.61","232,000,000.00","625,000,000.00","1,397,000,000.00","1,662,000,000.00"
支付的各项税费,"43,649,587.84","48,353,459.99","52,127,364.44","10,603,811.98","30,650,386.70","43,727,762.07","75,705,763.06","17,925,372.62","14,673,679.75","26,134,409.49","68,382,070.02"
收到其他与筹资活动有关的现金,,,,,,,,,,"13,754,961.55",
支付其他与经营活动有关的现金,"461,370,525.25","313,579,789.53","398,943,230.19","91,535,630.61","213,049,384.77","514,049,962.94","766,468,055.18","223,283,335.14","205,833,586.99","403,618,485.89","647,093,330.99"
筹资活动现金流入小计,"678,000,000.00","751,000,000.00","720,000,000.00","329,997,342.61","727,001,340.32","1,352,369,062.61","1,503,369,062.61","232,000,000.00","625,000,000.00","1,410,754,961.55","1,662,000,000.00"
经营活动现金流出小计,"1,881,004,448.98","2,284,005,298.87","2,261,961,106.02","618,051,806.49","956,482,194.15","1,845,918,074.60","2,391,027,390.38","930,628,648.64","1,040,329,908.88","1,620,954,877.21","2,311,278,361.44"
偿还债务支付的现金,"544,000,000.00","705,200,000.00","594,900,000.00","220,000,000.00","494,900,000.00","626,897,342.61","902,397,342.61","225,000,000.00","536,500,000.00","934,500,000.00","1,321,796,500.00"
经营活动产生的现金流量净额,"171,846,956.07","153,759,590.60","-239,704,220.35","-327,486,952.97","-410,790,810.73","-555,695,822.29","120,266,205.75","-666,403,481.11","-671,502,558.26","-801,435,987.20","-486,292,439.14"
分配股利、利润或偿还利息支付的现金,"29,076,797.80","47,037,041.00","61,253,668.23","12,537,623.02","26,628,725.76","37,857,836.57","63,639,767.81","12,296,037.49","22,968,242.19","48,479,299.70","63,651,758.41"
收回投资收到的现金,,,,,,,,,,,"160,000,000.00"
支付其他与筹资活动有关的现金,"5,541,357.84","2,787,000.00","5,921,503.00","1,476,609.05",,"48,666,794.24","8,249,649.58","4,080,000.00",,,"9,299,818.57"
取得投资收益收到的现金,,,,,,,,,"586,997.26","586,997.26","586,997.26"
筹资活动现金流出小计,"578,618,155.64","755,024,041.00","662,075,171.23","234,014,232.07","521,528,725.76","713,421,973.42","974,286,760.00","241,376,037.49","559,468,242.19","982,979,299.70","1,394,748,076.98"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,050.00","1,036.00","180,000.00",,,,,,"20,379.00","20,379.00","570,379.00"
筹资活动产生的现金流量净额,"99,381,844.36","-4,024,041.00","57,924,828.77","95,983,110.54","205,472,614.56","638,947,089.19","529,082,302.61","-9,376,037.49","65,531,757.81","427,775,661.85","267,251,923.02"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,
收到其他与投资活动有关的现金,,,"177,000,000.00",,,"60,000,000.00","155,000,000.00",,,,"92,066,500.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"3,050.00","1,036.00","177,180,000.00",,,"60,000,000.00","155,000,000.00",,"607,376.26","607,376.26","253,223,876.26"
五、现金及现金等价物净增加额,"103,169,489.78","-25,618,950.71","-111,444,986.05","-250,737,185.42","-259,682,228.97","62,355,390.10","698,909,756.41","-786,044,341.48","-731,110,801.08","-553,416,435.75","-846,856,542.25"
购建固定资产、无形资产和其他长期资产支付的现金,"34,976,983.96","34,545,782.17","15,116,269.42","956,853.75","1,975,934.95","17,698,904.58","37,557,205.83","99,178,023.47","111,985,497.18","165,485,086.41","219,335,093.75"
期初现金及现金等价物余额,"446,470,474.01","549,639,963.79","524,021,013.08","412,576,027.03","412,576,027.03","412,576,027.03","412,576,027.03","1,111,485,783.44","1,111,485,783.44","1,111,485,783.44","1,111,485,783.44"
投资支付的现金,,,,,"30,000,000.00","30,000,000.00","30,000,000.00",,,"1,050,000.00","635,874,900.00"
期末现金及现金等价物余额,"549,639,963.79","524,021,013.08","412,576,027.03","161,838,841.61","152,893,798.06","474,931,417.13","1,111,485,783.44","325,441,441.96","380,374,982.36","558,069,347.69","264,629,241.19"
