科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"322,053,999.23","270,039,297.69","175,233,345.64","81,887,711.95",,"104,494,000.93","145,284,562.80","90,203,295.55"
短期借款,"501,460,000.00","831,500,000.00","938,010,000.00","938,000,000.00",,"918,000,000.00","500,000,000.00","545,000,000.00"
交易性金融资产,,,,,,,,
交易性金融负债,,,,,,,,
应收票据,"136,844,287.19","193,660,271.64","133,195,662.37","308,281,658.14",,"170,878,910.61","245,449,608.93","471,459,066.54"
应付票据,"465,260,000.00","215,000,000.00","30,000,000.00","10,000,000.00",,"60,000,000.00","30,000,000.00",
应收账款,"979,895,861.17","932,480,264.94","931,154,653.66","634,403,298.63",,"918,698,872.67","966,631,553.29","688,312,489.59"
应付账款,"172,949,258.56","198,237,510.52","151,966,565.04","79,324,871.14",,"178,971,983.39","196,410,343.40","146,753,371.77"
预付款项,"22,117,011.73","14,570,337.48","13,408,353.84","17,863,307.03",,"38,383,965.26","38,625,767.88","81,989,097.27"
预收款项,"6,849,427.08","4,239,233.14","5,602,742.53","7,742,062.78",,"8,065,459.36","19,927,978.61","43,565,243.21"
其他应收款,"15,994,346.20","16,126,243.55","24,409,411.49","38,613,831.16",,"39,080,656.45","30,640,971.68","47,155,384.69"
应付职工薪酬,"45,327,250.71","33,963,197.33","15,445,876.02","1,442,662.39",,"2,990,283.87","17,089,319.40","887,833.18"
应收关联公司款,,,,,,,,
应交税费,"72,033,011.91","48,261,242.23","19,333,545.64","26,419,002.25",,"35,773,396.74","24,835,513.61","23,214,083.96"
应收利息,,,,,,,,
应付利息,"3,803,825.00","962,572.00","1,287,717.08","1,179,103.75",,"1,324,209.52","632,683.33","661,792.08"
应收股利,,,,,,,,
应付股利,,,,,,,,
存货,"119,634,009.42","92,285,971.31","83,250,350.05","133,080,298.01",,"128,888,207.01","131,566,555.47","205,374,483.32"
其他应付款,"45,431,783.04","15,501,172.68","15,595,672.34","6,553,779.87",,"6,378,214.49","18,866,255.67","15,612,858.40"
其中:消耗性生物资产,,,,,,,,
应付关联公司款,,,,,,,,
一年内到期的非流动资产,,,,,,,"65,428.88","40,660.38"
一年内到期的非流动负债,"4,099,628.76","115,631.43","257,192.60","258,211.05",,"257,192.60","245,937.59","222,433.41"
其他流动资产,"1,931,702.79","3,799,797.70","2,068,942.25","6,735,560.98",,"4,453,300.64","7,807,883.45","5,752,055.37"
其他流动负债,,,,,,,,
流动资产合计,"1,598,471,217.73","1,522,962,184.31","1,362,720,719.30","1,220,865,665.90","1,411,489,400.00","1,404,877,913.57","1,566,072,332.38","1,590,286,532.71"
流动负债合计,"1,317,214,185.06","1,347,780,559.33","1,177,499,311.25","1,070,919,693.23","1,250,873,300.00","1,211,760,739.97","808,008,031.61","775,917,616.01"
可供出售金融资产,,,,,,,,
长期借款,,,"13,700,000.00",,,,,
持有至到期投资,,,,,,,,
应付债券,,,,,,,,
长期应收款,,,,,,,,
长期应付款,"350,895.69","522,656.15","953,389.88","883,529.55",,"1,650,424.22","404,652.95","341,923.91"
长期股权投资,,,,,,,,
专项应付款,,,,,,,,"27,370,000.00"
投资性房地产,,,,,,,,
预计负债,,,,,,,,
固定资产,"381,887,930.95","475,293,266.23","537,115,194.92","531,933,515.47",,"513,129,429.90","654,482,115.41","663,365,623.66"
递延所得税负债,,,,,,,,
在建工程,"7,570,446.06","194,572,943.40","175,564,253.07","199,255,700.62",,"263,439,943.42","223,205,435.49","205,754,926.58"
其他非流动负债,,,,,,,,
工程物资,,,,,,,,
非流动负债合计,"37,005,895.69","41,625,803.65","59,825,537.38","35,950,677.05",,"44,997,571.72","44,208,196.24","73,751,016.15"
固定资产清理,,"20,371.23",,,,,,
负债合计,"1,354,220,080.75","1,389,406,362.98","1,237,324,848.63","1,106,870,370.28","1,288,910,900.00","1,256,758,311.69","852,216,227.85","849,668,632.16"
生产性生物资产,,,,,,,,
实收资本(或股本),"200,000,000.00","228,000,000.00","228,000,000.00","228,000,000.00",,"228,000,000.00","304,000,000.00","304,000,000.00"
油气资产,,,,,,,,
资本公积,"315,000,000.00","460,698,002.87","460,698,002.87","460,698,002.87",,"460,698,002.87","1,013,740,378.15","1,013,740,378.15"
无形资产,"93,047,259.79","198,651,538.14","205,679,685.20","204,732,099.71",,"202,376,002.35","201,186,794.99","200,008,332.28"
盈余公积,"37,696,358.92","51,776,391.53","56,743,449.93","56,743,449.93",,"56,743,449.93","59,808,920.42","59,808,920.42"
开发支出,,,,,,,,
减:库存股,,,,,,,,
商誉,,,,,,,,
未分配利润,"230,518,367.68","297,798,703.70","365,768,136.38","400,087,153.66",,"487,295,018.19","496,491,584.58","526,268,768.21"
长期待摊费用,"10,285,185.95","7,323,255.90","4,117,134.03","3,292,333.01",,"3,511,747.12","10,623,248.84","11,950,383.07"
少数股东权益,"227,481.44","1,367,161.39","6,807,196.22","6,326,743.07","6,599,400.00","7,379,158.15","6,698,300.82","6,558,138.31"
递延所得税资产,"23,331,310.08","24,089,491.72","23,622,598.76","23,243,456.59",,"26,160,334.52","23,676,439.26","21,254,925.97"
外币报表折算价差,,,,,,,,
其他非流动资产,"23,063,134.28","6,195,487.88","46,613,617.42","75,392,882.16",,"83,965,338.77","53,689,873.06","67,280,850.19"
非正常经营项目收益调整,,,,,,,,
非流动资产合计,"539,185,267.11","906,146,354.50","992,712,483.40","1,037,849,987.56",,"1,092,582,796.08","1,166,863,907.05","1,169,615,041.75"
所有者权益(或股东权益)合计,"783,436,404.09","1,039,702,175.83","1,118,108,354.07","1,151,845,283.18","1,187,066,800.00","1,240,702,397.96","1,880,720,011.58","1,910,232,942.30"
资产总计,"2,137,656,484.84","2,429,108,538.81","2,355,433,202.70","2,258,715,653.46","2,475,977,700.00","2,497,460,709.65","2,732,936,239.43","2,759,901,574.46"
负债和所有者(或股东权益)合计,"2,137,656,484.84","2,429,108,538.81","2,355,433,202.70","2,258,715,653.46","2,475,977,700.00","2,497,460,709.65","2,732,936,239.43","2,759,901,574.46"
