报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一、营业收入,235266.3,489071.5,776719.4,1080750.2,355327.0,711525.3,1074140.6,1451311.9,376060.4,749085.0,1111395.3,1511444.0,408425.2,849611.1,1313698.0,1797177.3,581503.8,1213726.7,2070140.1,2964306.1,972388.0,1962553.4,2953167.3,3974864.8,1080200.0,2342600.0,3734500.0,5218900.0,1610000.0,3473300.0,5465100.0,7340700.0,2067100.0,4657500.0,7115200.0,9616300.0,2753200.0,5476900.0,8196800.0,10771500.0,2771200.0,5407300.0,7983300.0,10578600.0,2802600.0,5724100.0,8666400.0,11671600.0,3247600.0
利息净收入,213741.2,443408.5,693657.1,960584.9,314533.6,630254.9,947880.1,1259788.8,329925.7,636353.4,956008.5,1298437.4,361028.9,740921.2,1145998.3,1582919.2,510433.0,1039222.2,1768098.6,2528977.4,795505.9,1615659.7,2456013.4,3303535.2,870700.0,1852800.0,2905600.0,4068800.0,1155000.0,2455400.0,3841800.0,5304600.0,1514400.0,3111800.0,4820600.0,6609900.0,1839800.0,3619600.0,5456300.0,7641100.0,1886900.0,3736100.0,5548200.0,7400900.0,1868700.0,3743600.0,5452900.0,7474500.0,2077400.0
其中：利息收入,357640.0,762121.6,1242802.0,1804390.0,643425.4,1319545.7,1991912.7,2646526.4,587266.6,1117129.2,1641911.5,2198551.2,593470.2,1217959.5,1881250.6,2625179.0,921983.7,1954046.1,3499946.0,5233069.7,1836647.6,3722684.4,5617419.2,7461367.5,2024600.0,4322600.0,6748700.0,9310200.0,2790400.0,5695000.0,8757000.0,11920200.0,3246400.0,6586400.0,9922500.0,13164900.0,3235900.0,6356800.0,9557500.0,13111900.0,3504500.0,7164800.0,10887500.0,14806800.0,4094400.0,8200800.0,12166100.0,16288800.0,4266100.0
减：利息支出,143898.9,318713.1,549144.9,843805.1,328891.8,689290.8,1044032.6,1386737.6,257340.9,480775.8,685902.9,900113.8,232441.3,477038.3,735252.3,1042259.8,411550.7,914823.9,1731847.4,2704092.3,1041141.7,2107024.7,3161405.8,4157832.3,1153900.0,2469800.0,3843100.0,5241400.0,1635400.0,3239600.0,4915200.0,6615600.0,1732000.0,3474600.0,5101900.0,6555000.0,1396100.0,2737200.0,4101200.0,5470800.0,1617600.0,3428700.0,5339300.0,7405900.0,2225700.0,4457200.0,6713200.0,8814300.0,2188700.0
手续费及佣金净收入,8232.0,20951.5,32192.0,52071.3,15035.3,38053.4,66507.4,85138.8,19580.9,47806.5,78162.9,118078.4,31761.0,74982.5,114976.6,158514.2,48169.4,118763.7,242989.1,366466.9,144795.4,277929.0,415555.8,572127.5,180500.0,437600.0,741500.0,1045600.0,320700.0,777100.0,1279700.0,1737800.0,538700.0,1372200.0,2022300.0,2644500.0,810100.0,1644800.0,2417400.0,2785900.0,815000.0,1574800.0,2316100.0,3067400.0,859400.0,1793900.0,2370500.0,3129700.0,956000.0
其中:手续费及佣金收入,10432.0,26275.1,41750.2,66775.1,19670.4,46999.7,80827.7,105664.7,24129.0,56981.2,92881.6,138697.2,36669.9,86472.8,133246.6,183637.6,54386.8,133003.5,272563.8,412960.0,159627.4,309971.6,466036.2,644951.8,202900.0,489100.0,828000.0,1182100.0,387900.0,894100.0,1447300.0,1970600.0,596700.0,1496100.0,2214400.0,2918500.0,889600.0,1810000.0,2668900.0,3130900.0,912500.0,1786900.0,2664600.0,3572500.0,994700.0,2106100.0,2892300.0,3936200.0,1157900.0
减：手续费及佣金支出,2200.0,5323.6,9558.2,14703.8,4635.1,8946.3,14320.3,20525.9,4548.1,9174.7,14718.7,20618.8,4908.9,11490.3,18270.0,25123.4,6217.4,14239.8,29574.7,46493.1,14832.0,32042.6,50480.4,72824.3,22400.0,51500.0,86500.0,136500.0,67200.0,117000.0,167600.0,232800.0,58000.0,123900.0,192100.0,274000.0,79500.0,165200.0,251500.0,345000.0,97500.0,212100.0,348500.0,505100.0,135300.0,312200.0,521800.0,806500.0,201900.0
汇兑收益,5055.5,10708.5,16080.2,25734.6,17647.7,30881.9,38941.1,46254.3,7811.7,12223.2,16761.7,24162.3,5218.9,9884.0,14209.9,21392.1,6461.2,15167.1,23501.3,26497.7,8415.2,18362.1,17313.4,24327.2,1500.0,2300.0,-13400.0,-16300.0,-3700.0,8000.0,-5300.0,-38800.0,-29800.0,-51500.0,-57100.0,-57300.0,15200.0,28300.0,56800.0,88200.0,4500.0,5200.0,28000.0,16600.0,-17800.0,-6000.0,-4000.0,20900.0,16900.0
投资净收益,5362.8,6584.9,20349.3,20098.4,231.2,1149.3,7684.8,42155.6,18593.3,50754.4,55666.9,58028.6,5854.9,17237.7,31357.4,22852.5,12451.6,35246.0,27721.1,28475.3,21455.6,45187.8,59734.6,62319.3,24000.0,51000.0,89800.0,34700.0,218500.0,217300.0,330500.0,316800.0,46400.0,210400.0,308100.0,392400.0,82400.0,160800.0,246600.0,236800.0,61100.0,73900.0,64400.0,63200.0,41600.0,118700.0,709900.0,918600.0,257100.0
其中:对联营公司的投资收益,0.0,0.0,0.0,0.0,0.0,475.4,0.0,2267.5,0.0,1833.6,0.0,1833.6,0.0,4082.4,0.0,6082.4,0.0,2900.0,0.0,4500.0,0.0,1500.0,0.0,4300.0,0.0,1700.0,0.0,10200.0,0.0,900.0,0.0,2800.0,0.0,3500.0,0.0,4600.0,0.0,2500.0,0.0,-14100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动净收益,351.4,584.1,3921.9,5764.1,832.5,-276.6,3426.5,6580.0,-2729.0,-4100.9,-4464.5,-133.2,1682.4,-764.6,-2258.9,-1907.1,829.7,-786.5,-1565.0,600.5,-924.1,-1135.8,-3364.5,-2921.5,2100.0,-7600.0,1700.0,71100.0,-84800.0,6800.0,2700.0,-1000.0,-5800.0,8500.0,9700.0,10700.0,-1400.0,16000.0,11000.0,4900.0,-2500.0,1700.0,3400.0,-6100.0,37300.0,54500.0,104700.0,89200.0,-64200.0
其他业务收入,2523.4,6834.0,10518.9,16496.9,7046.7,11462.4,9700.7,11394.4,2877.8,6048.4,9259.9,12870.5,2879.1,7350.3,9414.7,13406.4,3158.9,6114.2,9395.0,13288.3,3140.0,6550.6,7914.6,15477.1,1400.0,6500.0,9300.0,15000.0,4300.0,8700.0,15700.0,21300.0,3200.0,6100.0,11600.0,16100.0,7100.0,7400.0,8700.0,14600.0,6200.0,9500.0,13000.0,18600.0,7600.0,10900.0,14400.0,17000.0,1700.0
二、营业支出,153411.1,320894.0,499076.7,708556.0,217692.0,427425.7,637720.2,1370969.3,224697.0,456932.1,658750.4,895531.3,208910.1,469128.3,723957.8,1017182.5,275508.1,609005.9,1088254.0,1651036.0,525886.6,1078863.4,1617159.3,2220698.7,608500.0,1353200.0,2203800.0,3223400.0,938800.0,2138800.0,3388000.0,4716100.0,1322400.0,3130800.0,4784700.0,6726800.0,1951800.0,3861300.0,5742300.0,7793600.0,1948400.0,3760500.0,5483300.0,7556300.0,1944200.0,3983900.0,6005000.0,3654000.0,2280900.0
营业税金及附加,16711.5,35321.5,57756.1,82430.7,28263.1,56816.6,85923.9,115166.5,25937.4,52235.2,76810.8,106913.4,28474.3,60689.1,94601.8,132459.5,44605.5,95309.2,168461.2,250634.4,85998.8,173566.6,256973.1,341198.6,85500.0,182400.0,293600.0,406500.0,125900.0,268100.0,412300.0,548200.0,157200.0,338000.0,504600.0,667100.0,188800.0,283900.0,310000.0,344500.0,24600.0,50300.0,74500.0,102200.0,26100.0,56100.0,84700.0,114900.0,30400.0
业务及管理费用,88795.9,185823.9,293753.1,420749.4,131101.4,249229.2,374018.8,522386.6,146568.7,294293.7,444391.7,631109.1,168488.6,359048.3,548976.3,735911.4,206787.0,440628.9,795796.5,1185544.2,371292.1,748273.4,1138714.0,1566439.4,418400.0,910600.0,1477600.0,2127900.0,606200.0,1305500.0,2005600.0,2666800.0,690100.0,1500500.0,2286600.0,3011200.0,808000.0,1577400.0,2270800.0,2797300.0,680400.0,1338600.0,2126800.0,3161600.0,851000.0,1698000.0,2558100.0,3539100.0,962000.0
资产减值损失,47903.7,99748.6,147567.5,205375.9,58327.5,121379.9,177777.5,733416.2,52190.9,110403.2,137547.9,157508.8,11947.2,49390.9,80379.7,148811.6,24115.6,73067.8,123996.3,214857.4,68595.7,157023.4,221472.2,313060.7,104600.0,260200.0,432600.0,689000.0,206700.0,565200.0,970100.0,1501100.0,475100.0,1292300.0,1993500.0,3048500.0,955000.0,2000000.0,3161500.0,4651800.0,1243400.0,2371600.0,3282000.0,4292500.0,1067100.0,6200.0,5500.0,0.0,0.0
其他业务支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,81855.3,168177.5,277642.7,372194.2,137635.1,284099.6,436420.4,80342.6,151363.4,292152.9,452644.9,615912.7,199515.1,380482.8,589740.2,779994.8,305995.7,604720.8,981886.1,1313270.1,446501.4,883690.0,1336008.0,1754166.1,471700.0,989400.0,1530700.0,1995500.0,671200.0,1334500.0,2077100.0,2624600.0,744700.0,1526700.0,2330500.0,2889500.0,801400.0,1615600.0,2454500.0,2977900.0,822800.0,1646800.0,2500000.0,3022300.0,858400.0,1740200.0,2661400.0,3230500.0,966700.0
加:营业外收入,330.2,2684.3,2837.6,8972.0,454.5,1311.1,2879.1,5231.0,118.5,1842.6,3072.8,5580.5,308.2,7539.5,10606.9,16532.0,1566.9,3925.7,14535.1,17441.6,1407.1,5873.8,7312.0,9774.7,300.0,1800.0,8600.0,11100.0,300.0,1700.0,3000.0,4000.0,200.0,1300.0,2100.0,4000.0,1800.0,2900.0,5200.0,22100.0,1600.0,1500.0,2800.0,3800.0,500.0,600.0,1400.0,2800.0,2900.0
减:营业外支出,58.2,1869.4,2181.3,3988.7,179.1,2843.9,7832.6,6312.7,-230.0,1047.6,1653.5,2439.5,121.2,847.6,1172.4,1685.4,652.7,2330.5,3976.9,4962.8,173.4,1698.9,2108.6,8848.7,200.0,600.0,800.0,2600.0,1800.0,3400.0,5300.0,9200.0,1200.0,2100.0,4000.0,8900.0,300.0,3100.0,3700.0,6500.0,1400.0,5100.0,8900.0,10400.0,2200.0,4100.0,6200.0,10200.0,2500.0
四、利润总额,82127.2,168992.4,278299.0,377177.5,137910.5,282566.8,431466.9,79260.9,151711.9,292947.9,454064.2,619053.7,199702.1,387174.7,599174.7,794841.4,306909.9,606316.0,992444.3,1325748.9,447735.1,887864.9,1341211.4,1755092.1,471800.0,990600.0,1538500.0,2004000.0,669700.0,1332800.0,2074800.0,2619400.0,743700.0,1525900.0,2328600.0,2884600.0,802900.0,1615400.0,2456000.0,2993500.0,823000.0,1643200.0,2493900.0,3015700.0,856700.0,1736700.0,2656600.0,3223100.0,967100.0
减:所得税,28618.9,56594.1,90937.3,112187.2,37492.3,68183.4,99767.5,17857.4,39504.2,61809.1,90322.3,115980.8,41890.3,83862.8,127353.5,170187.7,66690.0,133202.2,217936.6,286699.8,98186.5,200908.5,306614.1,404014.1,112900.0,237500.0,368900.0,480900.0,164300.0,325600.0,505400.0,639200.0,180800.0,367400.0,554600.0,698100.0,194300.0,386200.0,584100.0,733600.0,201600.0,387800.0,578600.0,696800.0,197200.0,399500.0,611000.0,741300.0,222500.0
五、净利润,53508.4,112398.3,187361.7,264990.3,100418.2,214383.4,331699.4,61403.5,112207.7,231138.8,363741.9,503072.9,157811.8,303311.9,471821.2,624653.7,240219.9,473113.8,774507.7,1039049.1,349548.6,686956.4,1034597.3,1351078.0,358900.0,753100.0,1169600.0,1523100.0,505400.0,1007200.0,1569400.0,1980200.0,562900.0,1158500.0,1774000.0,2186500.0,608600.0,1229200.0,1871900.0,2259900.0,621400.0,1255400.0,1915300.0,2318900.0,659500.0,1337200.0,2045600.0,2481800.0,744600.0
归属于母公司的净利润,53508.4,112398.3,187361.7,264990.3,100418.2,214383.4,331699.4,61403.5,112207.7,231138.8,363741.9,503072.9,157811.8,303311.9,471821.2,624653.7,240219.9,473113.8,768718.2,1027863.1,342894.5,676148.5,1023789.4,1340270.1,358900.0,753100.0,1169600.0,1523100.0,505400.0,1007200.0,1569400.0,1980200.0,562900.0,1158500.0,1774000.0,2186500.0,608600.0,1229200.0,1871900.0,2259900.0,621400.0,1255400.0,1915300.0,2318900.0,659500.0,1337200.0,2045600.0,2481800.0,744600.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5789.5,11186.0,6654.1,10807.9,10807.9,10807.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
基本每股收益(元/股),0.26,0.54,0.9,0.97,0.34,0.71,1.09,0.2,0.36,0.74,1.17,1.62,0.51,0.98,1.46,1.9,0.69,1.36,2.01,2.47,0.67,1.32,2.0,2.62,0.7,0.92,1.43,1.86,0.53,0.88,1.37,1.73,0.41,0.84,1.27,1.56,0.43,0.72,1.09,1.32,0.31,0.68,1.06,1.3,0.33,0.73,1.14,1.39,0.38
稀释每股收益(元/股),0.26,0.54,0.88,0.95,0.33,0.7,1.08,0.2,0.36,0.74,1.17,1.62,0.51,0.98,1.46,1.9,0.69,1.36,2.01,2.47,0.67,1.32,2.0,2.62,0.7,0.92,1.43,1.86,0.53,0.88,1.37,1.73,0.41,0.84,1.27,1.56,0.43,0.72,1.09,1.32,0.31,0.68,1.06,1.3,0.33,0.73,1.14,1.39,0.36
七、其他综合收益,0.0,0.0,0.0,0.0,0.0,-1205.3,24648.2,105559.2,-45073.8,-72478.6,-94977.3,-96191.0,6210.0,1111.2,1903.1,-16247.9,2646.0,-10232.9,-59833.9,45056.2,8135.3,26251.5,-79828.3,-89020.0,37100.0,8400.0,-71000.0,-181100.0,16500.0,31000.0,48100.0,58600.0,12600.0,39400.0,49500.0,73400.0,3000.0,14400.0,24500.0,30800.0,22800.0,31600.0,37400.0,28100.0,15100.0,45700.0,46300.0,91200.0,59900.0
八、综合收益总额,0.0,0.0,0.0,0.0,0.0,213178.1,356347.6,166962.7,67133.9,158660.2,268764.6,406881.9,164021.8,304423.1,473724.3,608405.8,242865.9,462880.9,714673.8,1084105.3,357683.9,713207.9,954769.0,1262058.0,396000.0,761500.0,1098600.0,1342000.0,521900.0,1038200.0,1617500.0,2038800.0,575500.0,1197900.0,1823500.0,2259900.0,611600.0,1243600.0,1896400.0,2290700.0,644200.0,1287000.0,1952700.0,2347000.0,674600.0,1382900.0,2091900.0,2573000.0,804500.0
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0,0.0,213178.1,356347.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473724.3,608405.8,242865.9,462880.9,711865.7,1072154.3,350445.6,700573.2,942134.3,1249423.3,396000.0,761500.0,1098600.0,1342000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2808.1,11951.0,7238.3,12634.7,12634.7,12634.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
