报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,47816.42,113042.76,188868.58,283999.15,72338.77,178780.83,291656.71,452031.25,113464.09,251350.61,377928.15,576123.34,147894.64,328853.24,496394.41,679585.06,176952.44,366325.48,536591.27,723520.46,158517.08,338797.34,537786.2,757867.78,149264.76,317159.11,512621.46,733774.82,118563.97,266529.29,436014.47,651187.56,81330.53,200459.4,344854.17,535726.68,41817.07,138995.38,265254.29,439501.95,195732.58,334658.44,456513.8,638113.56,106960.9,321488.08,460763.26,669585.38,102865.81,774345.3,1271925.53,1738044.53,397850.4,847668.19,1347453.48
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.8,235.8,235.8,0.0,260.21,575.2,575.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,748.4,932.49,1703.37,2265.83,1092.93,1575.64,1841.34,8190.7,1126.01,2066.38,2669.91,14913.35,358.76,886.38,14097.47,2564.82,323.77,715.34,980.38,1504.44,244.56,543.97,836.17,3109.46,5085.07,7383.12,7525.69,7837.93,605.63,818.07,1029.97,1337.06,292.46,1107.12,1389.45,1761.31,604.91,1654.23,1960.17,2500.24,5117.93,10829.67,13287.42,28032.29,5891.35,11304.83,16024.49,37711.26,7973.59,34246.98,45055.94,73409.06,10196.27,31735.07,49069.75
经营活动现金流入小计,48564.82,113975.25,190571.95,286264.99,73431.69,180356.47,293498.05,460221.95,114590.1,253652.78,380833.86,591272.5,148253.39,329999.83,511067.08,682725.08,177276.21,367040.82,537571.65,725024.9,158761.64,339341.31,538622.36,760977.24,154349.83,324542.23,520147.16,741612.75,119169.6,267347.36,437044.43,652524.62,81622.99,201566.52,346243.62,537488.0,42421.98,140649.61,267214.46,442002.18,200850.51,345488.11,469801.22,666145.85,112852.25,332792.91,476787.75,707296.64,110839.4,808592.28,1316981.46,1811453.59,408046.67,879403.26,1396523.23
购买商品、接受劳务支付的现金,21471.95,52723.93,91542.27,143598.11,31360.16,67894.98,115363.31,195014.33,42351.99,118666.98,194027.14,294528.59,55410.71,125241.93,169162.4,260677.35,55237.26,144413.46,240969.33,323122.1,72181.1,158169.56,249254.32,341502.86,67120.09,146689.54,233694.14,319740.99,64935.84,115533.04,200947.24,250986.07,18847.98,33513.16,58941.92,103474.78,14919.43,32658.95,65019.67,108354.21,26308.0,61014.5,111613.35,146253.43,21149.71,52727.85,93794.85,161488.47,43826.91,428767.98,694340.18,926646.77,166479.24,372361.95,574497.0
支付给职工以及为职工支付的现金,4422.19,11456.87,18627.94,35759.25,5038.59,14105.99,25129.27,40951.91,10160.08,22006.93,32693.95,48444.84,10076.74,20361.06,34602.5,54691.01,14172.83,28774.61,42827.29,65278.98,14914.17,29630.36,44835.02,67937.37,15331.03,31981.57,47454.06,70091.33,15630.06,32118.01,48523.06,75808.17,15545.71,31909.37,46801.7,76635.44,17151.98,33777.38,50425.24,76851.09,16414.5,35018.65,52858.45,86068.37,21250.18,40431.39,63260.33,98980.55,21993.99,62603.91,91829.22,168857.07,30396.3,65173.47,102194.9
支付的各项税费,12831.78,25040.37,34805.7,48442.22,18665.63,34837.0,51120.75,67870.31,24909.41,53351.13,73150.63,108724.9,46507.21,90116.02,124854.74,154722.68,46036.42,87118.67,127957.25,173289.06,57903.39,104543.11,127618.66,166116.32,52187.72,93285.12,119607.07,169015.33,42329.74,66877.38,90026.68,147253.13,45057.75,79664.73,109933.3,146529.2,47349.28,72697.04,108100.02,137788.58,70859.98,122117.14,168359.3,198308.25,80890.49,148323.46,185078.67,229081.47,55623.03,147630.77,203390.82,274218.9,72133.13,183660.14,257128.59
支付的其他与经营活动有关的现金,13296.75,18975.21,22997.34,18575.13,12521.87,5567.15,5425.74,9573.07,7546.73,9515.72,17242.03,15617.44,11933.57,16415.37,23683.85,19948.41,18863.09,21141.97,20484.3,40010.61,23676.06,18967.01,34042.64,52424.61,22044.33,23442.74,52411.9,28664.32,36920.59,40781.77,55551.84,37983.7,51850.97,13919.86,6702.88,14502.27,1062.17,4638.04,6758.95,13670.46,4721.4,9608.2,18074.03,28734.67,5848.58,13596.11,23432.12,38533.91,8900.9,33863.69,63669.74,95527.4,51476.92,36096.97,56460.97
经营活动现金流出小计,52022.66,108196.38,167973.25,246374.71,67586.24,122405.12,197039.07,313409.63,84968.21,203540.76,317113.75,467315.77,123928.22,252134.38,352303.49,490039.45,134309.6,281448.72,432238.17,601700.76,168674.73,311310.04,455750.64,627981.16,156683.17,295398.96,453167.17,587511.97,159816.23,255310.2,395048.82,512031.07,131302.4,159007.11,222379.8,341141.7,80482.86,143771.42,230303.88,336664.34,118303.89,227758.5,350905.13,459364.72,129138.97,255078.81,365565.97,528084.4,130344.82,672866.35,1053229.95,1465250.13,320485.59,657292.52,990281.45
经营活动产生的现金流量净额,-3457.84,5778.87,22598.7,39890.28,5845.45,57951.35,96458.99,146812.32,29621.89,50112.02,63720.11,123956.73,24325.17,77865.45,158763.58,192685.63,42966.61,85592.1,105333.47,123324.15,-9913.09,28031.27,82871.73,132996.08,-2333.34,29143.27,66979.99,154100.78,-40646.63,12037.16,41995.62,140493.55,-49679.41,42559.42,123863.82,196346.3,-38060.88,-3121.81,36910.58,105337.84,82546.62,117729.61,118896.09,206781.13,-16286.72,77714.1,111221.78,179212.24,-19505.42,135725.94,263751.51,346203.46,87561.08,222110.74,406241.78
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,136.01,136.01,0.0,0.0,0.0,0.0,20.03,20.03,20.03,25.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1980.54,1980.54,1980.54
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,483.15,483.15,1383.15,0.0,278.04,278.04,4778.04,1700.43,6264.26,8005.58,8005.58,5000.0,9340.26,9340.26,9340.26,0.0,0.0,0.0,911.55,0.0,0.0,0.0,180.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.69,0.0,0.0,0.0,2608.68,4700.0,7525.0,10355.0,12429.68,1982.0,4700.0,4700.0,4700.0,0.0,0.0,0.0
