报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,13276.58,10764.51,11020.67,15005.75,8820.6,14844.42,6859.06,56914.67,63957.25,35442.01,38955.69,42281.64,52733.32,35518.88,26943.6,27530.17,31420.88,45397.88,49737.78,83755.71,101155.46,232028.44,178442.82,526799.22
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,14824.98,22125.46,25014.16,26209.06,30622.55,32920.18,38450.62,37989.78,41483.16,38415.34,40631.3,36954.44,87919.02,49245.5,48327.18,73852.96,157062.37,160558.74,167211.31,182849.05,160963.6,187129.95,194102.46,238641.47
应收票据,587.33,662.79,3794.01,1201.48,1545.1,2590.49,3726.27,1283.28,3179.53,1698.63,2998.84,778.33,15780.74,2795.21,3613.31,21764.83,33984.1,35469.87,32736.13,32871.55,18528.19,27860.5,19993.71,39755.87
应收账款,14237.65,21462.67,21220.15,25007.58,29077.46,30329.69,34724.35,36706.5,38303.63,36716.71,37632.47,36176.12,72138.28,46450.29,44713.87,52088.13,123078.27,125088.86,134475.18,149977.5,142435.41,159269.45,174108.74,198885.61
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18253.56,18446.51,14077.52,0.0
预付款项,3965.54,2800.42,1922.61,8777.22,5806.65,4131.34,4168.53,4666.53,3234.66,5682.12,3491.14,7590.37,5384.52,12263.89,9364.42,69811.82,5751.02,12955.91,10956.5,9435.61,10530.86,17813.66,10100.57,23073.6
其他应收款(合计),408.28,324.68,632.39,657.92,607.14,1768.85,647.27,419.64,503.18,611.33,616.72,926.9,459.2,533.87,6810.9,723.05,758.65,1083.74,781.69,30596.43,83163.73,3327.06,2177.38,2395.4
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.21,123.5,117.57,121.1,12.93,100.18,59.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,67.92,72.81,0.0,0.0,0.0,0.0,116.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.3,0.0,0.0,0.0,118.89,118.89,118.89,118.89
其他应收款,408.28,324.68,564.48,585.11,607.14,1768.85,647.27,419.64,358.54,487.83,499.14,805.81,446.27,433.68,6751.73,723.05,618.35,0.0,781.69,0.0,83044.84,0.0,2058.49,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,14284.79,15021.15,18565.21,17977.32,19242.09,16873.2,21396.59,22459.86,18753.2,22273.07,18269.55,19880.68,33070.72,22808.94,21289.77,48333.58,47212.96,55711.76,61792.1,67387.12,75923.0,100876.15,102010.01,109020.34
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,85.02,0.0,30.54,1.0,79.32,22913.37,24033.1,22479.47,37418.62,24134.09,9429.63,31582.27,36116.65,36374.97,47178.44,52235.64,52312.46,64623.85,67615.57,51537.71
流动资产合计,46760.17,51036.21,57155.05,68627.27,65184.05,70537.98,71552.6,122451.47,128010.77,125337.24,125997.5,130113.5,216985.4,144505.16,122165.5,251833.87,278322.53,312083.0,337657.82,426259.56,502302.68,624245.61,568526.33,951467.74
