报表日期,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,1800.1,8690.52,9255.31,7347.41,6163.58,73429.25,71473.47,67688.86,64610.57,75491.5,65505.08,61764.81,59663.31,70138.37,61386.81,61858.28,59070.48,68305.26,59548.62,57570.62,45867.08,51597.0,44933.44,29699.26,23509.33,42815.34,33123.41,34820.09,30409.69,57620.0,31583.26,27429.53,70124.99,112024.33,123579.65,119706.29,82062.37,132987.08,119788.12,97937.01,66853.12,118138.41,137485.18,140470.54,138725.21
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,4.81,0.0,0.0,0.0,0.0,7.47,22.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32461.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54553.09,0.0,29054.4,0.0,42692.73,0.0,48546.63,47240.6,59276.86,57432.18,40345.0,47380.3,50000.39,52770.46,56576.14,42256.69,49047.32,48250.05
应收票据,902.75,517.09,321.91,958.67,2276.16,2940.57,2769.67,2928.03,2653.17,4339.09,5893.04,5669.83,5644.09,6086.78,5838.64,9941.03,8612.93,7575.33,6713.74,5266.03,7581.15,7575.53,7381.75,1998.2,975.3,5677.94,7132.1,5131.17,331.85,1373.9,2015.34,8417.64,5050.87,6049.36,11915.31,11927.14,10399.59,7098.4,7836.6,7704.83,5043.0,9433.82,3398.66,1580.32,4972.21
应收账款,1158.27,2625.97,3022.99,6238.54,7345.68,7052.53,8250.18,13870.27,13711.75,14307.95,12299.83,16432.2,18987.48,19669.7,17959.17,18446.2,18051.95,18247.79,19860.31,27195.42,26309.74,29910.6,32772.17,40025.3,43567.95,35829.75,40352.11,49421.92,50053.7,27680.49,31267.71,34275.09,37459.48,42497.27,35325.3,47349.72,47032.59,33246.6,39543.7,42295.56,47727.46,47142.32,38858.03,47467.01,43277.84
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,34.28,213.05,270.25,175.89,425.11,333.57,255.4,136.7,274.67,226.64,325.53,593.59,251.52,182.36,412.06,230.15,461.98,314.22,248.27,1323.9,1404.33,321.34,654.3,5009.72,4517.09,446.64,1712.19,1030.21,1229.8,760.11,1356.54,1287.43,2233.48,1233.66,1571.39,3477.52,3190.26,2521.98,2768.02,1734.48,1330.3,1785.15,1774.7,2075.36,2262.58
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.46,0.0,4181.26,0.0,1884.9,0.0,2502.24,942.74,1463.05,1286.92,2094.18,1926.27,2333.56,3561.74,26467.53,8049.09,6943.3,6743.84
应收利息,0.0,0.0,0.0,0.0,0.0,260.1,236.26,236.26,1084.11,197.81,46.05,0.0,0.0,181.1,216.05,203.13,445.02,369.52,391.19,497.4,221.89,185.62,198.68,33.77,14.52,6.57,7.33,5.97,3.67,43.34,55.72,77.75,81.35,101.64,99.68,125.87,0.0,73.85,0.0,16.9,0.0,0.0,0.0,0.0,0.0
