报表日期,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
一、营业总收入,3740.72,5932.77,10317.63,10863.06,14751.73,4305.41,8764.9,14646.89,19360.98,5191.63,10528.63,18111.34,23951.11,5908.79,11778.4,20223.91,26710.56,6911.73,13341.56,23846.63,31208.58,8109.96,16513.29,29362.24,38557.68,10693.4,21870.95,38569.37,50074.47,13808.44,27433.73,49999.93,63935.29,11027.57,25942.83,49105.89
营业收入,3740.72,5932.77,10317.63,10863.06,14751.73,4305.41,8764.9,14646.89,19360.98,5191.63,10528.63,18111.34,23951.11,5908.79,11778.4,20223.91,26710.56,6911.73,13341.56,23846.63,31208.58,8109.96,16513.29,29362.24,38557.68,10693.4,21870.95,38569.37,50074.47,13808.44,27433.73,49999.93,63935.29,11027.57,25942.83,49105.89
二、营业总成本,2887.31,4098.53,6200.17,0.0,8715.75,2475.55,5194.9,0.0,11191.8,3696.92,6412.68,9913.58,12834.95,3085.19,6042.81,9862.51,13452.61,3675.84,7151.48,11486.78,15955.15,3753.71,7725.41,12622.36,17776.07,4918.74,10228.26,17152.34,23713.51,6239.97,12468.2,21376.53,29709.75,6371.87,13771.3,23353.8
营业成本,452.89,568.93,647.23,0.0,755.91,174.4,350.72,0.0,737.43,187.84,425.56,755.06,973.25,260.32,623.17,1007.21,1310.4,290.4,600.07,964.18,1155.53,230.4,501.79,881.32,1408.56,708.79,1333.83,2348.6,2851.82,491.22,970.36,1745.18,2285.26,484.91,1415.5,2241.32
营业税金及附加,8.18,31.82,180.12,0.0,243.92,70.73,141.09,0.0,302.06,37.1,75.32,106.57,130.46,24.38,49.28,84.34,111.08,27.7,51.56,90.7,124.34,28.05,120.79,165.58,261.23,38.76,143.78,182.26,272.16,49.26,106.8,251.81,327.06,43.3,140.98,229.57
销售费用,1843.23,2332.12,3779.87,0.0,5593.36,1632.99,3453.78,0.0,7572.65,2055.43,4032.39,6428.34,8869.08,2159.48,4386.18,7014.84,9604.45,2585.29,5152.11,8247.91,11449.67,2788.26,5622.64,9102.43,12888.78,3322.56,6939.81,11658.3,16828.83,4840.11,9852.69,16488.5,22370.23,4652.47,9593.72,16030.82
管理费用,742.7,1210.54,1473.87,0.0,2039.25,612.75,1235.43,0.0,2563.96,1366.9,1945.93,2588.18,3196.62,723.1,1228.9,1974.79,2816.08,768.55,1513.28,2282.84,3479.68,703.8,1585.69,2443.45,3389.38,883.12,1995.27,2354.83,3415.99,694.84,1337.67,2094.93,3016.53,758.4,1433.28,2454.58
财务费用,-103.57,-64.51,31.22,0.0,-12.98,-15.33,-32.83,0.0,-87.5,-54.55,-174.62,-221.54,-438.65,-159.23,-333.08,-441.38,-519.92,-100.86,-228.67,-331.63,-437.76,-94.69,-187.15,-254.67,-377.14,-129.75,-305.32,-647.73,-1117.83,-578.05,-1204.79,-1819.59,-2406.44,-659.36,-1301.68,-2051.6
资产减值损失,-56.12,19.63,87.87,0.0,96.29,0.0,46.7,0.0,103.2,104.2,108.11,256.98,104.19,77.14,88.36,222.7,130.52,104.78,63.15,232.78,183.69,97.91,81.65,284.24,205.26,95.25,120.89,352.46,114.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79,22.73,45.0,37.11,0.6,-32.92,65.44
