报表日期,2011-12-31,2012-12-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
一、营业总收入,22518.59,25132.79,18369.62,26405.77,5222.56,16355.19,24396.49,31107.47,5619.44,15776.26,24498.97,35708.35,8191.22,23212.85,39186.3,60034.47,17587.67,54374.32,90439.22,126537.89,25265.05,69639.17,106914.56,142898.56,24622.53,55386.28,91351.36
营业收入,22518.59,25132.79,18369.62,26405.77,5222.56,16355.19,24396.49,31107.47,5619.44,15776.26,24498.97,35708.35,8191.22,23212.85,39186.3,60034.47,17587.67,54374.32,90439.22,126537.89,25265.05,69639.17,106914.56,142898.56,24622.53,55386.28,91351.36
二、营业总成本,18982.87,21496.23,16077.22,23124.9,5038.48,14383.97,21503.25,28178.98,5470.16,14268.73,22264.04,32664.11,8111.54,21741.41,36261.79,54557.55,15413.86,45738.86,74697.77,109706.66,22931.66,57727.75,89434.83,150184.55,22778.23,53169.26,88216.9
营业成本,13198.78,15094.83,11439.33,16676.4,3525.17,10713.72,15981.99,20484.34,3543.14,10178.46,16058.75,23039.44,5234.89,14340.11,24181.09,37081.62,11004.2,33869.58,55435.67,79143.04,15709.19,41321.62,63510.99,87706.9,14790.16,35168.05,60021.17
营业税金及附加,200.24,185.67,147.94,192.05,32.66,129.37,183.92,223.84,32.56,95.94,145.5,266.77,48.63,125.33,178.57,469.32,81.81,404.96,671.05,1167.42,126.41,387.4,652.73,967.67,161.47,287.9,415.21
销售费用,1712.52,1803.45,1306.71,1875.66,498.09,1113.85,1743.69,2382.53,564.7,1150.71,1735.65,2299.24,603.16,1569.59,2645.23,3961.51,1359.91,3545.73,5481.62,8192.41,2206.7,4914.08,8153.53,12694.13,2927.88,6114.09,9503.81
管理费用,3447.01,4090.92,2976.33,4169.74,976.88,2161.75,3289.21,4672.41,1292.38,2641.07,4080.65,6347.05,2153.45,5127.34,8500.82,12077.88,2879.85,7131.81,11738.75,16239.58,4593.5,9850.2,8104.86,10662.8,2565.24,5346.84,8573.33
财务费用,274.82,194.76,96.51,83.06,5.68,82.7,136.17,221.33,37.38,-30.67,-36.76,120.78,71.41,208.0,292.78,328.96,59.93,140.08,256.19,574.82,401.96,829.06,1488.88,1715.84,343.11,801.72,1081.73
研发费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7186.8,11778.36,2313.09,5450.66,8621.65
资产减值损失,149.5,126.61,110.4,127.98,0.0,182.58,168.27,194.53,0.0,233.21,280.26,590.84,0.0,371.03,463.3,638.25,28.15,646.7,1114.47,4389.4,-106.09,425.4,337.04,24658.86,-322.73,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4410.91,0.0,0.0,-3760.58,6741.8,0.0,-12077.87,-12077.87
