报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
销售商品、提供劳务收到的现金,1125187.34,1674370.37,769491.0,1242755.37,1677233.27,476695.82,929200.28,1500533.71,2189874.47,661658.29,1412906.24,2285602.75,3137198.26,740314.74,1532650.75,2374126.32,3332900.45,936846.27,1612965.14,2525131.55,3494715.21,786983.6,1628417.24,2712340.01,3746757.96,960619.09,1955693.9,3383568.2,4745070.36,1315418.61,2770739.15,4269459.66,5830417.47,1240057.4,2441442.07,3817809.72,5427745.59,1284004.26,2485441.4,4025972.11,5657387.17,1374916.89
收到的税费返还,578.69,1745.35,0.0,0.0,1191.99,0.0,0.0,0.0,1854.23,0.0,0.0,0.0,1850.22,0.0,0.0,0.0,1675.9,0.0,0.0,0.0,2629.87,0.0,335.12,738.81,2071.11,216.67,1141.84,1232.58,2502.93,100.81,738.32,1680.59,3421.19,374.67,806.7,1193.49,3544.22,502.2,1101.0,1476.82,2194.74,858.46
收到的其他与经营活动有关的现金,4051.9,135576.3,3341.74,155986.72,15961.27,19015.07,23012.08,47170.9,37912.28,6716.13,18594.51,33021.07,44450.13,2402.38,30476.95,38289.34,48138.85,29495.8,59779.68,101554.54,81628.2,36900.48,53936.45,83863.54,24304.94,7065.25,15809.93,56957.68,42608.17,6945.0,33749.2,55610.93,78725.36,11438.75,5991.97,21842.68,20242.12,13271.15,8891.14,18920.54,96962.77,2806.31
经营活动现金流入小计,1129817.94,1811692.02,772832.74,1398742.1,1694386.52,495710.89,952212.36,1547704.61,2229640.99,668374.42,1431500.75,2318623.82,3183498.61,742717.13,1563127.7,2412415.66,3382715.2,966342.07,1672744.82,2626686.09,3578973.27,823884.08,1682688.81,2796942.36,3773134.01,967901.0,1972645.67,3441758.45,4790181.46,1322464.42,2805226.66,4326751.19,5912564.02,1251870.82,2448240.73,3840845.9,5451531.93,1297777.6,2495433.55,4046369.47,5757281.05,1379162.07
购买商品、接受劳务支付的现金,911574.51,1424031.63,657839.6,1082923.44,1361427.51,439044.54,839493.89,1314584.08,1792974.24,597844.55,1141054.94,1727980.24,2250200.8,660454.91,1383448.74,2033842.6,2692348.49,783019.83,1389069.35,2102124.97,3041169.45,650493.43,1404775.85,2268929.57,2885647.4,817886.59,1518451.74,2511388.82,3323917.61,896135.91,1690174.37,2688849.85,3779247.36,979224.2,1935965.61,2901792.55,3879538.31,983917.3,2003601.61,3049510.36,4194497.26,1165875.3
支付给职工以及为职工支付的现金,43006.8,61000.72,11415.01,51469.79,70016.12,24054.77,43535.04,65653.5,90365.18,29016.78,58023.97,89719.5,147983.5,0.0,114912.55,236086.92,211533.47,91016.49,143872.28,194232.8,255148.31,77433.63,138701.76,197232.84,262466.26,106747.76,184240.27,256191.4,368476.23,156134.83,259039.76,368345.79,462759.03,130315.53,367795.16,471464.97,577400.69,236852.44,349377.32,470347.61,589331.2,184290.51
支付的各项税费,6962.86,14584.78,13683.1,15327.68,13430.57,4285.65,10733.14,13311.22,6058.56,2503.65,12493.08,14098.63,5114.02,4737.4,19826.18,24763.82,5375.89,7436.1,36629.17,38681.06,9252.9,2956.95,10338.84,13193.05,17988.82,4699.96,6655.22,7905.09,20889.92,7339.97,10809.37,17165.98,28222.87,7211.55,20547.34,27259.96,30829.9,6255.79,11566.94,17483.38,24212.22,5327.0
支付的其他与经营活动有关的现金,46441.04,157811.6,57821.3,161589.32,157006.92,18854.14,32914.56,66711.98,104535.9,22056.51,45693.65,68463.77,138106.57,46930.08,37893.46,75534.12,98365.75,68649.0,128081.22,224678.25,87381.19,107167.33,113514.35,129425.15,149863.28,4282.62,49645.01,88541.04,146575.42,31241.03,67868.05,108969.87,177060.39,39525.43,80189.93,123222.92,164361.18,38231.45,87471.21,130297.57,299793.28,66995.69
经营活动现金流出小计,1007985.21,1657428.73,740759.01,1311310.22,1601881.12,486239.1,926676.63,1460260.78,1993933.88,651421.48,1257265.64,1900262.15,2541404.89,712122.39,1556080.93,2370227.46,3007623.6,950121.42,1697652.02,2559717.07,3392951.84,838051.34,1667330.8,2608780.61,3315965.76,933616.93,1758992.24,2864026.35,3859859.18,1090851.74,2027891.55,3183331.48,4447289.65,1156276.71,2404498.04,3523740.4,4652130.08,1265256.98,2452017.08,3667638.92,5107833.96,1422797.85
经营活动产生的现金流量净额,121832.72,154263.3,32073.73,87431.88,92505.4,9471.79,25535.73,87443.83,235707.11,16952.94,174235.12,418361.68,642093.72,30594.74,7046.77,42188.2,375091.61,16220.65,-24907.2,66969.02,186021.43,-14167.26,15358.02,188161.76,457168.25,34284.07,213653.43,577732.1,930322.28,231612.68,777335.12,1143419.7,1465274.37,95594.11,43742.7,317105.5,799401.84,32520.62,43416.47,378730.56,649447.09,-43635.78
