报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,42749.89,94236.02,144157.0,188766.3,59497.93,121396.63,182789.31,256155.88,90412.7,166834.1,234579.78,308750.81,90667.31,187606.46,285990.41,389894.59,111573.88,227051.27,343780.73,490153.23,141652.59,290706.75,454552.37,612300.62,172942.48,342884.29,520152.52,729746.23,183812.71,399130.26,627331.51,856336.2,231300.66,493583.94,757383.88,1044859.46,321581.43,631996.84,968655.81,1312233.75,373133.8,725270.66,1158331.2,1403286.75,367404.19,770556.52,1297779.33,1715720.88,444631.72,943657.01
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,299.57,357.49,1413.62,1875.77,549.92,855.34,1309.77,1383.73,118.81,944.11,1923.07,2380.61,3802.59,5025.99,4183.62,5083.15,606.44,2315.46,7893.26,5370.78,547.87,2142.53,4414.2,6099.92,559.26,2541.94,4351.97,9958.84,1261.69,5217.02,6530.52,17981.67,2035.89,5767.22,6453.21,15369.69,2491.7,8856.55,8244.55,13841.36,2981.86,11178.61,9187.11,34471.17,3001.46,12460.02,9780.42,26225.12,2345.2,15331.25
经营活动现金流入小计,43049.45,94593.51,145570.61,190642.07,60047.85,122251.98,184099.08,257539.61,90531.5,167778.21,236502.85,311131.42,94469.9,192632.44,290174.03,395127.54,112180.32,229366.72,351673.99,495524.01,142200.45,292849.27,458966.57,618400.55,173501.74,345426.24,524504.49,739705.06,185074.4,404347.28,633862.03,874317.86,233336.54,499351.16,763837.09,1060229.14,324073.13,640853.39,976900.36,1326075.11,376115.65,736449.27,1167518.31,1437757.92,370405.65,783016.53,1307559.75,1741946.0,446976.92,958988.26
购买商品、接受劳务支付的现金,3859.15,6670.56,10533.82,17286.26,11439.33,21282.55,31280.63,56761.93,10550.95,20789.88,31754.49,42131.95,11990.16,29946.12,43635.95,61523.12,23134.77,37573.95,56423.55,94673.02,30939.5,42314.76,59736.38,95654.66,32106.55,63738.92,70795.95,96816.35,23289.3,49861.85,88879.02,121122.0,28735.1,65978.02,90089.48,119442.7,41212.16,69241.65,116143.45,151887.19,45783.16,74149.43,121021.4,72279.38,15365.57,47088.23,128639.17,85678.85,23794.36,53211.6
支付给职工以及为职工支付的现金,2727.29,4951.72,7960.38,11036.07,3563.97,6738.09,10651.22,17172.88,5802.52,9878.08,15422.16,18699.57,6863.65,13837.03,20240.37,27936.4,9329.3,16193.59,26097.48,34212.58,13607.03,25955.58,43184.92,55377.74,16756.41,31866.11,52114.35,76417.79,22543.46,40738.64,61967.99,86506.49,27667.87,50271.6,78199.19,108597.33,36877.69,64471.36,101189.76,140405.49,47657.77,82955.64,131344.31,188088.24,63583.59,107355.06,170303.8,267807.08,95273.81,160449.47
支付的各项税费,7316.52,18337.47,28048.05,40007.05,12984.84,26480.88,36377.75,50477.53,10882.21,26704.92,39143.58,54853.72,14640.73,34924.81,52946.46,69769.8,15258.59,36587.73,55646.78,77755.36,20138.77,54394.33,79118.28,106991.5,24137.18,56619.54,86304.06,119268.28,29906.43,64551.5,103696.15,139390.1,40674.96,85022.27,131363.47,173900.31,49262.89,102783.33,156493.01,206274.7,66499.84,129259.77,194646.54,238479.23,91064.84,161482.59,221575.39,283717.36,77798.23,141135.35
支付的其他与经营活动有关的现金,19461.0,44077.87,68812.58,100425.3,25936.65,59029.89,92797.08,121381.29,30665.16,71398.6,112132.55,151534.56,42897.28,85794.08,146305.71,197303.63,57644.79,111091.71,170227.23,236147.27,67034.91,134566.73,209142.77,264539.75,67509.07,135212.04,218166.02,310706.78,80866.15,169246.14,268945.66,369868.66,95718.6,193771.97,309190.49,430559.48,139495.07,276061.69,410478.56,568244.89,155208.81,314448.88,494342.97,684172.52,150831.84,334352.26,581980.61,827321.44,207386.64,458942.82
经营活动现金流出小计,33363.96,74037.62,115354.83,168754.69,53924.8,113531.42,171106.68,245793.63,57900.84,128771.48,198452.77,267219.8,76391.83,164502.04,263128.5,356532.96,105367.44,201446.98,308395.05,442788.24,131720.21,257231.4,391182.35,522563.66,140509.21,287436.61,427380.39,603209.2,156605.34,324398.13,523488.82,716887.26,192796.54,395043.86,608842.63,832499.83,266847.81,512558.03,784304.76,1066812.27,315149.59,600813.73,941355.2,1183019.37,320845.85,650278.14,1102498.97,1464524.73,404253.05,813739.25
经营活动产生的现金流量净额,9685.5,20555.89,30215.78,21887.37,6123.05,8720.56,12992.4,11745.97,32630.66,39006.73,38050.08,43911.62,18078.07,28130.41,27045.54,38594.58,6812.88,27919.75,43278.94,52735.77,10480.25,35617.88,67784.22,95836.89,32992.54,57989.62,97124.1,136495.87,28469.06,79949.16,110373.22,157430.6,40540.0,104307.3,154994.46,227729.31,57225.32,128295.36,192595.6,259262.84,60966.06,135635.55,226163.1,254738.54,49559.8,132738.39,205060.78,277421.27,42723.88,145249.01
