报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,234673.26,455682.18,663889.15,1049244.17,223927.62,444060.64,685035.64,942265.2,234150.89,441659.31,703130.39,975739.01,297908.11,567324.72,907439.54,1026082.42,264811.74,584878.86,901864.45,1128876.85,250593.71,542110.33,863151.59,1161893.45,277057.8,583561.94,917731.89,1186058.85,318820.7,559532.13,903777.2,1192381.97,322080.98,632254.56,960961.23,1226859.25,292865.84,666678.37,989805.49,1309047.39,365826.11,744829.65,1126753.69,1426875.5,371304.86,774340.91,1138364.71,1610172.31,348990.35,793701.03,1219310.22
收到的税费返还,0.0,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,78675.0,54970.1,57236.68,36243.78,11656.95,5695.84,18091.81,8443.65,3743.69,14051.03,23512.22,5732.39,7487.38,7822.84,11349.8,8201.88,2324.08,7951.46,11763.1,15674.9,1623.63,726.24,2406.37,5425.24,1354.03,4346.15,5735.22,6141.0,775.1,7770.74,9344.86,8325.42,2389.18,6566.31,17134.47,15883.2,953.56,1394.53,2012.35,6139.75,5839.8,4485.36,5435.94,6922.61,1713.67,7503.38,9372.6,16019.92,4016.24,7266.82,9988.26
经营活动现金流入小计,313348.26,510652.35,721126.0,1085487.95,235584.57,449756.48,703127.45,950708.84,237894.58,455710.34,726642.61,981471.4,305395.48,575147.56,918789.34,1034284.29,267135.82,592830.31,913627.55,1144551.74,252217.35,542836.57,865557.96,1167318.69,278411.83,587908.1,923467.11,1192199.85,319595.8,567302.87,913122.05,1200707.39,324470.15,638820.87,978095.7,1242742.46,293819.4,668072.9,991817.84,1315187.15,371665.91,749315.01,1132189.63,1433798.1,373018.52,781844.29,1147737.31,1626192.23,353006.59,800967.85,1229298.48
购买商品、接受劳务支付的现金,102535.63,194739.12,329242.36,529749.91,76823.7,181083.25,303487.42,371694.55,103617.56,173763.43,270876.93,350839.89,88632.87,217456.61,385358.3,289878.59,96776.53,199153.66,281756.33,348921.98,76871.08,206368.77,301965.2,426623.01,83822.14,233066.32,348376.5,436691.58,105772.91,206079.22,292700.11,395883.93,97767.37,232221.79,350890.14,407807.75,108647.01,241208.71,326444.46,421392.78,97908.07,255747.86,358284.63,419348.62,109855.8,249489.49,322308.37,487654.97,132216.72,247864.43,362819.77
支付给职工以及为职工支付的现金,43289.24,90749.62,122888.3,216706.39,46976.19,93753.71,127559.97,242844.15,60195.42,117523.8,177123.01,266939.3,69834.37,143718.97,199098.47,291998.56,71358.66,156320.96,236029.04,344330.37,92257.13,185672.47,285486.61,400100.02,105911.46,207428.52,325162.72,454687.94,115985.98,231898.97,358588.5,496804.73,124007.98,244905.55,374185.0,521943.36,144709.66,288696.98,443118.13,620383.89,160696.51,316799.87,480261.56,683938.84,165934.68,330550.04,518122.51,742340.61,177146.53,348630.69,561990.03
支付的各项税费,7492.01,31233.01,41619.17,52547.81,14991.36,28859.17,45931.1,58639.94,11589.84,25350.23,46114.08,56050.04,19337.04,33225.32,60785.57,72284.26,21391.58,44986.18,67892.54,86758.79,24070.55,63466.93,83126.67,92537.46,20695.13,52374.2,68483.75,79330.94,26801.55,54675.97,69780.41,83695.55,14051.36,46501.3,64925.78,78553.27,28322.48,66663.76,93996.85,98201.28,16955.13,47146.7,69542.1,57275.2,20368.08,50701.77,43554.8,57365.38,23019.12,59342.6,72100.89
支付的其他与经营活动有关的现金,3657.5,14169.48,37639.94,18193.09,68847.58,15431.17,23894.04,88986.14,19841.34,18157.96,23361.08,20700.4,2517.29,12809.47,15928.38,27299.36,2899.24,5969.38,9444.47,14870.11,5139.86,8443.98,12008.1,13526.11,3253.59,6966.35,10150.11,16383.46,3543.11,7748.56,9774.33,13000.53,3135.78,3831.64,6437.6,8469.02,6236.97,3966.01,8694.98,11085.27,2600.84,5317.98,8595.53,9751.58,6293.32,5573.51,8447.92,12691.0,3409.67,8587.51,11906.77
经营活动现金流出小计,156974.38,330891.23,531389.77,817197.2,207638.83,319127.3,500872.53,762164.78,195244.16,334795.43,517475.1,694529.62,180321.57,407210.37,661170.73,681460.76,192426.0,406430.18,595122.37,794881.24,198338.62,463952.15,682586.59,932786.6,213682.33,499835.38,752173.08,987093.93,252103.55,500402.71,730843.35,989384.75,238962.49,527460.29,796438.51,1016773.41,287916.12,600535.46,872254.41,1151063.21,278160.55,625012.41,916683.82,1170314.25,302451.88,636314.81,892433.59,1300051.96,335792.03,664425.24,1008817.46
经营活动产生的现金流量净额,156373.88,179761.12,189736.22,268290.75,27945.74,130629.18,202254.92,188544.06,42650.42,120914.91,209167.51,286941.77,125073.92,167937.19,257618.62,352823.53,74709.82,186400.13,318505.18,349670.5,53878.72,78884.42,182971.38,234532.09,64729.5,88072.71,171294.03,205105.92,67492.25,66900.16,182278.71,211322.64,85507.66,111360.59,181657.19,225969.05,5903.27,67537.45,119563.43,164123.93,93505.36,124302.59,215505.81,263483.86,70566.65,145529.48,255303.71,326140.27,17214.56,136542.62,220481.02
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,199.03,0.0,494.45,0.0,0.0,445.59,445.59,447.59,0.0,300.0,300.0,493.16,0.0,0.0,385.28,385.28,0.0,420.3,420.3,426.3,0.0,525.38,525.38,550.0,0.0,490.35,490.35,490.35,0.0,490.35,490.35,490.35,0.0,0.0,588.42,588.42,0.0,0.0,588.42,1421.42,0.0,0.0,647.29,647.29,0.0,647.26,647.26,647.26,0.0,704.66,704.66
处置固定资产、无形资产和其他长期资产所收回的现金净额,17.03,49.31,182.18,5705.79,-0.11,0.72,2.63,1135.79,0.28,200.23,404.44,2834.88,2.05,19.51,35.77,3115.59,0.05,88.89,104.79,55.73,1.27,554.57,4121.68,4107.11,0.1,213.66,296.33,7525.04,0.0,14.73,15.54,70.8,0.0,22.51,27.88,782.09,1.64,5.93,1657.01,1794.98,0.81,65.05,75.38,52.66,-2.66,52256.87,52267.75,58751.53,13463.89,13417.7,26437.83
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,9169.86,25969.86,25969.86,19518.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,50000.0,50887.04,141816.04,0.0,60000.0,0.0,0.0,3230.29,1897.5,36091.8,8988.45,11668.8,13568.27,5642.01,8510.09,12796.46,50463.75,63392.49,294869.49,450773.87,0.0,154.0,159.6,1105.5,0.0,541.26,541.26,803.19,0.0,88.7,88.7,177.88,0.0,288.7,88.7,176.53,0.0,10082.5,10989.48
投资活动现金流入小计,9385.92,26019.17,26646.49,25224.71,-0.11,446.32,448.22,1583.38,0.28,500.23,704.44,4058.04,50002.05,50906.55,142237.08,3500.86,60000.05,509.19,525.09,3726.76,1898.77,37171.74,13635.51,16325.91,13568.37,6346.02,9296.77,20811.85,50463.75,63897.57,295375.38,451335.01,0.0,176.51,775.9,2476.01,1.64,547.19,2786.69,4019.59,0.81,153.75,811.37,877.83,-2.66,53192.83,53003.71,59575.32,13463.89,24204.85,38131.96
购建固定资产、无形资产和其他长期资产所支付的现金,103651.34,142532.61,146246.11,161800.2,122657.69,182269.95,258352.5,294780.58,49266.92,0.0,99578.36,163967.38,25182.7,43890.61,51835.62,115839.84,22639.28,38747.42,56922.18,94338.89,34333.79,49692.34,85007.04,183615.2,44613.46,69093.74,92606.74,137659.86,41403.82,53272.78,81326.47,99963.2,56236.1,71627.85,101299.98,129227.43,58840.32,107086.4,139557.45,197389.92,49198.87,120088.71,172066.01,227342.56,57989.81,121457.57,189491.65,268305.34,60609.74,139536.13,202392.06
投资所支付的现金,0.0,487333.14,487333.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1911.0,1911.0,0.0,0.0,60.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,2583.22,0.0,2979.87,2979.87
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,478163.34,0.0,0.0,0.0,0.0,0.0,64830.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13989.74,0.0,0.0,0.0,0.0,6061.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,2.32,710.9,0.0,0.0,0.0,813.4,0.0,900.0,604.65,51400.0,125000.0,90700.0,283700.0,9450.0,0.0,83000.0,258000.0,307750.0,0.0,0.0,10000.0,48800.0,0.0,0.0,10900.0,30960.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2111.0,0.0,0.0,160.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,2483.22,0.0,100.0,0.0,0.0
